Resistance penalty:,抗性惩罚:
"Have you used a Light. Skill in the past 10s?","你过去 10 秒内有使用闪电技能?"
"Blocked hit from a Unique Recently?",近期有格挡传奇怪物击中?
"Blocked hit from a Unique in the past 10s?","你过去 10 秒内有格挡传奇怪物击中?"
"Is your Crit Chance Lucky?",你有幸运一击?
"# of times Skill has Chained:","# 技能已连锁数:"
"Projectile travel distance:",投射物飞行距离:
"Is the enemy at Close Range?",是否近距离的敌人?
"Is the enemy Moving?",是否移动的敌人?
"Is the enemy on Full Life?",是否满血的敌人?
"Is the enemy on Low Life?",是否低血的敌人?
"Is the enemy Cursed?",是否诅咒的敌人?
"Your enemy will automatically be considered to be Cursed if you have at least one curse enabled,","如果你的诅咒技能至少启用一个将会自动启用此状态,"
"Is the enemy Bleeding?",是否流血的敌人?
"Is the enemy Poisoned?",是否中毒的敌人?
"# of Poison on Enemy:","# 敌人中毒数:"
"Is the enemy Maimed?",是否瘫痪的敌人?
"Is the enemy Hindered?",是否被干扰的敌人?
"Is the enemy Blinded?",是否致盲的敌人?
"In addition to allowing 'against Blinded Enemies' modifiers to apply,","启用时 '对致盲的敌人' 之类的修正生效,"
"this will lessen the enemy's chance to hit, and thereby increase your evade chance.",这将减少敌人的击中几率从而提高你的闪避几率.
"Is the enemy Taunted?",是否嘲讽的敌人?
"Is the enemy Burning?",是否燃烧的敌人?
"Is the enemy Ignited?",是否点燃的敌人?
"This also implies that the enemy is Burning.",这也意味着敌人被燃烧.
"Is the enemy Chilled?",是否冰缓的敌人?
"Is the enemy Frozen?",是否冰冻的敌人?
"This also implies that the enemy is Chilled.",这也意味着敌人被冰缓.
"Is the enemy Shocked?",是否感电的敌人?
"In addition to allowing any 'against Shocked Enemies' modifiers to apply,","启用时 '对感电的敌人' 之类的修正生效,"
"this will apply Shock's Damage Taken modifier to the enemy.",这将对敌人应用感电伤害的加成.
"# of Freeze/Shock/Ignite on Enemy:","# 敌人冻结/感电/点燃数:"
"Is the enemy Intimidated?",是否恐吓的敌人?
"This adds the following modifiers:",这将会应用以下加成:
"10% increased Damage Taken by enemy","敌人承受伤害提高 10%"
"10% increased Attack Damage Taken by enemy","敌人承受攻击伤害提高 10%"
"Is the enemy Unnerved?",是否胆怯的敌人?
"10% increased Spell Damage Taken by enemy","敌人承受法术伤害提高 10%"
"Is the enemy covered in Ash?",是否【灰烬缠身】的敌人?
"20% less enemy Movement Speed","敌人移动速度额外降低 20%"
"20% increased Fire Damage Taken by enemy","敌人承受火焰伤害提高 20%"
"Is the enemy on consecrated ground?",是否【奉献地面】上的敌人?
"is the enemy Rare or Unique?",是否稀有或传奇的敌人?
"Your enemy will automatically be considered to be Unique if one of the Boss options is selected.","如果已选择 Boss 选项将会自动启用此状态."
"Is the enemy a Boss?","敌人是否是BOSS?"
"Standard Boss adds the following modifiers:","标准 Boss 将会应用以下加成:"
"{0}% to enemy Elemental Resistances","敌人元素抗性 {0}%"
"{0}% to enemy Chaos Resistance","敌人混沌抗性 {0}%"
"Standard Boss","标准 Boss"
Shaper/Guardian,岳父/长老
"Shaper/Guardian adds the following modifiers:","岳父/长老 将会应用以下加成:"
"50% less Duration of Bleed","流血持续时间额外降低 50%"
"50% less Duration of Poison","中毒持续时间额外降低 50%"
"50% less Duration of Ignite","点燃持续时间额外降低 50%"
"Enemy Phys. Damage Reduction:",敌人物理伤害减免:
"Enemy Fire Resistance:",敌人火焰抗性:
"Enemy Cold Resistance:",敌人冰霜抗性:
"Enemy Lightning Resistance:",敌人闪电抗性:
"Enemy Chaos Resistance:",敌人混沌抗性:
"Enemy was Hit by Fire Damage?",敌人被火焰伤害击中?
"Enemy was Hit by Cold Damage?",敌人被冰霜伤害击中?
"Enemy was Hit by Light. Damage?",敌人被闪电伤害击中?
"Ignore Skill Hit Damage?",忽略技能击中伤害?
"This option prevents EE from being reset by the hit damage of your main skill.","此选项可防止 【元素之相】(EE) 被你主技能的击中伤害重置."
"Enemy Level:",敌人等级:
"This overrides the default enemy level used to estimate your hit and evade chance.",设置敌人等级会影响你的命中和闪避几率估算.
The default level for normal enemies and standard bosses is 83.,普通敌人和普通Boss的默认等级是83。
Their default level is capped by your character level.,他们的默认等级是由你的角色等级限制的。
"The default level for pinnacle bosses is 84, and the default level for uber pinnacle bosses is 85.","终盘 Boss的默认级别是84，而uber 终盘 Boss的默认级别是85。"
Their default level is not capped by your character level.,他们的默认等级不由你的角色等级限制。
"used in-game to calculate the stats on the character sheet.",在游戏中用于计算角色状态面板
"Enemy Physical Hit Damage:",敌人击中物理伤害:
"This overrides the default damage amount used to estimate your physical damage reduction from armour.",设置伤害量会影响你来自护甲的物理伤害减免估算
"The default is 1.5 times the enemy's base damage, which is the same value","默认值为敌人基础伤害的 1.5 倍,此设定与游戏相同"
"used in-game to calculate the estimate shown on the character sheet.",在游戏中用于估算角色面板.
