"Cospri's Malice",卡斯普里怨恨
Silverbough,银枝
Silverbranch,幻银之弦
Singularity,奇异
"Sinvicta's Mettle",勇气之魄
"Sire of Shards",破碎传承者
Slivertongue,白银之舌
"Song of the Sirens",海妖魅曲
"Soul Taker",开膛斧
Soulwrest,扭魂者
"Spine of the First Claimant",先驱之脊
Starforge,塑星者
"Storm Cloud",暴雨之弦
"Storm Prison",禁锢暴风
"Story of the Vaal",瓦尔传说
Taproot,砥砺深根
"Taryn's Shiver",塔林的颤栗之语
"Terminus Est",行刑之刃
"The Blood Reaper",竭血之镰
"The Blood Thorn",血棘
"The Cauteriser",烧灼器
"The Consuming Dark",蚕食之暗
"The Crimson Storm",赤红风暴
"The Dancing Dervish",禅意苦行僧
"The Dancing Duo",杀孽戒刀
"The Dark Seer",黯黑贤者
"The Enmity Divine",圣恶之喻
"The Goddess Bound",女神的灵缚
"The Goddess Scorned",女神的怒炎
"The Goddess Unleashed",女神的束缚
"The Grey Spire",灰色尖椎
"The Gryphon",狮鹫
"The Harvest",收割者
"The Poet's Pen",诗人之笔
"The Princess",女爵
"The Rippling Thoughts",秘法君临
"The Scourge",灾害
"The Screaming Eagle",鹰啸
"The Searing Touch",炽炎之使
"The Stormheart",风暴之眼
"The Stormwall",风暴坚壁
"The Supreme Truth",无上箴言
"The Tempest",暴风雨
"The Tempestuous Steel",暴风之钢
"The Wasp Nest",蜂巢涌动
"The Whispering Ice",冰点低语
Tidebreaker,局势逆转者
"Touch of Anguish",痛苦之触
"Tremor Rod",颤抖之杖
Trypanon,裂颅
Tulborn,托沃崩
Tulfall,托沃卧
Twyzel,峡湾之星
"Ungil's Gauche",恩吉尔的叉刃
"United in Dream",合流梦寐
"Uul-Netol's Embrace",乌尔尼多的拥抱
"Uul-Netol's Kiss",乌尔尼多之吻
Varunastra,黑鲨
"Void Battery",潜能魔棒
Voidforge,裂空者
Voidhome,逝空之锤
"Voltaxic Rift",魔暴之痕
Vulconus,火神锻台
"White Wind",白净之风
Wideswing,阔斩
Widowmaker,寡妇
Wildslash,野性狂爪
Windripper,裂风
"Wings of Entropy",乱世之翼
"Xirgil's Crank",舍吉的手柄
"Xoph's Inception",索伏的始源
"Xoph's Nurture",索伏的爱抚
Farsight,远见
Terror,恐惧
"Vampire's Might",吸血鬼的力量
"The Naming Temporary",暂名
"Zerphi's Youth",泽佛伊的青春
"Underdog's Fury",逆行之怒
"Thread of Hope",希望之线
"Replica Conqueror's Efficiency",征服者的迅捷【仿品】
"Replica Fragile Bloom",脆弱的繁华【仿品】
"Replica Blood Sacrifice",血牺【仿品】
"Replica Primordial Might",起源力量【仿品】
"Cannibalistic Habits",同族相残
Hotheaded,鲁莽
Specialised,熟稔
"Miser of Misery",悲惨赐予者
"Choking Ash",窒息之烬
"Straight and True",直理之述
"Replica Hotheaded",鲁莽【仿品】
"Replica Pure Talent",纯才【仿品】
"Replica Cheap Construction",廉价建设【仿品】
"Lord of Steel",钢铁之主
"Selfless Leadership",无私领导
"Boundless Grasp",无边紧握
"Replica Reckless Defence",鲁莽防御【仿品】
"Replica Unstable Payload",不稳定承载【仿品】
"Endless Misery",无尽之苦
"Apex Mode",巅峰状态
"Nadir Mode",低谷状态
"Split Personality",人格分裂
Voices,天神之音
Megalomaniac,妄想症
"One With Nothing",徒手空拳
"Kitava's Teachings",奇塔弗的指教
"The Interrogation",审讯
"Calamitous Visions",灾祸异象
"Natural Affinity",自然之喜
"The Siege",围攻
"Child of Violence",暴力之子
"The Front Line",前线
"Tear of Entropy",乱世之泪
"Meginord's Vigour",梅吉诺德的活力
Honourhold,荣耀之持
"Ullr's Advent",乌尔的现身
"Demigod's Immortality",半神的不朽
"Hands of the High Templar",神主之手
"Crown of the Inward Eye",内省之冠
"The Ivory Tower",象牙之塔
Painseeker,苦难探寻者
"Eye of Malice",怨恨之眼
Perfidy,背信弃义
"Algor Mortis",尸僵
Assailum,千里狙敌
"Beacon of Madness",疯狂的象征
"Doryani's Prototype",多里亚尼的试作甲
"Abhorrent Interrogation",水火不容
"Great Old One's Tentacles",伟大旧神之触手
Fleshcrafter,塑血巨匠
"The Tempest's Liberation",风雪释放
"Forbidden Shako",禁断的军帽
"Plume of Pursuit",追逐之羽
Corpsewalker,灵柩行者
"Replica Lioneye's Paws",狮眼的斗志【仿品】
"Replica Abyssus",深渊之唤【仿品】
"Replica Atziri's Acuity",阿兹里的捷思【仿品】
"Replica Kalisa's Grace",卡莉莎的优雅之影【仿品】
"Replica Ambu's Charge",安姆布的战甲【仿品】
"Replica Shroud of the Lightless",泯光寿衣【仿品】
"Maw of Mischief",害人之口
"Replica Kaom's Heart",冈姆的壮志【仿品】
"Expedition's End",远征尽头
"Replica Perfect Form",完美姿态【仿品】
"Replica Loreweave",满溢之甲【仿品】
"Replica Three-step Assault",强袭者【仿品】
"Replica Allelopathy",相生相克【仿品】
"Replica Alpha's Howl",极地之眼【仿品】
"Replica Forbidden Shako",禁断的军帽【仿品】
"Replica Restless Ward",无尽之卫【仿品】
"Replica Farrul's Fur",大地之护【仿品】
"Replica Eternity Shroud",永恒幽影【仿品】
"Replica Alberon's Warpath",阿尔贝隆的征途【仿品】
"Replica Stampede",溃败【仿品】
"Replica Voidwalker",虚空行者【仿品】
"Replica Grip of the Council",议会之握【仿品】
"Replica Volkuur's Guidance",福库尔的手【仿品】
"Replica Leer Cast",共鸣之面【仿品】
Willclash,意志交锋
"Replica Red Trail",赤红踪迹【仿品】
"Replica Bones of Ullr",灵骸之履【仿品】
"Replica Inya's Epiphany",茵雅的启蒙【仿品】
"Replica Veil of the Night",夜幕【仿品】
"Mercenary's Lot",佣兵领地
Blunderbore,蹒跚巨兽
"The Admiral",海军上将
"Crest of Desire",渴望之冠
"The Fledgling",雏鸟
"Legacy of Fury",愤恨遗产
"Hand of the Fervent",热诚之手
"Ancient Skull",上古之颅
"Viridi's Veil",维里迪的面纱
"Doppelgänger Guise",变形者外衣
"Blood of Summer",炎夏之血
"Rust of Winter",霜刃
"Splinter of the Moon",碎月
"Thunder of the Dawn",曙雷
"Vestige of Divinity",庄重之杖
"Fragment of Eternity",亘古之灵
"Relic of the Cycle",轮回之记
"Scar of Fate",命运伤痕
"The Black Cane",漆黑藤杖
"The Saviour",救世者
"The Surging Thoughts",思想奔流
"The Yielding Mortality",死亡屈服
"Witchhunter's Judgment",猎巫人的审判
"Law of the Wilds",荒野之律
"Replica Iron Commander",钢铁指挥【仿品】
Actum,阿克顿
"Replica Bitterdream",苦梦【仿品】
"The Iron Mass",钢铁质量
"Replica Soul Taker",开膛斧【仿品】
"Replica Harvest",收割者【仿品】
"Replica Quill Rain",骤雨之弦【仿品】
"Replica Windripper",裂风【仿品】
"Replica Bloodplay",血谑【仿品】
"Replica Ungil's Gauche",恩吉尔的叉刃【仿品】
"Replica Cold Iron Point",寒铁刃【仿品】
"Replica Paradoxica",悖论【仿品】
"Replica Tempestuous Steel",暴风之钢【仿品】
"Replica Innsbury Edge",英斯贝理之极【仿品】
"Replica Last Resort",终息【仿品】
"Replica Heartbreaker",裂心刃【仿品】
"Replica Dreamfeather",幻梦飞羽【仿品】
"Replica Earendel's Embrace",叶兰德尔的拥抱【仿品】
"Replica Oro's Sacrifice",欧罗的贡品【仿品】
"Replica Tulfall",托沃卧【仿品】
"Replica Blood Thorn",血棘【仿品】
"Replica Advancing Fortress",超越壁垒【仿品】
"Replica Allure",魅惑【仿品】
"Replica Frostbreath",霜息【仿品】
"Replica Trypanon",裂颅【仿品】
"Replica Duskdawn",宵晓【仿品】
"Replica Fencoil",绿藤【仿品】
"Replica Twyzel",峡湾之星【仿品】
"Replica Midnight Bargain",冥约【仿品】
"Replica Kongor's Undying Rage",康戈的战炎【仿品】
"Replica Nebulis",内布利斯【仿品】
"Replica Wings of Entropy",乱世之翼【仿品】
"Replica Infractem",穿云【仿品】
"The Hidden Blade",隐匿之刃
"The Fulcrum",支点
"Demigod's Authority",半神的权威
Goblinedge,地精边缘
Sidhebite,仙灵之印
"Replica Atziri's Foible",阿兹里圣徽【仿品】
"Fury Valve",愤怒之阀
Willowgift,柳树之赐
"Replica Karui Ward",卡鲁的战徽【仿品】
"Replica Hyrri's Truth",西里的真相【仿品】
"The Ephemeral Bond",短暂羁绊
"Frost Unbroken",不灭冰晶
"Replica Winterheart",冬之心【仿品】
"Leadership's Price",领袖的代价
"The Felbog Fang",费伯之牙
"Retaliation Charm",复仇的魅力
"Replica Doedre's Damning",德瑞的魔具【仿品】
"Fated End",命中注定
"The Highwayman",绿林豪侠
"Astral Projector",星界投影
"Storm Secret",风暴之秘
"Replica Tasalio's Sign",塔萨里奥之印【仿品】
"Warrior's Legacy",战士的遗产
"Replica Emberwake",余烬之痕【仿品】
Blackflame,黑焰
"Profane Proxy",渎神代理
"Replica Malachai's Artifice",玛拉凯的巧技【仿品】
"Replica Voideye",虚空慧眼【仿品】
"Rotblood Promise",腐血的承诺
"Chains of Time",时空之链
"Replica Prismweave",幻彩菱织【仿品】
"Chains of Emancipation",脱缚之锁
"Replica Bated Breath",凝息【仿品】
"Leash of Oblation",圣体之绳
"Bear's Girdle",熊之束腰
"Replica Headhunter",猎首【仿品】
"Pyroshock Clasp",火爆之拥
"Mother's Embrace",母亲的拥抱
"Replica Siegebreaker",突围者【仿品】
"Survivor's Guilt",幸存者的愧疚
"The Torrent's Reclamation",沧海桑田
"Replica Soul Tether",灵魂羁绊【仿品】
"The Druggery",复苏之药
"Arn's Anguish",阿恩的痛苦
"Olesya's Delight",奥莱西亚的喜悦
"Graven's Secret",葛拉文的秘宝
"Acton's Nightmare",轮回的梦魇
"The Coward's Trial",懦者的试验
"Maelström of Chaos",混沌之渊
"Mao Kun",贼窝
"Olmec's Sanctum",远古之印
"Poorjoy's Asylum",沉沦之间
"Vaults of Atziri",阿兹里的秘宝库
"Death and Taxes",亡者之财
"Untainted Paradise",纯净乐园
"Oba's Cursed Trove",欧霸的咒怨宝库
"Whakawairua Tuahu",禁闭祭坛
"Hall of Grandmasters",元帅殿堂
"Remnant of Empires",帝国的残壁
BlackGuardz,乌卫
"Wraeclast Pantheon",瓦尔克拉斯神殿
"Convent of the Twins' Flame",双炎修道院
"Slivers of Providence",白银恩典
"Sandstorm Visage",禁域面容
"The Vinktar Square",维克塔广场
"Caer Blaidd, Wolfpack's Den",塞尔.布雷德狼穴
"The Perandus Manor",普兰德斯庄园
"The Putrid Cloister",幽秘博物馆
"The Beachhead",降临之地
"Pillars of Arun",阿尔伦神柱
"The Twilight Temple",暮光古庙
"The Eternal Struggle",永恒之战
"Doryani's Machinarium",多利亚尼的迷城
"Atziri's Vessel",阿兹里宝藏
Cortex,脑层
"Altered Distant Memory",改变的遥远回忆
"Augmented Distant Memory",增强的遥远回忆
"Twisted Distant Memory",扭曲的遥远回忆
"Rewritten Distant Memory",重著的遥远回忆
Manastorm,魔力风暴
Mistwall,迷雾之墙
"Stalwart Defenders",坚定的防御者
Misinformation,误传
"Irresistable Temptation",无法抗拒的诱惑
"Territories Unknown",未知领地
"War Among the Stars",星辰之战
"Booming Populace",兴旺发达
"Emperor's Vigilance",皇帝的警戒
"The Immortal Will",不朽意志
"The Shattered Divinity",神性破碎
"Scorpion's Call",魔蝎的呼唤
"Infused Beachhead",灌注的降临之地
"Replica Sorrow of the Divine",神圣哀悼【仿品】
"Replica Tukohama's Fortress",图克哈玛堡垒【仿品】
"Replica Maloney's Mechanism",马洛尼的技巧【仿品】
"Replica Soul Strike",灵魂打击【仿品】
"Replica Mistwall",迷雾之墙【仿品】
"Replica Victario's Charity",维多里奥的贡献【仿品】
"Replica Lavianga's Spirit",拉维安加之泉【仿品】
"Replica Rumi's Concoction",鲁米的灵药【仿品】
"Replica Cortex",脑层【仿品】
"Replica Pillars of Arun",阿尔伦神柱【仿品】
"Replica Poorjoy's Asylum",沉沦之间【仿品】
"Font of Thunder",雷鸣洗礼
Shattershard,破裂碎片
"Contract: Jamanra's Rest",契约：亚曼拉之陵
"Contract: Breaking the Unbreakable",契约：牢不可破
"Contract: Heart of Glory",契约：荣誉之心
"Contract: The Slaver King",契约：贩奴之王
"Contract: Death to Darnaw",契约：达诺的覆灭
"Contract: The Twins",契约：罪恶双生
"The Ghastly Theatre",惊悸剧院
"Qotra's Regulator",科塔拉的调节器
"The Vast Horizon",广袤地平线
"The Walls",高墙
"The Claim",宣称
"The Builder",建立者
"The Closest Peak",最近的山峰
"Restless Cycles",不息之环
"The False Hope",虚假的希望
"Atop the Atlas",异界之巅
"Usurper's Penance",篡夺者的救赎
"Glimpse of Chaos",混沌一瞥
Hateforge,仇恨熔炉
"Temptation Step",诱惑阶梯
Faithguard,信仰守卫
"Cadigan's Crown",卡迪甘王冠
Nightgrip,暗夜之握
"Medved's Challenge",梅德维德的挑战
"Vorana's March",沃拉娜的征途
"Olroth's Charge",欧罗什的指控
"Cane of Kulemak",库勒马克藤杖
"Atziri's Rule",阿兹里的统治
"Yaomac's Accord",夭马克的协定
"Relic of the Pact",协约的遗物
"Triumvirate Authority",三头威仪
"Seething Fury",怒火中烧
"Mahuxotl's Machination",马赫索托之诈
"The Scales of Justice",正义之鳞
"Tecrod's Gaze",特克罗的凝视
"Ulaman's Gaze",薛乌勒曼的凝视
"Amanamu's Gaze",埃曼纳姆的凝视
Steelworm,钢铁蠕虫
"Kurgal's Gaze",库加尔的凝视
"Olroth's Resolve",欧罗什的决心
"Starlight Chalice",星光圣杯
"Elixir of the Unbroken Circle",不坏圣环灵药
"Vorana's Preparation",沃拉娜的准备
"Stasis Prison",禁锢监狱
Gravebind,坟场之链
Stranglegasp,绞杀之息
"Uul-Netol's Vow",乌尔尼多之誓
"Band of the Victor",胜利之环
Mageblood,法师之血
"The Squire",侍从
"The Oppressor",压迫者
"Fairgraves' Bearing",费尔之仪
Stormblast,雷暴
"Bartek's Finger",巴特克的魔指
"Boreal Shepherd",牧者之音
"Celestial Fragment",残星
Ironweld,铁芒
"Alkem Eira",神谕
"Death Rattle",亡灵之音
Ghostmarch,鬼行
"Santoni's Faith",桑托尼的忠诚之心
"Mana Sponge",吸魔海绵
"The Rathorn",咒荆
"Leviathan Ivory",神力之牙
"Deadman's Hand",枯萎之手
"Vizaru's Folly",维札卢的不堪往事
"Arimagius' Honor",志士的荣耀之心
Wurmfist,崩石
"Dewath's Hide",德瓦斯的匿踪
Disjunction,分裂析取
"The Learning Stone",学习之石
Duskwing,暗翼
Spiritskin,精灵皮肤
Rumblemarch,不羁之行
Felltooth,崩齿
Mordhau,魔器
"Pagan Geis",异宗之镜
"Prospero's Vault",普洛斯彼罗的宝库
"First Piece of the Arcane",秘法先驱者碎片I
"Second Piece of the Arcane",秘法先驱者碎片II
"Third Piece of the Arcane",秘法先驱者碎片III
"First Piece of Focus",不屈先驱者I
"Second Piece of Focus",不屈先驱者II
"Third Piece of Focus",不屈先驱者III
"Fourth Piece of Focus",不屈先驱者IV
"First Piece of Brutality",残暴先驱者碎片I
"Second Piece of Brutality",残暴先驱者碎片II
"Third Piece of Brutality",残暴先驱者碎片III
"First Piece of Time",时空先驱者碎片I
"Second Piece of Time",时空先驱者碎片II
"First Piece of Directions",射术先驱者碎片I
"Second Piece of Directions",射术先驱者碎片II
"Third Piece of Directions",射术先驱者碎片III
"First Piece of Storms",冰雷先驱者I
"Second Piece of Storms",冰雷先驱者II
"Third Piece of Storms",冰雷先驱者III
"Borrowed Power",力量借贷
"The Rack",绞刑架
Bloodletter,血书
"Galla's Riposte",加拉的突刺刃
"Sands of Shakari",沙卡丽之沙
Lawbreaker,违法之徒
"Malachai's Brilliance",玛拉凯的卓越
"Toxic Vapours",剧毒蒸汽
Waycarver,辟路者
"Irresistible Temptation",无法抗拒的诱惑
"Ungils's Coil",恩吉尔的指环
Stillwater,止水
Battlehaste,迅战
"Unearth Threshold",发掘入口
"Melding of the Flesh",血肉融合
"Crystallised Omniscience",结晶全知
"Sudden Dawn",曙光骤现
"The Annihilating Light",摧残之光
"Dissolution of the Flesh",血肉分崩
"Polaric Devastation",毁灭激波
"Forbidden Flame",禁断之火
"Forbidden Flesh",禁断之肉
"Ceaseless Feast",无尽盛宴
"Inextricable Fate",宿命
"The Gluttonous Tide",贪婪之潮
"Black Zenith",漆黑天顶
"Divine Inferno",神圣炼狱
Dawnbreaker,破晓者
"The Hollow-Eyed Skull",空眼之颅
"The Basilisk",蛇怪
"The Angel of Vengeance",复仇天使
"The Burden of Truth",真相之担
"Echoes of Creation",创造回声
"Call of the Void",虚空召唤
"Sublime Vision",崇高愿景
"The Epiphany",启蒙
"The Twisted Trinity",扭曲三位一体
"The Unbridled Tempest",肆虐暴风
"The Narcissist",自恋
"The Depraved",堕落
"The Raging Inferno",天火
Insomnia,不眠
"The Megalomaniac",妄想症
"The Arbiter",仲裁者
"The Infested",染疫者
Escalation,升级
"The Benefactor",捐助者
"The Torturer",刑罚者
"The Ancient Angler",远古钓者
"Kaom's Spirit",冈姆的精神
"Soul Ascension",灵魂飞升
Ghostwrithe,代笔人
"The Tower of Ordeals",折磨之塔
"Kalandra's Touch",卡兰德之触
Thrillsteel,惊险刺激
"The Poised Prism",平衡棱镜
Elevore,艾尔弗雷
"Will of Chaos",混乱的意志
"Ignominious Fate",可耻的命运
"Victorious Fate",胜利的命运
"Deadly End",无路可走
"Rory's Revengance",罗里的复仇之途
"Mark2's Mastery",马克的精锐战意
"Robbie's Rotten Mace",罗比的腐败钉锤
"Carl's Crusher",卡尔的破坏者
"DrTestapus' Charm",特塔普斯的幸运符
"Maligaro's Etcher",马雷格罗的刻具
"The Warlord's Annex",督军之握
"Annihilation's Approach",毁灭的逼近
Anathema,咒逐
"Eternal Damnation",永恒诅咒
Progenesis,茁育助长
Witchbane,女巫克星
"Entropic Devastation",熵能毁灭
"Rational Doctrine",理性主义
Firesong,烈火之歌
Stormshroud,暴风遮罩
"Oriath's End",奥瑞亚的尽头
Dawnstrider,黎明行者
"The Winds of Fate",命运之风
"The Balance of Terror",恐惧之平衡
Echoforge,回声锻炉
"Wilma's Requital",威尔玛的报偿
"Doedre's Tongue",德瑞之舌
"Immutable Force",永恒之力
"The Gilded Chalice",镀金圣杯
"The Second Sacrament",第二圣誓
"The Hour of Divinity",神圣之刻
"The Night Lamp",黑夜明灯
"The Broken Censer",残破香炉
"The First Crest",初始荣冠
"The Original Scripture",原初经书
"Original Sin",原初之罪
Stormseeker,风暴觅者
"Ancestral Vision",先祖的远视
"Tainted Pact",玷污契约
"Blood Price",血债
Widowhail,遗孀之雹
"El'Abin's Visage",伊兰雅本之容
Soulbound,灵魂绑定
Bloodnotch,血痕
"Tanu Ahi",烈火送葬
"The Geomantic Gyre",运势之环
"The Redblade",红刃
"Ceinture of Benevolence",仁德腰带
"Bloodsoaked Medallion",浸血徽章
"The Fourth Vow",第四誓言
"Orbala's Stand",欧巴拉的坚守
"Chain of Endurance",坚韧之链
"Bound Fate",既定命途
"Ikiaho's Promise",伊基阿霍之诺言
"Maata's Teaching",玛塔之指教
"Tawhanuku's Timing",陶哈努库之时间
"Kahuturoa's Certainty",卡胡图罗阿之确信
"Kaom's Binding",冈姆之束缚
"Akoya's Gaze",阿寇亚之凝视
"Rakiata's Dance",拉其塔之舞
"Ahuana's Bite",阿华纳之牙
"Kiloava's Bluster",基洛瓦之风暴
"Utula's Hunger",尤图拉之贪噬
"Defiance of Destiny",命运之抗争
"Honoured Alliance",尊贵的同盟
"Warrior's Tale",战士的史诗
"Replica Dragonfang's Flight",龙牙之翔【仿品】
"The Blood of Innocence",纯净之血
"The Chains of Castigation",苦刑之链
"The Power and the Promise",力量与誓言
"The Trickster's Smile",敲诈笑颜
Pragmatism,独断专行
"The Untouched Soul",不动之魂
"Replica Covenant",血誓【仿品】
"Replica Badge of the Brotherhood",兄弟会徽章【仿品】
"Ixchel's Temptation",伊克切尔的诱惑
Gamblesprint,博运步伐
"The Burden of Shadows",暗影的重负
"That Which Was Taken",剥夺之念
Nametaker,掳名之锋
"The Flawed Refuge",破落的庇护
"The Adorned",浮华
"Replica Hinekora's Sight",辛格拉的凝视【仿品】
"Replica Heatshiver",寒焰【仿品】
"Replica Hyrri's Ire",西里的战衣【仿品】
"Replica Witchfire Brew",巫酿之水【仿品】
"Replica Pacifism",和平主义【仿品】
"Replica Fragility",脆弱【仿品】
"Replica Powerlessness",无力【仿品】
Ambition,雄心
Cooperation,合作
Beauty,美艳
Curiosity,求知
"The Tides of Time",时光浪潮
"The Celestial Brace",天界拥怀
"Ravenous Passion",吞灭之情
"Nevalius Inheritance",涅瓦里乌斯的传承
"The Perandus Pact",普兰德斯契约
"Grace of the Goddess",女神的恩典
"The Hand of Phrecia",费西亚之手
"Veruso's Ambition",维鲁索的壮怀
"Grattus Signet",盖拉图斯印戒
"The Apostate",破弃信仰
"The Devourer of Minds",噬心饕餮
"The Tempest Rising",骤起狂岚
"The Utmost",临峰
"Circle of Ambition",雄心轮环
"Curio of Decay",枯败奇珍
"Curio of Potential",潜力奇珍
"Curio of Consumption",噬灭奇珍
"Curio of Absorption",同化奇珍
