"Life Regen",生命回复
"{0}% increased Recovery Rate of Life, Mana and Energy Shield if you've Killed an Enemy affected by your Damage Over Time Recently","若你近期内击败了有你持续伤害状态的敌人，则生命，魔力，和能量护盾回复降低 {0}%"
"{0}% more chance to Evade Attacks while not on full Energy Shield","能量护盾非全满时，对攻击的总闪避率额外提高 {0}%"
"{0}% less chance to Evade Attacks while not on full Energy Shield","能量护盾非全满时，对攻击的总闪避率额外降低 {0}%"
"{0}% increased Critical Strike Chance against Enemies that are affected by no Elemental Ailments","对没有受到元素异常状态的敌人的暴击率提高 {0}%"
"{0}% reduced Critical Strike Chance against Enemies that are affected by no Elemental Ailments","对没有受到元素异常状态的敌人的暴击率降低 {0}%"
"{0}% increased Spell Damage if you've Cast a Spell Recently","若你近期内有施放法术，则法术伤害提高 {0}%"
"{0}% reduced Spell Damage if you've Cast a Spell Recently","若你近期内有施放法术，则法术伤害降低 {0}%"
"{0}% increased Attack Damage if you've Cast a Spell Recently","若你近期内有施放法术，则攻击伤害提高 {0}%"
"{0}% reduced Attack Damage if you've Cast a Spell Recently","若你近期内有施放法术，则攻击伤害降低 {0}%"
"{0}% increased Attack Speed if you've Attacked Recently","若你近期内有进行攻击，则攻击速度加快 {0}%"
"{0}% reduced Attack Speed if you've Attacked Recently","若你近期内有进行攻击，则攻击速度减慢 {0}%"
"{0}% increased Cast Speed if you've Attacked Recently","若你近期内有进行攻击，则施法速度加快 {0}%"
"{0}% reduced Cast Speed if you've Attacked Recently","若你近期内有进行攻击，则施法速度减慢 {0}%"
"{0}% chance to Trigger Word of Flames on Hit","击中时有 {0}% 的几率触发【烈火之誓】"
"Trigger Word of Flames on Hit",击中时触发【烈火之誓】
"{0}% chance to Trigger Edict of Flames on Hit","击中时有 {0}% 的几率触发【烈火之律】"
"Trigger Edict of Flames on Hit",击中时触发【烈火之律】
"{0}% chance to Trigger Decree of Flames on Hit","击中时有 {0}% 的几率触发【烈火之令】"
"Trigger Decree of Flames on Hit",击中时触发【烈火之令】
"{0}% chance to Trigger Commandment of Flames on Hit","击中时有 {0}% 的几率触发【烈火之诫】"
"Trigger Commandment of Flames on Hit",击中时触发【烈火之诫】
"{0}% chance to Trigger Word of Frost on Kill","击败敌人时有 {0}% 的几率触发【寒冰之誓】"
"Trigger Word of Frost on Kill",击败敌人时触发【寒冰之誓】
"{0}% chance to Trigger Edict of Frost on Kill","击败敌人时有 {0}% 的几率触发【寒冰之律】"
"Trigger Edict of Frost on Kill",击败敌人时触发【寒冰之律】
"{0}% chance to Trigger Decree of Frost on Kill","击败敌人时有 {0}% 的几率触发【寒冰之令】"
"Trigger Decree of Frost on Kill",击败敌人时触发【寒冰之令】
"{0}% chance to Trigger Commandment of Frost on Kill","击败敌人时有 {0}% 的几率触发【寒冰之诫】"
"Trigger Commandment of Frost on Kill",击败敌人时触发【寒冰之诫】
"{0}% chance to Trigger Word of Thunder on Kill","击败敌人时有 {0}% 的几率触发【雷电之誓】"
"Trigger Word of Thunder on Kill",击败敌人时触发【雷电之誓】
"{0}% chance to Trigger Edict of Thunder on Kill","击败敌人时有 {0}% 的几率触发【雷电之律】"
"Trigger Edict of Thunder on Kill",击败敌人时触发【雷电之律】
"{0}% chance to Trigger Decree of Thunder on Kill","击败敌人时有 {0}% 的几率触发【雷电之令】"
"Trigger Decree of Thunder on Kill",击败敌人时触发【雷电之令】
"{0}% chance to Trigger Commandment of Thunder on Kill","击败敌人时有 {0}% 的几率触发【雷电之诫】"
"Trigger Commandment of Thunder on Kill",击败敌人时触发【雷电之诫】
"{0}% chance when throwing Mines to throw up to {1} additional Mine","投掷地雷时有 {0}% 的几率额外再投掷 {1} 个"
"Throw an additional Mine",额外投掷一个地雷
"Throw {0} additional Mines","额外投掷 {0} 个地雷"
"{0}% chance for {1}% of Elemental Damage to be gained as Extra Chaos Damage","有 {0}% 的几率获得等同 {1}% 元素伤害的混沌伤害"
"{0}% increased Critical Strike Chance if you haven't Crit Recently","若你近期内没有打出过暴击，则暴击率提高 {0}%"
"{0}% reduced Critical Strike Chance if you haven't Crit Recently","若你近期内没有打出过暴击，则暴击率降低 {0}%"
"{0}% increased Damage while on Consecrated Ground","在奉献地面上时，伤害提高 {0}%"
"{0}% reduced Damage while on Consecrated Ground","在奉献地面上时，伤害降低 {0}%"
"{0}% chance to create Consecrated Ground when Hit, lasting {1} seconds","被击中时有 {0}% 的几率制造奉献地面，持续 {1} 秒"
"{0}% increased Mana Cost of Skills while on Consecrated Ground","在奉献地面上时，技能魔力消耗提高 {0}%"
"{0}% reduced Mana Cost of Skills while on Consecrated Ground","在奉献地面上时，技能魔力消耗降低 {0}%"
"{0}% chance to Avoid Elemental Ailments while on Consecrated Ground","在奉献地面上时有 {0}% 几率避免元素异常状态"
"Cannot be affected by Elemental Ailments while on Consecrated Ground",在奉献地面上时，免疫元素异常状态
"{0}% to Critical Strike Multiplier against Enemies that are affected by Elemental Ailments","对元素异常状态的敌人的暴击伤害加成  {0}%"
"Non-Critical Strikes Penetrate {0}% of Enemy Elemental Resistances","非暴击伤害穿透敌人 {0}% 的元素抗性"
"Damage Penetrates {0}% of Enemy Elemental Resistances","伤害穿透敌人 {0}% 的元素抗性"
"{0}% chance to double Stun Duration","有 {0}% 的几率使晕眩时间延长 1 倍"
"Shockwaves deal {0}% more Damage","【大地震击】的冲击波造成的伤害总增 {0}%"
"Shockwaves deal {0}% less Damage","【大地震击】的冲击波造成的伤害总降 {0}%"
"{0}% increased effect of Non-Curse Auras from your Skills","你技能的非诅咒类光环效果提高 {0}%"
"{0}% reduced effect of Non-Curse Auras from your Skills","你技能的非诅咒类光环效果降低 {0}%"
"{0}% increased Damage with Unarmed Attacks against Bleeding Enemies","空手攻击时对流血敌人的伤害提高 {0}%"
"{0}% reduced Damage with Unarmed Attacks against Bleeding Enemies",空手攻击时对流血敌人的伤害降低{0}%
"Gain {0} Life when you Hit a Bleeding Enemy","击中流血中的敌人时回复 {0} 生命"
"{0}% to Unarmed Attack Critical Strike Chance","空手攻击时攻击和法术基础暴击率 {0}%"
"Modifiers to Claw Damage also apply to Unarmed Attack Damage",对爪类武器的伤害加成同时套用于空手攻击伤害上
"Modifiers to Claw Attack Speed also apply to Unarmed Attack Speed",对爪类武器的攻击速度加成同时套用于空手攻击速度上
"Modifiers to Claw Critical Strike Chance also apply to Unarmed Attack Critical Strike Chance",对爪类武器的攻击暴击率加成同时套用于空手攻击暴击率上
"{0}% increased Damage with Unarmed Attacks","空手攻击时伤害提高 {0}%"
"{0}% reduced Damage with Unarmed Attacks","空手攻击时伤害降低 {0}%"
"{0}% increased Effect of Fortify on you","你身上的护体效果提高 {0}%"
"{0}% reduced Effect of Fortify on you","你身上的护体效果降低 {0}%"
"{0}% increased Rarity of Items Dropped by Shattered Enemies","被击碎的敌人的物品稀有度提高 {0}%"
"{0}% reduced Rarity of Items Dropped by Shattered Enemies","被击碎的敌人的物品稀有度降低 {0}%"
"{0}% faster start of Energy Shield Recharge during any Flask Effect","能量护盾在任意药剂生效期间充能时间提前 {0}%"
"{0}% slower start of Energy Shield Recharge during any Flask Effect","能量护盾在任意药剂生效期间充能时间延后 {0}%"
"{0}% increased Energy Shield Recharge Rate during any Flask Effect","能量护盾充能率在任意药剂生效期间提高 {0}%"
"{0}% reduced Energy Shield Recharge Rate during any Flask Effect","能量护盾充能率在任意药剂生效期间降低 {0}%"
"Projectiles Fork",投射物会分裂
"{0}% increased Fish Bite Sensitivity","鱼咬的灵敏度提高 {0}%"
"{0}% increased Cold Damage per {1}% Chance to Block Attack Damage","每有 {1}% 攻击格档率，冰霜伤害提高 {0}%"
"{0}% reduced Cold Damage per {1}% Chance to Block Attack Damage","每有 {1}% 攻击格档率，冰霜伤害降低 {0}%"
"{0}% increased Maximum Mana per {1}% Chance to Block Spell Damage","每有 {1}% 法术格档率，最大魔力提高 {0}%"
"{0}% reduced Maximum Mana per {1}% Chance to Block Spell Damage","每有 {1}% 法术格档率，最大魔力降低 {0}%"
"{0}% increased Armour while Chilled or Frozen","被冰冻或冰缓时护甲提高 {0}%"
"{0}% reduced Armour while Chilled or Frozen","被冰冻或冰缓时护甲降低 {0}%"
"Players have {0}% increased Action Speed while Chilled","玩家被冰缓时行动速度加快 {0}%"
"Players have {0}% reduced Action Speed while Chilled","玩家被冰缓时行动速度减慢 {0}%"
"{0}% increased Action Speed while Chilled","被冰缓时行动速度加快 {0}%"
"{0}% redcued Action Speed while Chilled","被冰缓时行动速度减慢 {0}%"
"Damage with Weapons Penetrates {0}% Cold Resistance","武器造成的伤害穿透 {0}% 冰霜抗性"
"Damage with Weapons Penetrates {0}% Fire Resistance","武器造成的伤害穿透 {0}% 火焰抗性"
"Damage with Weapons Penetrates {0}% Lightning Resistance","武器造成的伤害穿透 {0}% 闪电抗性"
"Damage with Weapons Penetrates {0}% Chaos Resistance","武器造成的伤害穿透 {0}% 混沌抗性"
"{0}% more Elemental Damage","元素伤害总增 {0}%"
"{0}% less Elemental Damage","元素伤害总降 {0}%"
"Monsters drop items {0} Level higher","怪物掉落物品的等级提高 {0}"
"Monsters drop items {0} Levels higher","怪物掉落物品的等级提高 {0}"
"This Map's Modifiers to Quantity of Items found also apply to Rarity",此地图的物品数量加成同时套用于物品稀有度上
"Creates a Smoke Cloud on Use",使用时产生一片烟雾
"Creates Consecrated Ground on Use",使用时产生奉献地面
"Damage with Weapons Penetrates {0}% Elemental Resistance","武器造成的伤害穿透 {0}% 元素抗性"
"{0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy","有 {0}% 的几率在敌人触发你的陷阱时获得一个狂怒球"
"Gain a Frenzy Charge when your Trap is triggered by an Enemy",在敌人触发你的陷阱时获得一个狂怒球
"{0}% chance to gain an Endurance Charge when your Trap is triggered by an Enemy","有 {0}% 的几率在敌人触发你的陷阱时获得一个耐力球"
"Gain a Endurance Charge when your Trap is triggered by an Enemy",在敌人触发你的陷阱时获得一个耐力球
"{0}% chance to add a Power Charge on Hit","击中时有 {0}% 的几率获得 1 个暴击球"
"Lose all Power Charges on reaching Maximum Power Charges",暴击球达到最大数量时，失去所有的暴击球
"Shocks you when you reach Maximum Power Charges",暴击球达到最大数量时，你被感电
"Gain a Frenzy Charge on reaching Maximum Power Charges","暴击球达到最大数量时，获得 1 个狂怒球"
Petrified,石化
"{0}% chance to gain an Endurance Charge when you gain a Power Charge","获得暴击球时有 {0}% 的几率获得 1 个耐力球"
"{0}% increased Damage per Enemy Killed by you or your Totems Recently","近期你或你的图腾若有击败过敌人，则每击败 1 个，伤害提高 {0}%"
"{0}% reduced Damage per Enemy Killed by you or your Totems Recently","近期你或你的图腾若有击败过敌人，则每击败 1 个，伤害降低 {0}%"
"{0}% increased Attack and Cast Speed while you have a Totem","当你有图腾存在时，攻击和施法速度加快 {0}%"
"{0}% reduced Attack and Cast Speed while you have a Totem","当你有图腾存在时，攻击和施法速度减慢 {0}%"
"{0} to maximum number of Summoned Totems if you or your Totems have Killed in the past {1} seconds","过去 {1} 秒内若你或你的图腾有击败敌人，则 {0} 召唤图腾数量上限"
"Monsters take {0}% reduced Extra Damage from Critical Strikes","怪物受到的暴击伤害降低 {0}%"
"Monsters take {0}% increased Extra Damage from Critical Strikes","怪物受到的暴击伤害提高 {0}%"
"Petrified during Flask Effect",在药剂生效期间被石化
"{0}% chance to gain a Power, Frenzy or Endurance Charge on Kill","击败敌人时有 {0}% 的几率获得一个暴击球、狂怒球或耐力球"
"{0}% increased effect","效果提高 {0}%"
"{0}% reduced effect","效果降低 {0}%"
"Immune to Poison during Flask Effect",药剂持续期间免疫中毒
"Removes Poison on use",使用时移除身上的中毒效果
"Immune to Poison",免疫中毒
"{0}% additional Physical Damage Reduction during Flask Effect","药剂生效期间额外提供 {0}% 物理伤害减免"
"For each Element you've been hit by Damage of Recently, {0}% increased Damage of that Element","近期内，每个击中你的元素可使你的该元素伤害提高 {0}%"
"For each Element you've been hit by Damage of Recently, {0}% reduced Damage of that Element","近期内，可使你的该元素伤害降低 {0}%"
"For each Element you've been hit by Damage of Recently, {0}% increased Damage taken of that Element","近期内，每个击中你的元素可使你所受到的该元素伤害提高 {0}%"
"For each Element you've been hit by Damage of Recently, {0}% reduced Damage taken of that Element","近期内，每个击中你的元素可使你所受到的该元素伤害降低 {0}%"
"Every {0} seconds, gain {1}% increased Elemental Damage for {2} seconds","每 {0} 秒获得 {1}% 的元素伤害增益，持续 {2} 秒"
"Every {0} seconds, gain {1}% reduced Elemental Damage for {2} seconds","每 {0} 秒获得 {1}% 的元素伤害增益，持续 {2} 秒"
"Damage Penetrates {0}% Cold Resistance if you've used a Fire Skill in the past {1} seconds","若你 {1} 秒内使用过火焰技能，你的伤害穿透 {0}% 冰霜抗性"
"Damage Penetrates {0}% Lightning Resistance if you've used a Cold Skill in the past {1} seconds","若你 {1} 秒内使用过冰霜技能，你的伤害穿透 {0}% 闪电抗性"
"Damage Penetrates {0}% Fire Resistance if you've used a Lightning Skill in the past {1} seconds","若你 {1} 秒内使用过闪电技能，你的伤害穿透 {0}% 火焰抗性"
"{0}% chance to Summon a Lesser Elemental Golem when you Kill an Enemy using Elemental Damage","使用元素伤害击败敌人时，有 {0}% 几率召唤 1 个小型魔像"
"{0}% Chance to gain Elemental Conflux for {1} seconds when you Kill an Enemy","当你击败敌人时，有 {0}% 的几率获得【元素汇流】 {1} 秒"
"Elemental Ailments caused by your Skills spread to other nearby Enemies","你的技能造成元素异常状态时，扩散至周围敌人 "
"Radius: {0}",半径：{0}
"{0}% chance to knockback on Counterattack","反击时有 {0}% 的几率击退敌人"
"Creates Chilled Ground on Use",使用时产生冰缓地面
"{0}% increased Duration","持续时间延长 {0}%"
"{0}% reduced Duration","持续时间缩短 {0}%"
"Chill effects on you Proliferate to nearby Enemies",你身上的冰缓状态会扩散至周围敌人身上
"Freeze effects on you Proliferate to nearby Enemies",你身上的冰冻状态会扩散至周围敌人身上
"Ancestral Protector Totem deals {0}% increased Damage","先祖卫士图腾造成的伤害提高 {0}%"
"Ancestral Protector Totem deals {0}% reduced Damage","先祖卫士图腾造成的伤害降低 {0}%"
"Animated Weapons deal {0}% increased Damage","【幻化武器】的伤害提高 {0}%"
"Animated Weapons deal {0}% reduced Damage","【幻化武器】的伤害降低 {0}%"
"{0}% increased Burning Arrow Damage","【燃烧箭矢】的伤害提高 {0}%"
"{0}% reduced Burning Arrow Damage","【燃烧箭矢】的伤害降低 {0}%"
"{0}% increased Cleave Damage","【劈砍】的伤害提高 {0}%"
"{0}% reduced Cleave Damage","【劈砍】的伤害降低 {0}%"
"{0}% increased Double Strike Damage","【双重打击】的伤害提高 {0}%"
"{0}% reduced Double Strike Damage","【双重打击】的伤害降低 {0}%"
"{0}% increased Dual Strike Damage","【双持打击】的伤害提高 {0}%"
"{0}% reduced Dual Strike Damage","【双持打击】的伤害降低 {0}%"
"{0}% increased Fire Trap Damage","【火焰陷阱】的伤害提高 {0}%"
"{0}% reduced Fire Trap Damage","【火焰陷阱】的伤害降低 {0}%"
"{0}% increased Fireball Damage","【火球】的伤害提高 {0}%"
"{0}% reduced Fireball Damage","【火球】的伤害降低 {0}%"
"{0}% increased Freezing Pulse Damage","【冰霜脉冲】的伤害提高 {0}%"
"{0}% reduced Freezing Pulse Damage","【冰霜脉冲】的伤害降低 {0}%"
"{0}% increased Glacial Hammer Damage","【冰霜之锤】的伤害提高 {0}%"
"{0}% reduced Glacial Hammer Damage","【冰霜之锤】的伤害降低 {0}%"
"{0}% increased Ground Slam Damage","【裂地之击】的伤害提高 {0}%"
"{0}% reduced Ground Slam Damage","【裂地之击】的伤害降低 {0}%"
"{0}% increased Heavy Strike Damage","【重击】的伤害提高 {0}%"
"{0}% reduced Heavy Strike Damage","【重击】的伤害降低 {0}%"
"{0}% increased Infernal Blow Damage","【炼狱之击】的伤害提高 {0}%"
"{0}% reduced Infernal Blow Damage","【炼狱之击】的伤害降低 {0}%"
"{0}% increased Lightning Strike Damage","【闪电打击】的伤害提高 {0}%"
"{0}% reduced Lightning Strike Damage","【闪电打击】的伤害降低 {0}%"
"{0}% increased Lightning Tendrils Damage","【电能释放】的伤害提高 {0}%"
"{0}% reduced Lightning Tendrils Damage","【电能释放】的伤害降低 {0}%"
"{0}% increased Magma Orb Damage","【熔岩之核】的伤害提高 {0}%"
"{0}% reduced Magma Orb Damage","【熔岩之核】的伤害降低 {0}%"
"{0}% increased Molten Strike Damage","【熔岩之击】的伤害提高 {0}%"
"{0}% reduced Molten Strike Damage","【熔岩之击】的伤害降低 {0}%"
"Raised Zombies deal {0}% increased Damage","魔卫复苏伤害提高 {0}%"
"Raised Zombies deal {0}% reduced Damage","魔卫复苏伤害降低 {0}%"
"{0}% increased Reave Damage","【冲击波】的伤害提高 {0}%"
"{0}% reduced Reave Damage","【冲击波】的伤害降低 {0}%"
"{0}% increased Spark Damage","【电球】的伤害提高 {0}%"
"{0}% reduced Spark Damage","【电球】的伤害降低 {0}%"
"{0}% increased Spectral Throw Damage","【灵体投掷】的伤害提高 {0}%"
"{0}% reduced Spectral Throw Damage","【灵体投掷】的伤害降低 {0}%"
"{0}% increased Split Arrow Damage","【分裂箭矢】的伤害提高 {0}%"
"{0}% reduced Split Arrow Damage","【分裂箭矢】的伤害降低 {0}%"
"{0}% increased Ethereal Knives Damage","【虚空匕首】的伤害提高 {0}%"
"{0}% reduced Ethereal Knives Damage","【虚空匕首】的伤害降低 {0}%"
"{0}% increased Ice Shot Damage","【冰霜射击】的伤害提高 {0}%"
"{0}% reduced Ice Shot Damage","【冰霜射击】的伤害降低 {0}%"
"{0}% increased Rain of Arrows Damage","【箭雨】的伤害提高 {0}%"
"{0}% reduced Rain of Arrows Damage","【箭雨】的伤害降低 {0}%"
"Summoned Raging Spirits deal {0}% increased Damage","召唤愤怒狂灵的伤害提高 {0}%"
"Summoned Raging Spirits deal {0}% reduced Damage","召唤愤怒狂灵的伤害降低 {0}%"
"{0}% increased Viper Strike Damage","【毒蛇打击】的伤害提高 {0}%"
"{0}% reduced Viper Strike Damage","【毒蛇打击】的伤害降低 {0}%"
"{0}% increased Flicker Strike Damage","【闪现打击】的伤害提高 {0}%"
"{0}% reduced Flicker Strike Damage","【闪现打击】的伤害降低 {0}%"
"{0}% increased Leap Slam Damage","【跃击】的伤害提高 {0}%"
"{0}% reduced Leap Slam Damage","【跃击】的伤害降低 {0}%"
"{0}% increased Lightning Arrow Damage","【闪电箭矢】的伤害提高 {0}%"
"{0}% reduced Lightning Arrow Damage","【闪电箭矢】的伤害降低 {0}%"
"{0}% increased Lightning Warp Damage","【闪电传送】的伤害提高 {0}%"
"{0}% reduced Lightning Warp Damage","【闪电传送】的伤害降低 {0}%"
"{0}% increased Puncture Damage","【放血】的伤害提高 {0}%"
"{0}% reduced Puncture Damage","【放血】的伤害降低 {0}%"
"{0}% increased Shield Charge Damage","【重盾冲锋】的伤害提高 {0}%"
"{0}% reduced Shield Charge Damage","【重盾冲锋】的伤害降低 {0}%"
"Skeletons deal {0}% increased Damage","【魔侍造成】的伤害提高 {0}%"
"Skeletons deal {0}% reduced Damage","【魔侍造成】的伤害降低 {0}%"
"{0}% increased Arc Damage","【电弧】的伤害提高 {0}%"
"{0}% reduced Arc Damage","【电弧】的伤害降低 {0}%"
"{0}% increased Barrage Damage","【弹幕】的伤害提高 {0}%"
"{0}% reduced Barrage Damage","【弹幕】的伤害降低 {0}%"
"{0}% increased Fire Nova Mine Damage","【火焰新星】的地雷伤害提高 {0}%"
"{0}% reduced Fire Nova Mine Damage","【火焰新星】的伤害降低 {0}%"
"{0}% increased Firestorm Damage","【烈炎风暴】的伤害提高 {0}%"
"{0}% reduced Firestorm Damage","【烈炎风暴】的伤害降低 {0}%"
"{0}% increased Flame Surge Damage","【怒焰奔腾】的伤害提高 {0}%"
"{0}% reduced Flame Surge Damage","【怒焰奔腾】的伤害降低 {0}%"
"{0}% increased Ice Nova Damage","【冰霜新星】的伤害提高 {0}%"
"{0}% reduced Ice Nova Damage","【冰霜新星】的伤害降低 {0}%"
"{0}% increased Ice Spear Damage","【冰矛】的伤害提高 {0}%"
"{0}% reduced Ice Spear Damage","【冰矛】的伤害降低 {0}%"
"{0}% increased Incinerate Damage","【烧毁】的伤害提高 {0}%"
"{0}% reduced Incinerate Damage","【烧毁】的伤害降低 {0}%"
"{0}% increased Power Siphon Damage","【力量抽取】的伤害提高 {0}%"
"{0}% reduced Power Siphon Damage","【力量抽取】的伤害降低 {0}%"
"{0}% increased Searing Bond Damage","【灼热连接】的伤害提高 {0}%"
"{0}% reduced Searing Bond Damage","【灼热连接】的伤害降低 {0}%"
"{0}% increased Static Strike Damage","【充能打击】的伤害提高 {0}%"
"{0}% reduced Static Strike Damage","【充能打击】的伤害降低 {0}%"
"{0}% increased Storm Call Damage","【风暴呼唤】的伤害提高 {0}%"
"{0}% reduced Storm Call Damage","【风暴呼唤】的伤害降低 {0}%"
"{0}% increased Sweep Damage","【横扫】的伤害提高 {0}%"
"{0}% reduced Sweep Damage","【横扫】的伤害降低 {0}%"
"{0}% increased Frenzy Damage","【狂怒】的伤害提高 {0}%"
"{0}% reduced Frenzy Damage","【狂怒】的伤害降低 {0}%"
"{0}% increased Righteous Fire Damage","【正义之火】的伤害提高 {0}%"
"{0}% reduced Righteous Fire Damage","【正义之火】的伤害降低 {0}%"
"Elemental Hit deals {0}% increased Damage","【元素打击】的伤害提高 {0}%"
"Elemental Hit deals {0}% reduced Damage","【元素打击】的伤害降低 {0}%"
"{0}% increased Cyclone Damage","【旋风斩】的伤害提高 {0}%"
"{0}% reduced Cyclone Damage","【旋风斩】的伤害降低 {0}%"
"{0}% increased Tornado Shot Damage","【龙卷射击】的伤害提高 {0}%"
"{0}% reduced Tornado Shot Damage","【龙卷射击】的伤害降低 {0}%"
"{0}% increased Arctic Breath Damage","【极地吐息】的伤害提高 {0}%"
"{0}% reduced Arctic Breath Damage","【极地吐息】的伤害降低 {0}%"
"{0}% increased Explosive Arrow Damage","【爆炸箭矢】的伤害提高 {0}%"
"{0}% reduced Explosive Arrow Damage","【爆炸箭矢】的伤害降低 {0}%"
"{0}% increased Flameblast Damage","【烈焰爆破】的伤害提高 {0}%"
"{0}% reduced Flameblast Damage","【烈焰爆破】的伤害降低 {0}%"
"{0}% increased Glacial Cascade Damage","【冰川之刺】的伤害提高 {0}%"
"{0}% reduced Glacial Cascade Damage","【冰川之刺】的伤害降低 {0}%"
"{0}% increased Ice Crash Damage","【寒冰冲击】的伤害提高 {0}%"
"{0}% reduced Ice Crash Damage","【寒冰冲击】的伤害降低 {0}%"
"{0}% increased Kinetic Blast Damage","力量爆破的伤害提高 {0}%"
"{0}% reduced Kinetic Blast Damage","力量爆破的伤害降低 {0}%"
"{0}% increased Shock Nova Damage","【闪电新星】的伤害提高 {0}%"
"{0}% reduced Shock Nova Damage","【闪电新星】的伤害降低 {0}%"
"{0}% increased Shockwave Totem Damage","【震波图腾】的伤害提高 {0}%"
"{0}% reduced Shockwave Totem Damage","【震波图腾】的伤害降低 {0}%"
"{0}% increased Wild Strike Damage","【野性打击】的伤害提高 {0}%"
"{0}% reduced Wild Strike Damage","【野性打击】的伤害降低 {0}%"
"{0}% increased Detonate Dead Damage","【爆灵术】的伤害提高 {0}%"
"{0}% reduced Detonate Dead Damage","【爆灵术】的伤害降低 {0}%"
"{0}% increased Caustic Arrow Damage","【腐蚀箭矢】的伤害提高 {0}%"
"{0}% reduced Caustic Arrow Damage","【腐蚀箭矢】的伤害降低 {0}%"
"Caustic Arrow has {0}% chance to inflict Withered on Hit for {1} second base Duration","【腐蚀箭矢】击中后有 {0}% 的几率造成死亡凋零，持续 {1} 秒"
"Caustic Arrow inflicts Withered on Hit for {0} second base Duration","【腐蚀箭矢】击中后造成死亡凋零，持续 {0} 秒"
"Caustic Arrow has {0}% chance to inflict Withered on Hit for {1} seconds base Duration","【腐蚀箭矢】击中后有 {0}% 的几率造成死亡凋零，持续 {1} 秒"
"Caustic Arrow inflicts Withered on Hit for {0} seconds base Duration","【腐蚀箭矢】击中后造成死亡凋零，持续 {0} 秒"
"{0} to maximum number of Golems","最多可同时召唤额外 {0} 个魔像"
"You cannot have non-Golem Minions",你无法拥有非魔像类召唤生物
"{0}% increased Golem Size","魔像体型增大 {0}%"
"{0}% reduced Golem Size","魔像体型缩小 {0}%"
"Stone Golems deal {0}% increased Damage","【巨石魔像】的伤害提高 {0}%"
"Stone Golems deal {0}% reduced Damage","【巨石魔像】的伤害降低 {0}%"
"Flame Golems have {0}% increased Damage","【烈焰魔像】的伤害提高 {0}%"
"Flame Golems have {0}% reduced Damage","【烈焰魔像】的伤害降低 {0}%"
"Ice Golems deal {0}% increased Damage","【寒冰魔像】的伤害提高 {0}%"
"Ice Golems deal {0}% reduced Damage","【寒冰魔像】的伤害降低 {0}%"
"Lightning Golems deal {0}% increased Damage","【闪电魔像】的伤害提高 {0}%"
"Lightning Golems deal {0}% reduced Damage","【闪电魔像】的伤害降低 {0}%"
"Chaos Golems deal {0}% increased Damage","【混沌魔像】的伤害提高 {0}%"
"Chaos Golems deal {0}% reduced Damage","【混沌魔像】的伤害降低 {0}%"
"{0}% increased Damage if you Summoned a Golem in the past {1} seconds","在召唤魔像后的 {1} 秒内伤害提高 {0}%"
"{0}% reduced Damage if you Summoned a Golem in the past {1} seconds","在召唤魔像后的 {1} 秒内伤害降低 {0}%"
"Golems Summoned in the past {0} seconds deal {1}% increased Damage","魔像在召唤后的 {0} 秒内伤害提高 {1}%"
"Golems Summoned in the past {0} seconds deal {1}% reduced Damage","魔像在召唤后的 {0} 秒内伤害降低 {1}%"
"Golems Deal {0}% more Damage","魔像的伤害总增 {0}%"
"Golems Deal {0}% less Damage","魔像的伤害总降 {0}%"
"Summoned Sentinels of Dominance deal {0}% increased Damage","【召唤统御哨兵】的效果区域扩大 {0}%"
"Summoned Sentinels of Dominance deal {0}% reduced Damage","【召唤统御哨兵】的效果区域缩小 {0}%"
"{0}% increased Dominating Blow Damage","【霸气之击】的伤害提高 {0}%"
"{0}% reduced Dominating Blow Damage","【霸气之击】的伤害降低 {0}%"
"{0}% increased Cold Snap Damage","【霜暴】的伤害提高 {0}%"
"{0}% reduced Cold Snap Damage","【霜暴】的伤害降低 {0}%"
"Holy Flame Totem deals {0}% increased Damage","【圣焰图腾】的伤害提高 {0}%"
"Holy Flame Totem deals {0}% reduced Damage","【圣焰图腾】的伤害降低 {0}%"
"Animated Guardians deal {0}% increased Damage","【幻化守卫】造成的伤害提高 {0}%"
"Animated Guardians deal {0}% reduced Damage","【幻化守卫】造成的伤害降低 {0}%"
"{0}% increased Bear Trap Damage","【捕熊陷阱】的伤害提高 {0}%"
"{0}% reduced Bear Trap Damage","【捕熊陷阱】的伤害降低 {0}%"
"{0}% increased Frost Wall Damage","【冰墙】的伤害提高 {0}%"
"{0}% reduced Frost Wall Damage","【冰墙】的伤害降低 {0}%"
"{0}% increased Molten Shell Damage","【熔岩护盾】的伤害提高 {0}%"
"{0}% reduced Molten Shell Damage","【熔岩护盾】的伤害降低 {0}%"
"{0}% increased Reckoning Damage","【清算】的伤害提高 {0}%"
"{0}% reduced Reckoning Damage","【清算】的伤害降低 {0}%"
"{0}% increased Vigilant Strike Damage","【戒备打击】的伤害提高 {0}%"
"{0}% reduced Vigilant Strike Damage","【戒备打击】的伤害降低 {0}%"
"{0}% increased Whirling Blades Damage","【回旋之刃】的伤害提高 {0}%"
"{0}% reduced Whirling Blades Damage","【回旋之刃】的伤害降低 {0}%"
"{0}% increased Flame Dash Damage","【烈焰冲刺】的伤害提高 {0}%"
"{0}% reduced Flame Dash Damage","【烈焰冲刺】的伤害降低 {0}%"
"{0}% increased Freeze Mine Damage","【冰冻地雷】的伤害提高 {0}%"
