"Abyssal Cry",深渊战吼
"Exsanguinate of Transmission",传输之赤炼魔光
"Rage Vortex of Berserking",狂暴之怒火漩涡
"Absolution of Inspiring",奋发之赦罪
"Blade Trap of Greatswords",巨剑之剑刃陷阱
"Blade Trap of Laceration",裂伤之剑刃陷阱
"Forbidden Rite of Soul Sacrifice",祭魂之禁断典仪
"Storm Rain of the Conduit",引雷之暴雨箭
"Storm Rain of the Fence",栅篱之暴雨箭
"Shield Crush of the Chieftain",酋长之盾牌碾压
"Summon Reaper of Revenants",亡魂之召唤追命死灵
"Summon Reaper of Eviscerating",裂骨之召唤追命死灵
"Boneshatter of Complex Trauma",重创之七伤破
"Boneshatter of Carnage",不坏之七伤破
"Explosive Concoction of Destruction",毁灭之爆破灵药
"Eye of Winter of Finality",暮冬之凛冬之眼
"Eye of Winter of Transience",瞬息之凛冬之眼
"Lightning Conduit of the Heavens",苍穹之闪电通道
"Galvanic Field of Intensity",剧烈之电流场
"Frozen Legion of Rallying",集结之冰封军团
"Volcanic Fissure of Snaking",蜿蜒之火山裂缝
"Summon Dark Effigy",召唤黑暗塑像
Barkskin,树皮御体
"Penance Mark",忏悔印记
Affliction,折磨
Pacify,宁心
Ravenous,贪噬
"Elemental Hit of the Spectrum",光谱之元素打击
"Ice Shot of Penetration",贯穿之冰霜射击
"Incinerate of Expanse",蔓延之烧毁
"Incinerate of Venting",泄火之烧毁
"Kinetic Blast of Clustering",集束之力量爆破
"Summon Holy Relic of Conviction",定罪之召唤圣物
"Artillery Ballista of Cross Strafe",交叉扫射之火力弩炮
"Artillery Ballista of Focus Fire",锁定打击之火力弩炮
"Poisonous Concoction of Bouncing",弹跃之毒爆灵药
"Tornado of Elemental Turbulence",元素激变之龙卷旋风
"Transform into Mimic",变形成拟态储物箱
Automation,自动化
"Call to Arms",武装召唤
"Summon Sacred Wisps",召唤圣洁鬼灵
"Summon an image of Beidat, Archangel of Death",召唤死亡天使贝达特的影像
"Summon an image of K'tash, the Hate Shepherd",召唤憎恨牧者科塔席的影像
"Summon Demon Beast",召唤兽魔
"Summon Demon Harpy",召唤鸟魔
"Summon Demon Imp",召唤劣魔
"Summon Pale Angel",召唤苍白神侍
"Summon Pale Cherubim",召唤苍白圣侍
"Summon Pale Servitor",召唤苍白圣使
