Strength,力量
"Evasion and Elemental Resistances",闪避与元素抗性
Survivalist,死里逃生
"Thick Skin",强化之肤
"Blast Radius",法术范围增幅
"Necromantic Aegis",灵能护盾
"Channelling Attack Damage and Speed",持续吟唱伤害和速度
"Channelling Attack Damage",吟唱攻击伤害
"Charging Offensive",长驱直入
"One Handed Melee Damage and Life Leech",单手近战伤害和生命偷取
"One Handed Melee Damage and Attack Speed",单手近战伤害和攻击速度
"Gladiator's Perseverance",坚毅斗士
"One Hand Mastery",单手武器专精
"Acrobatics Improvement",闪避进化
Charisma,魅力
Leadership,领导精神
"Coldhearted Calculation",冷酷计算
"Piercing Shots",穿射箭矢
"Fangs of the Viper",毒蛇之牙
"Forces of Nature",自然之力
"Trap and Mine Damage and Throwing Speed",陷阱及地雷伤害和投掷速度
"Trap and Mine Critical Strike Chance",陷阱和地雷暴击率
"High Explosives",炼狱炸弹
"Trap and Mine Critical Strike Multiplier",陷阱和地雷暴击伤害
"Clever Construction",聪明的建设
"Trap and Mine Mastery",陷阱和地雷专精
"Devastating Devices",毁灭装置
"Mana Regeneration and Intelligence",魔力回复与智慧
"Spell Damage and Intelligence",法术伤害与智慧
"Projectile Damage and Dexterity",投射物伤害与敏捷
"Attack Speed and Dexterity",攻击速度与敏捷
"Life and Strength",生命与力量
"Melee Damage and Strength",近战伤害与力量
Seven,七
"True Strike",真实之击
"Life and Elemental Resistances",生命与元素抗性
Barbarism,野蛮
"Elemental Resistances and Attack Speed with Shields",元素抗性和盾牌攻击速度
"Weapon Elemental Damage and Attack Speed with Shield",持盾武器元素伤害和攻击速度
"Command of the Elements",元素之令
"Weapon Elemental Damage, Elemental Resistance with Shields and Shield Defences",武器元素伤害，持盾元素抗性和盾牌防御
"Mine Damage",地雷伤害
"Mine Damage and Throwing Speed",地雷伤害和投掷速度
"Destructive Apparatus",毁灭装置
"Mine Throwing Speed",地雷投掷速度
Melding,融合
"Mana and Life Regeneration",生命回复和魔力回复
"Totem Damage",图腾伤害
"Shamanistic Fury",萨满之怒
"Totem and Brand Damage, Totem Placement Speed",图腾和烙印伤害伤害，图腾放置速度
"Totem Life and Physical Damage Reduction, Brand Duration",图腾生命和降减图腾物理伤害
"Totem Life and Elemental Resistances, Brand Duration",图腾生命、元素抗性、烙印持续时间
"Primal Manifestation",图腾专精
"Totem Duration, Attack and Cast Speed","图腾持续时间, 攻击和施法速度"
"Totem Placement Speed and Duration",图腾放置速度和持续时间
"Totemic Zeal",热情图腾
"Trap Throw Speed and Damage",陷阱投掷速度和伤害
"Master Sapper",工兵大师
"Bow Damage and Movement Speed",弓的伤害和移动速度
"Bow Damage and Evasion",弓类伤害和闪避
"Avatar of the Hunt",狩猎之征
"Path of the Savant",贤者之路
Shaper,圣杯
"Path of the Marauder",野蛮人之道
"Passive Point",天赋点数
"Marauder Ascendancy",野蛮人升华职业
Harrier,海猎鹰
"Energy Shield and Minion Life",能量护盾和召唤生物生命
"Chaos Damage and Chaos Damage Over Time Multiplier",混沌伤害和混沌持续伤害加成
"Chaos Resistance and Chaos Damage",混沌抗性和混沌伤害
"Method to the Madness",疯狂配方
"Melee Attack Speed",近战攻击速度
Annihilation,横扫千军
"Ash, Frost and Storm",三相之力
"Mana and Flasks",魔力与药剂
"Arcane Chemistry",秘法学
"Energy Shield and Mana",能量护盾和魔力
Insightfulness,洞察万物
"Energy Shield and Mana Mastery",能量护盾和魔力专精
"Master of Force",蛮勇之力
"Life and Life on Kill",生命与击败回复生命
"Hired Killer",生命撷取
"Mana and Mana Gain on Killing Blow",魔力与击败回复魔力
"Thrill Seeker",颤栗追寻者
"Trap and Mine Damage, Movement Speed","陷阱和地雷伤害, 移动速度"
Pyromaniac,焚烧
"Born in the Shadows",生在影中
"Trap and Mine Damage, Elemental Resistances",陷阱和地雷伤害，元素抗性
"Explosives Expert",爆破专家
"Trap and Mine Damage, Mine Throwing Speed",陷阱和地雷伤害、地雷投掷速度
"Bomb Specialist",炸弹专家
"Trap and Mine Damage, Trap Throwing Speed","陷阱和地雷伤害, 陷阱投掷速度"
"Perfect Crime",完美犯罪
"Demolitions Specialist",爆破天才
"Chain Reaction",连锁反应
"Armour, Evasion and Life","护甲, 闪避与生命"
"Attack Damage with Shield",持盾攻击伤害
"Defences with Shield",持盾防御
Defiance,抗争
Sanctity,圣洁之力
"Cold and Lightning Damage",冰霜与闪电伤害
"Cold Damage and Cold Conversion",冰霜伤害和冰缓效果
"Lightning Damage and Lightning Conversion",闪电伤害和感电效果
"Storm Weaver",风暴织者
"Bleed Damage",物理持续伤害
"Bleed Damage Multiplier",流血伤害加成
"Bleed Chance",流血几率
Bloodletting,出血
"Bleeding Mastery",流血专精
"Evasion and Blind Duration",闪避值和致盲持续时间
"Evasion and Blind Avoidance",闪避值和致盲回避率
"Evasion and Blind Chance",闪避值和致盲几率
"Silent Steps",神出鬼没
"Attack Damage and Speed while Fortified",攻击伤害和护体时的速度
"Fortify Effect and Duration",强化效果和持续时间
Rampart,壁垒
"Fortify Mastery",护体专精
"Blast Cascade",串流爆破
"Mine and Trap Mastery",地雷和陷阱专精
"Armour, Endurance Charge Duration","护甲, 耐力球持续时间"
"Armour, Attack Speed","护甲, 攻击伤害"
"Armour, Stun Duration","护甲, 晕眩持续时间"
Unyielding,屹立不摇
Undeniable,不可置疑
Unflinching,永不动摇
Unrelenting,灭无赦
"Armour, Movement Speed","护甲, 移动速度"
Unstoppable,势不可挡
Unbreakable,坚不可破
"Dagger Damage and Leech",匕首伤害和偷取
"Stabbing Thirst",嗜血渴望
"Physical Attack Damage, Life Leeched per Second","物理攻击伤害, 每秒生命偷取速率"
"Physical Attack Damage, Critical Strike Chance",物理攻击伤害，暴击率
"Physical Attack Damage, Attack Speed","物理攻击伤害, 攻击速度"
"Physical Attack Damage, Warcry Duration","物理攻击伤害, 战吼持续时间"
"War Bringer",战争使者
"Rite of Ruin",毁灭仪式
"Pain Reaver",苦痛劫掠
"Flawless Savagery",完美的暴行
"Crave the Slaughter",屠戮之欲
"Aspect of Carnage",血肉之章
Blitz,疾电
"Warcry Buff Effect",战吼增益效果
"Words of Glory",荣耀之言
"Ngamahu, Flame's Advance",火徒.努葛玛呼
"Hinekora, Death's Fury",死之狂怒.辛格拉
"Ramako, Sun's Light",雷默科，太阳之光
"Energy Shield, Curse Effect","能量护盾, 诅咒效果"
"Energy Shield, Cold and Chaos Damage","能量护盾, 冰霜和混沌伤害"
"Energy Shield, Power Charge Duration","能量护盾, 暴击球持续时间"
"Energy Shield, Energy Shield Recharge Rate","能量护盾, 能量护盾充能回复率"
"Profane Bloom",秽言亡语
Malediction,恶语术
"Vile Bastion",残劣壁垒
"Void Beacon",虚无之塔
"Forbidden Power",禁忌力量
"Energy Shield, Chaos Damage over Time Multiplier",能量护盾、混沌伤害持续加成
"Energy Shield, Cold Damage over Time Multiplier",能量护盾、冰霜伤害持续加成
"Withering Presence",凋零姿态
"Frigid Wake",彻骨之径
"Minion Damage and Life",召唤生物伤害和生命
"Minion Damage, Skill Duration",召唤生物伤害、技能持续时间
"Minion Damage, Mana",召唤生物伤害、魔力
"Mindless Aggression",盲目挑衅
"Unnatural Strength",亵渎之力
"Bone Barrier",骸骨屏障
"Mistress of Sacrifice",奉献女魔
"Commander of Darkness",黑暗统御者
"Minion Damage, Cast Speed",召唤生物伤害、施法速度
Plaguebringer,疫病之源
"Corpse Pact",灵柩契约
"Trap Damage and Cooldown Recovery",陷阱伤害与冷却回复
"Hasty Reconstruction",迅速重建
"Minion Damage, Aura Effect",召唤生物伤害、光环效果
"Attack Damage, Critical Strike Chance",攻击伤害、暴击率
"Attack Damage, Attack Speed",攻击伤害、攻击速度
"Attack Damage, Life Leech",攻击伤害、生命偷取
"Attack Damage, Area of Effect",攻击伤害、效果区域
"Bane of Legends",传奇灾星
Overwhelm,镇压
Headsman,刽子手
"Endless Hunger",无尽饥饿
"Brutal Fervour",残暴热情
Impact,影响
"Attack Damage, Frenzy and Endurance Charge Duration",攻击伤害，狂怒，耐力球持续时间
"Masterful Form",大师之形
"Attack Speed, Physical Damage",攻击速度，物理伤害
"Attack Speed, Block Chance",攻击速度，格挡几率
"Attack Speed and One Handed Damage",攻击速度和单手武器伤害
"Gratuitous Violence",免费力量
"Blood in the Eyes",血之眼
"Outmatch and Outlast",完美胜出
Painforged,痛苦铸造
"Violent Retaliation",强力复仇
"Attack Speed, Movement Speed",攻击速度，移动速度
"Arena Challenger",竞技挑战者
"Righteous Providence",正义之庭
"Mana Regeneration, Spell Damage","魔力回复速度, 法术伤害"
"Mana Regeneration, Totem Placement Speed","魔力回复速度, 图腾放置速度"
"Mana Regeneration, Mana",魔力再生率和魔力
"Mana Regeneration, Power and Endurance Charge Duration","魔力回复速度, 耐力球和暴击球持续时间"
"Divine Guidance",神圣指引
"Sanctuary of Thought",意识圣殿
"Pursuit of Faith",信念之诉
"Ritual of Awakening",升华仪式
"Conviction of Power",力量定罪
"Illuminated Devotion",无上奉献
"Arcane Blessing",秘术保佑
"Mana Regeneration, Brand Damage",魔力回复，烙印伤害
"Sign of Purpose",目的标识
"Critical Strike Chance, Power Charge Duration","暴击率, 暴击球持续时间"
"Unstable Infusion",不稳定化身
"Deadly Infusion",致命专注
"Critical Strike Chance and Multiplier",暴击率和伤害
"Ambush and Assassinate",伏击
Opportunistic,暗影
"Critical Strike Chance, Damage Over Time","暴击率, 持续伤害"
"Toxic Delivery",毒物私运
"Noxious Strike",淬毒打击
"Critical Strike Chance, Movement Speed",暴击率、移动速度
Mistwalker,迷雾行者
"Attack and Cast Speed, Frenzy Charge Duration","攻击和施法速度, 狂怒球持续时间"
"Swift Killer",敏捷克星
"Attack and Cast Speed, Damage Over Time","攻击和施法速度, 闪避和持续伤害"
"Patient Reaper",有耐心的死神
"Attack and Cast Speed, Evasion and Energy Shield","攻击和施法速度, 闪避和能量护盾"
"Escape Artist",逃脱艺术
"Attack and Cast Speed, Maximum Mana","攻击和施法速度, 魔力上限"
"Prolonged Pain",以太行者
"Weave the Arcane",奇异织者
"Harness the Void",虚空掌控
"Path of the Ranger",游侠之道
"Ranger Ascendancy",游侠升华职业
"Path of the Witch",女巫之道
"Witch Ascendancy",女巫升华职业
"Path of the Duelist",决斗者之道
"Strength and Dexterity",力量和敏捷
"Duelist Ascendancy",决斗者升华职业
"Path of the Shadow",暗影之道
"Dexterity and Intelligence",敏捷和智慧
"Shadow Ascendancy",暗影升华职业
"Path of the Templar",圣堂武僧之道
"Strength and Intelligence",力量和智慧
"Templar Ascendancy",圣堂武僧升华职业
"Poison Damage and Poison Damage Multiplier",烈毒伤害和烈毒伤害加成
"Fatal Toxins",致命之毒
"Poison Damage and Duration",中毒伤害和持续时间
"Trap Throwing Speed and Trigger Area",陷阱抛射速度与触发范围
"Expeditious Munitions",快速弹药
Overcharged,超载
"Charge on Kill",击败时充能
"Bleed Damage and Bleed Damage Multiplier",流血伤害和流血伤害加成
"Bleed Damage Multiplier and Bleed Chance",流血伤害加成和流血几率
"Red Storm",红色风暴
"Damage and Energy Shield",伤害和能量护盾
"Attack and Minion Damage",攻击和召唤生物伤害
"Impale Effect and Attack Speed",穿刺效果和攻击速度
"Impale Chance and Physical Attack Damage",穿刺几率和物理攻击伤害
"Forceful Skewering",强力穿刺
"Brand Damage and Range",烙印伤害和范围
"Brand Frequency and Duration",烙印激活速率和持续时间
Runesmith,符文工匠
"Brand Mastery",烙印专精
"Light Eater",光芒吞噬者
"Channelling Speed",持续吟唱速度
Lucidity,明朗
"Dual Wield Cast Speed",双持施法速度
"Dual Wield Cast Speed and Movement Skill Cooldown Recovery",双持施法速度和位移技能冷却恢复
"Dual Wield Spell Damage and Movement Speed",双持法术伤害和移动速度
"Dark Arts",黑暗艺术
"Arcane Dual Wield Mastery",秘术双持专精
"Dual Wield Attack and Cast Speed and Block",双持攻击与施法速度和格挡
"Dual Wield Spell Damage and Attack and Cast Speed",双持法术伤害和攻击和施法速度
"Dual Wield Spell Damage and Spell Block",双持法术伤害和法术格挡
Mysticism,灵秘
"Staff Spell Damage and Chaos Resistance",长杖法术伤害和混沌抗性
"Staff Spell Damage",长杖法术伤害
"Staff Spell Damage and Spell Block",长杖法术伤害和法术格挡
"Staff Spell Damage and Block",长杖法术伤害和格挡
"Enigmatic Defence",秘巫防御
"Arcane Staff Mastery",秘术长杖专精
"Staff Area of Effect",长杖效果区域
"Staff Area of Effect and Attack and Cast Speed",长杖效果区域和攻击与施法速度
"Enigmatic Reach",秘巫之触
"Shield Spell Damage",护盾法术伤害
"Shield Spell Damage and Spell Block",护盾法术伤害和法术格挡
"Shield Spell Damage, Block Recovery and Energy Shield",护盾法术伤害、格挡硬直回复和能量护盾
"Arcane Guarding",奥术护卫
"Arcane Shield Mastery",秘术魔盾专精
"Shield Spell Damage and Block",护盾法术伤害和格挡
"Shield Spell Damage and Cast Speed",护盾法术伤害和施法速度
"Arcane Swiftness",奥术迅捷
"Spell Area of Effect and Damage",法术效果区域和伤害
"Arcane Expanse",秘术扩张
"Evasion and Movement Speed",闪避和移动速度
"Evasion and Movement Skill Cooldown Recovery",闪避和位移技能冷却恢复
Fleetfoot,迷踪步
"Evasion and Phasing",闪避和迷踪
"Freedom of Movement",行动自如
"Armour and Endurance Charges",护甲和耐力球
Inexorable,势不可挡
"Armour and Guard Skill Cooldown Recovery",护甲和防卫技能冷却回复速度
"Guard Skill Cooldown Recovery and Physical Damage Reduction",防卫技能冷却时间回复和物理伤害减免
Adamant,金钟罩
Dismembering,肢解
"Fortify Effect and Melee Damage",护体效果和近战伤害
"Fortify Effect and Armour",护体效果和护甲
Steadfast,坚韧不拔
"Channelling Attack Speed and Stun Avoidance",吟唱攻击速度和眩晕回避率
"Unpredictable Offensive",攻其不备
"Impale Effect",穿刺效果
"Impale Chance",点燃几率
"Swift Skewering",快速穿刺
"Impale Mastery",穿刺专精
"Damage and Critical Strikes against Blinded Enemies",对目盲敌人的伤害和暴击率
"Blind Chance",致盲几率
"Dazzling Strikes",耀目打击
"Attack Blind Mastery",攻击致盲专精
"Movement Speed per Frenzy Charge",每个狂怒球的移动速度
"Evasion per Frenzy Charge",每个狂怒球的闪避值
"Attack Speed per Frenzy Charge",每个狂怒球的攻击速度
"Disciple of the Slaughter",冷血门徒
"Stun Duration per Endurance Charge",每个耐力球的眩晕持续时间
"Area of Effect per Endurance Charge",每个耐力球的效果区域
"Disciple of the Unyielding",不屈门徒
"Frenzy and Endurance Charge Mastery",狂怒和耐力球专精
"Projectile Attack Damage",投射攻击伤害
"Projectile Attack Damage and Speed",投射攻击伤害和速度
"Projectile Speed and Attack Damage",投射速度和攻击伤害
Longshot,远射
"Projectile Attack Mastery",投射物攻击专精
"Utmost Swiftness",终极之速
"Utmost Might",终极之力
"Axe Damage and Accuracy",斧类伤害和命中值
"Harvester of Foes",斩敌者
"Axe Damage and Critical Strike Chance",斧类伤害和暴击率
"Feller of Foes",破敌者
"Mace Damage and Accuracy",锤类伤害和命中值
"Mace Accuracy and Attack Speed",锤类命中值和攻击速度
"Bludgeon Blitz",闪电捶击
"Mace Damage and Critical Strike Multiplier",锤类伤害和暴击伤害加成
"Mace Damage and Critical Strike Chance",锤类伤害和暴击率
"Blacksmith's Clout",铁匠之捶
Spinecruncher,钻击者
"Sword Damage and Area of Effect",剑类伤害和范围效果
Bladedancer,剑舞者
"Two Handed Melee Damage and Stun Duration",双手武器近战伤害和眩晕持续时间
"Two Handed Melee Damage and Reduced Enemy Stun Threshold",双手武器近战伤害和敌人眩晕门槛降低
"Kinetic Impacts",动能冲击
"Shield Damage and Defences",盾牌伤害和防御
"Shield Damage and Block",盾牌伤害和格挡
"Aggressive Bastion",好战壁垒
"Staff Damage and Block",长杖伤害和格挡
"Staff Damage and Armour",长杖伤害和护甲
"Steelwood Stance",身坚如铁
"Cursed Concoction",被诅咒的灵药
"Mana and Spell Damage",魔力和法术伤害
"Prodigal Perfection",完美无缺
"Mana and Spell Block",魔力和法术格挡
"Mystic Bulwark",秘言守护
"Golem Life and Buff Effect",魔像生命和增益效果
"Golem Commander",魔像指挥官
"Mana Flasks and Flask Duration",魔力药剂和药剂持续时间
"Aqueous Accelerant",水溶
"Mine Damage and Area of Effect",地雷伤害和效果区域
"Blast Waves",冲击波纹
"Efficient Explosives",高效爆炸
"Dire Torment",恐怖折磨
"Critical Ailment Damage Over Time Multiplier",暴击异常持续伤害加成
"Spell Critical Strike Chance and Critical Ignite Damage Multiplier",法术暴击率和暴击点燃伤害加成
"Searing Heat",灼热
"Way of the Warrior",战士之道
"Hardened Scars",百战伤疤
"Cleansed Thoughts",净化的思想
"Aspect of Stone",岩石之势
"Deadly Inclinations",致命倾向
"Mystic Talents",秘言天赋
"Thunderous Salvos",雷鸣齐射
"Vengeant Cascade",复仇奔流
"Tribal Fury",部落之怒
Tenacity,顽强
Tranquility,宁静
Crusader,圣战
"Physical Attack Damage, Warcry Speed",物理攻击伤害、战吼速度
"Life Regeneration, Endurance Charge on Kill",生命回复速度、击败敌人获得耐力球
"Life Regeneration, Area of Effect",生命回复速度、效果区域
"Position Proxy",安置代理
"Small Jewel Socket",小型珠宝槽
"Medium Jewel Socket",中型珠宝槽
"Elemental Damage and Ailment Effect",元素伤害和异常效果
"Large Jewel Socket",大型珠宝槽
Persistence,锲而不舍
"Totem Attack and Cast Speed, Brand Cast Speed",图腾攻击和施法速度、烙印施法速度
"Basic Jewel Socket",基本珠宝槽
"Exerted Attack Damage",增助攻击伤害
"Warcry Cooldown Recovery",战吼冷却回复速度
"Warcry Speed and Exerted Attack Damage",战吼速度和增助攻击伤害
Escalation,升级
"Warcry Mastery",战吼专精
"Staff Elemental Damage and Penetration",长杖元素伤害和穿透
"Impale Effect with Two Handed Weapons",双手武器穿刺效果
"Impale Duration and Chance with Two Handed Weapons",双手武器穿刺持续时间和几率
Harpooner,鱼叉猎手
"Warcry Speed and Duration",战吼速度和持续时间
"Warcry Cooldown Recovery and Duration",战吼冷却回复速度和持续时间
"Warcry Speed and Area of Effect",战吼速度和效果区域
"Warcry Cooldown Recovery and Area of Effect",战吼冷却回复速度和效果区域
"Natural Authority",自然威仪
"Channelling Damage and Infusion Effect",吟唱伤害和灌注效果
"Strikes Mastery",打击专精
"Melee Damage and Strike Range",近战伤害和打击范围
"Melee Damage and Splash Area of Effect",近战伤害和溅射效果区域
"Staff Damage, Stun Duration and Block",长杖伤害、眩晕持续时间和格挡
"Staff Damage, Armour and Stun Threshold",长杖伤害、护甲和晕眩门槛
"Mace Critical Strike Multiplier",锤类暴击伤害加成
"Fire Damage and Area of Effect",火焰伤害和效果区域
"Fire Damage and Cast Speed",火焰伤害和施法速度
"Chance to Ignite and Ignite Speed",点燃几率和点燃速度
"Armour and Life",护甲和生命
"Deep Breaths",深呼吸
"Totem Attack and Cast Speed",图腾攻击和施法速度
"Totem Damage and Placement Speed",图腾伤害和放置速度
"Totem Life, Duration and Elemental Resistances",图腾生命、持续时间、元素抗性
"Totem Life, Duration and Physical Damage Reduction",图腾生命、持续时间、物理伤害减免
"Cold Damage and Cold Ailment Effect",冰霜伤害和冰霜异常状态效果
"Lightning Damage and Lightning Ailment Effect",闪电伤害和闪电异常状态效果
Bannerman,旗手
"Aura Duration",光环持续时间
"Chill and Freeze Resistance",冰缓和冻结抗性
"Ignite Resistance",点燃抗性
"Shock Resistance",感电抗性
"Anointed Flesh",祝圣之体
"Chaos Damage and Withered Expiry Rate",混沌伤害和死亡凋零衰退速率
"Chaos Damage Penetration",混沌伤害穿透
"Wand Elemental Damage and Penetration",法杖元素伤害和穿透
"Combat Control",战斗操控
"Mana and Guard Skill Duration",魔力和防卫技能持续时间
"Mana and Guard Skill Cooldown Recovery",魔力和防卫技能冷却回复速度
"Seal Generation Speed",封印生成速度
"Bleed Damage and Chance",流血伤害和几率
"Curse and Power Charge Mastery",诅咒和暴击球专精
"Faster Doom Gain",获得灭能更快
Admonisher,训诫
"Warcry Speed",战吼速度
"Warcry Speed and Cooldown Recovery",战吼速度和冷却回复速度
"Axe Damage and Accuracy, Impale Chance",斧类伤害和命中值、穿刺几率
"Mana Regeneration and Increased Mana Cost",魔力回复和提高魔力消耗
Forethought,未卜先知
"Mana Regeneration and Reduced Mana Cost",魔力回复和降低魔力消耗
"Mana Cost Mastery",魔力消耗专精
"Attack Speed and Rage ",攻击速度和狂怒
"Damage against Cursed Enemies",对被诅咒的敌人的伤害
"Reduced Mana Reservation of Curse Skills",诅咒技能的魔力保留降低
"Warcry Cooldown Recovery and Exerted Attack Damage",战吼冷却回复速度和增助攻击伤害
"Measured Fury",克制之怒
"Physical Damage and Reflect Damage Taken",物理伤害和伤害反射
"Risk Awareness",风险意识
"Totem Damage and Attack Speed",图腾伤害和攻击速度
Surveillance,洞若观火
Panopticon,统揽全局
"Totem Life and Physical Damage Reduction",图腾生命和物理伤害减免
"Fire Damage, Ignite Chance and Ignite Duration",火焰伤害、点燃几率、点燃持续时间
"Two Handed Melee Accuracy",双手武器近战命中值
"Mana and Aura Area of Effect",魔力和光环效果区域
"Brand Duration",烙印持续时间
"Brand Equity",公正烙印
"Brand Recall Cooldown Recovery",烙印召回冷却时间回复
"Guard Skill Cooldown Recovery and Duration",防卫技能冷却回复速度和持续时间
"Avoid Interruption while Casting, Strength and Dexterity",施法免打断、力量和敏捷
"Lightning Damage and Lightning Ailment Duration",闪电伤害和闪电异常状态持续时间
"Damage while you have a Herald",捷状态下的伤害
"Herald Buff Effect",捷增益效果
"Herald Mastery",捷专精
"Discord Artisan",不谐之艺
"Reduced Mana Reservation of Heralds",降低捷光环的魔力保留
"Duration Mastery",持续时间专精
"Reduced Skill Duration",降低技能持续时间
"Window of Opportunity",大好时机
"Cold Damage, Cold Ailment Duration",冰霜伤害、冰霜异常状态持续时间
"Cold Damage, Cold Damage Over Time Multiplier, Cold Ailment Effect",冰霜伤害、持续冰霜伤害加成、冰霜异常状态效果
"Gladiatoral Combat",角斗战术
"Wand Damage and Attack Speed",法杖伤害和攻击速度
"Stance Skill Cooldown Recovery",姿态技能冷却回复
"Area of Effect in Sand Stance and Damage in Blood Stance",沙姿态效果区域和血姿态伤害
"Versatile Stance",千姿百态
"Two Handed Melee Critical Strike Multiplier and Accuracy",双手武器近战暴击伤害加成和命中值
"Elemental Damage and Reflect Damage Taken",元素伤害和伤害反射
"Exposure Tolerance",曝露韧性
"Shield Block",盾牌格挡
"Shock Chance and Lightning Ailment Effect",感电几率和闪电异常状态效果
"Shock Chance, Lightning Ailment Effect and Duration",感电几率、闪电异常状态效果和持续时间
"Axe Attack Speed and Rage",斧类攻击速度和怒火
"Physical Bow Damage, Chance to Bleed and Faster Bleed",弓类物理伤害，出血和快速流血几率
"Sword Damage and Melee Range",剑类伤害和近战范围
"Damage if Consumed a Corpse",消耗灵柩伤害
"Corpse Life",灵柩生命
"Corpses Mastery",灵枢专精
Undertaker,送葬者
"Weapon Fire Damage and Ignite Chance",武器的火焰伤害和点燃几率
"Weapon Fire Damage, Ignite Duration and Ignite Chance",武器的火焰伤害、点燃持续时间和点燃几率
"Weapon Fire Damage and Burning Damage Multiplier",武器的火焰伤害和燃烧伤害加成
"Ignite Attacks Mastery",点燃攻击专精
"Burning Brutality",凶残烈焰
"Area Spells Mastery",范围法术专精
Intensity,凝聚
"Damage against Marked Enemy",对被标记敌人的伤害
"Marked for Death",死亡印记
"Lightning Damage and Cast Speed",闪电伤害和施法速度
"Chaos Damage Over Time Multiplier",持续混沌伤害加成
"Brand Damage and Cast Speed",烙印伤害和施法速度
"Brand Damage and Duration",烙印伤害和持续时间
"Brand Range and Brand Recall Cooldown Recovery",烙印范围和烙印召回冷却回复速度
"Life and Elemental Ailment Avoidance",生命和元素异常状态减免
"Chance to Poison and Poison Damage Multiplier",中毒几率和中毒伤害加成
"Chance to Poison with Spells",法术中毒几率
"Poison Damage and Cast Speed",毒性伤害和施法速度
"Poison Damage Multiplier with Spells",法术的中毒伤害加成
"Serpentine Spellslinger",蜿蜒节魔
"Bow Attack Speed and Accuracy",弓类攻击速度和命中值
"One Handed Damage",单手武器伤害
"Elemental Resistance with Shields and Shield Defences",持盾元素抗性和盾牌防御
"Critical Strike Chance against Marked Enemy",对咒印敌人的暴击率
"Marked Enemy Reduced Accuracy",降低咒印敌人的命中值
"Mark the Prey",标记猎物
"Mark Mastery",印记专精
"Adjacent Animosity",咫尺之恨
"Weapon Lightning Damage and Lightning Ailment Effect",武器闪电伤害和闪电异常状态效果
"Weapon Lightning Damage and Shock Chance",武器的闪电伤害和感电几率
"Shocking Strikes",雷震打击
"Bow Damage, Chance to Poison and Faster Poison",弓类伤害，至毒和快速中毒几率
"Evasion and Elusive Effect",闪避值和灵巧效果
"No Witnesses",遁入虚无
"Shield Cast Speed",盾牌施法速度
"Poison Chance",中毒几率
"Poison Damage and Chance",中毒伤害和几率
"Poison Damage",中毒伤害
"Claw Accuracy and Critical Strike Multiplier",爪类命中值和暴击伤害加成
"Cold Damage, Freeze Chance, Cold Ailment Effect",冰霜伤害、冻结几率、冰霜异常状态效果
"Cold Damage, Cold Ailment Effect and Duration",冰霜伤害、冰霜异常状态效果和持续时间
"Totem Critical Strike Chance and Multiplier",图腾暴击率和伤害加成
"Totem Attack and Placement Speed",图腾攻击和放置速度
Watchtowers,守望之塔
"Sword Damage and Block",剑类伤害和格挡
"Trick Shot",诡射
"Split Shot",分裂射击
"Projectile Damage and Forking Angle",投射物伤害和分叉角度
"Projectile Damage and Pierce",投射物伤害和穿透
"Damage for Chaining Hits and Chain Distance",连锁击中伤害和连锁距离
"Projectile Damage and Chance for Extra Fork Projectile",投射物伤害和额外投射物分叉几率
"Projectile Damage per Enemy Pierced",每个被穿透敌人的投射物伤害
"Prodigious Defence",恢宏壁垒
"Advance Guard",先遣卫士
"Gladiatorial Combat",角斗战法
"Strike Leader",领军之将
"Powerful Ward",威力结界
"Enduring Ward",持久结界
"Gladiator's Fortitude",勇毅斗士
"Precise Retaliation",睚眦必报
"Veteran Defender",防御老手
"Iron Breaker",钢铁斗士
"Deep Cuts",凌迟
"Master the Fundamentals",规律主宰
"Force Multiplier",力量倍增
"Furious Assault",狂风扫荡
"Vicious Skewering",恶毒穿刺
"Grim Oath",阴冷誓言
Battle-Hardened,坚守战场
"Replenishing Presence",重装上阵
"Master of Command",统御之主
"First Among Equals",鹤立鸡群
"Purposeful Harbinger",勇毅先驱
"Precise Commander",如臂使指
"Pure Commander",心无旁骛
"Stalwart Commander",沉着应战
"Vengeful Commander",血仇必报
Skullbreaker,碎颅斗士
"Pressure Points",直攻要害
"Overwhelming Malice",罪恶滔天
Magnifier,放大器
"Savage Response",凶蛮回荡
"Eye of the Storm",风暴之眼
"Basics of Pain",苦难根基
"Quick Getaway",逃之夭夭
"Assert Dominance",独断宣言
"Vast Power",无垠之力
"Powerful Assault",横扫千军
"Titanic Swings",翻天横扫
"Towering Threat",胁迫如山
"Ancestral Echo",先祖回音
"Ancestral Reach",先祖降临
"Ancestral Might",先祖之力
"Ancestral Preservation",先祖护佑
"Snaring Spirits",激荡狂灵
"Sleepless Sentries",不眠哨卫
"Ancestral Guidance",先祖指引
"Ancestral Inspiration",先祖教化
"Vital Focus",活力专注
"Rapid Infusion",猛烈灌注
"Unwavering Focus",不动专注
"Enduring Focus",持久专注
"Precise Focus",精确专注
"Stoic Focus",坚忍专注
"Hex Breaker",巫灵斗士
"Arcane Adept",奥术专家
"Distilled Perfection",完美无暇
"Spiked Concoction",钉刺调和
Fasting,斋戒
"Mender's Wellspring",弥补之源
"Special Reserve",特别预备
"Numbing Elixir",僵化灵药
"Mob Mentality",暴民思维
"Cry Wolf",恶狼哭号
"Haunting Shout",恶灵之嚎
"Lead By Example",按图索骥
Provocateur,内奸
"Warning Call",警戒之号
