Player modifiers:,玩家修正:
PvP Hit taken:,承受PVP击中伤害:
ES Bypass %:,能量护盾规避%:
Prevented Life Loss:,生命失去抵御比例:
Mind over Matter %:,心灵升华抵御比例:
Guard:,防卫技能:
Aegis:,圣盾技能:
Frost Shield:,冰霜护盾技能:
Hits before death:,敌人需击中次数:
"Effective ""Health"" Pool:",等效生命值:
Unmitigated %:,未减轻比例:
Mitigated hits:,减轻后可被击中:
Enemy miss chance:,敌人未击中几率:
Effective Hit Pool:,击中伤等效生命值:
Time before death:,存活时间:
Maximum Hit Taken:,最大击中伤承受值:
Dots and Degens:,持续伤与每秒扣血:
DoT taken:,承受持续伤害:
Total Pool:,总生命值:
Effective DoT Pool:,持续伤等效生命值:
Degens:,每秒扣血:
Total Degen:,总每秒扣血:
Total Net Regen:,净回复:
Net Life Regen:,生命净回复:
Net Mana Regen:,魔力净回复:
Net ES Regen:,能量护盾净回复:
Net Energy Shield Regen:,能量护盾净回复:
Petrified Blood Max.:,赤血凝结最大:
Petrified Blood Avg.:,赤血凝结平均:




"Skill Part:",技能部分:
"Skill Stages:",技能阶段:
Degen:,每秒扣血:
