"Golden Mantle",黄金战甲
Elevore,艾尔弗雷
"Annihilation's Approach",毁灭的逼近
"Entropic Devastation",熵能毁灭
Dawnstrider,黎明行者
"Sandstorm Visage",禁域面容
"Wilma's Requital",威尔玛的报偿
"Tanu Ahi",烈火送葬
Stormseeker,风暴觅者
"Kahuturoa's Certainty",卡胡图罗阿之确信
"Orbala's Stand",欧巴拉的坚守
"Utula's Hunger",尤图拉之贪噬
"The Fourth Vow",第四誓言
"Blood Price",血债
"El'Abin's Visage",伊兰雅本之容
"Akoya's Gaze",阿寇亚之凝视
"The Trickster's Smile",敲诈笑颜
Pragmatism,独断专行
"Replica Covenant",血誓【仿品】
Gamblesprint,博运步伐
"Replica Heatshiver",寒焰【仿品】
"Replica Hyrri's Ire",西里的战衣【仿品】
"The Celestial Brace",天界拥怀
"Ravenous Passion",吞灭之情
"The Hand of Phrecia",费西亚之手
"Veruso's Ambition",维鲁索的壮怀
"The Apostate",破弃信仰
"The Devourer of Minds",噬心饕餮
"The Tempest Rising",骤起狂岚
"Apprentice Gloves",手部外观:幻影佣兵
"Warlock Gloves",手部外观：邪异术士
"Warlock Boots",脚部外观：邪异术士
"Conquest Helmet",头部外观：远征
