"k","v"
"Adds {0} to {1} Cold Damage to Spells while holding a Shield","持盾時法術附加 {0} 至 {1} 冰冷傷害"
"Adds {0} to {1} Cold Damage to Spells while wielding a Two Handed Weapon","持雙手武器時法術附加 {0} 至 {1} 冰冷傷害"
"Adds {0} to {1} Fire Damage to Spells while Dual Wielding","雙持武器時法術附加 {0} 至 {1} 火焰傷害"
"Adds {0} to {1} Fire Damage to Spells while holding a Shield","持盾時法術附加 {0} 至 {1} 火焰傷害"
"Adds {0} to {1} Fire Damage to Spells while wielding a Two Handed Weapon","持雙手武器時法術附加 {0} 至 {1} 火焰傷害"
"Adds {0} to {1} Lightning Damage to Spells while Dual Wielding","雙持武器時法術附加 {0} 至 {1} 閃電傷害"
"Adds {0} to {1} Lightning Damage to Spells while holding a Shield","持盾時法術附加 {0} 至 {1} 閃電傷害"
"Adds {0} to {1} Lightning Damage to Spells while wielding a Two Handed Weapon","持雙手武器時法術附加 {0} 至 {1} 閃電傷害"
"Adds {0} to {1} Physical Damage to Spells while Dual Wielding","雙持武器時法術附加 {0} 至 {1} 物理傷害"
"Adds {0} to {1} Physical Damage to Spells while holding a Shield","持盾時法術附加 {0} 至 {1} 物理傷害"
"Adds {0} to {1} Physical Damage to Spells while wielding a Two Handed Weapon","持雙手武器時法術附加 {0} 至 {1} 物理傷害"
"{0}% increased Elemental Damage with Wands","使用法杖類武器時增加 {0}% 元素傷害"
"{0}% reduced Elemental Damage with Wands","使用法杖類武器時減少 {0}% 元素傷害"
"{0}% increased Elemental Damage with Staves","增加 {0}% 長杖元素傷害"
"{0}% reduced Elemental Damage with Staves","減少 {0}% 長杖元素傷害"
"{0}% increased Elemental Damage with Maces and Sceptres","鎚類和短杖類攻擊的元素傷害提高 {0}%"
"{0}% reduced Elemental Damage with Maces and Sceptres","鎚類和短杖類攻擊的元素傷害降低 {0}%"
"{0}% chance to gain an Endurance Charge when you Block","格擋時 {0}% 機率獲得耐力球"
"Gain an Endurance Charge when you Block","格擋時獲得耐力球"
"{0}% increased Endurance Charge Duration","增加 {0}% 耐力球持續時間"
"{0}% reduced Endurance Charge Duration","減少 {0}% 耐力球持續時間"
"Gain a Frenzy Charge when an Enemy Blocks your Damage","當你的攻擊被敵人格擋時獲得 1 個狂怒球"
"{0}% increased Frenzy Charge Duration","增加 {0}% 狂怒球持續時間"
"{0}% reduced Frenzy Charge Duration","減少 {0}% 狂怒球持續時間"
"{0}% chance to gain a Power Charge when you Block","格擋時有 {0}% 機率獲得暴擊球"
"Gain a Power Charge when you Block","格擋時獲得 1 個暴擊球"
"{0}% increased Area of Effect per Power Charge","每顆暴擊球增加 {0}% 範圍效果"
"{0}% chance to gain a Power Charge when your Trap is triggered by an Enemy","當你的陷阱被敵人觸發時有 {0}% 的機會獲得一個暴擊球"
"Gain a Power Charge when your Trap is triggered by an Enemy","當你的陷阱被敵人觸發時獲得一個暴擊球"
"{0}% chance to gain a Power Charge when your Mine is Detonated targeting an Enemy","當你的地雷對敵人爆炸時有 {0}% 的機會獲得 1 顆暴擊球"
"Gain a Power Charge when your Mine is Detonated targeting an Enemy","當你的地雷對敵人爆炸時獲得 1 顆暴擊球"
"{0}% increased Damage over Time per Frenzy Charge","每顆狂怒球增加 {0}% 持續傷害"
"{0}% increased Damage over Time per Power Charge","每顆暴擊球增加 {0}% 持續傷害"
"{0}% increased Damage over Time while Dual Wielding","雙持武器時增加 {0}% 持續傷害"
"{0}% increased Damage over Time while holding a Shield","持盾時增加 {0}% 持續傷害"
"{0}% increased Damage over Time while wielding a Two Handed Weapon","持雙手武器時增加 {0}% 持續傷害"
"{0}% increased Elemental Damage per Frenzy Charge","每個狂怒球增加 {0}% 元素傷害"
"{0}% increased Physical Damage per Endurance Charge","每個耐力球增加 {0}% 物理傷害"
"{0}% reduced Physical Damage per Endurance Charge","每個耐力球減少 {0}% 物理傷害"
"{0}% increased Spell Damage per Power Charge","每個暴擊球增加 {0}% 法術傷害"
"{0}% increased Wand Damage per Power Charge","每個暴擊球增加 {0}% 法杖傷害"
"{0}% increased Power Charge Duration","增加 {0}% 暴擊球持續時間"
"{0}% reduced Power Charge Duration","減少 {0}% 暴擊球持續時間"
"Gain a Power Charge when you Kill a Shocked Enemy","殺死感電的敵人獲得暴擊球"
"{0}% increased Effect of Buffs on you","增加 {0}% 你身上的增益效果"
"{0}% increased Effect of Auras on you","你身上的光環效果提高 {0}%"
"{0}% increased Effect of Auras on your Minions","召喚生物身上的光環效果提高 {0}%"
"{0}% increased Movement Speed on Shocked Ground","在感電地面上增加 {0}% 移動速度"
"{0}% increased Damage on Burning Ground","在燃燒地面上增加 {0}% 傷害"
"Regenerate {0}% of Life per second on Chilled Ground","在冰緩地面上每秒回復 {0}% 生命"
"{0}% increased Effect of Chilled Ground on you","增加 {0}% 冰緩地面對你的效果"
"{0}% reduced Effect of Chilled Ground on you","減少 {0}% 冰緩地面對你的效果"
"{0}% increased Effect of Burning Ground on you","增加 {0}% 燃燒地面對你的效果"
"{0}% reduced Effect of Burning Ground on you","減少 {0}% 燃燒地面對你的效果"
"{0}% increased Effect of Shocked Ground on you","增加 {0}% 感電地面對你的效果"
"{0}% reduced Effect of Shocked Ground on you","減少 {0}% 感電地面對你的效果"
"{0}% increased Effect of Desecrated Ground on you","增加 {0}% 腐蝕地面對你的效果"
"{0}% reduced Effect of Desecrated Ground on you","減少 {0}% 腐蝕地面對你的效果"
"Gain a Power Charge when an Enemy Interrupts you while you're Casting a Spell","當你被打斷施法時獲得暴擊球"
"Nearby Party members gain Endurance Charges whenever you do","你獲得耐力球則附近隊友獲得耐力球"
"Nearby Party members gain Frenzy Charges whenever you do","你獲得狂怒球則附近隊友獲得狂怒球"
"Nearby Party members gain Power Charges whenever you do","你獲得暴擊球則附近隊友獲得暴擊球"
"{0}% increased total Recovery per second from Life Leech","增加 {0}% 生命偷取的每秒總恢復"
"{0}% reduced total Recovery per second from Life Leech","減少 {0}% 生命偷取的每秒總恢復"
"{0}% increased total Recovery per second from Mana Leech","增加 {0}% 魔力偷取的每秒總恢復"
"{0}% reduced total Recovery per second from Mana Leech","減少 {0}% 魔力偷取的每秒總恢復"
"{0}% increased total Recovery per second from Energy Shield Leech","增加 {0}% 能量護盾偷取的每秒總恢復"
"{0}% reduced total Recovery per second from Energy Shield Leech","減少 {0}% 能量護盾偷取的每秒總恢復"
"{0} to maximum number of Raised Zombies","{0} 最大殭屍數量"
"{0} to maximum number of Spectres","{0} 最大幽魂數量"
"{0} to maximum number of Skeletons","{0} 最大骷髏數量"
"{0} to maximum number of Raging Spirits","{0} 最大憤怒狂靈數量"
"Curses you Cast never expire","你施放的詛咒不會因時間而消失"
"{0}% chance to Dodge Attack Hits","{0}% 機率躲避攻擊擊中"
"{0}% chance to Dodge Spell Hits","{0}% 機率躲避法術擊中"
"Removes all Armour","移除所有護甲"
"Removes all Energy Shield","移除所有能量護盾"
"Provides Immunity to Chaos Damage","免疫混沌傷害"
"You can apply an additional Curse","你可以造成 1 個額外詛咒"
"You can apply {0} additional Curses","你可以造成 {0} 個額外詛咒"
"An additional Curse can be applied to you","你可以受到 1 個額外的詛咒"
"{0} additional Curses can be applied to you","你可以受到 {0} 個額外的詛咒"
"{0}% increased Effect of Curses on you","增加在你身上的詛咒效果 {0}%"
"{0}% reduced Effect of Curses on you","減少在你身上的詛咒效果 {0}%"
"{0}% increased Duration of Curses on you","增加 {0}% 自身詛咒的持續時間"
"{0}% reduced Duration of Curses on you","減少 {0}% 自身詛咒的持續時間"
"Cannot be Stunned when on Low Life","貧血時免疫暈眩"
"Gain {0}% of Maximum Mana as Extra Maximum Energy Shield","獲得等同 {0}% 魔力的額外能量護盾"
"All Physical Damage Converted to Fire Damage","所有物理傷害轉換為火焰傷害"
"{0}% of Physical Damage Converted to Fire Damage against Ignited Enemies","對點燃的敵人所造成的 {0}% 物理傷害轉化成火焰傷害"
"Never deal Critical Strikes","不會暴擊"
"Removes all Mana","移除所有魔力"
"Ignore all Movement Penalties from Armour","無視穿著護甲所帶來的減少移動速度效果"
"{0}% increased Flask Charges gained","增加 {0}% 獲得藥劑充能"
"{0}% reduced Flask Charges gained","減少 {0}% 藥劑充能獲取"
"{0}% increased Flask Charges used","增加 {0}% 藥劑充能使用"
"{0}% reduced Flask Charges used","減少 {0}% 藥劑充能使用"
"{0}% increased Flask Charges used from Mana Flasks","增加魔力藥劑 {0}% 使用藥劑充能"
"{0}% reduced Flask Charges used from Mana Flasks","減少魔力藥劑 {0}% 使用藥劑充能"
"{0}% increased Flask Effect Duration","增加 {0}% 藥劑效果持續時間"
"{0}% reduced Flask Effect Duration","減少 {0}% 藥劑效果持續時間"
"{0}% increased Flask Life Recovery rate","增加 {0}% 藥劑生命回復率"
"{0}% reduced Flask Life Recovery rate","減少 {0}% 藥劑生命回復率"
"{0}% increased Flask Mana Recovery rate","增加 {0}% 藥劑魔力回復率"
"{0}% reduced Flask Mana Recovery rate","減少 {0}% 藥劑魔力回復率"
"Cannot Resist Cold Damage","不能抵抗冰冷傷害"
"All bonuses from an Equipped Shield apply to your Minions instead of you","所有盾牌上的屬性套用到你的召喚物身上而非角色本身"
"{0}% more maximum Energy Shield","{0}% 更多最大能量護盾"
"{0}% less maximum Energy Shield","{0}% 較少最大能量護盾"
"{0}% more Spell Damage","{0}% 更多法術傷害"
"{0}% less Spell Damage","{0}% 較少法術傷害"
"{0}% increased effect of Elemental Equilibrium","減少 {0}% 元素之相的效果"
"Enemies you Attack Reflect {0} Physical Damage to you","你攻擊的敵人對你反射 {0} 物理傷害"
"Enemies you Attack Reflect {0} to {1} Physical Damage to you","你攻擊的敵人對你反射 {0} 至 {1} 物理傷害"
"Reflects {0} to {1} Physical Damage to Melee Attackers","反射 {0} 至 {1} 物理傷害給近戰攻擊者"
"Reflects {0} to {1} Fire Damage to Melee Attackers","反射 {0} 至 {1} 火焰傷害給近戰攻擊者"
"Reflects {0} to {1} Cold Damage to Melee Attackers","反射 {0} 至 {1} 冰冷傷害給近戰攻擊者"
"Reflects {0} to {1} Lightning Damage to Melee Attackers","反射 {0} 至 {1} 閃電傷害給近戰攻擊者"
"Reflects {0} to {1} Chaos Damage to Melee Attackers","反射 {0} 至 {1} 混沌傷害給近戰攻擊者"
"Reflects {0} Physical Damage to Melee Attackers","反射 {0} 物理傷害給近戰攻擊者"
"Reflects {0} Cold Damage to Melee Attackers","反射 {0} 冰冷傷害給近戰攻擊者"
"Reflects {0} Fire Damage to Melee Attackers","反射 {0} 火焰傷害給近戰攻擊者"
"Reflects {0} Lightning Damage to Melee Attackers","反射 {0} 閃電傷害給近戰攻擊者"
"Reflects {0} Chaos Damage to Melee Attackers","反射 {0} 混沌傷害給近戰攻擊者"
"Reflects {0} Physical Damage when Hit","被擊中時反射 {0} 物理傷害"
"Reflects {0} Fire Damage when Hit","被擊中時反射 {0} 火焰傷害"
"Reflects {0} Cold Damage when Hit","被擊中時反射 {0} 冰冷傷害"
"Reflects {0} Lightning Damage when Hit","被擊中時反射 {0} 閃電傷害"
"Reflects {0} Chaos Damage when Hit","被擊中時反射 {0} 混沌傷害"
"{0} Physical Damage taken from Attack Hits","攻擊擊中 {0} 承受物理傷害"
"{0} Fire Damage taken from Attack Hits","攻擊擊中承受 {0} 火燄傷害"
"{0} Cold Damage taken from Attack Hits","攻擊擊中承受 {0} 冰霜傷害"
"{0} Lightning Damage taken from Attack Hits","攻擊擊中承受 {0} 閃電傷害"
"{0} Chaos Damage taken from Attack Hits","攻擊擊中承受 {0} 混沌傷害"
"Projectiles deal {0}% more Damage","更多 {0}% 投射物傷害"
"Projectiles deal {0}% less Damage","較少 {0}% 投射物傷害"
"Damage Over Time caused by Projectiles deals {0}% more Damage","投射物造成持續傷害有 {0}% 更多傷害"
"Damage Over Time caused by Projectiles deals {0}% less Damage","投射物造成持續傷害有 {0}% 更少傷害"
"{0}% additional chance to Dodge Attack Hits","{0}% 額外機率躲避攻擊擊中"
"{0}% additional chance to Dodge Spell Hits","{0}% 額外機率躲避法術擊中"
"Your Skills deal you {0}% of Mana Spent on Skill Mana Costs as Physical Damage","你的技能對你造成物理傷害等同於 {0}% 你所使用技能的魔力消耗"
"Curse Skills have {0}% increased Cast Speed","詛咒技能增加 {0}% 施放速度"
"Curse Skills have {0}% reduced Cast Speed","詛咒技能減少 {0}% 施放速度"
"Elemental Ailments you cause also affect other nearby Enemies","你造成元素異常狀態時也會影響敵人附近"
"Ignites you inflict spread to other Enemies within a Radius of {0}","你造成的點燃擴散至距離 {0} 內的其他敵人"
"Shocks you inflict spread to other Enemies within a Radius of {0}","感電你擴散至 {0} 範圍內的敵人"
"{0}% increased Area of Effect of Aura Skills","增加光環技能 {0}% 範圍效果"
"{0}% reduced Area of Effect of Aura Skills","減少光環技能 {0}% 範圍效果"
"{0}% increased Area of Effect of Curse Skills","詛咒範圍擴大 {0}%"
"{0}% reduced Area of Effect of Curse Skills","詛咒範圍縮小 {0}%"
"{0}% increased Mana Reserved","增加 {0}% 魔力保留"
"{0}% reduced Mana Reserved","減少 {0}% 魔力保留"
"{0} Physical Damage taken from Hits","擊中 {0} 承受物理傷害"
"{0} Physical Damage taken from Hits per Level","每等級擊中 {0} 承受物理傷害"
"{0} Fire Damage taken from Hits","被擊中時承受 {0} 火焰傷害"
"{0}% increased Damage taken","增加 {0}% 承受傷害"
"{0}% reduced Damage taken","減少 {0}% 承受傷害"
"{0}% increased Area Damage taken from Hits","增加承受 {0}% 擊中範圍傷害"
"{0}% reduced Area Damage taken from Hits","減少承受 {0}% 擊中範圍傷害"
"{0}% increased Damage taken from Hits","被擊中時增加 {0}% 承受傷害"
"{0}% reduced Damage taken from Hits","被擊中時減少 {0}% 承受傷害"
"{0}% increased Physical Damage taken","增加 {0}% 承受的物理傷害"
"{0}% reduced Physical Damage taken","減少 {0}% 承受的物理傷害"
"{0}% increased Fire Damage taken","增加 {0}% 承受的火焰傷害"
"{0}% reduced Fire Damage taken","減少 {0}% 承受的火焰傷害"
"{0}% increased Chaos Damage taken","增加 {0}% 承受的混沌傷害"
"{0}% reduced Chaos Damage taken","減少 {0}% 承受的混沌傷害"
"{0}% increased Damage taken while on Full Energy Shield","能量護盾全滿時增加 {0}% 受到的傷害"
"{0}% reduced Damage taken while on Full Energy Shield","能量護盾全滿時減少 {0}% 受到的傷害"
"{0}% increased Damage taken from Damage Over Time","增加 {0}% 所承受的持續性傷害"
"{0}% reduced Damage taken from Damage Over Time","減少 {0}% 所承受的持續性傷害"
"{0} Physical Damage taken from Projectile Attacks","{0} 承受的投射物攻擊的物理傷害"
"{0}% increased Damage taken from Skeletons","遭受骷髏的傷害增加 {0}%"
"{0}% reduced Damage taken from Skeletons","遭受骷髏的傷害減少 {0}%"
"{0}% increased Damage taken from Ghosts","遭受鬼魂的傷害增加 {0}%"
"{0}% reduced Damage taken from Ghosts","遭受鬼魂的傷害減少 {0}%"
"You can't deal Damage with your Skills yourself","你的技能無法造成傷害"
"{0} to maximum number of Summoned Totems","{0} 召喚圖騰的最大數量"
"Can have up to {0} Trap placed at a time","同時間最多能放置 {0} 個陷阱"
"Can have up to {0} Traps placed at a time","同時間最多能放置 {0} 個陷阱"
"Can have up to {0} Remote Mine placed at a time","最多可同時擁有 {0} 個遙控地雷"
"Can have up to {0} Remote Mines placed at a time","同時間最多能擁有 {0} 個遙控地雷"
"Can have up to {0} additional Trap placed at a time","同時至多可以放置 {0} 個額外陷阱"
"Can have up to {0} additional Traps placed at a time","同時至多可以放置 {0} 個額外陷阱"
"Can have up to {0} additional Remote Mine placed at a time","同時最多可以有 {0} 個額外已放置的遙控地雷"
"Can have up to {0} additional Remote Mines placed at a time","同時最多可以有 {0} 個額外已放置的遙控地雷"
"Cannot Block Attacks","無法格擋攻擊"
"{0}% additional Physical Damage Reduction when on Low Life","貧血時得到 {0}% 額外物理傷害減傷"
"Share Endurance Charges with nearby party members","與附近的隊友分享耐力球"
"Share Frenzy Charges with nearby party members","與附近的隊友分享狂怒球"
"Share Power Charges with nearby party members","與附近的隊友分享暴擊球"
"{0}% chance to Blind Enemies on hit","擊中時 {0}% 機率致盲敵人"
"Grants Fortify on Melee hit","近戰擊中時導致護體"
"{0}% chance to Fortify on Melee hit","近戰擊中時有 {0}% 機率導致護體"
"{0}% increased Fortify duration","增加 {0}% 護體持續時間"
"{0}% reduced Fortify duration","減少 {0}% 護體持續時間"
"{0}% increased Fortify Effect","增加 {0}% 護體效果"
"{0}% reduced Fortify Effect","減少 {0}% 護體效果"
"{0}% increased Melee Physical Damage while you have Fortify","獲得護體時增加 {0}% 近戰物理傷害"
"{0}% reduced Melee Physical Damage while you have Fortify","獲得護體時減少 {0}% 近戰物理傷害"
"You have no Life Regeneration","無法回復生命"
"You have no Mana Regeneration","無法回復魔力"
"{0}% additional Physical Damage Reduction","{0}% 額外物理傷害減傷"
"Minions have {0}% additional Physical Damage Reduction","召喚物有 {0}% 額外物理傷害減免"
"{0}% additional Physical Damage Reduction per Endurance Charge","每顆耐力球有 {0}% 額外物理傷害減免"
"Area is {0}% larger","地圖大小增加 {0}%"
"Area is a Maze","迷宮地圖"
"Area contains unbridged gaps to cross","地圖裡有未橋接的裂縫"
"Area has increased monster variety","地圖裡的怪物種類被增加了"
"Area has patches of burning ground","區域內有燃燒地面"
"Area has patches of chilled ground","區域內有冰緩地面"
"Area has patches of shocking ground","區域內有感電地面"
"Area has patches of tar","地圖裡有焦油地面"
"Area has patches of desecrated ground","地圖裡有汙染地面"
"Areas Have the Same Layout for all Players","所有玩家都有相同的地圖布局"
"Minimap is Revealed","迷你地圖全開"
"Life, Mana, Energy Shield and Flasks are not refilled in Towns","回城鎮裡不會補充生命、魔力、能量護盾和藥劑"
"Area contains many Totems","地圖裡有許多圖騰"
"Area has Damaging Totems","地圖裡有攻擊性圖騰"
"Area is inhabited by Skeletons","地圖裡有許多骷髏"
"Area is inhabited by Bandits","地圖裡有許多強盜"
"Area is inhabited by Goatmen","地圖裡有許多羊男"
"Area is inhabited by Animals","地圖裡有許多動物"
"Area is inhabited by Demons","地圖裡有許多惡魔"
"Area is inhabited by Humanoids","地圖裡有許多人型生物"
"Area is inhabited by Sea Witches and their Spawn","地圖裡有許多海巫和它的召喚物"
"Area is inhabited by Undead","地圖裡有許多不死生物"
"Area is inhabited by ranged monsters","地圖裡有許多遠程怪物"
"Area is inhabited by wild Animals","此區域被野生的動物所佔據"
"Unique Boss drops an additional Map","傳奇頭目掉落 1 個額外地圖"
"Unique Boss drops {0} additional Maps","傳奇頭目掉落 {0} 個額外地圖"
"Area is inhabited by {0} additional Rogue Exile","地圖裡有額外 {0} 個盜賊流亡者"
"Area is inhabited by {0} additional Rogue Exiles","地圖裡有額外 {0} 個盜賊流亡者"
"Area is inhabited by {0} additional Warband","地圖裡有額外 {0} 個軍團"
"Area is inhabited by {0} additional Warbands","地圖裡有額外 {0} 個軍團"
"Area contains an extra Shrine","地圖裡有 1 個額外的神殿"
"Area contains {0} extra Shrines","地圖裡有 {0} 個額外的神殿"
"Shrines are corrupted by Darkness","神殿被黑影所污染"
"Area can contain Mysterious Harbingers","區域內含神秘的神諭"
"Ancient Talismans possess monsters throughout Wraeclast","被魔符附身的怪物散佈在瓦爾克拉斯大陸"
"Caches of Perandus wealth can be found throughout Wraeclast","瓦爾克拉斯充斥著藏有普蘭德斯財寶的保險箱"
"Area contains {0} additional Monster possessed by an Ancient Talisman","此區域有 {0} 個額外被魔符附身的怪物"
"Area contains {0} additional Monsters possessed by Ancient Talismans","該區域會出現 {0} 個被遠古魔符附身的怪物"
"Area contains a Stone Circle","此區域有一個石陣"
"Area is haunted by {0} additional Tormented Spirit","區域有額外 {0} 罪魂進行狩獵"
"Area is haunted by {0} additional Tormented Spirits","區域有額外 {0} 罪魂進行狩獵"
"Area contains an extra Strongbox","地圖裡有 1 個額外的保險箱"
"Area contains {0} extra Strongboxes","地圖裡有 {0} 個額外的保險箱"
"{0}% more Magic Monsters","魔法怪物多 {0}%"
"{0}% more Rare Monsters","稀有怪物多 {0}%"
"Monsters Fracture","怪物分裂"
"Players take {0} Chaos Damage per second","玩家每秒承受 {0} 混沌傷害"
"Players have Blood Magic","玩家有血魔法"
"Players have Elemental Equilibrium","玩家有元素之相"
"Players have Chaos Inoculation","玩家有異靈之體"
"Players are Cursed with Vulnerability","玩家被脆弱詛咒"
"Players are Cursed with Warlord's Mark","玩家受到 督軍印記 詛咒"
"Players are Cursed with Enfeeble","玩家被衰弱詛咒"
"Players are Cursed with Temporal Chains","玩家被時空鎖鏈詛咒"
"Players are Cursed with Elemental Weakness","玩家被元素要害詛咒"
"Players are Cursed with Punishment","玩家被懲戒詛咒"
"Players have no Life or Mana Regeneration","玩家不會回復生命或魔力"
"{0}% maximum Player Resistances","玩家 {0}% 最大抗性"
"Players have {0}% more Recovery of Life, Mana and Energy Shield","玩家有 {0}% 更多生命回復、魔力回復，和能量護盾回復"
"Players have {0}% less Recovery of Life, Mana and Energy Shield","玩家有 {0}% 較少生命回復、魔力回復，和能量護盾回復"
"Players deal {0}% more Projectile Damage","玩家造成 {0}% 更多投射物傷害"
"Players deal {0}% less Projectile Damage","玩家造成 {0}% 較少投射物傷害"
"Players convert all Physical Damage to Fire","玩家所有物理傷害轉換成火焰傷害"
"Projectiles move at {0}% increased Speed","投射物增加 {0}% 速度"
"Projectiles move at {0}% reduced Speed","投射物減少 {0}% 速度"
"{0}% more Monster Life","{0}% 更多怪物生命"
"Monsters have {0}% increased Area of Effect","增加怪物 {0}% 範圍效果"
"Monsters have {0}% reduced Area of Effect","減少怪物 {0}% 範圍效果"
"Monsters have {0}% chance to Avoid being Chilled or Frozen","怪物有 {0}% 機率避免被冰緩或冰凍"
"Monsters cannot be Chilled or Frozen","怪物無法被冰緩或冰凍"
"Monsters have {0}% chance to Avoid being Ignited","怪物有 {0}% 機率避免被點燃"
"Monsters cannot be Ignited","怪物無法被點燃"
"Monsters have {0}% chance to Avoid being Shocked","怪物有 {0}% 機率避免被感電"
"Monsters cannot be Shocked","怪物無法被感電"
"Monsters have {0}% chance to Avoid Ailments","怪物有 {0}% 機率避免異常狀態"
"Monsters cannot be affected by Ailments","怪物不會被造成異常狀態"
"Monsters have {0}% chance to Avoid Elemental Ailments","怪物有 {0}% 機率避免元素異常狀態"
"Monsters cannot be affected by Elemental Ailments","怪物避免元素異常狀態"
"Monsters have {0}% increased Critical Strike Chance","怪物增加 {0}% 暴擊率"
"Monsters have {0}% reduced Critical Strike Chance","怪物減少 {0}% 暴擊率"
"{0}% to Monster Critical Strike Multiplier","{0}% 怪物暴擊加成"
"{0}% Monster Life Leech Resistance","怪物 {0}% 生命偷取抗性"
"Cannot Leech Life from Monsters","無法偷取怪物生命"
"{0}% Monster Mana Leech Resistance","怪物 {0}% 魔力偷取抗性"
"Cannot Leech Mana from Monsters","無法偷取怪物魔力"
"{0}% increased Monster Damage","增加 {0}% 怪物傷害"
"Monsters have Onslaught","地圖中怪物帶有猛攻"
"{0}% increased Monster Movement Speed","增加 {0}% 怪物移動速度"
"{0}% reduced Monster Movement Speed","減少 {0}% 怪物移動速度"
"{0}% increased Monster Attack Speed","增加 {0}% 怪物攻擊速度"
"{0}% increased Monster Cast Speed","增加 {0}% 怪物施放速度"
"Monsters reflect {0}% of Physical Damage","怪物反射 {0}% 物理傷害"
"Monsters reflect {0}% of Elemental Damage","怪物反射 {0}% 元素傷害"
"Monsters fire {0} additional Projectiles","怪物發射 {0} 額外投射物"
"Players fire {0} additional Projectiles","玩家發射 {0} 額外投射物"
"Players and Monsters fire {0} additional Projectiles","玩家與怪物發射 {0} 額外投射物"
"{0}% Monster Fire Resistance","{0}% 怪物火焰抗性"
"{0}% Monster Cold Resistance","{0}% 怪物冰冷抗性"
"{0}% Monster Lightning Resistance","{0}% 怪物閃電抗性"
"{0}% Monster Physical Damage Reduction","增加 {0}% 怪物的物理減傷"
"Monsters cannot be Stunned","怪物不會被暈眩"
"Monsters Poison on Hit","被怪物擊中時中毒"
"{0}% of Monster Damage is Converted to Fire","怪物 {0}% 的傷害轉換為火焰屬性"
"{0}% of Monster Damage is Converted to Cold","怪物 {0}% 的傷害轉換為冰冷屬性"
"{0}% of Monster Damage is Converted to Lightning","怪物 {0}% 的傷害轉換為閃電屬性"
"Monsters deal {0}% extra Damage as Fire","怪物造成 {0}% 額外火燄傷害"
"Monsters deal {0}% extra Damage as Cold","怪物造成 {0}% 額外冰霜傷害"
"Monsters deal {0}% extra Damage as Lightning","怪物造成 {0}% 額外閃電傷害"
"Monsters deal extra Chaos Damage","怪物造成額外混沌傷害"
"Monsters gain {0} Frenzy Charge every {1} seconds","怪物每{1}秒獲得 {0} 個狂怒球"
"Monsters gain {0} Frenzy Charges every {1} seconds","怪物每{1}秒獲得 {0} 個狂怒球"
"Monsters gain {0} Endurance Charge every {1} seconds","怪物每{1}秒獲得 {0} 個耐力球"
"Monsters gain {0} Endurance Charges every {1} seconds","怪物每{1}秒獲得 {0} 個耐力球"
"Monsters gain {0} Power Charge every {1} seconds","怪物每{1}秒獲得 {0} 個暴擊球"
"Monsters gain {0} Power Charges every {1} seconds","怪物每{1}秒獲得 {0} 個暴擊球"
"Monsters are Immune to randomly chosen Elemental Ailments or Stun","怪物免疫元素異常狀態和暈眩"
"Monsters' Melee Attacks apply random Curses on Hit","怪物的近戰攻擊附加隨機詛咒"
"Monsters reflect Curses","怪物會反射詛咒"
"Monsters' skills Chain {0} additional times","怪物的技能附加 {0} 次連鎖"
"Monsters convert all Physical Damage to Fire","怪物所有物理傷害轉換成火焰傷害"
"Monsters drop Burning Ground on death","怪物死亡造成燃燒地面"
"Monsters are Immune to Curses","怪物免疫詛咒"
"Monsters are Hexproof","怪物無法受到詛咒"
"Curses have {0}% increased effect on Monsters","對怪物施放的詛咒效果增加 {0}%"
"Curses have {0}% reduced effect on Monsters","對怪物施放的詛咒效果減少 {0}%"
"Monsters drop no items","怪物不會掉落物品"
"Area contains two Unique Bosses","地圖裡有兩個傳奇頭目"
"Unique Boss deals {0}% increased Damage","傳奇頭目增加 {0}% 傷害"
"Unique Boss has {0}% increased Attack and Cast Speed","傳奇頭目增加 {0}% 攻擊速度及施放速度"
"Unique Boss has {0}% increased Life","傳奇頭目增加 {0}% 生命"
"Unique Boss has {0}% reduced Life","傳奇頭目減少 {0}% 生命"
"Unique Boss has {0}% increased Area of Effect","傳奇頭目增加 {0}% 範圍技能"
"Unique Boss has {0}% reduced Area of Effect","傳奇頭目減少 {0}% 範圍技能"
"Chests have {0}% increased Item Quantity","箱子增加 {0}% 物品數量"
"Chests have {0}% reduced Item Quantity","箱子減少 {0}% 物品數量"
"Chests have {0}% increased Item Rarity","箱子增加 {0}% 物品稀有度"
"Chests have {0}% reduced Item Rarity","箱子減少 {0}% 物品稀有度"
"Area has {0} waves of monsters","地圖裡有 {0} 波怪物"
"Area has {0} seconds between monster waves","地圖裡每隔 {0} 秒有一波怪物"
"Area contains no monsters","地圖裡沒有怪物"
"{0}% more Physical Damage with Unarmed Attacks","空手攻擊時有 {0}% 更多物理傷害"
"{0}% less Physical Damage with Unarmed Attacks","空手攻擊時有 {0}% 更少物理傷害"
"Adds {0} to {1} Lightning Damage to Unarmed Attacks","空手攻擊附加 {0} 至 {1} 閃電傷害"
"Adds {0} to {1} Lightning Damage to Spells while Unarmed","空手時法術附加 {0} 至 {1} 閃電傷害"
"Reserves {0}% of Life","保留 {0}% 生命"
"Enemies Cannot Leech Life From you","敵人無法偷取你的生命"
"Enemies Cannot Leech Mana From you","敵人無法偷取你的魔力"
"{0}% More Damage with Arrow Hits at Close Range","近距離使用弓擊中時造成 {0}% 更多傷害"
"Bow Knockback at Close Range","近距離時弓擊退敵人"
