"Iron Gauntlets","철제 건틀릿"
"Tinker Gloves","땜장이 장갑"
"Apprentice Gloves","수습생 장갑"
"Trapsetter Gloves","덫꾼 장갑"
"Sage Gloves","현자 장갑"
"Warlock Gloves","마법사 장갑"
"Chimerascale Gauntlets","키메라비늘 건틀릿"
"Wyvernscale Gauntlets","비룡비늘 건틀릿"
"Martyr Gloves","순교자 장갑"
"Paladin Gloves","성기사 장갑"
"Infiltrator Mitts","잠입자 미트"
"Phantom Mitts","혼령 미트"
"Precursor Greaves","선도자 각반"
"Leviathan Greaves","레비아탄 각반"
"Harpyskin Boots","하피가죽 장화"
"Velour Boots","벨루어 장화"
"Sage Slippers","현자 슬리퍼"
"Warlock Boots","마법사 장화"
"Chimerascale Boots","키메라비늘 장화"
"Wyvernscale Boots","비룡비늘 장화"
"Martyr Boots","순교자 장화"
"Paladin Boots","성기사 장화"
"Infiltrator Boots","잠입자 장화"
"Phantom Boots","혼령 장화"
"Titan Plate","거신 판금 갑옷"
"Legion Plate","군단 판금 갑옷"
"Royal Plate","왕실 판금 갑옷"
"Supreme Leather","최고급 가죽 갑옷"
"Astral Leather","우주의 가죽 갑옷"
"Syndicate's Garb","연합의 의복"
"Arcane Vestment","비전의 법의"
"Nightweave Robe","밤의 직물 로브"
"Twilight Regalia","황혼의 예복"
"Full Wyvernscale","전체 비룡비늘 갑옷"
"Marshall's Brigandine","원수의 브리간딘"
"Conquest Lamellar","정복 라멜라"
"Grand Ringmail","우수한 고리 갑옷"
"Paladin's Hauberk","성기사의 호버크"
"Sacred Chainmail","성스러운 사슬 갑옷"
"Sanguine Raiment","핏빛 의상"
"Torturer Garb","고문자의 의복"
"Necrotic Armour","괴사의 방어구"
"General's Helmet","장군의 투구"
"Conqueror's Helmet","정복자의 투구"
"Giantslayer Helmet","거인 처형자 투구"
"Dire Pelt","지독한 가죽모"
"Grizzly Pelt","반백의 가죽모"
"Majestic Pelt","압도적인 가죽모"
"Moonlit Circlet","달빛 관"
"Sunfire Circlet","태양불 관"
"Lich's Circlet","리치의 관"
"Knight Helm","기사 투구"
"Conquest Helmet","정복 투구"
"Haunted Bascinet","으스스한 배서닛"
"Faithful Helmet","충실한 투구"
"Paladin Crown","성기사 왕관"
"Divine Crown","신성한 왕관"
"Jester Mask","어릿광대 가면"
"Ancient Mask","고대 가면"
"Torturer's Mask","고문자의 가면"
"The Trickster's Smile","협잡꾼의 미소"
Pragmatism,실용주의
"Replica Covenant","계약 모조품"
Gamblesprint,도박질주
"Replica Heatshiver","열기와 오한 모조품"
"Replica Hyrri's Ire","하이리의 노여움 모조품"
"The Celestial Brace","천공의 죔쇠"
"Ravenous Passion","굶주린 열정"
"The Hand of Phrecia","프레시아의 손"
"Veruso's Ambition","베루소의 야심"
"The Apostate",배교자
"The Devourer of Minds","정신 포식자"
"The Tempest Rising","몰려오는 폭풍"
"Admiral's Arrogance","제독의 오만"
"Kaom's Command","카옴의 명령"
