"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"= {0} (final cooldown of Vaal Rain of Arrows)","^7= {0} ^8(바알 화살비의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Reap)","^7= {0} ^8(바알 낫질의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Reave)","^7= {0} ^8(바알 약탈의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Rejuvenation Totem)","^7= {0} ^8(바알 회복 토템의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Righteous Fire)","^7= {0} ^8(바알 정의의 화염의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Smite)","^7= {0} ^8(바알 징벌의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Spark)","^7= {0} ^8(바알 전기불꽃의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Spectral Throw)","^7= {0} ^8(바알 환영 무기 투척의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Split Arrow)","^7= {0} ^8(바알 분할 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Storm Call)","^7= {0} ^8(바알 폭풍 부름의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Summon Skeletons)","^7= {0} ^8(바알 해골 소환의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Venom Gyre)","^7= {0} ^8(바알 독액 선회의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vaal Volcanic Fissure)","^7= {0} ^8(바알 화산 균열의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vampiric Link)","^7= {0} ^8(흡혈의 연결의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vengeance)","^7= {0} ^8(복수의 최종 재사용 대기시간)"
"= {0} (final cooldown of Venom Gyre)","^7= {0} ^8(독액 선회의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vigilant Strike)","^7= {0} ^8(경계 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Viper Strike)","^7= {0} ^8(맹독 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vitality)","^7= {0} ^8(활력의 최종 재사용 대기시간)"
"= {0} (final cooldown of Void Sphere)","^7= {0} ^8(공허 구체의 최종 재사용 대기시간)"
"= {0} (final cooldown of Volatile Dead)","^7= {0} ^8(시체 불덩이의 최종 재사용 대기시간)"
"= {0} (final cooldown of Volcanic Fissure)","^7= {0} ^8(화산 균열의 최종 재사용 대기시간)"
"= {0} (final cooldown of Voltaxic Burst)","^7= {0} ^8(전도성 격발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vortex)","^7= {0} ^8(소용돌이의 최종 재사용 대기시간)"
"= {0} (final cooldown of Vulnerability)","^7= {0} ^8(취약성의 최종 재사용 대기시간)"
"= {0} (final cooldown of War Banner)","^7= {0} ^8(전쟁 깃발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Warlord's Mark)","^7= {0} ^8(전쟁군주의 징표의 최종 재사용 대기시간)"
"= {0} (final cooldown of Wave of Conviction)","^7= {0} ^8(신념의 파도의 최종 재사용 대기시간)"
"= {0} (final cooldown of Whirling Blades)","^7= {0} ^8(칼날 선회의 최종 재사용 대기시간)"
"= {0} (final cooldown of Wild Strike)","^7= {0} ^8(사나운 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Winter Orb)","^7= {0} ^8(겨울 보주의 최종 재사용 대기시간)"
"= {0} (final cooldown of Wintertide Brand)","^7= {0} ^8(겨울의 낙인의 최종 재사용 대기시간)"
"= {0} (final cooldown of Wither)","^7= {0} ^8(위축의 최종 재사용 대기시간)"
"= {0} (final cooldown of Withering Step)","^7= {0} ^8(고사시키는 걸음의 최종 재사용 대기시간)"
"= {0} (final cooldown of Wrath)","^7= {0} ^8(진노의 최종 재사용 대기시간)"
"= {0} (final cooldown of Zealotry)","^7= {0} ^8(열광의 최종 재사용 대기시간)"
"= {0} (final cooldown of trigger)","^7= {0} ^8(발동의 최종 재사용 대기시간)"
"= {0} (impale damage multiplier)","^7= {0} ^8(꿰뚫기 피해 배율)"
"= {0} (note that for effects that care about duration this is ignored)","^7= {0} ^8(지속시간을 참조하는 효과가 있는 경우 이는 무시됩니다)"
"= {0} (total average number of hits you can take)","^7= {0} ^8(맞을 수 있는 총 평균 적중 수)"
"= {0} (total burst damage)","^7= {0} ^8(총 폭발 피해)"
"= {0} (total damage recoup amount)","^7= {0} ^8(총 피해 회복량)"
"= {0} (total damage you can take)","= ^7{0} ^8(버틸 수 있는 피해의 총량)"
"= {0} attacks per second","^7= {0} ^8초당 공격"
"= {0} casts per second","^8= ^7{0}^8 초당 시전"
"= {0} damage per poison stack","^7= {0} ^8독 중첩당 피해"
"= {0} maximum survivable enemy damage","^7= {0} ^8생존 가능한 적의 최대 피해"
"= {0} per second ","^7= 초당 {0}"
"= {0} per second","^7= 초당 {0}"
"= {0} seconds (total time it would take to die)","^7{0} 초 ^8(죽는데 까지 걸리는 총 시간)"
"= {0} seconds per attack","^8= ^7{0} ^8초당 공격"
"= {0} seconds per throw","= ^7{0} ^8초당 투척"
"= {0} to {1}","^7= {0}^8 ~ ^7{1}"
"= {0} trauma per second","^7= {0} ^8초당 외상"
"= {0} trauma","^7= {0} ^8외상"
"= {0}% (chance to be hit by a Melee hit)","= ^7{0}% ^8(근접 공격에 맞을 확률)"
"= {0}% (chance to be hit by a melee attack)","^7= {0}% ^8(근접 공격에 맞을 확률)"
"= {0}% (chance to be hit by a projectile attack)","^7= {0}% ^8(투사체 공격에 맞을 확률)"
"= {0}% (chance to be hit by a projectile spell)","^7= {0}% ^8(투사체 주문에 맞을 확률)"
"= {0}% (chance to be hit by a spell)","^7= {0}% ^8(주문에 맞을 확률)"
"= {0}% (chance to be hit by an Average hit)","^8= ^7{0}% ^8(평균 적중에 맞을 확률)"
"= {0}% (chance to take damage from a Melee Attack)","^7= {0}% ^8(근접 공격으로 피해를 입을 확률)"
"= {0}% (chance to take damage from a Projectile Attack)","^7= {0}% ^8(투사체 공격으로 피해를 입을 확률)"
"= {0}% (crit chance)","^7= {0}% ^8(치명타 확률)"
"= {0}% (extra crit damage)","= {0}% (추가 치명타 피해)"
"= {0}% (of damage taken from a Melee hit)","^7= {0}% ^8(근접 공격으로 받은 피해의)"
"= {0}% (of damage taken from an Average hit)","^8= ^7{0}% ^8(타격으로 인한 평균 피해)"
"= {0}% over {1} seconds","^7= {1}^8초에 ^7{0}% ^8이상"
"Accuracy:","정확도:"
"Action Speed","동작 속도"
"Active Brand Limit:","활성 낙인 제한:"
"Active Mine Limit:","투척 가능한 지뢰수:"
"Active Minion Limit","최대 소환수:"
"Active Totem Limit","토템 소환 제한"
"Active Totem Limit:","소환 토템 최대치:"
"Active Trap Limit:","투척 가능한 덫의 수:"
"Aegis:","투지:"
"Ailment Threshold","상태이상 임계치"
"Ailment mode: Average Damage (can be changed in the Configuration tab)","^7상태 이상 계산 방식: 평균 피해 ^8(설정 탭에서 변경 가능)"
"Ailment mode: Crits Only (can be changed in the Configuration tab)","^7상태 이상 계산 방식: 치명타만 ^8(설정 탭에서 변경 가능)"
"Ailment","상태 이상"
"Ancestral Cry:","선대의 함성:"
"AoE Radius","범위 반경"
"Approximate evade chance: {0}%","대략적인 회피 확률: {0}%"
"Approximate hit chance: {0}%","적중 확률 근사값: {0}%"
"Approximate melee evade chance: {0}%","근접 회피 확률 근사값: {0}%"
"Approximate projectile evade chance: {0}%","투사체 회피 확률 근사값: {0}%"
"Arcane Surge Cast Speed","비전 쇄도 시전 속도"
"Arcane Surge Mana Regen","비전 쇄도 마나 재생"
"Are you Channelling Cyclone?","회오리바람을 유지하고 있습니까?"
"Area of Effect Mod:","범위효과 보정:"
"Area of Effect modifiers:","범위 효과 보정:"
"Area","범위"
"Armour And Evasion","방어도 및 회피"
"Armour Applies To Cold Damage Taken","피격 시 받는 냉기 피해에 방어도 적용"
"Armour Applies To Fire Damage Taken","피격 시 받는 화염 피해에 방어도 적용"
"Armour Applies To Lightning Damage Taken","피격 시 받는 번개 피해에 방어도 적용"
"Attachment Range:","부착 범위:"
"Attack Dodge Chance","공격 회피 확률"
"Attack Rate","공격 속도"
"Attack Speed before increased Attack Speed","공격 속도 증가 전 공격 속도"
"Attack/Cast Rate","공격/주문 속도"
"Attack/Cast Rate:","공격/주문 속도:"
"Attacks per second:","초당 공격 횟수:"
"Attributes:","능력:"
"Aura Debuff","오라 디버프"
"Aura Duration:","오라 지속 시간:"
"Aura and Buff Skills:","오라&버프 스킬:"
"AuraAffectingSelf","자신에게 영향을 주는 오라"
"Average Bleed DPS:","평균 출혈 DPS:"
"Average Bleed Roll:","평균 출혈 롤:"
"Average Damage","평균 피해"
"Average Dmg. inc. Ignite","총 + 점화 평균 피해"
"Average Dmg. inc. Poison","총+평균 중독 피해"
"Average Hit","평균 적중"
"Average Ignite DPS:","평균 점화 DPS:"
"Average Number of hits you can take: {0}","받을 수 있는 평균 적중 횟수: {0}"
"Average enemy accuracy: {0}","평균 적 정확도: {0}"
"Average enemy evasion: {0}","평균 적 회피: {0}"
"Avoid Chaos Chance:","카오스 긴급회피 확률:"
"Avoid Chill","냉각 긴급회피"
"Avoid Cold Chance:","냉기 긴급회피 확률:"
"Avoid Elemental Ailments","원소 상태 이상 긴급회피"
"Avoid Fire Chance:","화염 긴급회피 확률:"
"Avoid Freeze","동결 긴급회피"
"Avoid Lightning Ch.:","번개 긴급회피 확률:"
"Avoid Physical Ch.:","물리 긴급회피 확률:"
"Avoid Poison","중독 긴급회피"
"Avoid Proj Ch.:","투사체 회피 확률:"
"Avoid Projectiles Ch.:","투사체 긴급회피 확률:"
"Avoid Shock","감전 긴급회피"
"Axe","도끼"
"Bandit","도적 퀘스트"
"Base Physical Damage Reduction: {0}%","기본 물리 피해 감소: {0}%"
"Base damage:","기본피해:"
"Base from Armours:","기본(갑옷):"
"Base from Gear:","기본(장비):"
"Base","기본"
"Bleed Avoid Ch.:","출혈 긴급회피 확률:"
"Bleed DPS","출혈 DPS"
"Bleed Duration:","출혈 지속 시간:"
"Bleed Effect","출혈 효과"
"Bleed Effect:","출혈 효과:"
"Bleed Immune","출혈 면역"
"Bleed","출혈"
"Bleed:","출혈:"
"Blind Avoid Ch.:","실명 긴급회피 확률:"
"Blind","실명"
"Block Chance","공격 막기 확률"
"Block Duration:","막아내는 시간:"
"Block Effect","막기 효과"
"Block Recovery","막기 회복"
"Blood Charges Max","피 충전 최대"
"Bounce Count","튕기는 횟수"
"Bounces Count:","튕기는 횟수:"
"Brittle Avoid Ch.:","허약 긴급회피 확률:"
"Brittle Duration:","허약 지속시간:"
"Brittle Effect Mod:","허약 효과 보정:"
"Brittle Effect","허약 효과"
"Brittle Effect:","허약 효과:"
"Buff Expire Faster","버프가 빠르게 만료됨"
"Buff","버프"
"Buff","오라효과"
"Burst Damage:","폭발 피해:"
"CWDT Threshold:","피격시 시전 임계값:"
"Calculation Mode:","계산 모드:"
"Can use focus (currently not checked)","집중하고 있습니까? (현재 체크되지 않음)"
"Cannot Be Evaded","플레이어가 무조건 명중"
"Cannot chain","연쇄 할 수 없습니다"
"Cannot fork","갈라 질 수 없습니다"
"Cannot pierce","관통 할 수 없습니다"
"Cast Rate","시전 속도"
"Cast time:","시전 시간:"
"Cast","시전"
"Casts per second:","초당 시전:"
"Chance for individual wave to land within range to damage enemy:","개별 파동이 적에게 피해를 입힐 수 있는 범위 내에 떨어질 확률:"
"Chance on Crit: {0}%","치명타 확률: {0}%"
"Chance on Non-crit: {0}%","비-치명타 확률: {0}%"
"Chance to Bleed:","출혈 확률:"
"Chance to Brittle:","허약 유발 확률:"
"Chance to Freeze:","동결 확률:"
"Chance to Ignite:","점화 확률:"
"Chance to Poison:","중독 확률:"
"Chance to Sap:","활력감소 확률:"
"Chance to Scorch:","그을림 유발 확률:"
"Chance to Shock:","감전 확률:"
"Chance to not be Hit:","맞지 않을 확률:"
"Chance to not take Damage when Hit:","명중 시 피해를 받지 않을 확률:"
"Chance to suppress Damage when Hit:","명중 시 피해 억제 확률:"
"Chaos Damage Taken","받는 카오스 피해"
"Chaos Damage taken","받는 카오스 피해"
"Chaos Dmg. Reduct:","^xD02090카오스^7 피해 감소:"
"Chaos Hit/DoT:","카오스 명중/지속:"
"Chaos Not Bypass Energy Shield","받는 카오스 피해가 에너지 보호막에 막힘"
"Chaos Res. Over Max","카오스 저항(최대)"
"Chaos Resist Max","최대 카오스 저항"
"Chaos Resist","카오스저항"
"Chaos Resist:","^xD02090카오스 저항^7:"
"Chaos","카오스"
"Chaos:","^xD02090카오스:^7"
"Charge on crit %:","치명타시 충전 확률:"
"Charges/s:","초당 충전:"
"Chill Avoid Ch.:","냉각 긴급회피 확률:"
"Chill Dur. Mod:","냉각 지속시간.변경:"
"Chill Duration:","냉각 지속 시간:"
"Chill Effect Mod:","냉각효과 보정:"
"Chill Effect:","냉각 효과:"
"Chill Immune","냉각 면역"
"Chill","냉각"
"Cold AoE","냉기 범위"
"Cold Attack","냉기 공격"
"Cold Damage Gain As Fire","냉기 피해를 화염 피해로 획득"
"Cold Damage Taken As Fire","냉기 피해를 화염 피해로 받음"
"Cold Damage Taken","받는 냉기 피해"
"Cold Damage taken","받는 냉기 피해"
"Cold Dmg. Reduct:","^x3F6DB3냉기^7 피해 감소:"
"Cold Energy Shield Bypass","냉기 피해가 에너지 보호막을 무시함"
"Cold Exposure","냉기 노출"
"Cold Hit/DoT:","냉기 명중/지속:"
"Cold Melding of the Flesh","냉기 살점의 융합"
"Cold Res. Over Max","냉기 저항(최대)"
"Cold Resist Max","최대 냉기 저항"
"Cold Resist","냉기 저항"
"Cold Resist:","^x3F6DB3냉기 저항^7:"
"Cold","냉기"
"Cold:","^x3F6DB3냉기:^7"
"Combat Buffs:","전투 버프:"
"Combat Rush","전투 돌격"
"Combined chance:","결합 확률:"
"Condition: Affected By Anger","조건: 분노의 영향을 받음"
"Condition: Affected By Arcane Surge","조건: 비전 쇄도의 영향을 받음"
"Condition: Affected By Clarity","조건: 명상의 영향을 받음"
"Condition: Affected By Determination","조건: 결의의 영향을 받음"
"Condition: Affected By Discipline","조건: 단련의 영향을 받음"
"Condition: Affected By Grace","조건: 은총의 영향을 받음"
"Condition: Affected By Haste","조건: 가속의 영향을 받음"
"Condition: Affected By Hatred","조건: 증오의 영향을 받음"
"Condition: Affected By Herald of Purity","조건: 순수의 전령의 영향을 받음"
"Condition: Affected By Herald","조건: 전령의 영향을 받음"
"Condition: Affected By Heraldof Purity","조건: 순수의 전령의 영향을 받음"
"Condition: Affected By Malevolence","조건: 악의의 영향을 받음"
"Condition: Affected By Precision","조건: 정밀함의 영향을 받음"
"Condition: Affected By Pride","조건: 자부심의 영향을 받음"
"Condition: Affected By Purity of Elements","조건: 원소의 순수함의 영향을 받음"
"Condition: Affected By Purity of Fire","조건: 불의 순수함의 영향을 받음"
"Condition: Affected By Purity of Ice","조건: 얼음의 순수함의 영향을 받음"
"Condition: Affected By Purity of Lightning","조건: 번개의 순수함의 영향을 받음"
"Condition: Affected By Purityof Elements","조건: 원소의 순수함의 영향을 받음"
"Condition: Affected By Purityof Fire","조건: 불의 순수함의 영향을 받음"
"Condition: Affected By Purityof Ice","조건: 얼음의 순수함의 영향을 받음"
"Condition: Affected By Purityof Lightning","조건: 번개의 순수함의 영향을 받음"
"Condition: Affected By Vitality","조건: 활력의 영향을 받음"
"Condition: Affected By Wrath","조건: 진노의 영향을 받음"
"Condition: Affected By Zealotry","조건: 열광의 영향을 받음"
"Condition: Applied Exposure Recently","조건: 최근 노출을 유발"
"Condition: Been Hit Recently","조건: 최근에 피격 받음"
"Condition: Blined","조건: 실명"
"Condition: Blocked Recently","조건: 최근 막아냄"
"Condition: Brittle Config","조건: 허약 설정"
"Condition: Can Be Elusive","조건: 피할 수 없음"
"Condition: Can Gain Rage","조건: 격노를 얻을 수 있음"
"Condition: Cast Spell Recently","조건: 최근 주문을 시전"
"Condition: Channelling Cyclone","조건: 회오리바람 집중유지중"
"Condition: Channelling","조건: 집중유지"
"Condition: Chilled Config","조건: 냉각 설정"
"Condition: Chilled Enemy Recently","조건: 최근 적이 냉각됨"
"Condition: Crit Recently","조건: 최근에 치명타 명중"
"Condition: Critical Strike","조건: 치명타"
"Condition: Crushed","조건: 타쇄당함"
"Condition: Cursed","조건: 저주걸림"
"Condition: Debilitated","조건: 쇠약함"
"Condition: Dual Wielding","조건: 쌍수 사용"
"Condition: DualWielding/UsingShield","조건: 쌍수 장착/방패 사용"
"Condition: Focused","조건: 집중하는중"
"Condition: Fortified","조건: 견고"
"Condition: Frozen","조건: 동결됨"
"Condition: Full Energy Shield","조건: 에너지 보호막 최대"
"Condition: Full Life","조건: 생명력 최대"
"Condition: Have Cold Golem","조건: 냉기 골렘 보유"
"Condition: Have Energy Shield","조건: 에너지 보호막 보유"
"Condition: Have Fire Golem","조건: 화염 골렘 보유"
"Condition: Have Lightning Golem","조건: 번개 골렘 보유"
"Condition: Have Lightning Infusion","조건: 번개 주입 보유"
"Condition: Have Maximum Fortification","조건: 최대 방어 상승 보유"
"Condition: Have Physical Golem","조건: 돌 골렘 보유"
"Condition: Heartstopper AVERAGE","조건: 심정지 평균"
"Condition: Ignited Enemy Recently","조건: 최근 적이 점화됨"
"Condition: Ignited","조건: 점화됨"
"Condition: Infusion Active","조건: 주입 활성"
"Condition: Intimidated","조건: 위협"
"Condition: Leeching Energy Shield","조건: 에너지 보호막을 흡수중"
"Condition: Low Life","조건: 낮은 생명력"
"Condition: Maimed","조건: 힘줄 절단"
"Condition: Main Hand Attack","조건: 주무기 공격"
"Condition: Not Been Hit Recently","조건: 최근 피격되지 않음"
"Condition: Not Convergence","조건: 수렴이 없을 때"
"Condition: Not Full Life","조건: 생명력이 최대가 아님"
"Condition: Not Ignore Movement Penalties","조건: 이동 페널티 무시 안 함"
"Condition: Not Killed Recently","조건: 최근 적을 처치하지 않음"
"Condition: Not Low Life","조건: 낮은 생명력이 아님"
"Condition: Not No Inherent Block","조건: 쌍수 착용시 생성됨"
"Condition: On Consecrated Ground","조건: 신성한 지대 위에 있을것"
"Condition: On Profane Ground","조건: 부정 지대 안에 있음"
"Condition: Only One Nearby Enemy","조건: 근처에 적이 하나만 있음"
"Condition: Phasing","조건: 차원 능력"
"Condition: Rare Or Unique","조건: 희귀 또는 고유"
"Condition: Sapped Config","조건: 활력감소 설정"
"Condition: Sapped","조건: 활력감소"
"Condition: Scorched Config","조건: 그을림 설정"
"Condition: Scorched","조건: 그을림"
"Condition: Shocked Config","조건: 감전 설정"
"Condition: Shocked Enemy Recently","조건: 최근 적이 감전됨"
"Condition: Shocked","조건: 감전 상태"
"Condition: Stationary","조건: 정지 상태"
"Condition: Summoned Totem Recently","조건: 최근 토템 소환"
"Condition: Unnerved","조건: 낙남 상태"
"Condition: Used Movement Skill Recently","조건: 최근 이동 스킬을 사용"
"Condition: Using Flask","조건: 플라스크 사용중"
"Condition: Using Life Flask","조건: 생명력 플라스트 사용"
"Condition: Using Mana Flask","조건: 마나 플라스크 사용"
"Condition: Using Staff","조건: 지팡이 사용"
"Condition: UsingShield","조건: 방패사용"
"Config","설정"
"Configured Bleed:","설정된 출혈"
"Configured Blind:","설정된 실명"
"Configured Brittle:","설정된 허약"
"Configured Chill:","설정된 냉각"
"Configured Freeze:","설정된 동결"
"Configured Ignite:","설정된 점화"
"Configured Interupt:","설정된 방해"
"Configured Poison:","설정된 중독"
"Configured Sap:","설정된 활력감소"
"Configured Scorch:","설정된 그을림"
"Configured Shock:","설정된 감전"
"Consecrated Ground","신성화 지대"
"Contribution from Crits:","치명타에서 제공 받음"
"Contribution from Non-crits:","비-치명타에서 제공 받음:"
"Convergence","수렴"
"Conversion","전환"
"Conversions:","전환목록:"
"Converted Damage","피해 전환"
"Crab Barriers Max","게의 방어막 최대"
"Creates a portal to the current area's town.","현재 위치한 지역의 마을로 가는 포탈을 생성합니다."
"Crit Chance","치명타 확률"
"Crit Dmg Derivation:","치명타 피해에서 파생:"
"Crit Effect Mod:","치명타 보정:"
"Crit Multiplier","치명타 배율"
"Crit Reduction:","치명타 피해 감소:"
"Crit confirmation roll:","치명타 확정 확률:"
"Crit is overcapped by {0}% ({1}% increased Critical Strike Chance)","치명타가 {0}% 초과(치명타 확률 {1}% 증가)"
"Crit","치명"
"Critical Cull Percent","치명타 시 마무리 타격 확률"
"Crits:","치명타:"
"Cruelty is a buff provided by Cruelty Support which grants","[잔혹]이 잔혹을 부여하는 명중의 피해량에 따라 잔혹 보조 효과가"
"Cull Percent","마무리타격 백분율"
"Current Brittle:","현재 허약:"
"Current Chill:","현재 냉각:"
"Current Sap:","현재 활력감소:"
"Current Scorch:","현재 그을림:"
"Current Shock:","현재 감전:"
"Curse Effect Mod:","저주효과 보정:"
"Curse Effect on You:","저주 효과:"
"Curses all targets in an area, lowering their elemental resistances.","범위 내 모든 대상에게 저주를 걸어 원소 저항을 낮춥니다."
"Curses and Debuffs:","저주 및 디버프:"
"DPS Range:","DPS 범위:"
"DPS inc. Poison","DPS 증가(독)"
"Damage Avoidance:","피해 회피:"
"Damage Energy Shield Leech","피해를 에너지 보호막으로 흡수"
"Damage Life Leech","피해를 생명력으로 흡수"
"Damage Mana Leech","피해를 마나로 흡수"
"Damage Taken Consecrated Ground","신성한 지대에 있는 적이 받는 피해"
"Damage Taken From Mana Before Life","받는 피해를 생명력 대신 마나가 먼저 소비"
"Damage Taken Over Time","받는 지속 피해"
"Damage Taken When Hit","피격 시 받는 피해"
"Damage Taken","받는 피해"
"Damage Taken:","받는 피해:                              MH: 주무기          OH:보조무기"
"Damage from Crits:","치명타 피해:"
"Damage from Non-crits:","비-치명타 피해:"
"Damage over Time:","지속 피해:"
"Damage","피해"
"Debuff","디버프"
"Decay DPS","부패 DPS"
"Decay Duration:","부식 지속시간:"
"Decay:","부패:"
"Defences","방어력"
"Degen","감소"
"Degen:","감소:"
"Dex","민첩"
"Dex. Required:","필요 민첩:"
"Dexterity Required","필요 ^x70FF70민첩^7"
"Dmg. per Ignite:","점화 당 피해:"
"Dmg. per Poison:","초당 독 피해:"
"DoT DPS","지속 DPS"
"DoT Multiplier:","지속 피해 배율:"
"DoT taken:","받은 지속 피해:"
"Dodge Chance:","회피 확률:"
"Dot Damage Taken modifier: {0}","받는 지속피해 보정: {0}"
"Dot Multiplier","지속피해 배율"
"Dot","지속피해"
"Dots and Degens:","지속피해와 초당 출혈:"
"Double Enemy Stun Duration Chance","적 기절 지속시간 두배 확률"
"Duration Mod:","지속시간:"
"EHP calculation Mode: Average","EHP 계산 방식: 평균"
"EHP calculation Mode: Melee","EHP 계산 방식: 근접"
"EHP calculation Mode: Minimum","EHP 계산 방식: 최소"
"EHP calculation Mode: Projectile Spell","EHP 계산 방식: 주문 투사체"
"EHP calculation Mode: Projectile","EHP 계산 방식: 투사체"
"EHP calculation Mode: Spell","EHP 계산 방식: 주문"
"ES Bypass %:","에너지보호막통과%:"
"ES Gain Rate:","에너지 보호막 획득율:"
"ES Gain per Hit:","적중당 에너지 보호막 획득:"
"ES Leech Cap:","에너지 보호막 흡수 용량:"
"ES Leech Rate:","에너지 보호막 흡수 속도:"
"ES Leech per Hit:","적중당 에쉴 흡수:"
"ES Leech/Gain per Hit","적중시 에너지 보호막 획득"
"ES Leech/On Hit Rate","에너지 보호막 흡수 비율"
"ES on Suppression:","에너지 보호막 주문억제:"
"Eff. DoT Multi:","지속피해 효과배율:"
"Eff. Source Rate:","유효 소스 속도:"
"Effect of Blind:","실명 효과:"
"Effect of Chill: (capped at 30%)","냉각 효과:  (최대 30%)"
"Effective ""Health"" Pool:","유효 생명력(EHP):																																					(캐릭터가 죽을때까지 버틸 수 있는 피해의 총량)"
"Effective Crit Chance","유효 치명타"
"Effective DPS Mod:","피해 유효접사(초):"
"Effective DPS modifier:","유효 DPS 보정:"
"Effective DoT Multiplier:","유효 DPS 배율:"
"Effective DoT Pool:","지속피해유효생명:"
"Effective Evasion: {0}","회피 효율: {0}"
"Effective Trigger Rate:","유효 발동 속도:"
"Effective life: {0}","유효 생명력: {0}"
"Effective resistance:","유효 저항:"
"Efficiency","효율"
"Elemental Aegis Value","원소의 보루 값"
"Elemental Ailment Immune","원소 상태 이상에 면역"
"Elemental Ailments:","원소 상태 이상:"
"Elemental Damage Gain As Chaos","원소 피해를 카오스 피해로 획득"
"Elemental Damage Life Leech","원소 피해를 생명력으로 흡수"
"Elemental Damage Taken As Chaos","원소 피해를 카오스 피해로 받음"
"Elemental Damage Taken","받는 원소 피해"
"Elemental Resist Max","원소 저항 최대"
"Elemental Resist","원소 저항"
"Elemental","원소"
"Elusive Effect","도피 효과"
"Enemy Ailment Duration","적 상태 이상 지속 시간"
"Enemy Bleed Config","적 출혈 효과"
"Enemy Bleed Duration","적 출혈 지속시간"
"Enemy Blind Config","적 실명 효과"
"Enemy Blind Duration","적 실명 지속시간"
"Enemy Chill Config","적 냉각 효과"
"Enemy Chill Duration","적 냉각 지속시간"
"Enemy Chill Effect","적 냉각 효과"
"Enemy Condition: Bleeding","적 조건: 출혈중"
"Enemy Condition: Blinded","적 조건: 실명됨"
"Enemy Condition: Burning","적 조건: 화상"
"Enemy Condition: Chilled","적 조건: 냉각"
"Enemy Condition: Cursed","적 조건: 저주"
"Enemy Condition: Enemy In Frost Globe","적 조건: 적이 서리 구체 내에 있음"
"Enemy Condition: Frozen","적 조건: 동결됨"
"Enemy Condition: Has Lightning Exposure","적 조건: 번개에 노출됨"
"Enemy Condition: Maimed","적 조건: 힘줄 절단됨"
"Enemy Condition: Marked","적 조건: 징표 찍힘"
"Enemy Condition: Not Enemy In Frost Globe","적 조건: 서리 구체 범위 내에 적이 없음"
"Enemy Condition: On Brittle Ground","적 조건: 허약의 지대에 있음"
"Enemy Condition: On Consecrated Ground","적 조건: 신성한 지대 위에 있을것"
"Enemy Condition: Shocked","적 조건: 감전 상태"
"Enemy Crit Chance","적 치명타 확률"
"Enemy Damage:","적 피해:"
"Enemy ES Recovery:","적 에너지보호막 회복:"
"Enemy Elemental Ailment Duration","적 원소 상태 이상 지속 시간"
"Enemy Evasion modifiers:","적 회피 보정:"
"Enemy Freeze Config","적 동결 효과"
"Enemy Freeze Duration","적 동결 지속시간"
"Enemy Hit Damage After Resistance: {0} (total incoming damage)","^7저항 후 적 적중 피해: {0}^8 (총 받은 피해)"
"Enemy Hit Damage: {0} (can be overridden in the Configuration tab)","^7적 적중 피해: {0}^8 (설정탭에서 조정가능)"
"Enemy Hit Damage: {0} (total incoming damage)","^7적 적중 피해: {0} ^8(들어오는 총 피해)"
"Enemy Ignite Config","적 점화 효과"
"Enemy Interupt Config","적 방해 효과"
"Enemy Life Recovery:","적 생명력 회복:"
"Enemy Physical Hit Damage: {0} (can be overridden in the Configuration tab)","^7적의 물리 피해: {0} ^8(설정탭에서 조정가능)"
"Enemy Poison Config","적 중독 효과"
"Enemy Poison Duration","적 중독 지속시간"
"Enemy Shock Chance","적 감전 확률"
"Enemy Shock Config","적 감전 효과"
"Enemy Shock Effect","적 감전 효과"
"Enemy Stun Duration","적 기절 지속시간"
"Enemy average inverted physical damage reduction: {0}%","적 평균 반전 물리 피해 감소: {0}%"
"Enemy average inverted resistance: {0}%","적 평균 역 저항: {0}%"
"Enemy evasion: {0}","적 회피: {0}"
"Enemy level: {0} (can be overridden in the Configuration tab)","^7적 레벨: {0}^8 (설정탭에서 조정가능)"
"Enemy modifiers:","적 속성 부여:"
