"#% increased Attack Speed","공격 속도 #% 증가"
"{0}% increased Attack Speed","공격 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, (20-21)% reduced Enemy Stun Threshold","고유 적이 접근해 있는 동안, 적 기절 한계치 (20-21)% 감소"
"While a Unique Enemy is in your Presence, (22-23)% reduced Enemy Stun Threshold","고유 적이 접근해 있는 동안, 적 기절 한계치 (22-23)% 감소"
"While a Pinnacle Atlas Boss is in your Presence, #% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 #% 감소"
"While a Pinnacle Atlas Boss is in your Presence, {0}% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 {0}% 감소"
"While a Pinnacle Atlas Boss is in your Presence, (18-19)% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 (18-19)% 감소"
"While a Pinnacle Atlas Boss is in your Presence, (20-21)% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 (20-21)% 감소"
"While a Pinnacle Atlas Boss is in your Presence, (22-23)% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 (22-23)% 감소"
"While a Pinnacle Atlas Boss is in your Presence, (24-25)% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 (24-25)% 감소"
"While a Pinnacle Atlas Boss is in your Presence, (26-27)% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 (26-27)% 감소"
"While a Pinnacle Atlas Boss is in your Presence, (28-29)% reduced Enemy Stun Threshold","최종 아틀라스 보스가 접근해 있는 동안, 적 기절 한계치 (28-29)% 감소"

"Minions deal #% increased Damage","소환수가 주는 피해 #% 증가"
"Minions deal {0}% increased Damage","소환수가 주는 피해 {0}% 증가"
"Minions deal (14-16)% increased Damage","소환수가 주는 피해 (14-16)% 증가"
"Minions deal (17-19)% increased Damage","소환수가 주는 피해 (17-19)% 증가"
"Minions deal (20-22)% increased Damage","소환수가 주는 피해 (20-22)% 증가"
"Minions deal (23-25)% increased Damage","소환수가 주는 피해 (23-25)% 증가"
"Minions deal (26-27)% increased Damage","소환수가 주는 피해 (26-27)% 증가"
"Minions deal (28-29)% increased Damage","소환수가 주는 피해 (28-29)% 증가"
"While a Unique Enemy is in your Presence, Minions deal #% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 #% 증가"
"While a Unique Enemy is in your Presence, Minions deal {0}% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 {0}% 증가"
"While a Unique Enemy is in your Presence, Minions deal (26-28)% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 (26-28)% 증가"
"While a Unique Enemy is in your Presence, Minions deal (29-31)% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 (29-31)% 증가"
"While a Unique Enemy is in your Presence, Minions deal (32-34)% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 (32-34)% 증가"
"While a Unique Enemy is in your Presence, Minions deal (35-37)% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 (35-37)% 증가"
"While a Unique Enemy is in your Presence, Minions deal (38-39)% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 (38-39)% 증가"
"While a Unique Enemy is in your Presence, Minions deal (40-41)% increased Damage","고유 적이 접근해 있는 동안, 소환수가 주는 피해 (40-41)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal #% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal {0}% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal (38-40)% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 (38-40)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal (41-43)% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 (41-43)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal (44-46)% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 (44-46)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal (47-49)% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 (47-49)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal (50-51)% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 (50-51)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, Minions deal (52-53)% increased Damage","최종 아틀라스 보스가 접근해 있는 동안, 소환수가 주는 피해 (52-53)% 증가"

"#% increased Trap Throwing Speed","덫 투척 속도 #% 증가"
"{0}% increased Trap Throwing Speed","덫 투척 속도 {0}% 증가"
"8% increased Trap Throwing Speed","덫 투척 속도 8% 증가"
"9% increased Trap Throwing Speed","덫 투척 속도 9% 증가"
"10% increased Trap Throwing Speed","덫 투척 속도 10% 증가"
"11% increased Trap Throwing Speed","덫 투척 속도 11% 증가"
"12% increased Trap Throwing Speed","덫 투척 속도 12% 증가"
"13% increased Trap Throwing Speed","덫 투척 속도 13% 증가"
"While a Unique Enemy is in your Presence, #% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, 12% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 12% 증가"
"While a Unique Enemy is in your Presence, 13% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 13% 증가"
"While a Unique Enemy is in your Presence, 14% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 14% 증가"
"While a Unique Enemy is in your Presence, 15% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 15% 증가"
"While a Unique Enemy is in your Presence, 16% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 16% 증가"
"While a Unique Enemy is in your Presence, 17% increased Trap Throwing Speed","고유 적이 접근해 있는 동안, 덫 투척 속도 17% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 16% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 16% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 17% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 17% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 18% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 18% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 19% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 20% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 20% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 21% increased Trap Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 덫 투척 속도 21% 증가"

"#% increased Mine Throwing Speed","지뢰 투척 속도 #% 증가"
"{0}% increased Mine Throwing Speed","지뢰 투척 속도 {0}% 증가"
"8% increased Mine Throwing Speed","지뢰 투척 속도 8% 증가"
"9% increased Mine Throwing Speed","지뢰 투척 속도 9% 증가"
"10% increased Mine Throwing Speed","지뢰 투척 속도 10% 증가"
"11% increased Mine Throwing Speed","지뢰 투척 속도 11% 증가"
"12% increased Mine Throwing Speed","지뢰 투척 속도 12% 증가"
"13% increased Mine Throwing Speed","지뢰 투척 속도 13% 증가"
"While a Unique Enemy is in your Presence, #% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, 12% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 12% 증가"
"While a Unique Enemy is in your Presence, 13% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 13% 증가"
"While a Unique Enemy is in your Presence, 14% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 14% 증가"
"While a Unique Enemy is in your Presence, 15% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 15% 증가"
"While a Unique Enemy is in your Presence, 16% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 16% 증가"
"While a Unique Enemy is in your Presence, 17% increased Mine Throwing Speed","고유 적이 접근해 있는 동안, 지뢰 투척 속도 17% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 16% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 16% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 17% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 17% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 18% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 18% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 19% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 20% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 20% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 21% increased Mine Throwing Speed","최종 아틀라스 보스가 접근해 있는 동안, 지뢰 투척 속도 21% 증가"

"#% chance to Extinguish Enemies on Hit","명중 시 #%의 확률로 적 소진 유발"
"{0}% chance to Extinguish Enemies on Hit","명중 시 {0}%의 확률로 적 소진 유발"
"15% chance to Extinguish Enemies on Hit","명중 시 15%의 확률로 적 소진 유발"
"20% chance to Extinguish Enemies on Hit","명중 시 20%의 확률로 적 소진 유발"
"25% chance to Extinguish Enemies on Hit","명중 시 25%의 확률로 적 소진 유발"
"30% chance to Extinguish Enemies on Hit","명중 시 30%의 확률로 적 소진 유발"
"35% chance to Extinguish Enemies on Hit","명중 시 35%의 확률로 적 소진 유발"
"40% chance to Extinguish Enemies on Hit","명중 시 40%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, #% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 #%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, {0}% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 {0}%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, 45% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 45%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, 50% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 50%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, 55% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 55%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, 60% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 60%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, 65% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 65%의 확률로 적 소진 유발"
"While a Unique Enemy is in your Presence, 70% chance to Extinguish Enemies on Hit","고유 적이 접근해 있는 동안, 명중 시 70%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, #% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 #%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, {0}% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 {0}%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, 75% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 75%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, 80% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 80%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, 85% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 85%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, 90% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 90%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, 95% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 95%의 확률로 적 소진 유발"
"While a Pinnacle Atlas Boss is in your Presence, 100% chance to Extinguish Enemies on Hit","최종 아틀라스 보스가 접근해 있는 동안, 명중 시 100%의 확률로 적 소진 유발"

"+#% to maximum Cold Resistance","냉기 저항 최대치 +#%"
"{0}% to maximum Cold Resistance","냉기 저항 최대치 {0}%"
"+1% to maximum Cold Resistance","냉기 저항 최대치 +1%"
"+2% to maximum Cold Resistance","냉기 저항 최대치 +2%"
"While a Unique Enemy is in your Presence, +#% to maximum Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 최대치 +#%"
"While a Unique Enemy is in your Presence, {0}% to maximum Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 최대치 {0}%"
"While a Unique Enemy is in your Presence, +2% to maximum Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 최대치 +2%"
"While a Unique Enemy is in your Presence, +3% to maximum Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 최대치 +3%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to maximum Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 최대치 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to maximum Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 최대치 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +3% to maximum Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 최대치 +3%"
"While a Pinnacle Atlas Boss is in your Presence, +4% to maximum Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 최대치 +4%"
"#% increased Damage per Frenzy Charge","격분 충전 하나당 피해 #% 증가"
"{0}% increased Damage per Frenzy Charge","격분 충전 하나당 피해 {0}% 증가"
"4% increased Damage per Frenzy Charge","격분 충전 하나당 피해 4% 증가"
"5% increased Damage per Frenzy Charge","격분 충전 하나당 피해 5% 증가"
"6% increased Damage per Frenzy Charge","격분 충전 하나당 피해 6% 증가"
"While a Unique Enemy is in your Presence, #% increased Damage per Frenzy Charge","고유 적이 접근해 있는 동안, 격분 충전 하나당 피해 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Damage per Frenzy Charge","고유 적이 접근해 있는 동안, 격분 충전 하나당 피해 {0}% 증가"
"While a Unique Enemy is in your Presence, 5% increased Damage per Frenzy Charge","고유 적이 접근해 있는 동안, 격분 충전 하나당 피해 5% 증가"
"While a Unique Enemy is in your Presence, 6% increased Damage per Frenzy Charge","고유 적이 접근해 있는 동안, 격분 충전 하나당 피해 6% 증가"
"While a Unique Enemy is in your Presence, 7% increased Damage per Frenzy Charge","고유 적이 접근해 있는 동안, 격분 충전 하나당 피해 7% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Damage per Frenzy Charge","최종 아틀라스 보스가 접근해 있는 동안, 격분 충전 하나당 피해 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Damage per Frenzy Charge","최종 아틀라스 보스가 접근해 있는 동안, 격분 충전 하나당 피해 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 6% increased Damage per Frenzy Charge","최종 아틀라스 보스가 접근해 있는 동안, 격분 충전 하나당 피해 6% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 7% increased Damage per Frenzy Charge","최종 아틀라스 보스가 접근해 있는 동안, 격분 충전 하나당 피해 7% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 8% increased Damage per Frenzy Charge","최종 아틀라스 보스가 접근해 있는 동안, 격분 충전 하나당 피해 8% 증가"
"Non-Vaal Strike Skills target # additional nearby Enemy attack","비-바알 타격 스킬이 주변 적 #명을 추가 대상으로 삼음"
"Non-Vaal Strike Skills target {0} additional nearby Enemy attack","비-바알 타격 스킬이 주변 적 {0}명을 추가 대상으로 삼음"
"Non-Vaal Strike Skills target 1 additional nearby Enemy attack","비-바알 타격 스킬이 주변 적 1명을 추가 대상으로 삼음"
"Non-Vaal Strike Skills target 2 additional nearby Enemies","비-바알 타격 스킬이 주변 적 2명을 추가 대상으로 삼음"
"While a Unique Enemy is in your Presence, Non-Vaal Strike Skills target # additional nearby Enemies","고유 적이 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 #명을 추가 대상으로 삼음"
"While a Unique Enemy is in your Presence, Non-Vaal Strike Skills target {0} additional nearby Enemies","고유 적이 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 {0}명을 추가 대상으로 삼음"
"While a Unique Enemy is in your Presence, Non-Vaal Strike Skills target 2 additional nearby Enemies","고유 적이 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 2명을 추가 대상으로 삼음"
"While a Unique Enemy is in your Presence, Non-Vaal Strike Skills target 3 additional nearby Enemies","고유 적이 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 3명을 추가 대상으로 삼음"
"While a Pinnacle Atlas Boss is in your Presence, Non-Vaal Strike Skills target # additional nearby Enemies","최종 아틀라스 보스가 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 #명을 추가 대상으로 삼음"
"While a Pinnacle Atlas Boss is in your Presence, Non-Vaal Strike Skills target {0} additional nearby Enemies","최종 아틀라스 보스가 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 {0}명을 추가 대상으로 삼음"
"While a Pinnacle Atlas Boss is in your Presence, Non-Vaal Strike Skills target 3 additional nearby Enemies","최종 아틀라스 보스가 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 3명을 추가 대상으로 삼음"
"While a Pinnacle Atlas Boss is in your Presence, Non-Vaal Strike Skills target 4 additional nearby Enemies","최종 아틀라스 보스가 접근해 있는 동안, 비-바알 타격 스킬이 주변 적 4명을 추가 대상으로 삼음"

"Gain 1 Rage on Hit with Attacks, no more than once every # seconds","공격 명중 시 격노 1 획득, #초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every {0} seconds","공격 명중 시 격노 1 획득, {0}초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every 1.2 seconds","공격 명중 시 격노 1 획득, 1.2초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every 1.1 seconds","공격 명중 시 격노 1 획득, 1.1초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every 1 seconds","공격 명중 시 격노 1 획득, 1초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every 0.9 seconds","공격 명중 시 격노 1 획득, 0.9초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every 0.8 seconds","공격 명중 시 격노 1 획득, 0.8초마다 최대 1번 획득"
"Gain 1 Rage on Hit with Attacks, no more than once every 0.7 seconds","공격 명중 시 격노 1 획득, 0.7초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every # seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, #초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every {0} seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, {0}초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 1 seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, 1초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.9 seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.9초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.8 seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.8초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.7 seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.7초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.6 seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.6초마다 최대 1번 획득"
"While a Unique Enemy is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.5 seconds","고유 적이 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.5초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every # seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, #초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every {0} seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, {0}초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.8 seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.8초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.7 seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.7초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.6 seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.6초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.5 seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.5초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.4 seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.4초마다 최대 1번 획득"
"While a Pinnacle Atlas Boss is in your Presence, Gain 1 Rage on Hit with Attacks, no more than once every 0.3 seconds","최종 아틀라스 보스가 접근해 있는 동안, 공격 명중 시 격노 1 획득, 0.3초마다 최대 1번 획득"

"#% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 #%의 확률로 4초 동안 적 위협"
"{0}% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 {0}%의 확률로 4초 동안 적 위협"
"15% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 15%의 확률로 4초 동안 적 위협"
"20% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 20%의 확률로 4초 동안 적 위협"
"25% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 25%의 확률로 4초 동안 적 위협"
"30% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 30%의 확률로 4초 동안 적 위협"
"35% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 35%의 확률로 4초 동안 적 위협"
"40% chance to Intimidate Enemies for 4 seconds on Hit","적중 시 40%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, #% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 #%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, {0}% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 {0}%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, 45% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 45%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, 50% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 50%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, 55% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 55%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, 60% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 60%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, 65% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 65%의 확률로 4초 동안 적 위협"
"While a Unique Enemy is in your Presence, 70% chance to Intimidate Enemies for 4 seconds on Hit","고유 적이 접근해 있는 동안, 적중 시 70%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, #% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 #%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, {0}% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 {0}%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, 75% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 75%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, 80% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 80%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, 85% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 85%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, 90% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 90%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, 95% chance to Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 95%의 확률로 4초 동안 적 위협"
"While a Pinnacle Atlas Boss is in your Presence, Intimidate Enemies for 4 seconds on Hit","최종 아틀라스 보스가 접근해 있는 동안, 적중 시 4초 동안 적 위협"

"#% chance to Unnerve Enemies for 4 seconds on Hit","명중 시 #%의 확률로 4초 동안 적 낙담 유발"
