"	-10% to all Resistances","	모든 원소 저항 -10%"
"Eternal Labyrinth","영원의 미궁"
"Exarch Ball","총주교의 공"
"Exerted/Boosted calc mode:","전력 공격/증폭 계산 모드:"
"Exposure Type:","노출 속성:"
"Feeding Frenzy grants:","격분 주입 획득:"
"Feeding Frenzy:","격분 주입:"
"Fill in the exact damage numbers if more precision is needed","정확도가 더 필요한 경우 정확한 피해 수치를 입력하십시오."
"Final (all hits use final)","마지막 (모든 적중에 마지막 사용)"
"Final only","마지막에만"
"Fire and Fury","^XC7C75D용암의 방 지도^7 [^XB1973E광분에 찬 화염 마녀^7] 영혼 수확"
"Flammability:","인화성:"
"For reference, a level 70 monster has 6937 base life, and a level 80 monster has 12787.","^7참고로 ^xB9712370^7레벨 몬스터의 기본 생명력은 ^xE050306,937 ^7이며, ^xB9712380^7레벨 몬스터의 생명력은 ^xE0503012,787 ^7입니다."
"Forest of Flames","^X0FA5E2화산 지도^7 [^XB1973E화염의 숲^7] 영혼 수확"
"Fragment of Winter","^XC7C75D수로 지도^7 [^XB1973E겨울의 조각^7] 영혼 수확"
"Frost Shield:","서리 방패:"
"Frostbite:","동상:"
"Frostbolt:","서리 구체:"
"Gain on Block:","막아낼 시 획득:"
"Gains reduced Flask Charges:","플라스크 충전 감소:"
"Gorulis, Will-Thief","^XDE7977감염된 계곡 지도^7 [^XB1973E의지를 훔치는 고롤리스^7] 영혼 수확"
"Grants 2 Passive Skill Points","^7패시브 스킬 포인트 2 포인트 제공"
"Greater Harbinger of Time Slipstream buff grants:","상위 시간의 선구자는 저압기류 버프를 부여합니다."
"Greater Harbinger of Time","상위 시간의 선구자"
"Greater Harbinger of Time:","상위 시간의 선구자:"
"Guardian / Pinnacle Boss adds the following modifiers:","가디언 / 피나클 보스는 다음의 보너스 추가:"
"Guardian/Pinnacle Boss","가디언 / 피나클 보스"
"Has a default cap of 20 stacks.","방어 상승은 최대 20까지 중첩되며 6초 지속됩니다."
"Have you Attacked Recently?","최근에 공격을 받았습니까?"
"Have you Blocked Recently?","최근에 차단했습니까?"
"Have you Blocked a Spell Recently?","최근에 주문을 차단했습니까?"
"Have you Blocked an Attack Recently?","최근에 공격을 차단했습니까?"
"Have you Cast a Spell Recently?","최근에 주문을 시전했습니까?"
"Have you Chilled an enemy Recently?","^7최근에 적을 ^x3F6DB3냉각^7 시켰습니까?"
"Have you Crit Recently?","최근에 치명타를 입혔습니까?"
"Have you Cursed an enemy Recently?","최근에 적을 저주한 적이 있습니까?"
"Have you Detonated a Mine Recently","최근에 지뢰를 폭발시켰습니까?"
"Have you Frozen an Enemy Recently?","최근에 적을 동결시켰습니까?"
"Have you Frozen an enemy Recently?","^7최근에 적을 ^x3F6DB3동결^7 시켰습니까?"
"Have you Hit Recently with Your Weapon?","최근에 무기로 공격했습니까?"
"Have you Hit Recently?","최근에 타격했습니까?"
"Have you Hit with a Spell Recently?","최근에 주문을 명중했습니까?"
"Have you Ignited an Enemy Recently?","최근에 적을 점화시켰습니까?"
"Have you Ignited an enemy Recently?","^7최근에 적을 ^xB97123점화^7 시켰습니까?"
"Have you Killed Recently?","당신은 최근에 죽었습니까?"
"Have you Killed in the last 3 Seconds?","최근 3초 내에 적을 처치했습니까?"
"Have you Shattered an Enemy Recently?","최근에 적을 산산조각 냈습니까?"
"Have you Shocked an Enemy Recently?","최근에 적을 감전시켰습니까?"
"Have you Shocked an enemy Recently?","^7최근에 적을 ^xADAA47감전^7 시켰습니까?"
"Have you Stunned an enemy Recently?","최근에 적을 기절시켰습니까?"
"Have you Summoned a Totem Recently?","최근에 토템을 소환했습니까?"
"Have you Suppressed Recently?","최근 주문 억제를 했습니까?"
"Have you been Crit Recently?","최근에 치명타를 받았습니까?"
"Have you been Hit Recently?","최근에 맞았습니까?"
"Have you been Hit by an Attack Recently?","최근 공격을 받은 적이 있습니까?"
"Have you been Savage Hit Recently?","최근 야만적인 타격을 사용했습니까?"
"Have you been hit by Cold Recently?","최근에 ^x3F6DB3냉기^7 피해를 받았습니까?"
"Have you been hit by Fire Recently?","최근에 ^xB97123화염^7 피해를 받았습니까?"
"Have you been hit by Light. Recently?","최근에 ^xADAA47번개^7 피해를 받았습니까?"
"Have you dealt a Non-Crit Recently?","최근에 비-치명타가 있었습니까?"
"Have you stopped taking DoT recently?","최근 지속 피해가 중단되었습니까?"
"Have you taken Spell Damage Recently?","최근 주문 피해를 받은 적이 있습니까?"
"Have you thrown a Trap or Mine Recently?","최근에 덫이나 지뢰를 던졌습니까?"
"Have you used a Cold Skill Recently?","최근에 ^x3F6DB3냉기^7 주문을 시전했습니까?"
"Have you used a Cold Skill in the past 10s?","최근 10초 동안 ^x3F6DB3냉기^7 스킬을 사용했습니까?"
"Have you used a Fire Skill Recently?","최근에 ^xB97123화염^7 주문을 시전했습니까?"
"Have you used a Fire Skill in the past 10s?","최근 10초 동안 ^xB97123화염^7 스킬을 사용했습니까?"
"Have you used a Light. Skill in the past 10s?","최근 10초 동안 ^xADAA47번개^7 스킬을 사용했습니까?"
"Have you used a Minion Skill Recently?","최근에 소환수 스킬을 사용했습니까?"
"Have you used a Movement Skill Recently?","최근에 이동 스킬을 사용했습니까?"
"Have you used a Skill Recently?","최근에 스킬을 사용했습니까?"
"Have you used a Vaal Skill Recently?","최근에 바알 스킬을 사용했습니까?"
"Have you used a Warcry Recently?","최근에 함성을 사용했습니까?"
"Have your Minions Killed Recently?","최근에 소환수가 죽었습니까?"
"Have your Minions been created Recently?","최근에 망령을 소환했습니까?"
"Have your Skills Crit Recently?","최근에 주문 치명타를 입혔습니까?"
"Have your Totems Hit Recently?","최근에 토템이 적중한 적이 있나요?"
"Have your Totems Hit with a Spell Recently?","최근 토템에 주문이 걸렸습니까?"
"Have your Totems Killed Recently?","최근에 토템이 죽었습니까?"
"Heartstopper Mode:","심정지 모드:"
"Help Alira","알리라 돕기"
"Help Kraityn","크라이틴 돕기"
"Help Oak","오크 돕기"
"Herald of Agony:","고통의 전령:"
"Herald of Ash's base Burning damage is equal to 25% of Overkill damage.","^7재의 전령의 기본 ^xB97123화상^7 피해는 과잉 피해의 25%와 같습니다."
"Herald of Ash's base burning damage is equal to 25% of Overkill damage.","재의 전령의 기본 연소 피해는 과잉살상 피해의 25%와 같습니다."
"Herald of Ash:","재의 전령:"
"Hex","사술"
"Hex:","사술:"
"High tier: 36-40%","상급: 36-40%"
"High tier: 9-12%","상급: 9-12%"
"High","높음"
"Highest damage type Override:","가장 높은 피해 유형 재정의:"
"Hit","적중"
"Hits against Brittle enemies have up to +6% Critical Strike Chance.","^x3F6DB3허약^7 상태의 적을 명중 시 치명타 확률이 최대 +6% 증가합니다."
"How many spells cast in the last 8 seconds?","지난 8초 동안 시전한 주문 개수:"
"Huge sets the radius to 11.","범위를 11로 거대로 설정합니다."
"Huge","거대"
"Hybrid Widow","^XC7C75D거미류 무덤 지도^7 [^XB1973E잡종 과부^7] 영혼 수확"
"Ice Nova:","얼음 폭발:"
"If a modifier chooses between just two elements, the full value can only be given as those two elements.","수정자가 두 요소 중에서 선택하는 경우, 전체 값은 두 요소로만 제공됩니다."
"If a specific damage type is selected, that will be the only type used.","만약 특정 피해 유형을 선택하면 그 유형만 사용됩니다."
"If you have a guaranteed source of Blind, the strongest one will apply.","실명시키는 보장된 출처가 있는 경우 가장 강력한 출처의 값이 적용됩니다."
"If you have a guaranteed source of Elusive, the strongest one will apply.","도피 소스가 보장된 경우 가장 강력한 소스가 적용됩니다."
"If you have a guaranteed source of Sap,","^7당신에게 ^xADAA47활력 감소^7 효가를 증가시키는 출처가 있는 경우, 여기에 출처보다 높은 ^xADAA47활력 감소^7 효과 증가량를 입력하지 않으면"
"If you have a guaranteed source of Shock,","^7당신에게 ^xADAA47감전^7 효가를 증가시키는 출처가 있는 경우, 여기에 출처보다 높은 ^xADAA47감전^7 효과 증가량를 입력하지 않으면"
"If you've Blocked in the past {0} seconds, you","지난 {0}초 이내에 막아낸 경우"
"Ignite calculation mode:","점화 계산 모드:"
"Ignore Jewel Limits","주얼 제한 무시"
"Ignore Skill Hit Damage?","스킬 적중 피해 무시?"
"Ignore the limits on jewels","주얼 제한을 무시합니다"
"In addition to allowing 'against Blinded Enemies' modifiers to apply,","이것을 체크하면 ""실명된 적에게 주는"" 보너스가 적용됩니다."
"In addition to allowing any 'against Shocked Enemies' modifiers to apply,","^7이것을 체크하면 '감전된 적에게 주는' 보너스가 적용됩니다."
"In addition to allowing any 'while Elusive' modifiers to apply,","이것을 체크하면 [차원 능력] 버프 효과가 활성화됩니다."
"In addition to allowing any 'while on Consecrated Ground' modifiers to apply,","이것을 체크하면 '신성한 지대에 있는 동안'의 보너스가 적용됩니다."
"In addition to allowing any 'while you have Arcane Surge' modifiers to apply,","이것을 체크하면 '비전 쇄도 상태'의 보너스가 적용됩니다."
"In addition to allowing any 'while you have Fortify' modifiers to apply,","이것을 체크하면 '방어 상승 상태일 때'의 보너스가 적용됩니다."
"In addition to allowing any 'while you have Onslaught' modifiers to apply,","이것을 체크하면 '맹공 상태일 때'의 보너스가 적용됩니다."
"In addition to allowing any 'while you have Tailwind' modifiers to apply,","이것을 체크하면 '순풍 상태일 때'의 보너스가 적용됩니다."
"In addition to allowing any 'while your minions have Onslaught' modifiers to apply,","이것을 체크하면 '망령이 맹공을 갖고 있는 동안'의 보너스가 적용됩니다."
"In addition to allowing any relevant modifiers to apply,","관련 보너스가 모두 적용하는 것 외에도"
"In high tier maps, 'of Elemental Weakness' applies level 15.","상급 맵에서 [원소 약화]의 레벨은 15입니다."
"In high tier maps, 'of Enfeeblement' applies level 15.","상급 맵에서 [쇠약화]의 레벨은 15입니다."
"In high tier maps, 'of Temporal Chains' applies level 15.","상급 맵에서 [시간의 사슬]의 레벨은 15입니다."
"In high tier maps, 'of Vulnerability' applies level 15.","상급 맵에서 [취약성]의 레벨은 15입니다."
"In mid tier maps, 'of Elemental Weakness' applies level 10.","중급 맵에서 [원소 약화]의 레벨은 10입니다."
"In mid tier maps, 'of Enfeeblement' applies level 10.","중급 맵에서 [쇠약화]의 레벨은 10입니다."
"In mid tier maps, 'of Temporal Chains' applies level 10.","중급 맵에서 [시간의 사슬]의 레벨은 10입니다."
"In mid tier maps, 'of Vulnerability' applies level 10.","중급 맵에서 [취약성]의 레벨은 10입니다."
"Incubating","인큐베이팅"
"Infecting","감염"
"Infusion:","주입:"
"Initial effect","초기 효과"
"Innervate:","자극:"
"Intensify:","격화:"
"Intimidated enemies take 10% increased Attack Damage.","[위협]에 걸린 적은 받는 공격 피해가 10% 증가합니다."
"Is Attached to the Enemy?","낙인이 붙은 적입니까?"
"Is Avian's Flight active?","새의 비행이 활성회되었습니까?"
"Is Avian's Might active?","새의 힘이 활성회되었습니까?"
"Is Banner Planted?","깃발이 꽂혀있습니까?"
"Is Bastion of Hope active?","희망의 보루가 활성화되었습니까?"
"Is Cat's Agility active?","고양이의 날렵함이 활성화되었습니까?"
"Is Cat's Stealth active?","고양이의 은신이 활성화되었습니까?"
"Is Combat Rush active?","전투 돌격이 활성화 되었습니까?"
"Is Feeding Frenzy active?","격분 주입이 활성화되어 있습니까?"
"Is Infusion active?","주입이 활성화 되었습니까?"
"Is Innervation active?","자극이 활성화 되었습니까?"
"Is Magmatic Strikes active?","마그마성 일격이 활성화되었습니까?"
"Is Ngamahu, Flame's Advance active?","'불꽃의 진보, 나마후'를 활성화했나요?"
"Is Pendulum of Destruction active?","파괴의 추가 활성화되어 있습니까?"
"Is Slipstream active?:","저압기류가 활성화 되었습니까?:"
"Is the enemy Bleeding?","적이 출혈 상태입니까?"
"Is the enemy Blinded?","적이 실명 상태입니까?"
"Is the enemy Brittle?","^7적이 ^x3F6DB3허약^7 상태입니까?"
"Is the enemy Burning?","^7적이 ^xB97123화상 ^7상태입니까?"
"Is the enemy Chilled?","^7적이 ^x3F6DB3냉각 ^7상태입니까?"
"Is the enemy Crushed?","적이 타쇄 당했습니까?"
"Is the enemy Cursed?","적이 저주를 받았습니까?"
"Is the enemy Deathmarked?","적에게 죽음의 표식이 있습니까?"
"Is the enemy Debilitated?","적이 쇠잔 상태입니까?"
"Is the enemy Exposed to Cold?","^7적이 ^x3F6DB3냉기^7에 노출되어 있습니까?"
"Is the enemy Exposed to Fire?","^7적이 ^xB97123화염^7에 노출되어 있습니까?"
"Is the enemy Exposed to Lightning?","^7적이 ^xADAA47번개^7에 노출되어 있습니까?"
"Is the enemy Frozen?","^7적이 ^x3F6DB3동결 ^7상태입니까?"
"Is the enemy Hindered?","적이 이동 방해 상태입니까?"
"Is the enemy Ignited?","^7적이 ^xB97123점화 ^7상태입니까?"
"Is the enemy Intimidated?","적이 위협 상태입니까?"
"Is the enemy Maimed?","적이 힘줄 절단 상태입니까?"
"Is the enemy Moving?","적이 움직입니까?"
"Is the enemy Poisoned?","적이 중독되었습니까?"
"Is the enemy Sapped?","^7적이 ^xADAA47활력 감소^7 상태입니까?"
"Is the enemy Scorched?","^7적이 ^xB97123그을려^7 있습니까?"
"Is the enemy Shocked?","^7적이 ^xADAA47감전^7 상태입니까?"
"Is the enemy Taunted?","^7적이 도발 ^7상태입니까?"
"Is the enemy Unnerved?","적이 낙담 상태입니까?"
"Is the enemy a Boss?","적이 보스입니까?"
"Is the enemy at Close Range?","적이 가까이 있습니까?"
"Is the enemy covered in Ash?","적이 재로 덮여있습니까?"
"Is the enemy covered in Frost?","적이 서리에 뒤덮인 상태입니까?"
"Is the enemy in a Chilling area?","^7적이 냉각 지역 안에 있습니까?"
"Is the enemy marked with Signal Prey?","적이 사냥감으로 표시되었습니까?"
"Is the enemy near you?","근처에 적이 있습니까?"
"Is the enemy on Consecrated Ground?","적이 신성한 대지에 있습니까?"
"Is the enemy on Full Life?","적이 최대 생명력입니까?"
"Is the enemy on Fungal Ground?","적이 곰팡이 지대에 있습니까?"
"Is the enemy on Low Life?","^7적이 낮은 생명력입니까?"
"Is the enemy on Profane Ground?","적이 부정 지대에 있습니까?"
"Is the enemy on Scorched Ground?","^7적이 그을린 지대에 서 있습니까?"
"Is the enemy on Shocked Ground?","^7적이 감전 지대에 있습니까?"
"Is there only one nearby Enemy?","근처에 적이 하나만 있습니까?"
"Is three separate hits, and has a large DoT effect.  Neither is taken into account here.  \n	i.e. Hits before death should be more than 3 to survive.","3번의 개별 적중이 필요하며, 지속피해 효과가 큽니다. 여기서는 둘 다 고려되지 않습니다.\n예: 죽기 전의 적중 횟수는 생존을 위해 3회 이상이어야 합니다"
"Is your Crit Chance Lucky?","당신의 치명타 확률은 행운입니까?"
"Kill all","도적 모두 처치"
"Killed Enemy affected by your DoT Recently?","최근 지속 피해를 적을 죽였습니까?"
"Killed enemy affected by your DoT Recently?","최근 지속 피해를 받는 적을 죽였습니까?"
"Labyrinth","미궁"
"Large sets the radius to 5.","범위를 5로 대형으로 설정합니다."
"Last {0}% of Attached Duration?","부착 지속 시간이 {0}% 경과했습니까?"
"Less Accuracy                                 Players have Ratingof Imprecision","플레이어 정확도 감폭"
"Less Area of Effect:                                of Impotence","효과 범위 감폭"
"Less Area of Effect:","효과 범위 감소:"
"Less Cooldown Recovery                                 Players have Rateof Fatigue","재사용 대기시간 회복 속도 감폭"
"Less Curse effect                                of Curses on enemyHexwarded","저주 효과 감폭"
"Less Curse effect","저주 효과 감소"
"Less Recovery Rate of Life and Energy Shield:                                of Smothering","^8생명력 및 에너지 보호막 회복 속도 감폭"
"Less Recovery Rate of Life and Energy Shield:","생명력 및 에너지 보호막 회복 속도 감폭:"
"Less effect of Curses on enemy:","적에 대한 저주 효과 감소:"
"Level: 1 (Max)","레벨:^7 1 (최대)"
"Level: 20 (Max)","레벨:^7 20 (최대)"
"Level: 21 (Max)","레벨:^7 21 (최대)"
"Level: 3 (Max)","^8레벨:^7 3 (최대)"
"Level: 5 (Max)","레벨:^7 5 (최대)"
"Level: {0}","레벨: ^7{0}"
"Life Flasks gain 3 Charges every 3 seconds if you haven't used a Life Flask Recently","최근 4초 이내 생명력 플라스크를 사용하지 않은 경우, 3초마다 생명력 플라스크 3 충전"
"Life on Block:","생명력 획득:"
"Life per second:","초당 생명력 소모:"
"Life regen calculation mode:","생명력 재생 계산 방식:"
"Link Skills:","연결 스킬:"
"Lost an Endurance Charge in the past 8s?","지난 8초 안에 인내 충전을 잃었습니까?"
"Low tier: 25-30%","하급: 25-30%"
"Low","낮음"
"Lowest Resonance Count:","가장 낮은 원소의 공명 수:"
"MH Eff. DoT Multi:","MH 지속피해 배율:"
"Major God:","판데온 주요신:"
"Maligaro the Mutilator","^X0FA5E2무성한 송소 지도^7 [^XB1973E절단자 말리가로^7] 영혼 수확"
"Mana on Block:","마나 획득:"
"Map Prefix Modifiers:","지도 접두사 속성 부여:"
"Map Suffix Modifiers:","지도 접미사 속성 부여:"
"Map Tier","지도 등급"
"Mark","징표"
"Maven Fireball","메이븐의 화염구"
"Maven Memory Game","메이븐의 기억 게임"
"Max Hit","최대 적중"
"Max Hit: Shows maximum hit for lining up all warcries.","최대 적중: 모든 함성을 정렬할 때 최대 적중 횟수를 표시합니다."
"Max Number of Seals:","최대 봉인 해제 수:"
"Maximum Chill:","최대 냉각:"
"Maximum Damage Reduction for any Damage Type is 50%","모든 피해 유형에 대한 피해 감소의 최대치는 50%"
"Maximum Shock:","최대 감전:"
"Maximum effect","최대 효과"
"Maximum is limited by the number of Projectiles.","최대 값은 투사체 수로 제한됩니다."
"Maximum","최대"
"Meat Shield:","육탄 방어:"
"Med","중간"
"Medium sets the radius to 3.","범위를 3로 중간으로 설정합니다."
"Megaera","^XDE7977분화구 지도^7 [^XB1973E메가이라^7] 영혼 수확"
"Melee distance to enemy:","적과의 근접 거리:"
"Melee","근접"
"Mephod, the Earth Scorcher","^XC7C75D꼭대기 지도^7 [^XB1973E땅을 태우는 메포드^7] 영혼 수확"
"Merciless Labyrinth","무자비한 미궁"
"Mid tier: 31-35%","중급: 31-35%"
"Mid tier: 5-8%","중급: 5-8%"
"Minimum","최소"
"Minion is always on Full Energy Shield?","^7소환수의 ^x88FFFF에너지 보호막^7이 항상 최대입니까?"
"Minor God:","판데온 보조신:"
"Molten Shell:","용암 방패:"
"Momentum:","기세:"
"Movement","이동"
"Moving while Bleeding doesn't cause you to take extra Damage","출혈 상태에서 이동해도 추가 피해를 받지 않음"
"Multi-part area skills:","다중 공격 범위 스킬:"
"Nearby Allies have {0} increased Area of Effect","주변 동료들의 효과 범위 {0} 증가"
"Nearby Allies have {0} increased Attack, Cast and Movement Speed","주변 동료들의 공격, 시전 및 이동 속도 {0} 증가"
"Net Life Regen:","순 생명력 재생:"
"Net Mana Regen:","순 마나 재생:"
"No summoned Totems in the past 2 seconds?","지난 2초 동안 소환된 토템이 없습니까?"
"Normal Enemies in AoE:","효과 범위 안에 있는 일반 적:"
"Normal Labyrinth","미궁"
"Omni. Required:","필요 전지력:"
"One wave hitting","1개의 파도가 타격"
"Only non-instant spells you cast count","당신이 시전하는 비-즉시 주문만 계산됩니다."
"Only the number of different spells you cast count","당신이 시전하는 다양한 비-즉시 주문 개수입니다."
"Overkill damage:","과잉살상 피해:"
"Pinnacle Boss","피나클 보스"
"Pirate Treasure","^XDE7977만 지도^7 [^XB1973E해적 보물^7] 영혼 수확"
"Plague Bearer:","독성 운반자:"
"Player has Elemental Equilibrium?","플레이어가 원소 균형 보유"
"Player has Point Blank?","플러이어가 근접 사격 보유?"
"Player is cursed by:","플레이어의 시전 저주:"
"Poacher's Mark:","밀렵꾼의 징표:"
"Power determines how strong your Warcry buffs will be, and is based on the total strength of nearby enemies.","위세는 함성 버프의 강도를 결정하며 주변 적의 총 위세를 기반으로 합니다."
"Power is assumed to be 20 if your target is a Boss, but you can override it here if necessary.","위세는 대상이 보스인 경우 위세가 20으로 간주되지만, 필요한 경우 여기에서 재정의할 수 있습니다."
"Predator:","포식자:"
"Pride Aura Effect:","자부심 오라 효과:"
"Pride:","자부심:"
"Primal Aegis","원시 비호"
"Projectile Spell","투사체 주문"
"Projectile Weakness:","투사체 약화:"
"Projectile spell","투사체 주문"
"Projectile travel distance:","투사체 이동 거리:"
"Projectile","투사체"
"Punishment:","응징:"
"Puruna, the Challenger","^X0FA5E2산호섬 지도^7 [^XB1973E도전자 푸루나^7] 영혼 수확"
"PvP Tvalue override (ms):","PvP Tvalue 재정의(ms):"
"PvP damage scaling in effect","PvP 피해 조정 적용"
"Queen of the Great Tangle","^XDE7977밀림 계곡 지도^7 [^XB1973E거대한 덩굴의 여왕^7] 영혼 수확"
"Rage Vortex:","격노의 소용돌이:"
"Rage:","격노:"
"Raise Spectre:","망령 소환:"
"Raise Spiders:","거미 소환:"
"Raise Zombie:","좀비 소환:"
"Rampage grants the following, up to 1000 stacks:","광란으로 적을 연속해서 처치하면 다음 효과가 부여됩니다. (최대 1000):"
"Random element mode:","무작위 속성 방식:"
"Recovers {0} Mana instantly","즉시 마나 ^7{0}^8 회복"
"Red","^xE05030빨강"
"Reduced Aura Effect                                 Players have Non-Curse Auras from Skillsof Doubt","플레이어 버프가 빠르게 만료됨"
"Reduced Block Chance / less Armour:                                of Rust","방어력 감폭/막기 확률 감소"
"Reduced Block Chance/less Armour:","막기 확률 감소/방어도 감폭:"
"Regenerate 2% of Life per second while stationary","정지 상태일 때 1초마다 생명력의 2% 재생"
"Regenerate 5 Mana per second","^71초마다 마나 5 재생"
"Repeat Mode","반복 방식"
"Resistance penalty:","저항 패널티:"
"Sand Stance","모래 태세"
"Sapped enemies deal less damage, up to 20%.","^7활력 감속 상태의 적이 가하는 피해가 최대 20% 감폭됩니다. 4초동안 유지됩니다."
"Scorched enemies have lowered elemental resistances, up to -30%.","^xB97123그을린^7 적들은 원소 저항을 최대 -30%까지 감소시킵니다."
"Scorching Ray Totem stage count:","작열 광선 단계 수:"
"Seal Gain Frequency:","봉인 해제 빈도:"
"Sets current number of Bleeds on the enemy if using the Crimson Dance keystone.","진홍색 춤을 사용하는 경우 적의 현재 출혈 유발 횟수를 설정합니다."
"Sets the EHP calc to not apply gain on block and suppress effects","차단 및 억제할 때 획득하는 유효 생명력(EHP)을 계산하지 않토록 설정합니다."
"Sets the EHP calc to pretend its unlucky and reduce the effects of random events","유효 생명력(EHP) 계산이 불운한 것처럼 가장하고 무작위 이벤트의 영향을 줄이도록 설정합니다"
"Sets the amount of resonance on the lowest element.","가장 낮은 원소의 공명 량을 설정합니다."
"Sets the blade count for Blade Vortex skills used by spectres.","망령이 사용하는 칼날 소용돌이 칼날 개수를 설정합니다."
"Sets the level of Assassin's Mark to apply to the player.","플레이어에게 적용 할 [암살자 징표]의 레벨을 설정합니다."
"Sets the level of Conductivity to apply to the player.","플레이어에게 적용 할 [전도성]의 레벨을 설정합니다."
"Sets the level of Despair to apply to the player.","플레이어에게 적용 할 [절망]의 레벨을 설정합니다."
"Sets the level of Elemental Weakness to apply to the player.","플레이어에게 적용 할 [원소 약화]의 레벨을 설정합니다."
"Sets the level of Enfeeble to apply to the player.","플레이어에게 적용 할 [쇠약화]의 레벨을 설정합니다."
"Sets the level of Flammability to apply to the player.","플레이어에게 적용 할 [인화성]의 레벨을 설정합니다."
"Sets the level of Frostbite to apply to the player.","플레이어에게 적용 할 [동상]의 레벨을 설정합니다."
"Sets the level of Poacher's Mark to apply to the player.","플레이어에게 적용 할 [밀렵꾼의 징표]의 레벨을 설정합니다."
"Sets the level of Projectile Weakness to apply to the player.","플레이어에게 적용 할 [투사체 약화]의 레벨을 설정합니다."
"Sets the level of Punishment to apply to the player.","플레이어에게 적용 할 [응징]의 레벨을 설정합니다."
"Sets the level of Temporal Chains to apply to the player.","플레이어에게 적용 할 [시간의 사슬]의 레벨을 설정합니다."
"Sets the level of Vulnerability to apply to the player.","플레이어에게 적용 할 [취약성]의 레벨을 설정합니다."
"Sets the level of Warlord's Mark to apply to the player.","플레이어에게 적용 할 [전쟁군주의 징표]의 레벨을 설정합니다."
"Sets the level of the raised spectre.","망령 소환의 레벨을 설정합니다."
"Sets the maximum life of the skeleton that is being targeted.","대상이되는 해골의 최대 수명을 설정합니다."
"Sets the maximum life of the target corpse for Detonate Dead and similar skills.","^7시체 폭발 및 유사한 스킬의 대상 시체의 최대 생명력을 설정합니다."
"Sets the number of active Spectral Wolves.","활성화된 영체 늑대왕 수를 설정합니다."
"Sets the number of enemies affected by Siphoning Trap.","착취 덫의 영향을 받는 적의 수를 설정합니다."
"Shaper Ball","쉐이퍼의 공"
"Shaper Slam","쉐이퍼의 강타"
"Shaper/Guardian adds the following modifiers:","쉐이퍼/가디언은 다음의 보너스 추가:"
"Shaper/Guardian","쉐이퍼/가디언"
"Shock Effect Mod:","감전 효과 배율:"
"Sigil of Power:","힘의 부적:"
"Siphoning Trap:","착취 덫:"
"Sirus Meteor","사이러스의 유성"
"Sirus adds the following modifiers:","사이러스는 다음의 보너스 추가:"
"Sirus","사이러스"
"Skeleton Life:","해골 생명력:"
"Small sets the radius to 2.","범위를 2로 작게 설정합니다."
"Snipe:","저격:"
"Soul Eater grants the following","영혼 포식자는 다음을 부여합니다."
"Soul of Abberath","^XB1973E아버라스의 영혼^8(Soul of Abberath)^7 액트 6장"
"Soul of Arakaali","^XB1973E아라칼리의 영혼^8(Soul of Arakaali)^7 액트 7장"
"Soul of Garukhan","^XB1973E가루칸의 영혼^8(Soul of Garukhan)^7 액트 9장"
"Soul of Gruthkul","^XB1973E그루스컬의 영혼^8(Soul of Gruthkul)^7 액트 7장"
"Soul of Lunaris","^XB1973E루나리스의 영혼^8(Soul of Lunaris)^7 액트 8장"
"Soul of Ralakesh","^XB1973E랄라케쉬의 영혼^8(Soul of Ralakesh)^7 액트 7장"
"Soul of Ryslatha","^XB1973E리슬라사의 영혼^8(Soul of Ryslatha)^7 액트 6장"
"Soul of Shakari","^XB1973E샤카리의 영혼^8(Soul of Shakari)^7 액트 9장"
"Soul of Solaris","^XB1973E솔라리스의 영혼^8(Soul of Solaris)^7 액트 8장"
"Soul of Tukohama","^XB1973E투코하마의 영혼^8(Soul of Tukohama)^7 액트 6장"
"Soul of Yugul","^XB1973E유굴의 영혼^8(Soul of Yugul)^7 액트 8장"
"Soul of the Brine King","^XB1973E염수왕의 영혼^8(Soul of the Brine King)^7 액트 6장"
"Spawned a corpse Recently?","최근에 시체를 소환했습니까?"
"Spawns 8-18 waves of balls depending on which fight and which ball phase","전투와 공 단계에 따라 8-18개의 공 물결을 생성합니다."
"Spectral Wolf:","영체 늑대:"
"Spectre Level:","망령 레벨:"
"Spell","주문"
"Stages:","단계:"
"Stalker of the Endless Dunes","^XDE7977발굴지 지도^7 [^XB1973E끝없는 사구의 추적자^7] 영혼 수확"
"Stance Skills:","태세 스킬:"
"Stance:","시전자의 자세는?:"
"Standard Boss adds the following modifiers:","일반 보스는 다음의 보너스 추가:"
"Standard Boss","일반 보스"
"State:","상태:"
"Steel Skills:","파편 스킬:"
"Storm Rain","폭풍우"
"Storm Rain:","폭풍우:"
"Strike","타격"
"Stunned while Casting Recently?","최근 기절해서 시전했습니까?"
"Summon Greater Harbinger of Time","상위 시간의 선구자 소환"
"Summon Holy Relic:","신성한 유물 소환:"
"Summon Lightning Golem:","번개 골렘 소환:"
"Summoned Golem in past 8 Seconds?","지난 8초 이내에 골렘을 소환했습니까?"
"Summoned a Golem in the past {0} Seconds?","최근 {0}초 이내에 골렘이 소환되었습니까?"
"Sumter the Twisted","^XDE7977강어귀 지도^7 [^XB1973E뒤틀린 섬터^7] 영혼 수확"
"Support","보조"
"Swiftness # of Momentum Removed:","재빠름이 상실한 기세 개수:"
"Tahsin, Warmaker","^XC7C75D공성 지도^7 [^XB1973E전쟁광 타식^7] 영혼 수확"
"Tailwind","순풍"
