" Beyond Bosses cannot spawn","이계 보스가 생성되지 않음"
"If you've Impaled an Enemy Recently, you","최근 4초 이내 적을 꿰뚫은 경우, 자신 및"
"If you've Warcried Recently, you and nearby allies deal {0}% increased Damage","최근 4초 이내 함성을 시전한 경우 자신 및 주변 동료들이 주는 피해 {0}% 증가"
"If you've Warcried Recently, you and nearby allies have {0}% increased Attack, Cast and Movement Speed","최근 4초 이내 함성을 시전한 경우 자신 및 주변 동료들의 공격, 시전 및 이동 속도 {0}% 증가"
"If you've Warcried Recently, you and nearby allies","최근 4초 이내 함성을 시전한 경우 자신 및"
"If you've used a Skill Recently, you and nearby Allies have Tailwind","최근 4초 이내 스킬을 사용한 경우, 자신 및 주변 동료들이 순풍 획득"
"Ignite on Cursed enemies has {0}% increased Duration","저주받은 적을 {0}% 증가한 지속시간 동안 점화"
"Ignite on Cursed enemies has {0}% reduced Duration","저주받은 적을 {0}% 감소한 지속시간 동안 점화"
"Ignited Enemies Burn {0}% slower","점화된 적의 화상 {0}% 감속"
"Ignited Enemies Killed by your Hits are destroyed","플레이어에게 피격되어 점화가 유발된 적이 사망 시 파괴됨"
"Ignited enemies cannot Ignite you","점화된 적이 플레이어 점화 불가"
"Ignites caused by Minions spread to other nearby Enemies","소환수에 의해 발생하는 점화가 주변의 다른 적에게도 확산"
"Ignites caused by Supported Skills spread to other Enemies within a Radius of {0}","보조 대상 스킬로 발생한 점화가 반경 {0} 이내의 다른 적에게 확산"
"Ignites caused by Supported Skills spread to other Enemies within {0} metre","보조 대상 스킬로 유발된 점화가 {0}미터 내의 다른 적에게 확산"
"Ignites caused by Supported Skills spread to other Enemies within {0} metres","보조 대상 스킬로 유발된 점화가 {0}미터 내의 다른 적에게 확산"
"Ignites caused by this Attack or Minions spread to other nearby Enemies","이 공격 또는 소환수로 인해 발생하는 점화가 주변의 다른 적에게 확산"
"Ignites caused by this Skill spread to other nearby Enemies","이 스킬로 발생한 점화가 주변의 다른 적에게 확산"
"Ignites caused by this Spell or Minions spread to other nearby Enemies","이 주문 또는 소환수로 인해 발생하는 점화가 주변의 다른 적에게 확산"
"Ignites deal Damage {0}% faster","점화 피해 {0}% 가속"
"Ignites deal Damage {0}% slower","점화 피해 {0}% 감속"
"Ignites from Stunning Melee Hits deal {0}% less Damage","기절을 유발하는 근접 명중으로 주는 점화 피해 {0}% 감폭"
"Ignites from Stunning Melee Hits deal {0}% more Damage","기절을 유발하는 근접 명중으로 주는 점화 피해 {0}% 증폭"
"Ignites from Supported Skills deal Damage {0}% faster","보조 대상 스킬의 점화 피해 {0}% 가속"
"Ignites from Supported Skills deal Damage {0}% slower","보조 대상 스킬의 점화 피해 {0}% 감속"
"Ignites inflicted with this Weapon deal {0}% less Damage","이 무기로 유발한 점화 피해 {0}% 감폭"
"Ignites inflicted with this Weapon deal {0}% more Damage","이 무기로 유발한 점화 피해 {0}% 증폭"
"Ignites you cause are reflected back to you","자신이 유발한 점화가 자신에게 반사됨"
"Ignites you inflict deal Damage {0}% faster","플레이어가 유발한 점화가 피해 {0}% 가속"
"Ignites you inflict spread to other Enemies within a Radius of {0} metres","플레이어가 유발한 점화가 {0}미터 내의 다른 적에게 확산"
"Ignites you inflict spread to other Enemies within a Radius of {0}","플레이어가 유발한 점화가 반경 {0} 이내의 다른 적에게 확산"
"Ignites you inflict spread to other Enemies within {0} metre","플레이어가 유발한 점화가 {0}미터 내의 다른 적에게 확산"
"Ignites you inflict spread to other Enemies within {0} metres","플레이어가 유발한 점화가 {0}미터 내의 다른 적에게 확산"
"Ignites you inflict with Attacks deal Damage {0}% faster","플레이어의 공격으로 유발한 점화가 피해 {0}% 가속"
"Igniting Enemies creates Burning Ground, no more than once per second","적에게 점화 유발 시 용암 지대 생성, 1초마다 최대 1회 생성"
"Ignore Attribute Requirements","능력치 요구사항 무시"
"Ignore Stuns While Using this Skill","이 스킬을 사용하는 동안 기절 무시"
"Ignore Stuns while Casting","시전하는 동안 기절 무시"
"Ignore Stuns while Using Supported Skills","보조 대상 스킬을 사용하는 동안 기절 무시"
"Ignore Stuns while using Socketed Attack Skills","장착된 공격 스킬을 사용하는 동안 기절 무시"
"Ignore all Movement Penalties from Armour","갑옷으로 인한 모든 이동 페널티 무시"
"Ignores Summoning Towers","소환의 탑 무시함"
"Illusion moves at an additional {0}% of your Movement Speed","환상이 플레이어 이동 속도의 추가 {0}%로 이동"
"Illusion moves at {0}% of your Movement Speed","환상이 플레이어 이동 속도의 {0}%로 이동"
"Imbalanced Guard","불안정한 방어"
"Immortal Ambition","불멸의 야망"
"Immortal Call Grants {0}% less Elemental Damage taken per Endurance Charge removed","불멸의 외침 사용 시 인내 충전을 소모할 때마다 받는 원소 피해 {0}% 감폭"
"Immortal Call Grants {0}% more Elemental Damage taken per Endurance Charge removed","불멸의 외침 사용 시 인내 충전을 소모할 때마다 받는 원소 피해 {0}% 증폭"
"Immortal Call has {0}% increased Buff Duration per Endurance Charge removed","인내 충전을 소모할 때마다 불멸의 외침 버프 지속시간 {0}% 증가"
"Immortal Call has {0}% reduced Buff Duration per Endurance Charge removed","인내 충전을 소모할 때마다 불멸의 외침 버프 지속시간 {0}% 감소"
"Immortal Call increases Duration without removing Endurance Charges","인내 충전 제거 없이 불멸의 외침 지속시간 증가"
"Immune to Bleeding if Equipped Helmet has higher Armour than Evasion Rating","장착한 투구의 방어도가 회피보다 높은 경우 출혈 면역"
"Immune to Burning Ground, Shocked Ground and Chilled Ground","용암 지대, 감전 지대 및 얼음 지대에 면역"
"Immune to Chill","냉각에 면역"
"Immune to Cold Ailments","냉기 상태 이상 면역"
"Immune to Cold Damage","냉기 피해 면역"
"Immune to Curses if Corrupted","타락 시 저주 면역"
"Immune to Curses if you've cast Despair in the past {0} seconds","최근 {0}초 이내 절망을 시전한 경우 저주에 면역"
"Immune to Curses while Channelling","집중 유지하는 동안 저주에 면역"
"Immune to Curses while you have at least {0} Rage","격노가 {0} 이상인 경우 저주에 면역"
"Immune to Elemental Ailments during any Flask Effect","아무 플라스크나 효과를 받는 동안 원소 상태 이상에 면역"
"Immune to Elemental Ailments while Phasing","차원 능력 상태에서 원소 상태 이상에 면역"
"Immune to Elemental Ailments while affected by Glorious Madness","찬란한 광기의 영향을 받는 동안 원소 상태 이상에 면역"
"Immune to Elemental Ailments while on Consecrated Ground if you have at least {0} Devotion","헌신이 {0} 이상인 경우 신성화 지대에 있는 동안 원소 상태 이상에 면역"
"Immune to Elemental Ailments while on Consecrated Ground","신성화 지대에 있는 동안 원소 상태 이상에 면역"
"Immune to Elemental Ailments while you have Arcane Surge","비전 쇄도 상태에서 원소 상태 이상에 면역"
"Immune to Exposure if you've cast Elemental Weakness in the past {0} seconds","최근 {0}초 이내 원소 약화를 시전한 경우 노출에 면역"
"Immune to Exposure","노출 면역"
"Immune to Fire Damage","화염 피해에 면역"
"Immune to Freeze and Chill while Ignited","점화 상태에서 동결 및 냉각에 면역"
"Immune to Freeze while affected by Purity of Ice","얼음의 순수함의 영향을 받는 동안 동결에 면역"
"Immune to Freeze","동결 면역"
"Immune to Hinder","이동 방해 면역"
"Immune to Ignite and Shock","점화 및 감전에 면역"
"Immune to Ignite while affected by Purity of Fire","불의 순수함의 영향을 받는 동안 점화에 면역"
"Immune to Ignite","점화에 면역"
"Immune to Maim","힘줄 절단 면역"
"Immune to Poison if Equipped Helmet has higher Evasion Rating than Armour","장착한 투구의 회피가 방어도보다 높은 경우 중독 면역"
"Immune to Poison","중독에 면역"
"Immune to Reflected Damage if you've cast Punishment in the past {0} seconds","최근 {0}초 이내 응징을 시전한 경우 반사 피해에 면역"
"Immune to Shock while affected by Purity of Lightning","번개의 순수함의 영향을 받는 동안 감전에 면역"
"Immune to Shock","감전에 면역"
"Immune to Withered","위축 면역"
"Immune to all Ailments","모든 상태 이상 면역"
"Immune to lightning Damage","번개 피해 면역"
"Immunity to Bleeding and Corrupted Blood during Effect","효과를 받는 동안 출혈 및 타락한 피 면역"
"Immunity to Damage during Effect","효과를 받는 동안 피해에 면역"
"Immunity to Freeze and Chill during Effect","효과를 받는 동안 동결 및 냉각 면역"
"Immunity to Freeze, Chill, Curses and Stuns during Effect","효과를 받는 동안 동결, 냉각, 저주 및 기절에 면역"
"Immunity to Ignite during Effect","효과를 받는 동안 점화에 면역"
"Immunity to Poison during Effect","효과를 받는 동안 중독 면역"
"Immunity to Shock during Effect","효과를 받는 동안 감전 면역"
"Impacts have {0}% less Area of Effect","충격의 효과 범위 {0}% 감폭"
"Impacts have {0}% more Area of Effect","충격의 효과 범위 {0}% 증폭"
"Impale Damage dealt to Enemies Impaled by Minions Overwhelms {0}% Physical Damage Reduction","소환수에게 꿰뚫린 적에게 주는 꿰뚫기 피해가 물리 피해 감소의 {0}% 압도"
"Impale Damage dealt to Enemies Impaled by Supported Skills Overwhelms {0}% Physical Damage Reduction","보조 대상 스킬에 꿰뚫린 적에게 주는 꿰뚫기 피해가 물리 피해 감소의 {0}% 압도"
"Impale Damage dealt to Enemies Impaled by this Skill Overwhelms {0}% Physical Damage Reduction","이 스킬로 꿰뚫린 적에게 주는 꿰뚫기 피해가 물리 피해 감소의 {0}% 압도"
"Impale Damage dealt to Enemies Impaled by this Skill or Minions Overwhelms {0}% Physical Damage Reduction","이 스킬로 꿰뚫리거나 소환수에게 꿰뚫린 적에게 주는 꿰뚫기 피해가 물리 피해 감소의 {0}%의 압도"
"Impale Damage dealt to Enemies Impaled by you Overwhelms {0}% Physical Damage Reduction","내가 꿰뚫은 적에게 주는 꿰뚫기 피해가 물리 피해 감소의 {0}% 압도"
"Impale Enemies on Hit with Attacks while using Pride","자부심을 사용하는 동안 공격 명중 시 적을 꿰뚫음"
"Impale Enemies on Hit with Attacks","공격 명중 시 적 꿰뚫음"
"Impale Enemies on Hit","명중 시 적을 꿰뚫음"
"Impales on Enemies you Kill Reflect Damage to surrounding Enemies","처치하는 적에게 부여된 꿰뚫기가 주변 적들에게 피해 반사"
"Impales removed this way multiply their Reflected Damage for this Hit by the number of Hits they have left","이 효과로 제거된 꿰뚫기는 이 명중의 반사 피해에 남은 명중 횟수를 곱함"
"Impales you inflict last {0} additional Hit","플레이어가 부여한 꿰뚫기 효과가 {0}회 추가로 적중할 동안 유지됨"
"Impales you inflict last {0} additional Hits while using Pride","자부심을 사용하는 동안 플레이어가 유발하는 꿰뚫기 효과가 {0}회 추가 적중할 동안 유지됨"
"Impales you inflict last {0} additional Hits","플레이어가 부여한 꿰뚫기 효과가 {0}회 적중할 동안 유지됨"
"Implicit Modifier magnitudes are doubled","고정 속성 부여 규모 2배 증가"
"Implicit Modifier magnitudes are tripled","고정 속성 부여 규모 3배 증가"
"Implicit Modifiers Cannot Be Changed","고정 속성 변경 불가"
"Imprisoned Monsters deal {0}% increased Damage","갇힌 몬스터가 주는 피해 {0}% 증가"
"Imprisoned Monsters deal {0}% reduced Damage","갇힌 몬스터가 주는 피해 {0}% 감소"
"Imprisoned Monsters drop an additional Rare Item with an Essence Modifier","갇힌 몬스터가 에센스 속성이 부여된 희귀 아이템 1개를 추가로 떨어뜨림"
"Imprisoned Monsters have an additional Essence","갇힌 몬스터가 에센스를 추가로 보유"
"Imprisoned Monsters have {0} Essences","갇힌 몬스터가 에센스 {0}개 보유"
"Imprisoned Monsters have {0} additional Essences","갇힌 몬스터가 에센스 {0}개를 추가로 보유"
"Imprisoned Monsters have {0}% chance to drop an additional Rare Item with an Essence Modifier","갇힌 몬스터가 {0}%의 확률로 에센스 속성이 부여된 희귀 아이템 1개를 추가로 떨어뜨림"
"Imprisoned Monsters have {0}% increased Action Speed","갇힌 몬스터의 동작 속도 {0}% 증가"
"Imprisoned Monsters have {0}% reduced Action Speed","갇힌 몬스터의 동작 속도 {0}% 감소"
"Imprisoned Monsters take {0}% increased Damage","갇힌 몬스터가 받는 피해 {0}% 증가"
"In Heists Chaos Orbs drop as Blessed Orbs instead","강탈에서 카오스 오브가 축복의 오브로 떨어짐"
"In Heists Chaos Orbs drop as Divine Orbs instead","강탈에서 카오스 오브가 신성한 오브로 떨어짐"
"In Heists Chaos Orbs drop as Exalted Orbs instead","강탈에서 카오스 오브가 엑잘티드 오브로 떨어짐"
"In Heists Chromatic Orbs drop as Jeweller's Orbs instead","강탈에서 색채의 오브가 쥬얼러 오브로 떨어짐"
"In Heists Chromatic Orbs drop as Orbs of Fusing instead","강탈에서 색채의 오브가 연결의 오브로 떨어짐"
"In Heists Jeweller's Orbs drop as Orbs of Fusing instead","강탈에서 쥬얼러 오브가 연결의 오브로 떨어짐"
"In Heists Orbs of Alchemy drop as Blessed Orbs instead","강탈에서 연금술의 오브가 축복의 오브로 떨어짐"
"In Heists Orbs of Alchemy drop as Divine Orbs instead","강탈에서 연금술의 오브가 신성한 오브로 떨어짐"
"In Heists Orbs of Alchemy drop as Exalted Orbs instead","강탈에서 연금술의 오브가 엑잘티드 오브로 떨어짐"
"In Heists Orbs of Alteration drop as Chaos Orbs instead","강탈에서 변화의 오브가 카오스 오브로 떨어짐"
"In Heists Orbs of Alteration drop as Orbs of Alchemy instead","강탈에서 변화의 오브가 연금술의 오브로 떨어짐"
"In Heists Orbs of Alteration drop as Regal Orbs instead","강탈에서 변화의 오브가 제왕의 오브로 떨어짐"
"In Heists Orbs of Augmentation drop as Chaos Orbs instead","강탈에서 확장의 오브가 카오스 오브로 떨어짐"
"In Heists Orbs of Augmentation drop as Orbs of Alchemy instead","강탈에서 확장의 오브가 연금술의 오브로 떨어짐"
"In Heists Orbs of Augmentation drop as Regal Orbs instead","강탈에서 확장의 오브가 제왕의 오브로 떨어짐"
"In Heists Orbs of Regret drop as Orbs of Annulment instead","강탈에서 후회의 오브가 소멸의 오브로 떨어짐"
"In Heists Orbs of Scouring drop as Orbs of Annulment instead","강탈에서 정제의 오브가 소멸의 오브로 떨어짐"
"In Heists Orbs of Scouring drop as Orbs of Regret instead","강탈에서 정제의 오브가 후회의 오브로 떨어짐"
"In Heists Orbs of Transmutation drop as Chaos Orbs instead","강탈에서 진화의 오브가 카오스 오브로 떨어짐"
"In Heists Orbs of Transmutation drop as Orbs of Alchemy instead","강탈에서 진화의 오브가 연금술의 오브로 떨어짐"
"In Heists Orbs of Transmutation drop as Regal Orbs instead","강탈에서 진화의 오브가 제왕의 오브로 떨어짐"
"In Heists Regal Orbs drop as Blessed Orbs instead","강탈에서 제왕의 오브가 축복의 오브로 떨어짐"
"In Heists Regal Orbs drop as Divine Orbs instead","강탈에서 제왕의 오브가 신성한 오브로 떨어짐"
"In Heists Regal Orbs drop as Exalted Orbs instead","강탈에서 제왕의 오브가 엑잘티드 오브로 떨어짐"
"Incinerate has {0} to maximum stages","소각의 단계 최대치 {0}"
"Incinerate has {0}% increased Area of Effect","소각의 효과 범위 {0}% 증가"
"Incinerate has {0}% reduced Area of Effect","소각의 효과 범위 {0}% 감소"
"Incinerate starts with {0} additional Stages","소각이 추가 {0}단계를 가지고 시작"
"Increase Attack, Cast and Movement Speed by {0}% every second during Effect","효과를 받는 동안 초마다 공격, 시전 및 이동 속도 {0}% 증가"
"Increases and Reductions to Armour also apply to Energy Shield Recharge Rate","방어도 증가 및 감소 수치를 에너지 보호막 재충전 속도에도 적용"
"Increases and Reductions to Cast Speed also Apply to Trap Throwing Speed","시전 속도 증가 및 감소가 덫 투척 속도에도 적용"
"Increases and Reductions to Cast Speed also apply to Projectile Frequency","시전 속도 증가 및 감소가 투사체 빈도에도 적용"
"Increases and Reductions to Cast Speed also apply to this Skill's Activation frequency","시전 속도 증가 및 감소 수치를 이 스킬의 활성화 빈도에도 적용"
"Increases and Reductions to Cast Speed apply to Attack Speed at {0}% of their value","시전 속도 증가 및 감소가 해당 값의 {0}%만큼 공격 속도에도 적용"
"Increases and Reductions to Cast Speed apply to Attack Speed","시전 속도 증가 및 감소가 공격 속도에도 적용"
"Increases and Reductions to Cast Speed apply to this Skill's Attack Speed at {0}% of their value","시전 속도 증가 및 감소가 해당 값의 {0}%만큼 이 스킬의 공격 속도에도 적용"
"Increases and Reductions to Cast Speed apply to this Skill's Attack Speed","시전 속도 증가 및 감소가 이 스킬의 공격 속도에도 적용"
"Increases and Reductions to Cold Damage in Radius are Transformed to apply to Physical Damage","반경 내 냉기 피해의 증가 및 감소가 변형되어 물리 피해에 적용"
"Increases and Reductions to Damage with Bows also apply to Minions","활 피해 증가 및 감소가 소환수에게도 적용"
"Increases and Reductions to Damage with Vaal Skills also apply to Non-Vaal Skills","바알 스킬 피해의 증가 및 감소 수치가 비-바알 스킬에도 적용"
"Increases and Reductions to Energy Shield in Radius are Transformed to apply to Armour at {0}% of their value","반경 내 에너지 보호막 증가 및 감소가 변형되어 해당 값의 {0}%가 방어도에 적용"
"Increases and Reductions to Life in Radius are Transformed to apply to Energy Shield","반경 내 생명력 증가 및 감소가 변형되어 에너지 보호막에 적용"
"Increases and Reductions to Life in Radius are Transformed to apply to Mana at {0}% of their value","반경 내 생명력 증가 및 감소가 변형되어 해당 값의 {0}%가 마나에 적용"
"Increases and Reductions to Light Radius also apply to Accuracy","시야 반경 증가 및 감소 수치를 정확도에도 적용"
"Increases and Reductions to Light Radius also apply to Area of Effect at {0}% of their value","시야 반경 증가 및 감소 수치의 {0}%를 효과 범위에도 적용"
"Increases and Reductions to Light Radius also apply to Area of Effect","시야 반경 증가 및 감소 수치를 효과 범위에도 적용"
"Increases and Reductions to Light Radius also apply to Damage","시야 반경 증가 및 감소 수치를 피해에도 적용"
"Increases and Reductions to Light Radius also apply to this Skill's Area of Effect","시야 반경 증가 및 감소 수치를 이 스킬의 효과 범위에도 적용"
"Increases and Reductions to Maximum Energy Shield instead apply to Ward","에너지 보호막 최대치 증가 및 감소가 에너지 보호막이 아닌 수호에 적용"
"Increases and Reductions to Mine Duration also apply to this Skill's Buff Duration","지뢰 지속시간 증가 및 감소 수치를 이 스킬의 버프 지속시간에도 적용"
"Increases and Reductions to Minion Attack Speed also affect you","소환수 공격 속도 증가 및 감소 효과가 자신에게도 적용"
"Increases and Reductions to Minion Damage also affect Dominating Blow and Absolution at {0}% of their value","소환수 피해의 증가 및 감소 수치의 {0}%가 지배의 맹타 및 면죄에도 적용"
"Increases and Reductions to Minion Damage also affect you at {0}% of their value","소환수 피해의 증가 및 감소 수치의 {0}%가 자신에게도 적용"
"Increases and Reductions to Minion Damage also affect you","소환수 피해의 증가 및 감소가 자신에게도 적용"
"Increases and Reductions to Minion Damage also apply","소환수 피해에 적용된 증가 및 감소 수치의"
"Increases and Reductions to Physical Damage in Radius are Transformed to apply to Cold Damage","반경 내 물리 피해의 증가 및 감소가 변형되어 냉기 피해에 적용"
"Increases and Reductions to Projectile Speed also apply to Damage with Bows","투사체 속도 증가와 감소가 활 피해에도 적용"
"Increases and Reductions to Projectile Speed also apply to","화살 속도의 증가 및 감소 수치를"
"Increases and Reductions to Spell Damage also apply to Attack Damage from this Skill at {0}% of their value","주문 피해에 적용된 증가 및 감소 수치의 {0}%를 이 스킬로 인한 공격 피해에도 적용"
"Increases and Reductions to Spell Damage also apply to Attack Damage from this Skill","주문 피해에 적용된 증가 및 감소 수치를 이 스킬로 인한 공격 피해에도 적용"
"Increases and Reductions to Spell Damage also apply to Attacks at {0}% of their value while wielding a Wand","마법봉 장착 시 주문 피해에 적용되는 증가 및 감소 수치의 {0}%를 공격에도 적용"
"Increases and Reductions to Spell Damage also apply to Attacks at {0}% of their value","주문 피해에 적용되는 증가 및 감소 수치의 {0}%를 공격에도 적용"
"Increases and Reductions to Spell Damage also apply to Attacks while wielding a Wand","마법봉 장착 시 주문 피해에 적용되는 증가 및 감소 수치를 공격에도 적용"
"Increases and Reductions to Spell Damage also apply to Attacks","주문 피해 증가 및 감소 수치를 공격에도 적용"
"Increases and Reductions to other Damage Types in Radius are Transformed to apply to Fire Damage","반경 내 기타 피해 유형의 증가 및 감소가 변형되어 화염 피해에 적용"
"Increases and reductions to Maximum Mana also apply to Shock Effect at {0}% of their value","마나 최대치 증가 및 감소가 해당 값의 {0}% 만큼 감전 효과에도 적용"
"Increases wall length by {0}","벽 길이 {0} 증가"
"Incursion Architects are Possessed by a Tormented Spirit","기습 건축가가 고통받는 혼백에 사로잡혀 있음"
"Incursion Architects drop an additional Rare Incursion Item","기습 건축가가 희귀 기습 아이템 1개를 추가로 떨어뜨림"
"Incursion Architects have {0}% chance to be Possessed by a Tormented Spirit","기습 건축가가 {0}%의 확률로 고통받는 혼백에 사로잡혀 있음"
"Incursion Architects have {0}% chance to drop an additional Rare Incursion Item","기습 건축가가 {0}%의 확률로 희귀 기습 아이템 1개를 추가로 떨어뜨림"
"Incursion Monsters deal {0}% less Damage","기습 몬스터가 주는 피해 {0}% 감폭"
"Incursion Monsters deal {0}% more Damage","기습 몬스터가 주는 피해 {0}% 증폭"
"Incursion Monsters have {0}% less Maximum Life","기습 몬스터의 최대 생명력 {0}% 감폭"
"Incursion Monsters have {0}% more Maximum Life","기습 몬스터의 최대 생명력 {0}% 증폭"
"Infernal Blow Debuff deals an additional {0}% of Damage per Charge","지옥불 맹타 디버프가 충전 하나당 주는 추가 피해 {0}%"
"Infernal Blow Explosion applies Uncharged Debuff on Hit","지옥불 맹타의 폭발 적중 시 충전되지 않은 디버프 적용"
"Infernal Blow Explosion has {0}% chance to apply Uncharged Debuff on Hit","지옥불 맹타의 폭발 적중 시 {0}%의 확률로 충전되지 않은 디버프 적용"
"Infernal Cry has {0}% increased Area of Effect","지옥불 함성의 효과 범위 {0}% 증가"
"Infernal Cry has {0}% increased Cooldown Recovery Rate","지옥불 함성의 재사용 대기시간 회복 속도 {0}% 증가"
"Inflict Brittle on Enemies when you Block their Damage","적이 주는 피해를 막아낼 시 적에게 허약 유발"
"Inflict Cold Exposure on Hit if you have at least {0} Devotion","헌신이 {0} 이상인 경우 명중 시 냉기 노출 유발"
"Inflict Cold Exposure on Hit","명중 시 냉기 노출 유발"
"Inflict Cold Exposure on Hit, applying {0}% to Cold Resistance","명중 시 냉기 노출을 유발하여 냉기 저항 {0}% 적용"
"Inflict Decay on Enemies you Curse with Hex Skills, dealing {0} Chaos Damage per Second for {1} Seconds","사술 또는 징표 스킬로 저주하는 적에게 부패를 유발하여 {1}초 동안 1초마다 {0}의 카오스 피해를 줌"
"Inflict Fire Exposure on Hit if you have at least {0} Devotion","헌신이 {0} 이상인 경우 명중 시 화염 노출 유발"
"Inflict Fire Exposure on Hit if you've cast Flammability in the past {0} seconds","최근 {0}초 이내 인화성을 시전한 경우 명중 시 화염 노출 유발"
"Inflict Fire Exposure on Hit","명중 시 화염 노출 유발"
"Inflict Fire Exposure on Hit, applying {0}% to Fire Resistance","명중 시 화염 노출을 유발하여 화염 저항 {0}% 적용"
"Inflict Fire, Cold and Lightning Exposure on Enemies when you Suppress their Spell Damage","적의 주문 피해 억제 시 해당 적에게 화염, 냉기, 번개 노출 유발"
"Inflict Fire, Cold and Lightning Exposure on nearby Enemies when used","사용 시 주변의 적에게 화염, 냉기, 번개 노출 유발"
"Inflict Fire, Cold, and Lightning Exposure on Hit","명중 시 화염, 냉기, 번개 노출 유발"
"Inflict Lightning Exposure on Hit if you have at least {0} Devotion","헌신이 {0} 이상인 경우 명중 시 번개 노출 유발"
"Inflict Lightning Exposure on Hit if you've cast Conductivity in the past {0} seconds","최근 {0}초 이내 전도성을 시전한 경우 명중 시 번개 노출 유발"
"Inflict Lightning Exposure on Hit","명중 시 번개 노출 유발"
"Inflict Lightning Exposure on Hit, applying {0}% to Lightning Resistance","명중 시 번개 노출을 유발하여 번개 저항 {0}% 적용"
"Inflict Overpowered for {0} seconds when Blocked","막혔을 시 {0}초 동안 압도 유발"
"Inflict Withered for two seconds on Hit if there are {0} or fewer Withered Debuffs on Enemy","적에게 부여된 위축 디버프가 {0} 이하인 경우 명중 시 2초 동안 위축 유발"
"Inflict Withered for {0} seconds on Hit if you've cast Despair in the past {1} seconds","최근 {1}초 이내 절망을 시전한 경우 명중 시 {0}초 동안 위축 유발"
"Inflict Withered for {0} seconds on Hit with this Weapon","이 무기로 적 적중 시 {0}초 동안 위축 유발"
"Inflict Withered for {0} seconds on Hit","명중 시 {0}초 동안 위축 유발"
"Inflict a Grasping Vine on Hit","명중 시 탐욕스러운 덩굴 1개 유발"
"Inflict an additional Impale on Enemies you Impale","꿰뚫은 적을 추가로 꿰뚫음"
"Inflict non-Damaging Ailments as though dealing {0}% less Damage","비-피해 상태 이상 효과를 {0}% 감폭된 피해를 준 것처럼 부여"
"Inflict non-Damaging Ailments as though dealing {0}% more Damage","비-피해 상태 이상 효과를 {0}% 증폭된 피해를 준 것처럼 부여"
"Inflict {0} Grasping Vine on Hit","명중 시 탐욕스러운 덩굴 {0}개 유발"
"Inflict {0} Grasping Vines on Hit","명중 시 탐욕스러운 덩굴 {0}개 유발"
"Inflict {0} additional Impales on Enemies you Impale","플레이어가 꿰뚫은 적에게 꿰뚫기 {0}회 추가 부여"
"Inflicted with Cold Exposure when you take Cold Damage from a Hit","피격으로 냉기 피해를 받으면 플레이어에게 냉기 노출 유발"
"Inflicted with Fire Exposure when you take Fire Damage from a Hit","피격으로 화염 피해를 받으면 플레이어에게 화염 노출 유발"
"Inflicted with Lightning Exposure when you take Lightning Damage from a Hit","피격으로 번개 피해를 받으면 플레이어에게 번개 노출 유발"
"Inflicted with a random Exposure when you take Elemental Damage from a Hit","피격으로 원소 피해를 받으면 플레이어에게 무작위 노출 1개 유발"
"Inflicts Corrupted Blood on the first Enemy Hit by each Exerted Attack","각 전력 공격으로 명중한 첫 번째 대상에게 타락한 피 유발"
"Inflicts Corrupted Blood","타락한 피 유발"
"Inflicts Fire Exposure for {1} seconds when Enemies enter the wall, applying {0}% to their Fire Resistance","적이 벽에 들어가면 {1}초 동안 화염 노출 유발, 적의 화염 저항 {0}%"
"Inflicts Fire, Cold, and Lightning Exposure on Hit","명중 시 화염, 냉기, 번개 노출 유발"
"Inflicts Spider's Webs and Hinder every {0} Seconds","{0}초마다 거미줄 및 이동 방해 유발"
"Inflicts Withered for {0} seconds on Hit","명중 시 {0}초 동안 위축 유발"
"Inflicts Withered on Hit","명중 시 위축 유발"
"Inflicts a random Hex on you when your Totems die","플레이어의 토템이 파괴되면 플레이어가 무작위 사술에 걸림"
"Inflicts an additional Wither Debuff the first time each Enemy enters the Area","처음으로 범위 내에 들어온 적 하나당 위축 디버프 1개 추가 부여"
"Inflicts {0} Corrupted Blood Debuffs on the first Enemy Hit by each Exerted Attack","각 전력 공격으로 명중한 첫 번째 대상에게 타락한 피 디버프 {0}개 유발"
"Inflicts {0} Corrupted Blood Debuffs","타락한 피 디버프 {0}개 유발"
"Inflicts {0} Withered Debuff the first time each Enemy enters the Area","처음으로 범위 내에 들어온 적 하나당 위축 디버프 {0}개 부여"
"Inflicts {0} Withered Debuffs the first time each Enemy enters the Area","처음으로 범위 내에 들어온 적 하나당 위축 디버프 {0}개 부여"
"Infusion grants {0}% less Chaos Damage","주입 적용 시 카오스 피해 {0}% 감폭"
"Infusion grants {0}% less Cold Damage","주입 적용 시 냉기 피해 {0}% 감폭"
"Infusion grants {0}% less Damage of Types matching Supported Skill Gem's tags","주입 적용 시 보조 대상 스킬 젬의 태그와 같은 유형 피해 {0}% 감폭"
"Infusion grants {0}% less Fire Damage","주입 적용 시 화염 피해 {0}% 감폭"
"Infusion grants {0}% less Lightning Damage","주입 적용 시 번개 피해 {0}% 감폭"
"Infusion grants {0}% less Physical Damage","주입 적용 시 물리 피해 {0}% 감폭"
"Infusion grants {0}% more Chaos Damage","주입 적용 시 카오스 피해 {0}% 증폭"
"Infusion grants {0}% more Cold Damage","주입 적용 시 냉기 피해 {0}% 증폭"
