"The Anvil",모루
"Third Piece of the Arcane","비전의 세 번째 조각"
"First Piece of Focus","집중의 첫 번째 조각"
"Second Piece of Focus","집중의 두 번째 조각"
"Third Piece of Focus","집중의 세 번째 조각"
"Fourth Piece of Focus","집중의 네 번째 조각"
"First Piece of Brutality","잔인성의 첫 번째 조각"
"Second Piece of Brutality","잔인성의 두 번째 조각"
"Third Piece of Brutality","잔인성의 세 번째 조각"
"First Piece of Time","시간의 첫 번째 조각"
"Second Piece of Time","시간의 두 번째 조각"
"First Piece of Directions","방향의 첫 번째 조각"
"Second Piece of Directions","방향의 두 번째 조각"
"Third Piece of Directions","방향의 세 번째 조각"
"First Piece of Storms","태풍의 첫 번째 조각"
"Second Piece of Storms","태풍의 두 번째 조각"
"Third Piece of Storms","태풍의 세 번째 조각"
"Borrowed Power","융통된 힘"
"The Rack",선반
Bloodletter,사혈자
"Galla's Riposte","갈라의 반격"
"Dialla's Malefaction","디알라의 악행"
"Malachai's Mark","말라카이의 징표"
Stormcharger,"태풍 돌격대"
Wraithlord,"악령 군주"
Giantsbane,"거대한 파멸"
"Cane of Unravelling","해결의 지팡이"
"Pillars of Arun","아룬의 기둥"
"Vix Lunaris","불굴의 달"
"Inpulsa's Broken Heart","인펄사의 상심"
"The Long Winter","기나긴 겨울"
"Invictus Solaris","지지 않는 태양"
"The Poet's Pen","시인의 펜"
"Memory Vault","기억의 금고"
"Doedre's Skin","도이드리의 가죽"
Arborix,아보릭스
"White Wind",눈바람
"Yoke of Suffering","고통의 멍에"
"The Hungry Loop","허기진 고리"
"Ralakesh's Impatience","랄라케쉬의 조바심"
"The Twilight Temple","황혼의 사원"
"Pure Talent","타고난 재능"
"Leper's Alms","나병 환자의 자선"
"The Iron Fortress","철의 요새"
"Coralito's Signature","코랄리토의 서명"
"Bubonic Trail","죽음의 자취"
Oskarm,오스캄
"Doryani's Machinarium","도리아니의 기계실"
"Sands of Shakari","샤카리의 모래"
"Might of the Meek","온유의 힘"
"The Golden Rule","황금 법칙"
"Darkness Enthroned","어둠에 대한 경외"
"Soul's Wick","영혼의 심지"
"Magna Eclipsis","커다란 일식"
Gloomfang,그롬팡
Vulconus,불커누스
Bloodbond,피붙이
"Beltimber Blade","벨팀버 검"
"Grelwood Shank","그렐나무 자루"
Augyre,오귀르
Shimmeron,쉬머론
Hopeshredder,"희망 종결자"
Nebuloch,네뷸록
"Blasphemer's Grasp","신성 모독자의 장악"
"Watcher's Eye","감시자의 눈"
"Cyclopean Coil","키클로프의 고리"
Balefire,대화재
Impresence,무존재
Lightpoacher,"빛의 밀렵꾼"
Tombfist,툼피스트
"Shroud of the Lightless","무광의 연막"
Oni-Goroshi,오니고로시
"Craiceann's Chitin","크라칸의 키틴질"
"Craiceann's Pincers","크라칸의 집게"
"Craiceann's Tracks","크라칸의 발자국"
"Craiceann's Carapace","크라칸의 등딱지"
Greedtrap,"탐욕의 발판"
"Fox's Fortune","여우의 행운"
Panquetzaliztli,판케찰리스틀리
"Gorgon's Gaze","고르곤의 응시"
Disintegrator,파쇄자
Voidfletcher,"공허 화살깃"
"Doedre's Malevolence","도이드리의 악의"
"Farrul's Fur","페룰의 모피"
"Atziri's Reflection","앗지리의 성찰"
"Fenumus' Shroud","페누무스의 연막"
"Saqawal's Winds","사카왈의 바람"
"Cameria's Avarice","카메리아의 탐욕"
"The Stormwall","태풍의 장벽"
Stormfire,태풍불길
"The Dancing Duo","춤추는 한 쌍"
"The Tactician",전술가
"The Nomad",유목민
Windshriek,"바람의 비명"
Indigon,인디곤
"Farrul's Bite","페룰의 이빨"
"Farrul's Pounce","페룰의 급습"
"Farrul's Chase","페룰의 추적"
"Saqawal's Nest","사카왈의 둥지"
"Saqawal's Talons","사카왈의 발톱"
"Saqawal's Flock","사카왈의 무리"
"Fenumus' Toxins","페누무스의 독소"
"Fenumus' Weave","페누무스의 매듭"
"Fenumus' Spinnerets","페누무스의 방사 돌기"
"Mark of the Elder","엘더의 징표"
"Mark of the Shaper","쉐이퍼의 징표"
"Chains of Command","지휘관의 사슬"
"Mark of the Red Covenant","붉은 계약의 징표"
Loreweave,"지식의 매듭"
Voidforge,"공허의 탄생"
Mirebough,"늪 가지"
Sunspite,"태양의 원한"
Timetwist,"시간 왜곡"
Wildwrap,"황야의 겉옷"
"Crystal Vault","수정 금고"
Dreadbeak,"공포의 부리"
Frostferno,"서리와 화염"
Winterweave,"겨울 매듭"
Dreadsurge,"밀려드는 공포"
"Hyrri's Demise","하이리의 소멸"
"Malachai's Awakening","말라카이의 각성"
"Geofri's Devotion","조프리의 헌신"
"Sanguine Gambol","핏빛 장난"
Duskblight,"황혼의 황폐"
"Asenath's Chant","아세나스의 노래"
"Corona Solaris","솔라리스의 광환"
Sidhebite,"요정의 이빨"
"Meginord's Vigour","메기노드의 활력"
Honourhold,"명예의 지배"
"The Effigon",에피곤
Gluttony,폭식
"Story of the Vaal","바알의 사연"
"Fate of the Vaal","바알의 운명"
"Mask of the Spirit Drinker","영혼 흡수자의 가면"
"String of Servitude","노예의 끈"
"Zerphi's Heart","제르피의 심장"
"Apep's Slumber","아펩의 수면"
"Slavedriver's Hand","노예 감독관의 손길"
"Tempered Flesh","조절된 육체"
"Coward's Chains","겁쟁이의 사슬"
"Coward's Legacy","겁쟁이의 유물"
"Earendel's Embrace","에아렌델의 포옹"
"Sacrificial Heart","희생의 심장"
"Mask of the Stitched Demon","꿰맨 악마의 가면"
"Dance of the Offered","제물의 춤"
Omeyocan,오메이오칸
"Apep's Supremacy","아펩의 패권"
"Combat Focus","집중 전투"
"Soul Catcher","영혼 포획자"
"Soul Ripper","영혼 거열기"
"Zeel's Amplifier","질의 증폭기"
"Unyielding Flame","완고한 불꽃"
"Sinvicta's Mettle","신빅타의 패기"
"Architect's Hand","건축가의 손길"
Shadowstitch,"그림자 봉합"
"Tempered Spirit","조절된 정신"
"Tempered Mind","조절된 마음"
"Transcendent Flesh","초월한 육체"
"Transcendent Spirit","초월한 정신"
"Transcendent Mind","초월한 마음"
"The Grey Spire","회색 가지"
"Cerberus Limb","케르베로스의 발"
"The Primordial Chain","태고의 사슬"
"Command of the Pit","구덩이의 지배자"
"Mark of Submission","복종의 징표"
"Crown of the Tyrant","폭군의 왕관"
"Demon Stitcher","악마 봉합자"
"Doryani's Delusion","도리아니의 기만"
Soulwrest,"영혼 착취"
"Geofri's Legacy","조프리의 유산"
"Chaber Cairn","차버 케른"
"Aul's Uprising","아울의 반란"
"Unnatural Instinct","기이한 본능"
"Curtain Call",커튼콜
"Perquil's Toe","퍼퀼의 발가락"
"Hale Negator","건장한 부정자"
"The Eternal Apple","영원한 사과"
Lawbreaker,범법자
"Precursor's Emblem","선도자의 상징"
"Malachai's Brilliance","말라카이의 광채"
"Ahkeli's Mountain","아켈리의 산"
"Ahkeli's Meadow","아켈리의 초원"
"Ahkeli's Valley","아켈리의 계곡"
"Putembo's Valley","푸템보의 계곡"
"Uzaza's Meadow","우자자의 초원"
"Uzaza's Mountain","우자자의 산"
"Uzaza's Valley","우자자의 계곡"
"Putembo's Mountain","푸템보의 산"
"Putembo's Meadow","푸템보의 초원"
"Ullr's Advent","울러의 출현"
"Bitterbind Point","쓰라린 속박의 끝"
"The Crimson Storm","진홍색 태풍"
"Solstice Vigil","동짓날 밤"
Vivinsect,"생체 해부"
"Cinderswallow Urn","잿더미 단지"
Worldcarver,세계분쇄기
Paradoxica,모순
"The Devouring Diadem","걸신들린 왕관"
Flamesight,"불꽃 시야"
"The Queen's Hunger","여왕의 갈망"
"Toxic Vapours","맹독성 증기"
Farsight,"멀리 보는 자"
Galesight,"강풍 시야"
Thundersight,"천둥 시야"
Waycarver,개척가
"Whakatutuki o Matua","와카투투키 오 마투아"
Hyperboreus,"북방 주민"
"Storm's Gift","태풍의 선물"
Nebulis,성운
"Bottled Faith","병에 담긴 믿음"
"The Eternity Shroud","영원의 연막"
"Vixen's Entrapment","암여우의 함정"
"Mask of the Tribunal","재판소의 가면"
"Circle of Nostalgia","그리움의 고리"
"Hyrri's Truth","하이리의 진리"
"March of the Legion","군단의 행진"
Perepiteia,영구장치
"Maloney's Mechanism","말로니의 기계 장치"
"Offering to the Serpent","독사에게 바치는 공물"
"Garb of the Ephemeral","덧없는 자의 의복"
"Circle of Regret","후회의 고리"
"Circle of Anguish","비통의 고리"
"Circle of Fear","두려움의 고리"
"Circle of Guilt","유죄의 고리"
"Demigod's Immortality","반신의 불멸"
"Glorious Vanity","찬란한 허영심"
"Militant Faith","호전적인 신념"
"Aukuna's Will","아우카나의 의지"
"Maw of Conquest","정복지의 구렁텅이"
Tavukai,타부카이
"Brutal Restraint","잔인한 속박"
"Elegant Hubris","고상한 오만"
"Lethal Pride","치명적인 긍지"
"Sign of the Sin Eater","죄악을 먹는 자의 흔적"
"Wreath of Phrecia","프레시아의 화관"
"Seething Fury","끓어오르는 광분"
"Fractal Thoughts","프랙털 사상"
"The Stampede",쇄도
"Cold Iron Point","날붙이 끝"
"Triad Grip","삼합의 손아귀"
"Badge of the Brotherhood","형제단의 증표"
"Icefang Orbit","얼음송곳니의 위력"
"Fortress Covenant","요새 계약"
Siegebreaker,공성분쇄기
"Machina Mitts","마키나 미트"
"Torchoak Step","횃불 참나무 층계"
"Cowl of the Cryophile","냉동애호가의 고깔"
Venopuncture,"혈관 관통"
"Rotting Legion","썩어가는 군단"
"Cowl of the Thermophile","고열애호가의 고깔"
"Cowl of the Ceraunophile","번개애호가의 고깔"
"Quickening Covenant","재촉의 계약"
Breathstealer,숨결강탈자
Sporeguard,"포자 수호"
"The Jinxed Juju","징크스 액막이"
Cortex,코텍스
"Altered Distant Memory","뒤바뀐 희미한 기억"
"Augmented Distant Memory","강화된 희미한 기억"
"Twisted Distant Memory","뒤틀린 희미한 기억"
"Rewritten Distant Memory","다시 쓰인 희미한 기억"
Manastorm,마나폭풍
"Hands of the High Templar","고위 템플러의 손"
"Leash of Oblation","봉헌의 가죽끈"
"Fury Valve","광분의 밸브"
"Crown of the Inward Eye","심안의 왕관"
Mistwall,"안개 벽"
"The Ivory Tower",상아탑
"Astral Projector","우주의 영사기"
"Warrior's Legacy","전사의 유산"
"Mother's Embrace","어머니의 포옹"
Painseeker,"고통 탐구자"
"The Black Cane","검은 지팡이"
"The Saviour",구원자
"Eye of Malice","적의의 눈"
Willowgift,"버드나무 선물"
"Thread of Hope","희망의 실타래"
Terror,공포의
"Stalwart Defenders","강건한 수비병"
Misinformation,와전
"Irresistible Temptation","뿌리칠 수 없는 유혹"
"Territories Unknown","미지의 영역"
"War Among the Stars","별들의 전쟁"
"Booming Populace","불어나는 무리"
"Ungils's Coil","웅힐의 고리"
"One With Nothing",맨주먹
Voices,목소리
Perfidy,배반
"Algor Mortis","사후 냉각"
"Kitava's Teachings","키타바의 가르침"
"Split Personality","이중 인격"
"The Interrogation",취조
"Profane Proxy","부정한 대리자"
Assailum,공격병동
"Beacon of Madness","광기의 신호"
"Calamitous Visions","환란의 시각"
"Natural Affinity","타고난 친화력"
"The Siege","포위 작전"
"Child of Violence","폭력의 아이"
"The Front Line",최전방
Megalomaniac,과대망상
Stillwater,"잔잔한 수면"
Battlehaste,"신속 전투"
"Unearth Threshold","발굴의 한계"
"Storm Secret","태풍의 비밀"
"Doryani's Prototype","도리아니의 프로토타입"
"Abhorrent Interrogation","혐오스러운 취조"
"Great Old One's Tentacles","위대한 고대 신의 촉수"
Fleshcrafter,살점조각사
"Emperor's Vigilance","황제의 철야"
"The Immortal Will","불멸의 의지"
"The Tempest's Liberation","폭풍의 해방"
"The Torrent's Reclamation","격류의 교화"
"The Shattered Divinity","산산이 조각난 신성"
"The Surging Thoughts","쇄도하는 생각"
"The Yielding Mortality","누그러진 필멸성"
"Forbidden Shako","금단의 샤코"
"Plume of Pursuit","추적의 깃털"
"Bear's Girdle","곰의 허리띠"
"Witchhunter's Judgment","마녀 사냥꾼의 심판"
"Scorpion's Call","전갈의 부름"
"The Felbog Fang","펠보그 송곳니"
"Retaliation Charm","보복 부적"
"Infused Beachhead","주입된 교두보"
"Law of the Wilds","황야의 법칙"
"Usurper's Penance","찬탈자의 속죄"
Corpsewalker,"시체 보행자"
"Chains of Emancipation","해방의 사슬"
"Replica Iron Commander","철의 지휘관 모조품"
"Replica Sorrow of the Divine","신의 슬픔 모조품"
"Replica Lioneye's Paws","라이온아이의 발 모조품"
"Replica Abyssus","깊은 심연 모조품"
Actum,액툼
"Replica Atziri's Acuity","앗지리의 예리함 모조품"
"Replica Kalisa's Grace","칼리사의 은총 모조품"
"Replica Ambu's Charge","앰부의 돌진 모조품"
"Replica Bitterdream","악몽 모조품"
"Replica Tukohama's Fortress","투코하마의 요새 모조품"
"Replica Shroud of the Lightless","무광의 연막 모조품"
"Replica Soul Tether","영혼 올가미 모조품"
"Maw of Mischief","말썽의 나락"
"Replica Kaom's Heart","카옴의 심장 모조품"
"Replica Malachai's Artifice","말라카이의 책략 모조품"
"Replica Atziri's Foible","앗지리의 결점 모조품"
"The Iron Mass","철제 운집"
"The Druggery",약품
"The Highwayman",노상강도
"Replica Maloney's Mechanism","말로니의 기계 장치 모조품"
"Expedition's End","탐험의 끝"
"Replica Karui Ward","카루이의 수호 모조품"
"Replica Winterheart","겨울심장 모조품"
"Replica Bated Breath","약해진 숨결 모조품"
"Replica Tasalio's Sign","타살리오의 표식 모조품"
"Replica Emberwake","잉걸불 지피기 모조품"
"Replica Voideye","공허의 눈 모조품"
"Replica Soul Strike","영혼의 일격 모조품"
"Replica Perfect Form","완벽한 구조 모조품"
"Replica Loreweave","지식의 매듭 모조품"
"Replica Three-step Assault","삼단 공격 모조품"
"Replica Allelopathy","생존 경쟁 모조품"
"Replica Alpha's Howl","우두머리의 울부짖음 모조품"
"Replica Forbidden Shako","금단의 샤코 모조품"
"Replica Soul Taker","영혼 수확자 모조품"
"Replica Harvest","수확 모조품"
"Replica Quill Rain","화살 비 모조품"
"Replica Windripper","윈드리퍼 모조품"
"Replica Bloodplay","피의 오락 모조품"
"Replica Ungil's Gauche","웅힐의 투박함 모조품"
"Replica Cold Iron Point","날붙이 끝 모조품"
"Replica Paradoxica","모순 모조품"
"Replica Conqueror's Efficiency","정복자의 효율 모조품"
"Replica Tempestuous Steel","격렬한 강철 모조품"
"Replica Innsbury Edge","인스뷰리 칼날 모조품"
"Replica Reckless Defence","무모한 방어 모조품"
"Replica Restless Ward","끊임없는 수호 모조품"
"The Ephemeral Bond","덧없는 유대"
"Replica Hyrri's Truth","하이리의 진리 모조품"
"Replica Doedre's Damning","도이드리의 파멸 모조품"
"Replica Siegebreaker","공성분쇄기 모조품"
"Replica Headhunter","헤드헌터 모조품"
"Replica Farrul's Fur","페룰의 모피 모조품"
"Replica Eternity Shroud","영원의 연막 모조품"
"Replica Alberon's Warpath","알베른의 적대 모조품"
"Replica Stampede","쇄도 모조품"
"Replica Voidwalker","공허 보행자 모조품"
"Replica Grip of the Council","의회의 장악 모조품"
"Replica Volkuur's Guidance","볼쿠르의 인도 모조품"
"Replica Leer Cast","음흉한 시선 모조품"
"Replica Mistwall","안개 벽 모조품"
"Replica Victario's Charity","빅타리오의 자비 모조품"
"Replica Last Resort","최후의 수단 모조품"
"Replica Heartbreaker","심장 분쇄기 모조품"
"Replica Dreamfeather","꿈의 깃털 모조품"
"Replica Earendel's Embrace","에아렌델의 포옹 모조품"
"Replica Oro's Sacrifice","오로의 희생 모조품"
"Replica Tulfall","툴의 몰락 모조품"
"Replica Hotheaded","핫헤드 모조품"
"Replica Pure Talent","타고난 재능 모조품"
"Replica Blood Thorn","피의 가시 모조품"
Willclash,"의지의 충돌"
"Replica Red Trail","붉은 발자취 모조품"
"Replica Bones of Ullr","울러의 뼈 모조품"
"Replica Inya's Epiphany","이냐의 통찰 모조품"
"Replica Lavianga's Spirit","라비앙가의 혼백 모조품"
"Replica Veil of the Night","밤의 장막 모조품"
"Replica Fragile Bloom","가냘픈 꽃 모조품"
"Replica Prismweave","빛의 매듭 모조품"
"Replica Advancing Fortress","전진하는 요새 모조품"
"Replica Allure","매혹 모조품"
"Replica Frostbreath","서리 숨결 모조품"
"Replica Trypanon","트리파논 모조품"
"Replica Duskdawn","황혼의 아침 모조품"
"Replica Fencoil","늪 감긴 가지 모조품"
"Replica Twyzel","트위즐 모조품"
"Replica Midnight Bargain","심야의 교섭 모조품"
"Replica Rumi's Concoction","루미의 혼합물 모조품"
"Replica Unstable Payload","불안정한 하중 모조품"
"Replica Blood Sacrifice","피의 희생 모조품"
"Replica Cortex","코텍스 모조품"
"Replica Pillars of Arun","아룬의 기둥 모조품"
"Replica Poorjoy's Asylum","푸어조이의 은신처 모조품"
"Replica Cheap Construction","저렴한 건축 모조품"
"Replica Primordial Might","태고의 완력 모조품"
"Pyroshock Clasp","화염격 걸쇠"
"Mercenary's Lot","용병의 운명"
"Font of Thunder","천둥의 샘"
Blunderbore,블런더보어
"Replica Kongor's Undying Rage","콩고르의 끝없는 격노 모조품"
"Replica Nebulis","성운 모조품"
"Replica Wings of Entropy","엔트로피의 날개 모조품"
"Fated End","예견된 최후"
"Replica Infractem","침범자 모조품"
Shattershard,"파편 분쇄"
"The Admiral",제독
"Contract: Jamanra's Rest","계약: 자만라의 휴식"
"Contract: Breaking the Unbreakable","계약: 파괴 불가능한 존재 파괴하기"
"Contract: Heart of Glory","계약: 영광의 심장"
"Contract: The Slaver King","계약: 노예상의 왕"
"Contract: Death to Darnaw","계약: 다나우에게 죽음을"
"Contract: The Twins","계약: 쌍둥이"
"Lord of Steel","강철의 군주"
"Endless Misery","끝없는 불행"
"Apex Mode","정점 모드"
"Nadir Mode","저점 모드"
"The Hidden Blade","숨겨진 칼날"
"Crest of Desire","갈망의 문양"
"The Fulcrum",버팀대
"The Ghastly Theatre","무시무시한 극장"
"The Fledgling",풋내기
"Leadership's Price","통솔력의 가치"
"Demigod's Authority","반신의 권위"
Blackflame,검은화염
"Legacy of Fury","광분의 유산"
"Hand of the Fervent","열렬한 자의 손"
"Qotra's Regulator","쿼트라의 제어기"
"Survivor's Guilt","생존자의 죄책감"
"Rotblood Promise","부식혈의 약속"
"Ancient Skull","고대 해골"
Goblinedge,고블린날
"Viridi's Veil","비리디의 장막"
"Doppelgänger Guise","도플갱어 위장"
"Arn's Anguish","안의 비통"
"Olesya's Delight","올레샤의 기쁨"
"Graven's Secret","그레이븐의 비밀"
"The Vast Horizon","끝없는 지평선"
"The Walls",장벽
"The Claim",소유권
"The Builder",개척자
"The Closest Peak","근접한 봉우리"
"Restless Cycles","쉴 수 없는 반복"
"The False Hope","거짓 희망"
"Atop the Atlas","아틀라스의 꼭대기"
"Mahuxotl's Machination","마훅소틀의 계책"
"Glimpse of Chaos","혼돈의 섬광"
"The Scales of Justice","정의의 저울"
"Cane of Kulemak","쿨레막의 지팡이"
"Tecrod's Gaze","테크로드의 응시"
"Atziri's Rule","앗지리의 통치"
"Ulaman's Gaze","울라만의 응시"
Hateforge,"증오의 탄생"
"Yaomac's Accord","야오맥의 합의"
"Temptation Step","유혹의 발걸음"
"Relic of the Pact","맹약의 유물"
"Amanamu's Gaze","아마나무의 응시"
Steelworm,강철지렁이
"Kurgal's Gaze","쿠르갈의 응시"
"Triumvirate Authority","삼두 정치의 권위"
Faithguard,"신념의 수호"
"Cadigan's Crown","캐디건의 왕관"
Nightgrip,밤손아귀
"Medved's Challenge","메드베드의 도전"
"Vorana's March","보라나의 행진"
"Olroth's Charge","올로스의 돌진"
"Olroth's Resolve","올로스의 결의"
"Starlight Chalice","별빛 성배"
"Elixir of the Unbroken Circle","끊어진 원의 영액"
"Vorana's Preparation","보라나의 준비"
Stranglegasp,"교살의 손아귀"
"Uul-Netol's Vow","울네톨의 맹세"
Mageblood,"마법사의 피"
"Stasis Prison","정체 감옥"
Gravebind,"무덤의 속박"
"The Squire",종자
"The Oppressor",억압자
"Melding of the Flesh","살점의 융합"
"Crystallised Omniscience","결정화된 전지력"
"Sudden Dawn",개벽
"The Annihilating Light","절멸의 빛"
"Ashes of the Stars","별의 재"
"Dissolution of the Flesh","살점의 융해"
"Polaric Devastation","극성의 유린"
"Forbidden Flame","금단의 화염"
"Forbidden Flesh","금단의 살점"
"Ceaseless Feast","끊임없는 연회"
"Inextricable Fate","불가분한 운명"
"The Gluttonous Tide","걸신들린 파도"
"Black Zenith","검은 북극성"
"Divine Inferno","신성한 지옥불"
Dawnbreaker,"여명 분쇄기"
"The Hollow-Eyed Skull","퀭한 눈의 해골"
"The Basilisk",바실리스크
"The Angel of Vengeance","복수의 천사"
"The Burden of Truth","버거운 진실"
"Echoes of Creation","창조의 메아리"
"The Eternal Struggle","영원한 투쟁"
"Call of the Void","공허의 부름"
"Impossible Escape","불가능한 탈출"
"Sublime Vision","숭고한 환영"
"The Epiphany",깨달음
"The Twisted Trinity","뒤틀린 삼위일체"
"The Unbridled Tempest","날뛰는 폭풍"
"The Narcissist",자기도취자
"The Depraved","부패한 자"
"The Raging Inferno","격노하는 지옥불"
Insomnia,불면증
"The Megalomaniac",과대망상자
"The Arbiter",중재자
"The Infested",감염자
Escalation,증대자
"The Benefactor",후원자
"The Torturer",고문자
"The Ancient Angler","고대의 낚시꾼"
"Kaom's Spirit","카옴의 혼백"
"Soul Ascension","영혼 승천"
Ghostwrithe,"유령의 몸서리"
"The Tower of Ordeals","시련의 탑"
"Kalandra's Touch","칼란드라의 손길"
Thrillsteel,전율강철
"The Poised Prism","평형의 분광기"
Elevore,원소포식
"Will of Chaos","혼돈의 의지"
"Ignominious Fate","수치스러운 운명"
"Victorious Fate","승리의 운명"
"Deadly End","치명적인 끝"
"Rory's Revengance","로리의 복수"
"Mark2's Mastery","마크 2의 숙련"
"Robbie's Rotten Mace","로비의 썩은 철퇴"
"Carl's Crusher","카를의 분쇄기"
"DrTestapus' Charm","타스타퍼스의 부적"
"Maligaro's Etcher","말리가로의 부각사"
"The Warlord's Annex","전쟁군주의 부속물"
"Annihilation's Approach","전멸의 접근"
Anathema,"극한의 혐오"
"Eternal Damnation","영원한 지옥"
Progenesis,전창조
Witchbane,"마녀의 파멸"
"Entropic Devastation","엔트로피의 유린"
"Rational Doctrine","합리적인 교리"
Firesong,"불의 노래"
Nimis,니미스
Stormshroud,폭풍연막
"Oriath's End","오리아스의 종말"
Dawnstrider,"여명 질주자"
"The Winds of Fate","숙명의 바람"
"The Balance of Terror","공포의 균형"
"Sandstorm Visage","모래 폭풍의 얼굴"
Echoforge,"메아리의 탄생"
"Wilma's Requital","윌마의 보답"
"Doedre's Tongue","도이드리의 혀"
"Immutable Force","불변의 힘"
"The Gilded Chalice","도금된 성배"
"The Second Sacrament","두 번째 성체"
"The Hour of Divinity","신성의 시간"
"The Night Lamp","밤의 등화"
"The Broken Censer","부서진 향로"
"The First Crest","최초의 문양"
"The Original Scripture","원형의 성서"
"Original Sin",원죄
Stormseeker,"폭풍 탐구자"
"Ancestral Vision","선대의 환영"
"Tainted Pact","더럽혀진 맹약"
"Blood Price","피의 대가"
Widowhail,과부우박
"El'Abin's Visage","엘라빈의 얼굴"
Soulbound,"속박된 영혼"
Bloodnotch,"피의 오늬"
"Tanu Ahi","타누 아히"
"The Geomantic Gyre","대지술 선회"
"The Redblade",적검
"Ceinture of Benevolence","관대함의 띠"
"Bloodsoaked Medallion","피투성이 메달리온"
"The Fourth Vow","네 번째 맹세"
"Orbala's Stand","오발라의 항전"
"Chain of Endurance","인내의 사슬"
"Bound Fate","속박된 운명"
"Ikiaho's Promise","이키아호의 약속"
"Maata's Teaching","마아타의 가르침"
"Tawhanuku's Timing","타하누쿠의 때맞춤"
"Kahuturoa's Certainty","카후투로아의 확신"
"Kaom's Binding","카옴의 속박"
"Akoya's Gaze","아코야의 응시"
"Rakiata's Dance","라키아타의 춤"
"Ahuana's Bite","아후아나의 이빨"
"Kiloava's Bluster","킬로아바의 엄포"
"Utula's Hunger","우툴라의 굶주림"
"Defiance of Destiny","운명의 저항"
"Honoured Alliance","명예로운 동맹"
"Warrior's Tale","전사의 이야기"
"Replica Dragonfang's Flight","용송곳니의 비상 모조품"
"The Blood of Innocence","이노센스의 피"
"The Chains of Castigation","징계의 사슬"
"The Power and the Promise","힘과 약속"
Ambition,야심
Cooperation,협력
Beauty,아름다움
Curiosity,호기심
"The Trickster's Smile","협잡꾼의 미소"
Pragmatism,실용주의
"The Untouched Soul","손길이 닿지 않은 영혼"
"Replica Covenant","계약 모조품"
"Replica Badge of the Brotherhood","형제단의 증표 모조품"
"Ixchel's Temptation","익스첼의 유혹"
Gamblesprint,도박질주
"The Burden of Shadows","그림자의 짐"
"That Which Was Taken","빼앗긴 것"
Nametaker,이름강탈자
"The Flawed Refuge","결함 있는 피난처"
"The Adorned","치장한 자"
"Replica Hinekora's Sight","히네코라의 통찰력 모조품"
"Replica Heatshiver","열기와 오한 모조품"
"Replica Hyrri's Ire","하이리의 노여움 모조품"
"Replica Witchfire Brew","불타는 마녀의 술 모조품"
"Replica Pacifism","평화주의 모조품"
"Replica Fragility","허약 모조품"
"Replica Powerlessness","무력함 모조품"
"The Tides of Time","시간의 파도"
"The Celestial Brace","천공의 죔쇠"
"Ravenous Passion","굶주린 열정"
"Nevalius Inheritance","네발리우스의 유산"
"The Perandus Pact","페란두스 맹약"
"Grace of the Goddess","여신의 은총"
"The Hand of Phrecia","프레시아의 손"
"Veruso's Ambition","베루소의 야심"
"Grattus Signet","그라투스 인장"
"The Apostate",배교자
"The Devourer of Minds","정신 포식자"
"The Tempest Rising","몰려오는 폭풍"
"The Utmost",극도
"Circle of Ambition","야심의 고리"
"Curio of Decay","부패의 골동품"
"Curio of Potential","잠재력의 골동품"
"Curio of Consumption","소모의 골동품"
"Curio of Absorption","흡수의 골동품"
"Ynda's Stand","인다의 항전"
Svalinn,스발린
"The Queller of Minds","정신 억압자"
"The Selfish Shepherd","이기적인 목자"
"The Hateful Accuser","증오에 찬 고발인"
"The Light of Meaning","의미의 빛"
"The Living Blade","살아있는 칼날"
"Admiral's Arrogance","제독의 오만"
"Tawhoa's Felling","타호아의 벌채"
"Serle's Masterwork","세를의 걸작"
"Sap of the Seasons","계절의 진액"
"Mightblood Ire","힘의 피 진노"
"Wildfire Phloem","들불 체관 "
"The Battle Within","내면의 싸움"
"Grasping Nightshade","탐욕스러운 까마중"
"Kaom's Command","카옴의 명령"
