Absolution,면죄
"Divergent Mirror Arrow","상이한 거울 화살"
"Divergent Molten Shell","상이한 용암 방패"
"Divergent Molten Strike","상이한 용암 타격"
"Divergent Momentum","상이한 기세 보조"
"Divergent Multiple Totems","상이한 다중 토템 보조"
"Divergent Multiple Traps","상이한 다중 덫 보조"
"Divergent Multistrike","상이한 연속타격 보조"
"Divergent Nightblade","상이한 밤의 칼날 보조"
"Divergent Orb of Storms","상이한 폭풍 보주"
"Divergent Overcharge","상이한 과충전 보조"
"Divergent Penance Brand","상이한 속죄의 낙인"
"Divergent Perforate","상이한 천공"
"Divergent Pestilent Strike","상이한 전염성 일격"
"Divergent Petrified Blood","상이한 피 석화"
"Divergent Phase Run","상이한 위상 질주"
"Divergent Physical to Lightning","상이한 물리 번개 전환 보조"
"Divergent Pierce","상이한 관통 보조"
"Divergent Pinpoint","상이한 핵심 조준 보조"
"Divergent Plague Bearer","상이한 독성 운반자"
"Divergent Poacher's Mark","상이한 밀렵꾼의 징표"
"Divergent Point Blank","상이한 근접 사격 보조"
"Divergent Poisonous Concoction","상이한 독성 혼합물"
"Divergent Portal","상이한 포탈"
"Divergent Power Charge On Critical","상이한 치명타 시 권능 충전 보조"
"Divergent Power Siphon","상이한 권능 착취"
"Divergent Precision","상이한 정밀함"
"Divergent Predator","상이한 포식자 보조"
"Divergent Pride","상이한 자부심"
"Divergent Prismatic Burst","상이한 분광 격발 보조"
"Divergent Protective Link","상이한 보호의 연결"
"Divergent Pulverise","상이한 분쇄 보조"
"Divergent Puncture","상이한 관통상"
"Divergent Punishment","상이한 응징"
"Divergent Purifying Flame","상이한 정화의 불길"
"Divergent Purity of Elements","상이한 원소의 순수함"
"Divergent Purity of Fire","상이한 불의 순수함"
"Divergent Purity of Ice","상이한 얼음의 순수함"
"Divergent Purity of Lightning","상이한 번개의 순수함"
"Divergent Pyroclast Mine","상이한 화산탄 지뢰"
"Divergent Quickstep","상이한 빠른 걸음"
"Divergent Rage","상이한 격노 보조"
"Divergent Rage Vortex","상이한 격노 소용돌이"
"Divergent Rain of Arrows","상이한 화살비"
"Divergent Raise Spectre","상이한 망령 소환"
"Divergent Raise Zombie","상이한 좀비 소환"
"Divergent Rallying Cry","상이한 집결의 함성"
"Divergent Reap","상이한 낫질"
"Divergent Reave","상이한 약탈"
"Divergent Reckoning","상이한 역습"
"Divergent Rejuvenation Totem","상이한 회복 토템"
"Divergent Righteous Fire","상이한 정의의 화염"
"Divergent Riposte","상이한 반격"
"Divergent Rolling Magma","상이한 몰려오는 마그마"
"Divergent Ruthless","상이한 무자비 보조"
"Divergent Scorching Ray","상이한 작열 광선"
"Divergent Scourge Arrow","상이한 재앙의 화살"
"Divergent Searing Bond","상이한 불타는 굴레"
"Divergent Second Wind","상이한 새로운 활력 보조"
"Divergent Seismic Cry","상이한 지진 함성"
"Divergent Seismic Trap","상이한 지진 덫"
"Divergent Shattering Steel","상이한 강철 파편"
"Divergent Shield Charge","상이한 방패 돌진"
"Divergent Shield Crush","상이한 방패 타쇄"
"Divergent Shock Nova","상이한 충격 폭발"
"Divergent Shockwave","상이한 충격파 보조"
"Divergent Shockwave Totem","상이한 충격파 토템"
"Divergent Shrapnel Ballista","상이한 파편 쇠뇌"
"Divergent Siege Ballista","상이한 공성 쇠뇌"
"Divergent Sigil of Power","상이한 힘의 부적"
"Divergent Siphoning Trap","상이한 착취 덫"
"Divergent Slower Projectiles","상이한 투사체 속도 감소 보조"
"Divergent Smite","상이한 징벌"
"Divergent Smoke Mine","상이한 연막 지뢰"
"Divergent Snipe","상이한 저격"
"Divergent Sniper's Mark","상이한 저격수의 징표"
"Divergent Soul Link","상이한 영혼의 연결"
"Divergent Soulrend","상이한 영혼 분리"
"Divergent Spark","상이한 전기불꽃"
"Divergent Spectral Helix","상이한 영체 나선"
"Divergent Spectral Shield Throw","상이한 환영 방패 투척"
"Divergent Spectral Throw","상이한 환영 무기 투척"
"Divergent Spell Cascade","상이한 연속 주문 보조"
"Divergent Spell Echo","상이한 주문 메아리 보조"
"Divergent Spell Totem","상이한 주문 토템 보조"
"Divergent Spellslinger","상이한 주문투척"
"Divergent Spirit Offering","상이한 영혼 공물"
"Divergent Split Arrow","상이한 분할 화살"
"Divergent Splitting Steel","상이한 강철 분할"
"Divergent Static Strike","상이한 정전기 타격"
"Divergent Steelskin","상이한 강철피부"
"Divergent Storm Brand","상이한 폭풍의 낙인"
"Divergent Storm Burst","상이한 폭풍 점사"
"Divergent Storm Call","상이한 폭풍 부름"
"Divergent Storm Rain","상이한 폭풍우"
"Divergent Stormbind","상이한 폭풍 연대"
"Divergent Stormblast Mine","상이한 태풍 파열 지뢰"
"Divergent Stun","상이한 기절 보조"
"Divergent Summon Carrion Golem","상이한 부패 골렘 소환"
"Divergent Summon Chaos Golem","상이한 카오스 골렘 소환"
"Divergent Summon Flame Golem","상이한 화염 골렘 소환"
"Divergent Summon Holy Relic","상이한 신성한 유물 소환"
"Divergent Summon Ice Golem","상이한 얼음 골렘 소환"
"Divergent Summon Lightning Golem","상이한 번개 골렘 소환"
"Divergent Summon Phantasm","상이한 환영 소환 보조"
"Divergent Summon Raging Spirit","상이한 격노의 유령 소환"
"Divergent Summon Reaper","상이한 수확자 소환"
"Divergent Summon Skeletons","상이한 해골 소환"
"Divergent Summon Skitterbots","상이한 원격 기폭 장치 소환"
"Divergent Summon Stone Golem","상이한 돌 골렘 소환"
"Divergent Sunder","상이한 산산조각"
"Divergent Sweep","상이한 휩쓸기"
"Divergent Swift Affliction","상이한 고통 격화 보조"
"Divergent Swift Assembly","상이한 재빠른 조립 보조"
"Divergent Swiftbrand","상이한 재빠른 낙인 보조"
"Divergent Tectonic Slam","상이한 지층 강타"
"Divergent Tempest Shield","상이한 폭풍의 방패"
"Divergent Temporal Chains","상이한 시간의 사슬"
"Divergent Temporal Rift","상이한 시간의 균열"
"Divergent Tornado","상이한 회오리"
"Divergent Tornado Shot","상이한 회오리 사격"
"Divergent Toxic Rain","상이한 맹독성 비"
"Divergent Trap","상이한 덫 보조"
"Divergent Trap and Mine Damage","상이한 덫 및 지뢰 피해 보조"
"Divergent Trinity","상이한 삼위일체 보조"
"Divergent Unbound Ailments","상이한 벌어지는 상처 보조"
"Divergent Unearth","상이한 발굴"
"Divergent Unleash","상이한 촉발 보조"
"Divergent Urgent Orders","상이한 긴급 명령 보조"
"Divergent Vaal Absolution","상이한 바알 면죄"
"Divergent Vaal Ancestral Warchief","상이한 바알 선대의 대전사"
"Divergent Vaal Animate Weapon","상이한 바알 무기 기동"
"Divergent Vaal Arc","상이한 바알 연쇄 번개"
"Divergent Vaal Arctic Armour","상이한 바알 한기의 방어구"
"Divergent Vaal Blade Flurry","상이한 바알 질풍의 칼날"
"Divergent Vaal Blade Vortex","상이한 바알 칼날 소용돌이"
"Divergent Vaal Blight","상이한 바알 황폐"
"Divergent Vaal Breach","상이한 바알 균열"
"Divergent Vaal Burning Arrow","상이한 바알 불타는 화살"
"Divergent Vaal Caustic Arrow","상이한 바알 부식성 화살"
"Divergent Vaal Clarity","상이한 바알 명상"
"Divergent Vaal Cleave","상이한 바알 회전베기"
"Divergent Vaal Cold Snap","상이한 바알 한파"
"Divergent Vaal Cyclone","상이한 바알 회오리바람"
"Divergent Vaal Detonate Dead","상이한 바알 시체 폭발"
"Divergent Vaal Discipline","상이한 바알 단련"
"Divergent Vaal Domination","상이한 바알 지배"
"Divergent Vaal Double Strike","상이한 바알 이중 타격"
"Divergent Vaal Earthquake","상이한 바알 지진"
"Divergent Vaal Fireball","상이한 바알 화염구"
"Divergent Vaal Firestorm","상이한 바알 화염 폭풍"
"Divergent Vaal Flameblast","상이한 바알 화염파"
"Divergent Vaal Flicker Strike","상이한 바알 점멸 타격"
"Divergent Vaal Glacial Hammer","상이한 바알 빙하 망치"
"Divergent Vaal Grace","상이한 바알 은총"
"Divergent Vaal Ground Slam","상이한 바알 대지 강타"
"Divergent Vaal Haste","상이한 바알 가속"
"Divergent Vaal Ice Nova","상이한 바알 얼음 폭발"
"Divergent Vaal Ice Shot","상이한 바알 얼음 화살"
"Divergent Vaal Immortal Call","상이한 바알 불멸의 외침"
"Divergent Vaal Impurity of Fire","상이한 바알 불의 부정함"
"Divergent Vaal Impurity of Ice","상이한 바알 얼음의 부정함"
"Divergent Vaal Impurity of Lightning","상이한 바알 번개의 부정함"
"Divergent Vaal Lightning Arrow","상이한 바알 번개 화살"
"Divergent Vaal Lightning Strike","상이한 바알 번개 타격"
"Divergent Vaal Lightning Trap","상이한 바알 번개 덫"
"Divergent Vaal Lightning Warp","상이한 바알 번개 차원 이동"
"Divergent Vaal Molten Shell","상이한 바알 용암 방패"
"Divergent Vaal Molten Strike","상이한 바알 용암 타격"
"Divergent Vaal Power Siphon","상이한 바알 권능 착취"
"Divergent Vaal Rain of Arrows","상이한 바알 화살비"
"Divergent Vaal Reap","상이한 바알 낫질"
"Divergent Vaal Reave","상이한 바알 약탈"
"Divergent Vaal Rejuvenation Totem","상이한 바알 회복 토템"
"Divergent Vaal Righteous Fire","상이한 바알 정의의 화염"
"Divergent Vaal Smite","상이한 바알 징벌"
"Divergent Vaal Spark","상이한 바알 전기불꽃"
"Divergent Vaal Spectral Throw","상이한 바알 환영 무기 투척"
"Divergent Vaal Split Arrow","상이한 바알 분할 화살"
"Divergent Vaal Storm Call","상이한 바알 폭풍 부름"
"Divergent Vaal Summon Skeletons","상이한 바알 해골 소환"
"Divergent Vaal Venom Gyre","상이한 바알 독액 선회"
"Divergent Vaal Volcanic Fissure","상이한 바알 화산 균열"
"Divergent Vampiric Link","상이한 흡혈의 연결"
"Divergent Vengeance","상이한 복수"
"Divergent Venom Gyre","상이한 독액 선회"
"Divergent Vicious Projectiles","상이한 포악한 투사체 보조"
"Divergent Vigilant Strike","상이한 경계 타격"
"Divergent Vile Toxins","상이한 끔찍한 독소 보조"
"Divergent Viper Strike","상이한 맹독 타격"
"Divergent Vitality","상이한 활력"
"Divergent Void Manipulation","상이한 공허 조작 보조"
"Divergent Void Sphere","상이한 공허 구체"
"Divergent Volatile Dead","상이한 시체 불덩이"
"Divergent Volcanic Fissure","상이한 화산 균열"
"Divergent Volley","상이한 사격 공세 보조"
"Divergent Voltaxic Burst","상이한 전도성 격발"
"Divergent Vortex","상이한 소용돌이"
"Divergent Vulnerability","상이한 취약성"
"Divergent War Banner","상이한 전쟁 깃발"
"Divergent Warlord's Mark","상이한 전쟁군주의 징표"
"Divergent Wave of Conviction","상이한 신념의 파도"
"Divergent Whirling Blades","상이한 칼날 선회"
"Divergent Wild Strike","상이한 사나운 타격"
"Divergent Winter Orb","상이한 겨울 보주"
"Divergent Wintertide Brand","상이한 겨울의 낙인"
"Divergent Wither","상이한 위축"
"Divergent Withering Step","상이한 고사시키는 걸음"
"Divergent Withering Touch","상이한 위축의 손길 보조"
"Divergent Wrath","상이한 진노"
"Divergent Zealotry","상이한 열광"
"Anomalous Absolution","기묘한 면죄"
"Anomalous Added Chaos Damage","기묘한 카오스 피해 추가 보조"
"Anomalous Added Cold Damage","기묘한 냉기 피해 추가 보조"
"Anomalous Added Fire Damage","기묘한 화염 피해 추가 보조"
"Anomalous Added Lightning Damage","기묘한 번개 피해 추가 보조"
"Anomalous Additional Accuracy","기묘한 정확도 추가 보조"
"Anomalous Advanced Traps","기묘한 향상된 덫 보조"
"Anomalous Alchemist's Mark","기묘한 연금술사의 징표"
"Anomalous Ambush","기묘한 매복"
"Anomalous Ancestral Call","기묘한 선대의 부름 보조"
"Anomalous Ancestral Cry","기묘한 선대의 함성"
"Anomalous Ancestral Protector","기묘한 선대의 수호자"
"Anomalous Ancestral Warchief","기묘한 선대의 대전사"
"Anomalous Anger","기묘한 분노"
"Anomalous Animate Guardian","기묘한 수호자 기동"
"Anomalous Animate Weapon","기묘한 무기 기동"
"Anomalous Arc","기묘한 연쇄 번개"
"Anomalous Arcane Cloak","기묘한 비전의 망토"
"Anomalous Arcane Surge","기묘한 비전 쇄도 보조"
"Anomalous Arcanist Brand","기묘한 신비학자 낙인"
"Anomalous Archmage","기묘한 대마법사 보조"
"Anomalous Arctic Armour","기묘한 한기의 방어구"
"Anomalous Armageddon Brand","기묘한 종말의 낙인"
"Anomalous Arrogance","기묘한 오만 보조"
"Anomalous Arrow Nova","기묘한 화살 산개 보조"
"Anomalous Artillery Ballista","기묘한 포대 쇠뇌"
"Anomalous Assassin's Mark","기묘한 암살자의 징표"
"Anomalous Ball Lightning","기묘한 구형 번개"
"Anomalous Ballista Totem","기묘한 쇠뇌 토템 보조"
"Anomalous Bane","기묘한 파멸"
"Anomalous Barrage","기묘한 연발 사격"
"Anomalous Barrage Support","기묘한 연발 사격 보조"
"Anomalous Battlemage's Cry","기묘한 전투마법사의 함성"
"Anomalous Bear Trap","기묘한 곰 덫"
"Anomalous Behead","기묘한 참수 보조"
"Anomalous Berserk","기묘한 광폭"
"Anomalous Blade Blast","기묘한 칼날 폭격"
"Anomalous Blade Flurry","기묘한 질풍의 칼날"
"Anomalous Blade Trap","기묘한 칼날 덫"
"Anomalous Blade Vortex","기묘한 칼날 소용돌이"
"Anomalous Bladefall","기묘한 칼날비"
"Anomalous Bladestorm","기묘한 칼날 폭풍"
"Anomalous Blasphemy","기묘한 신성 모독 보조"
"Anomalous Blast Rain","기묘한 폭발 화살비"
"Anomalous Blastchain Mine","기묘한 연쇄 폭발 지뢰 보조"
"Anomalous Blazing Salvo","기묘한 맹렬한 포격"
"Anomalous Blight","기묘한 황폐"
"Anomalous Blind","기묘한 실명 보조"
"Anomalous Blink Arrow","기묘한 점멸 화살"
"Anomalous Block Chance Reduction","기묘한 막기 확률 감소 보조"
"Anomalous Blood and Sand","기묘한 피와 모래"
"Anomalous Blood Rage","기묘한 피의 격노"
"Anomalous Bloodlust","기묘한 유혈 충동 보조"
"Anomalous Bloodthirst","기묘한 피의 갈증 보조"
"Anomalous Bodyswap","기묘한 신체 전환"
"Anomalous Bone Offering","기묘한 뼈 공물"
"Anomalous Bonechill","기묘한 사무치는 한기 보조"
"Anomalous Boneshatter","기묘한 뼈 박살"
"Anomalous Brand Recall","기묘한 낙인 소환"
"Anomalous Brutality","기묘한 포악함 보조"
"Anomalous Burning Arrow","기묘한 불타는 화살"
"Anomalous Burning Damage","기묘한 화상 피해 보조"
"Anomalous Cast On Critical Strike","기묘한 치명타 시 시전 보조"
"Anomalous Cast on Death","기묘한 사망 시 시전 보조"
"Anomalous Cast on Melee Kill","기묘한 근접 처치 시 시전 보조"
"Anomalous Cast when Damage Taken","기묘한 피격 시 시전 보조"
"Anomalous Cast when Stunned","기묘한 기절 시 시전 보조"
"Anomalous Cast while Channelling","기묘한 집중 유지 중 시전 보조"
"Anomalous Caustic Arrow","기묘한 부식성 화살"
"Anomalous Chain","기묘한 연쇄 보조"
"Anomalous Chain Hook","기묘한 사슬 갈고리"
"Anomalous Chance to Bleed","기묘한 출혈 확률 보조"
"Anomalous Chance to Flee","기묘한 도망칠 확률 보조"
"Anomalous Chance to Poison","기묘한 중독 확률 보조"
"Anomalous Charged Dash","기묘한 충전 질주"
"Anomalous Charged Mines","기묘한 충전된 지뢰 보조"
"Anomalous Charged Traps","기묘한 충전된 덫 보조"
"Anomalous Clarity","기묘한 명상"
"Anomalous Cleave","기묘한 회전베기"
"Anomalous Close Combat","기묘한 근접 전투 보조"
"Anomalous Cluster Traps","기묘한 무리 덫 보조"
"Anomalous Cobra Lash","기묘한 코브라 채찍"
"Anomalous Cold Penetration","기묘한 냉기 관통 보조"
"Anomalous Cold Snap","기묘한 한파"
"Anomalous Cold to Fire","기묘한 냉기 화염 전환 보조"
"Anomalous Combustion","기묘한 연소 보조"
"Anomalous Concentrated Effect","기묘한 효과 집중 보조"
"Anomalous Conductivity","기묘한 전도성"
"Anomalous Consecrated Path","기묘한 축성의 진격"
"Anomalous Contagion","기묘한 전염"
"Anomalous Controlled Destruction","기묘한 제어된 파괴 보조"
"Anomalous Conversion Trap","기묘한 전향 덫"
"Anomalous Convocation","기묘한 소집"
"Anomalous Corrupting Fever","기묘한 타락한 열병"
"Anomalous Crackling Lance","기묘한 치직대는 창"
"Anomalous Creeping Frost","기묘한 엄습하는 서리"
"Anomalous Cremation","기묘한 시체 소각"
"Anomalous Critical Strike Affliction","기묘한 치명타 고통 격화 보조"
"Anomalous Cruelty","기묘한 잔혹 보조"
"Anomalous Culling Strike","기묘한 마무리 타격 보조"
"Anomalous Cursed Ground","기묘한 저주받은 지대 보조"
"Anomalous Cyclone","기묘한 회오리바람"
"Anomalous Damage on Full Life","기묘한 최대 생명력 시 피해 보조"
"Anomalous Dark Pact","기묘한 어둠의 서약"
"Anomalous Dash","기묘한 질주"
"Anomalous Deadly Ailments","기묘한 치명적인 상태 이상 보조"
"Anomalous Decay","기묘한 부패 보조"
"Anomalous Decoy Totem","기묘한 미끼 토템"
"Anomalous Defiance Banner","기묘한 저항의 깃발"
"Anomalous Desecrate","기묘한 모독"
"Anomalous Despair","기묘한 절망"
"Anomalous Destructive Link","기묘한 파괴의 연결"
"Anomalous Determination","기묘한 결의"
"Anomalous Detonate Dead","기묘한 시체 폭발"
"Anomalous Detonate Mines","기묘한 지뢰 폭발"
"Anomalous Devouring Totem","기묘한 포식 토템"
"Anomalous Discharge","기묘한 방출"
"Anomalous Discipline","기묘한 단련"
"Anomalous Divine Blessing","기묘한 신성한 축복 보조"
"Anomalous Divine Ire","기묘한 신성한 진노"
"Anomalous Dominating Blow","기묘한 지배의 맹타"
"Anomalous Double Strike","기묘한 이중 타격"
"Anomalous Dread Banner","기묘한 공포의 깃발"
"Anomalous Dual Strike","기묘한 쌍수 타격"
"Anomalous Earthbreaker","기묘한 대지 분쇄자 보조"
"Anomalous Earthquake","기묘한 지진"
"Anomalous Earthshatter","기묘한 지면 분쇄"
"Anomalous Efficacy","기묘한 효력 보조"
"Anomalous Elemental Army","기묘한 원소의 군단 보조"
"Anomalous Elemental Damage with Attacks","기묘한 공격 시 원소 피해 보조"
"Anomalous Elemental Focus","기묘한 원소 집중 보조"
"Anomalous Elemental Hit","기묘한 원소의 일격"
"Anomalous Elemental Penetration","기묘한 원소 관통 보조"
"Anomalous Elemental Proliferation","기묘한 원소 확산 보조"
"Anomalous Elemental Weakness","기묘한 원소 약화"
"Anomalous Empower","기묘한 강화 보조"
"Anomalous Endurance Charge on Melee Stun","기묘한 기절 시 인내 충전 보조"
"Anomalous Enduring Cry","기묘한 인내의 함성"
"Anomalous Energy Blade","기묘한 에너지 칼날"
"Anomalous Energy Leech","기묘한 에너지 흡수 보조"
"Anomalous Enfeeble","기묘한 쇠약화"
"Anomalous Enhance","기묘한 향상 보조"
"Anomalous Enlighten","기묘한 계몽 보조"
"Anomalous Ensnaring Arrow","기묘한 올가미 화살"
"Anomalous Essence Drain","기묘한 정수 흡수"
"Anomalous Eternal Blessing","기묘한 영원한 축복 보조"
"Anomalous Ethereal Knives","기묘한 천상의 단도"
"Anomalous Explosive Arrow","기묘한 폭발 화살"
"Anomalous Explosive Concoction","기묘한 폭발성 혼합물"
"Anomalous Explosive Trap","기묘한 폭발 덫"
"Anomalous Exsanguinate","기묘한 방혈"
"Anomalous Eye of Winter","기묘한 겨울의 눈"
"Anomalous Faster Attacks","기묘한 공격 속도 증가 보조"
"Anomalous Faster Casting","기묘한 시전 속도 증가 보조"
"Anomalous Faster Projectiles","기묘한 투사체 속도 증가 보조"
"Anomalous Feeding Frenzy","기묘한 격분 주입 보조"
"Anomalous Fire Penetration","기묘한 화염 관통 보조"
"Anomalous Fire Trap","기묘한 화염 덫"
"Anomalous Fireball","기묘한 화염구"
"Anomalous Firestorm","기묘한 화염 폭풍"
"Anomalous Fist of War","기묘한 전쟁의 주먹 보조"
"Anomalous Flame Dash","기묘한 화염 질주"
"Anomalous Flame Link","기묘한 화염의 연결"
"Anomalous Flame Surge","기묘한 화염 쇄도"
"Anomalous Flame Wall","기묘한 화염 벽"
"Anomalous Flameblast","기묘한 화염파"
"Anomalous Flamethrower Trap","기묘한 화염방사기 덫"
"Anomalous Flammability","기묘한 인화성"
"Anomalous Flesh and Stone","기묘한 육체와 돌"
"Anomalous Flesh Offering","기묘한 살점 공물"
"Anomalous Flicker Strike","기묘한 점멸 타격"
"Anomalous Focused Ballista","기묘한 쇠뇌 집중 사격 보조"
"Anomalous Forbidden Rite","기묘한 금단의 의식"
"Anomalous Fork","기묘한 갈래 보조"
"Anomalous Fortify","기묘한 방어 상승 보조"
"Anomalous Freezing Pulse","기묘한 동결 파동"
"Anomalous Frenzy","기묘한 격분"
"Anomalous Frost Blades","기묘한 서리 칼날"
"Anomalous Frost Bomb","기묘한 서리 폭탄"
"Anomalous Frost Shield","기묘한 서리 방패"
"Anomalous Frost Wall","기묘한 서리 방벽"
"Anomalous Frostbite","기묘한 동상"
"Anomalous Frostblink","기묘한 서리점멸"
"Anomalous Frostbolt","기묘한 서리 구체"
"Anomalous Frozen Legion","기묘한 얼어붙은 군단"
"Anomalous Galvanic Arrow","기묘한 충격 화살"
"Anomalous Galvanic Field","기묘한 충격장"
"Anomalous General's Cry","기묘한 장군의 함성"
"Anomalous Generosity","기묘한 관대함 보조"
"Anomalous Glacial Cascade","기묘한 빙하 폭포"
"Anomalous Glacial Hammer","기묘한 빙하 망치"
"Anomalous Grace","기묘한 은총"
"Anomalous Greater Multiple Projectiles","기묘한 상위 다중 투사체 보조"
"Anomalous Greater Volley","기묘한 상위 사격 공세 보조"
"Anomalous Ground Slam","기묘한 대지 강타"
"Anomalous Haste","기묘한 가속"
"Anomalous Hatred","기묘한 증오"
"Anomalous Heavy Strike","기묘한 묵직한 타격"
"Anomalous Herald of Agony","기묘한 고통의 전령"
"Anomalous Herald of Ash","기묘한 재의 전령"
"Anomalous Herald of Ice","기묘한 얼음의 전령"
"Anomalous Herald of Purity","기묘한 순수의 전령"
"Anomalous Herald of Thunder","기묘한 천둥의 전령"
"Anomalous Hex Bloom","기묘한 사술의 꽃 보조"
"Anomalous Hexblast","기묘한 사술 폭발"
"Anomalous Hextouch","기묘한 사술 손길 보조"
"Anomalous High-Impact Mine","기묘한 고충격 지뢰 보조"
"Anomalous Holy Flame Totem","기묘한 신성한 화염 토템"
"Anomalous Hydrosphere","기묘한 물의 구체"
"Anomalous Hypothermia","기묘한 체온저하 보조"
"Anomalous Ice Bite","기묘한 얼음 쐐기 보조"
"Anomalous Ice Crash","기묘한 얼음 충격"
"Anomalous Ice Nova","기묘한 얼음 폭발"
"Anomalous Ice Shot","기묘한 얼음 화살"
"Anomalous Ice Spear","기묘한 얼음 창"
"Anomalous Ice Trap","기묘한 얼음 덫"
"Anomalous Icestorm","기묘한 얼음태풍"
"Anomalous Icicle Mine","기묘한 고드름 지뢰"
"Anomalous Ignite Proliferation","기묘한 점화 확산 보조"
"Anomalous Immolate","기묘한 번제 보조"
"Anomalous Immortal Call","기묘한 불멸의 외침"
"Anomalous Impale","기묘한 꿰뚫기 보조"
"Anomalous Impending Doom","기묘한 임박한 멸망 보조"
"Anomalous Incinerate","기묘한 소각"
"Anomalous Increased Area of Effect","기묘한 효과 범위 증가 보조"
"Anomalous Increased Critical Damage","기묘한 치명타 피해 증가 보조"
"Anomalous Increased Critical Strikes","기묘한 치명타 증가 보조"
"Anomalous Increased Duration","기묘한 지속시간 증가 보조"
"Anomalous Infernal Blow","기묘한 지옥불 맹타"
"Anomalous Infernal Cry","기묘한 지옥불 함성"
"Anomalous Infernal Legion","기묘한 지옥불 군단 보조"
"Anomalous Infused Channelling","기묘한 깊어지는 집중 유지 보조"
"Anomalous Innervate","기묘한 자극 보조"
"Anomalous Inspiration","기묘한 영감 보조"
"Anomalous Intensify","기묘한 격화 보조"
"Anomalous Intimidating Cry","기묘한 위협의 함성"
"Anomalous Intuitive Link","기묘한 직관의 연결"
"Anomalous Iron Grip","기묘한 강철 손아귀 보조"
"Anomalous Iron Will","기묘한 강철의 의지 보조"
"Anomalous Item Rarity","기묘한 아이템 희귀도 보조"
"Anomalous Kinetic Blast","기묘한 역학 폭발"
"Anomalous Kinetic Bolt","기묘한 역학 투사체"
"Anomalous Knockback","기묘한 밀어내기 보조"
"Anomalous Lacerate","기묘한 피부 찢기"
"Anomalous Lancing Steel","기묘한 강철 관통"
"Anomalous Leap Slam","기묘한 도약 강타"
"Anomalous Less Duration","기묘한 지속시간 감소 보조"
"Anomalous Lesser Multiple Projectiles","기묘한 하위 다중 투사체 보조"
"Anomalous Life Gain on Hit","기묘한 명중 시 생명력 획득 보조"
"Anomalous Life Leech","기묘한 생명력 흡수 보조"
"Anomalous Lifetap","기묘한 생명력 전환 보조"
"Anomalous Lightning Arrow","기묘한 번개 화살"
"Anomalous Lightning Conduit","기묘한 번개 도관"
"Anomalous Lightning Penetration","기묘한 번개 관통 보조"
"Anomalous Lightning Spire Trap","기묘한 번개 첨탑 덫"
"Anomalous Lightning Strike","기묘한 번개 타격"
"Anomalous Lightning Tendrils","기묘한 덩굴 번개"
"Anomalous Lightning Trap","기묘한 번개 덫"
"Anomalous Lightning Warp","기묘한 번개 차원 이동"
"Anomalous Maim","기묘한 힘줄 절단 보조"
"Anomalous Malevolence","기묘한 악의"
"Anomalous Mana Leech","기묘한 마나 흡수 보조"
"Anomalous Manabond","기묘한 마나 결속"
"Anomalous Manaforged Arrows","기묘한 마나벼림 화살 보조"
"Anomalous Mark On Hit","기묘한 명중 시 징표 보조"
"Anomalous Meat Shield","기묘한 육탄 방어 보조"
"Anomalous Melee Physical Damage","기묘한 근접 물리 피해 보조"
"Anomalous Melee Splash","기묘한 근접 범위 피해 보조"
"Anomalous Minefield","기묘한 지뢰밭 보조"
"Anomalous Minion Damage","기묘한 소환수 피해 보조"
"Anomalous Minion Life","기묘한 소환수 생명력 보조"
"Anomalous Minion Speed","기묘한 소환수 속도 보조"
"Anomalous Mirage Archer","기묘한 신기루 궁수 보조"
"Anomalous Mirror Arrow","기묘한 거울 화살"
"Anomalous Molten Shell","기묘한 용암 방패"
"Anomalous Molten Strike","기묘한 용암 타격"
"Anomalous Momentum","기묘한 기세 보조"
"Anomalous Multiple Totems","기묘한 다중 토템 보조"
"Anomalous Multiple Traps","기묘한 다중 덫 보조"
"Anomalous Multistrike","기묘한 연속타격 보조"
"Anomalous Nightblade","기묘한 밤의 칼날 보조"
"Anomalous Orb of Storms","기묘한 폭풍 보주"
"Anomalous Overcharge","기묘한 과충전 보조"
"Anomalous Penance Brand","기묘한 속죄의 낙인"
"Anomalous Perforate","기묘한 천공"
"Anomalous Pestilent Strike","기묘한 전염성 일격"
"Anomalous Petrified Blood","기묘한 피 석화"
"Anomalous Phase Run","기묘한 위상 질주"
"Anomalous Physical to Lightning","기묘한 물리 번개 전환 보조"
"Anomalous Pierce","기묘한 관통 보조"
"Anomalous Pinpoint","기묘한 핵심 조준 보조"
"Anomalous Plague Bearer","기묘한 독성 운반자"
"Anomalous Poacher's Mark","기묘한 밀렵꾼의 징표"
"Anomalous Point Blank","기묘한 근접 사격 보조"
"Anomalous Poisonous Concoction","기묘한 독성 혼합물"
"Anomalous Portal","기묘한 포탈"
"Anomalous Power Charge On Critical","기묘한 치명타 시 권능 충전 보조"
"Anomalous Power Siphon","기묘한 권능 착취"
"Anomalous Precision","기묘한 정밀함"
"Anomalous Predator","기묘한 포식자 보조"
"Anomalous Pride","기묘한 자부심"
"Anomalous Prismatic Burst","기묘한 분광 격발 보조"
"Anomalous Protective Link","기묘한 보호의 연결"
"Anomalous Pulverise","기묘한 분쇄 보조"
"Anomalous Puncture","기묘한 관통상"
"Anomalous Punishment","기묘한 응징"
"Anomalous Purifying Flame","기묘한 정화의 불길"
"Anomalous Purity of Elements","기묘한 원소의 순수함"
"Anomalous Purity of Fire","기묘한 불의 순수함"
