"Absolution of Inspiring","격려의 면죄"
"Animate Guardian of Smiting (Active)","^7징벌의 수호자 기동 ^x60C060(활성)"
"Animate Weapon of Ranged Arms (Active)","^7원거리 병기의 무기 기동 ^x60C060(활성)"
"Animate Weapon of Self Reflection (Active)","^7자기 반사의 무기 기동 ^x60C060(활성)"
"Arc of Oscillating (Active)","^7뇌동의 연쇄 번개 ^x60C060(활성)"
"Arc of Surging (Active)","^7쇄도의 연쇄 번개 ^x60C060(활성)"
"Armageddon Brand of Recall (Active)","^7소환의 종말의 낙인 ^x60C060(활성)"
"Armageddon Brand of Volatility (Active)","^7일촉즉발의 종말의 낙인 ^x60C060(활성)"
"Ball Lightning of Orbiting (Active)","^7공전의 구형 번개 ^x60C060(활성)"
"Ball Lightning of Static (Active)","^7정전기의 구형 번개 ^x60C060(활성)"
"Bane of Condemnation (Active)","^7규탄의 파멸 ^x60C060(활성)"
"Barrage of Volley Fire (Active)","^7일제 포격의 연발 사격 ^x60C060(활성)"
"Bear Trap of Skewers (Active)","^7꼬챙이의 곰 덫 ^x60C060(활성)"
"Blade Blast of Dagger Detonation (Active)","^7단검 폭파의 칼날 폭격 ^x60C060(활성)"
"Blade Blast of Unloading (Active)","^7난사의 칼날 폭격 ^x60C060(활성)"
"Blade Flurry of Incision (Active)","^7절개의 질풍의 칼날 ^x60C060(활성)"
"Blade Trap of Greatswords (Active)","^7대검의 칼날 덫 ^x60C060(활성)"
"Blade Trap of Laceration (Active)","^7열상의 칼날 덫 ^x60C060(활성)"
"Blade Vortex of the Scythe (Active)","^7낫의 칼날 소용돌이 ^x60C060(활성)"
"Bladefall of Impaling (Active)","^7꿰뚫기의 칼날비 ^x60C060(활성)"
"Bladefall of Volleys (Active)","^7사격 공세의 칼날비 ^x60C060(활성)"
"Bladestorm of Uncertainty (Active)","^7불확실성의 칼날 폭풍 ^x60C060(활성)"
"Blight of Atrophy (Active)","^7위축의 황폐 ^x60C060(활성)"
"Blight of Contagion (Active)","^7전염의 황폐 ^x60C060(활성)"
"Blink Arrow of Bombarding Clones (Active)","^7포격 분신의 점멸 화살 ^x60C060(활성)"
"Blink Arrow of Prismatic Clones (Active)","^7분광 분신의 점멸 화살 ^x60C060(활성)"
"Bodyswap of Sacrifice (Active)","^7희생의 신체 전환 ^x60C060(활성)"
"Boneshatter of Carnage (Active)","^7살육의 뼈 박살 ^x60C060(활성)"
"Boneshatter of Complex Trauma (Active)","^7복합 외상의 뼈 박살 ^x60C060(활성)"
"Burning Arrow of Vigour (Active)","^7활력의 불타는 화살 ^x60C060(활성)"
"Caustic Arrow of Poison (Active)","^7독의 부식성 화살 ^x60C060(활성)"
"Cleave of Rage (Active)","^7격노의 회전베기 ^x60C060(활성)"
"Cold Snap of Power (Active)","^7권능의 한파 ^x60C060(활성)"
"Consecrated Path of Endurance (Active)","^7인내의 축성의 진격 ^x60C060(활성)"
"Contagion of Subsiding (Active)","^7침하의 전염 ^x60C060(활성)"
"Contagion of Transference (Active)","^7전이의 전염 ^x60C060(활성)"
"Crackling Lance of Branching (Active)","^7파생의 치직대는 창 ^x60C060(활성)"
"Crackling Lance of Disintegration (Active)","^7분해의 치직대는 창 ^x60C060(활성)"
"Cremation of Exhuming (Active)","^7발굴의 시체 소각 ^x60C060(활성)"
"Cremation of the Volcano (Active)","^7화산의 시체 소각 ^x60C060(활성)"
"Cyclone of Tumult (Active)","^7소동의 회오리바람 ^x60C060(활성)"
"Detonate Dead of Chain Reaction (Active)","^7연쇄 반응의 시체 폭발 ^x60C060(활성)"
"Detonate Dead of Scavenging (Active)","^7청소부의 시체 폭발 ^x60C060(활성)"
"Discharge of Misery (Active)","^7비참의 방출 ^x60C060(활성)"
"Divine Ire of Disintegration (Active)","^7분해의 신성한 진노 ^x60C060(활성)"
"Divine Ire of Holy Lightning (Active)","^7상서로운 번개의 신성한 진노 ^x60C060(활성)"
"Dominating Blow of Inspiring (Active)","^7격려의 지배의 맹타 ^x60C060(활성)"
"Double Strike of Impaling (Active)","^7꿰뚫기의 이중 타격 ^x60C060(활성)"
"Double Strike of Momentum (Active)","^7기세의 이중 타격 ^x60C060(활성)"
"Dual Strike of Ambidexterity (Active)","^7양손잡이의 쌍수 타격 ^x60C060(활성)"
"Earthquake of Amplification (Active)","^7증폭의 지진 ^x60C060(활성)"
"Earthshatter of Fragility (Active)","^7허약의 지면 분쇄 ^x60C060(활성)"
"Earthshatter of Prominence (Active)","^7출중의 지면 분쇄 ^x60C060(활성)"
"Essence Drain of Desperation (Active)","^7필사의 정수 흡수 ^x60C060(활성)"
"Essence Drain of Wickedness (Active)","^7사악함의 정수 흡수 ^x60C060(활성)"
"Ethereal Knives of Lingering Blades (Active)","^7지속되는 칼날의 천상의 단도 ^x60C060(활성)"
"Ethereal Knives of the Massacre (Active)","^7도륙의 천상의 단도 ^x60C060(활성)"
"Explosive Concoction of Destruction (Active)","^7파괴의 폭발성 혼합물 ^x60C060(활성)"
"Explosive Trap of Magnitude (Active)","^7규모의 폭발 덫 ^x60C060(활성)"
"Explosive Trap of Shrapnel (Active)","^7파편의 폭발 덫 ^x60C060(활성)"
"Exsanguinate of Transmission (Active)","^7전송의 방혈 ^x60C060(활성)"
"Eye of Winter of Finality (Active)","^7종극의 겨울의 눈 ^x60C060(활성)"
"Eye of Winter of Transience (Active)","^7덧없음의 겨울의 눈 ^x60C060(활성)"
"Fire Trap of Blasting (Active)","^7폭발의 화염 덫 ^x60C060(활성)"
"Firestorm of Meteors (Active)","^7유성의 화염 폭풍 ^x60C060(활성)"
"Firestorm of Pelting (Active)","^7퍼부음의 화염 폭풍 ^x60C060(활성)"
"Flame Dash of Incinerating (Active)","^7소각의 화염 질주 ^x60C060(활성)"
"Flame Dash of Return (Active)","^7귀환의 화염 질주 ^x60C060(활성)"
"Flame Surge of Combusting (Active)","^7발화의 화염 쇄도 ^x60C060(활성)"
"Flameblast of Celerity (Active)","^7민첩함의 화염파 ^x60C060(활성)"
"Flameblast of Contraction (Active)","^7수축의 화염파 ^x60C060(활성)"
"Flicker Strike of Power (Active)","^7권능의 점멸 타격 ^x60C060(활성)"
"Forbidden Rite of Soul Sacrifice (Active)","^7영혼 희생의 금단의 의식 ^x60C060(활성)"
"Frenzy of Onslaught (Active)","^7맹공의 격분 ^x60C060(활성)"
"Frost Blades of Katabasis (Active)","^7퇴각의 서리 칼날 ^x60C060(활성)"
"Frost Bomb of Forthcoming (Active)","^7임박의 서리 폭탄 ^x60C060(활성)"
"Frost Bomb of Instability (Active)","^7불안정의 서리 폭탄 ^x60C060(활성)"
"Frostblink of Wintry Blast (Active)","^7차가운 폭발의 서리점멸 ^x60C060(활성)"
"Frozen Legion of Rallying (Active)","^7재집결의 얼어붙은 군단 ^x60C060(활성)"
"Galvanic Arrow of Energy (Active)","^7에너지의 충격 화살 ^x60C060(활성)"
"Galvanic Arrow of Surging (Active)","^7쇄도의 충격 화살 ^x60C060(활성)"
"Galvanic Field of Intensity (Active)","^7격렬함의 충격장 ^x60C060(활성)"
"Glacial Cascade of the Fissure (Active)","^7균열의 빙하 폭포 ^x60C060(활성)"
"Glacial Hammer of Shattering (Active)","^7산산조각의 빙하 망치 ^x60C060(활성)"
"Ground Slam of Earthshaking (Active)","^7지동의 대지 강타 ^x60C060(활성)"
"Hexblast of Contradiction (Active)","^7상반의 사술폭발 ^x60C060(활성)"
"Hexblast of Havoc (Active)","^7혼란의 사술폭발 ^x60C060(활성)"
"Holy Flame Totem of Ire (Active)","^7노여움의 신성한 화염 토템 ^x60C060(활성)"
"Ice Crash of Cadence (Active)","^7운율의 얼음 충격 ^x60C060(활성)"
"Ice Nova of Deep Freeze (Active)","^7결빙의 얼음 폭발 ^x60C060(활성)"
"Ice Nova of Frostbolts (Active)","^7서리 구체의 얼음 폭발 ^x60C060(활성)"
"Ice Spear of Splitting (Active)","^7분할의 얼음 창 ^x60C060(활성)"
"Ice Trap of Hollowness (Active)","^7무상의 얼음 덫 ^x60C060(활성)"
"Icicle Mine of Fanning (Active)","^7퍼짐의 고드름 지뢰 ^x60C060(활성)"
"Icicle Mine of Sabotage (Active)","^7방해 공작의 고드름 지뢰 ^x60C060(활성)"
"Infernal Blow of Immolation (Active)","^7제물의 지옥불 맹타 ^x60C060(활성)"
"Kinetic Bolt of Fragmentation (Active)","^7파쇄의 역학 투사체 ^x60C060(활성)"
"Lacerate of Butchering (Active)","^7도살의 피부 찢기 ^x60C060(활성)"
"Lacerate of Haemorrhage (Active)","^7실혈의 피부 찢기 ^x60C060(활성)"
"Lancing Steel of Spraying (Active)","^7분사의 강철 관통 ^x60C060(활성)"
"Leap Slam of Groundbreaking (Active)","^7땅 분쇄의 도약 강타 ^x60C060(활성)"
"Lightning Arrow of Electrocution (Active)","^7전기 처형의 번개 화살 ^x60C060(활성)"
"Lightning Conduit of the Heavens (Active)","^7천국의 번개 도관 ^x60C060(활성)"
"Lightning Spire Trap of Overloading (Active)","^7과부하의 번개 첨탑 덫 ^x60C060(활성)"
"Lightning Spire Trap of Zapping (Active)","^7전류의 번개 첨탑 덫 ^x60C060(활성)"
"Lightning Strike of Arcing (Active)","^7전호의 번개 타격 ^x60C060(활성)"
"Lightning Tendrils of Eccentricity (Active)","^7기행의 덩굴 번개 ^x60C060(활성)"
"Lightning Tendrils of Escalation (Active)","^7격화의 덩굴 번개 ^x60C060(활성)"
"Lightning Trap of Sparking (Active)","^7전기불꽃의 번개 덫 ^x60C060(활성)"
"Mirror Arrow of Bombarding Clones (Active)","^7포격 분신의 거울 화살 ^x60C060(활성)"
"Mirror Arrow of Prismatic Clones (Active)","^7분광 분신의 거울 화살 ^x60C060(활성)"
"Molten Strike of the Zenith (Active)","^7북극성의 용암 타격 ^x60C060(활성)"
"Pacify (Active)","^7진정 ^x60C060(활성)"
"Penance Brand of Conduction (Active)","^7전도의 속죄의 낙인 ^x60C060(활성)"
"Penance Brand of Dissipation (Active)","^7소실의 속죄의 낙인 ^x60C060(활성)"
"Penance Mark (Active)","^7속죄의 징표 ^x60C060(활성)"
"Perforate of Bloodshed (Active)","^7유혈의 천공 ^x60C060(활성)"
"Perforate of Duality (Active)","^7이중성의 천공 ^x60C060(활성)"
"Power Siphon of the Archmage (Active)","^7대마법사의 권능 착취 ^x60C060(활성)"
"Purifying Flame of Revelations (Active)","^7계시의 정화의 불길 ^x60C060(활성)"
"Pyroclast Mine of Sabotage (Active)","^7방해 공작의 화산탄 지뢰 ^x60C060(활성)"
"Rage Vortex of Berserking (Active)","^7광폭화의 격노 소용돌이 ^x60C060(활성)"
"Rain of Arrows of Artillery (Active)","^7포대의 화살비 ^x60C060(활성)"
"Rain of Arrows of Saturation (Active)","^7포화의 화살비 ^x60C060(활성)"
"Raise Spectre of Transience (Active)","^7덧없음의 망령 소환 ^x60C060(활성)"
"Raise Zombie of Falling (Active)","^7추락의 좀비 소환 ^x60C060(활성)"
"Raise Zombie of Slamming (Active)","^7강타의 좀비 소환 ^x60C060(활성)"
"Ravenous (Active)","^7굶주림 ^x60C060(활성)"
"Reave of Refraction (Active)","^7굴절의 약탈 ^x60C060(활성)"
"Righteous Fire of Arcane Devotion (Active)","^7비전 헌신의 정의의 화염 ^x60C060(활성)"
"Rune Blast of Teleportation (Active)","^7순간이동의 룬 폭발 ^x60C060(활성)"
"Scorching Ray of Immolation (Active)","^7제물의 작열 광선 ^x60C060(활성)"
"Scourge Arrow of Menace (Active)","^7위험의 재앙의 화살 ^x60C060(활성)"
"Seismic Trap of Swells (Active)","^7팽창의 지진 덫 ^x60C060(활성)"
"Shattering Steel of Ammunition (Active)","^7탄약의 강철 파편 ^x60C060(활성)"
"Shield Crush of the Chieftain (Active)","^7부족장의 방패 타쇄 ^x60C060(활성)"
"Shrapnel Ballista of Steel (Active)","^7강철의 파편 쇠뇌 ^x60C060(활성)"
"Siege Ballista of Splintering (Active)","^7파편의 공성 쇠뇌 ^x60C060(활성)"
"Smite of Divine Judgement (Active)","^7신성한 심판의 징벌 ^x60C060(활성)"
"Soulrend of Reaping (Active)","^7낫질의 영혼 분리 ^x60C060(활성)"
"Soulrend of the Spiral (Active)","^7나선의 영혼 분리 ^x60C060(활성)"
"Spark of Unpredictability (Active)","^7예측 불허의 전기불꽃 ^x60C060(활성)"
"Spark of the Nova (Active)","^7폭발의 전기불꽃 ^x60C060(활성)"
"Spectral Shield Throw of Shattering (Active)","^7산산조각의 환영 방패 투척 ^x60C060(활성)"
"Spectral Throw of Materialising (Active)","^7구체화의 환영 무기 투척 ^x60C060(활성)"
"Split Arrow of Splitting (Active)","^7분할의 분할 화살 ^x60C060(활성)"
"Splitting Steel of Ammunition (Active)","^7탄약의 강철 분할 ^x60C060(활성)"
"Spray Paint Blood (Active)","^7핏빛 물감 뿌리기 ^x60C060(활성)"
"Spray Paint Celestial (Active)","^7천공의 물감 뿌리기 ^x60C060(활성)"
"Spray Paint Magmatic (Active)","^7마그마 물감 뿌리기 ^x60C060(활성)"
"Storm Brand of Indecision (Active)","^7우유부단의 폭풍의 낙인 ^x60C060(활성)"
"Storm Rain of the Conduit (Active)","^7도관의 폭풍우 ^x60C060(활성)"
"Storm Rain of the Fence (Active)","^7울타리의 폭풍우 ^x60C060(활성)"
"Stormbind of Teleportation (Active)","^7순간이동의 폭풍 연대 ^x60C060(활성)"
"Summon Carrion Golem of Hordes (Active)","^7군단의 부패 골렘 소환 ^x60C060(활성)"
"Summon Carrion Golem of Scavenging (Active)","^7청소부의 부패 골렘 소환 ^x60C060(활성)"
"Summon Chaos Golem of Hordes (Active)","^7군단의 카오스 골렘 소환 ^x60C060(활성)"
"Summon Chaos Golem of the Maelström (Active)","^7마엘스트롬의 카오스 골렘 소환 ^x60C060(활성)"
"Summon Dark Effigy (Active)","^7어둠의 제웅 소환 ^x60C060(활성)"
"Summon Flame Golem of Hordes (Active)","^7군단의 화염 골렘 소환 ^x60C060(활성)"
"Summon Flame Golem of the Meteor (Active)","^7유성의 화염 골렘 소환 ^x60C060(활성)"
"Summon Ice Golem of Hordes (Active)","^7군단의 얼음 골렘 소환 ^x60C060(활성)"
"Summon Ice Golem of Shattering (Active)","^7산산조각의 얼음 골렘 소환 ^x60C060(활성)"
"Summon Lightning Golem of Hordes (Active)","^7군단의 번개 골렘 소환 ^x60C060(활성)"
"Summon Raging Spirit of Enormity (Active)","^7극악무도의 격노의 유령 소환 ^x60C060(활성)"
"Summon Reaper of Eviscerating (Active)","^7적출의 수확자 소환 ^x60C060(활성)"
"Summon Reaper of Revenants (Active)","^7원령의 수확자 소환 ^x60C060(활성)"
"Summon Skeletons of Archers (Active)","^7궁수의 해골 소환 ^x60C060(활성)"
"Summon Skeletons of Mages (Active)","^7마법사의 해골 소환 ^x60C060(활성)"
"Summon Stone Golem of Hordes (Active)","^7군단의 돌 골렘 소환 ^x60C060(활성)"
"Summon Stone Golem of Safeguarding (Active)","^7방비의 돌 골렘 소환 ^x60C060(활성)"
"Sunder of Earthbreaking (Active)","^7대지 분쇄의 산산조각 ^x60C060(활성)"
"Tectonic Slam of Cataclysm (Active)","^7대재앙의 지층 강타 ^x60C060(활성)"
"Tornado Shot of Cloudburst (Active)","^7구름폭발의 회오리 사격 ^x60C060(활성)"
"Toxic Rain of Sporeburst (Active)","^7포자 폭발의 맹독성 비 ^x60C060(활성)"
"Toxic Rain of Withering (Active)","^7고사의 맹독성 비 ^x60C060(활성)"
"Viper Strike of the Mamba (Active)","^7큰독사의 맹독 타격 ^x60C060(활성)"
"Void Sphere of Rending (Active)","^7분리의 공허 구체 ^x60C060(활성)"
"Volatile Dead of Confinement (Active)","^7감금의 시체 불덩이 ^x60C060(활성)"
"Volatile Dead of Seething (Active)","^7끓어오름의 시체 불덩이 ^x60C060(활성)"
"Volcanic Fissure of Snaking (Active)","^7구불거림의 화산 균열 ^x60C060(활성)"
"Vortex of Projection (Active)","^7투영의 소용돌이 ^x60C060(활성)"
"Wild Strike of Extremes (Active)","^7극단의 사나운 타격 ^x60C060(활성)"

"Portal (FullDPS)","^7포탈 ^x5CF0BB(전체DPS)"
"Absolution of Inspiring (FullDPS)","^7격려의 면죄 ^x5CF0BB(전체DPS)"
"Animate Guardian of Smiting (FullDPS)","^7징벌의 수호자 기동 ^x5CF0BB(전체DPS)"
"Animate Weapon of Ranged Arms (FullDPS)","^7원거리 병기의 무기 기동 ^x5CF0BB(전체DPS)"
"Animate Weapon of Self Reflection (FullDPS)","^7자기 반사의 무기 기동 ^x5CF0BB(전체DPS)"
"Arc of Oscillating (FullDPS)","^7뇌동의 연쇄 번개 ^x5CF0BB(전체DPS)"
"Arc of Surging (FullDPS)","^7쇄도의 연쇄 번개 ^x5CF0BB(전체DPS)"
"Armageddon Brand of Recall (FullDPS)","^7소환의 종말의 낙인 ^x5CF0BB(전체DPS)"
"Armageddon Brand of Volatility (FullDPS)","^7일촉즉발의 종말의 낙인 ^x5CF0BB(전체DPS)"
"Ball Lightning of Orbiting (FullDPS)","^7공전의 구형 번개 ^x5CF0BB(전체DPS)"
"Ball Lightning of Static (FullDPS)","^7정전기의 구형 번개 ^x5CF0BB(전체DPS)"
"Bane of Condemnation (FullDPS)","^7규탄의 파멸 ^x5CF0BB(전체DPS)"
"Barrage of Volley Fire (FullDPS)","^7일제 포격의 연발 사격 ^x5CF0BB(전체DPS)"
"Bear Trap of Skewers (FullDPS)","^7꼬챙이의 곰 덫 ^x5CF0BB(전체DPS)"
"Blade Blast of Dagger Detonation (FullDPS)","^7단검 폭파의 칼날 폭격 ^x5CF0BB(전체DPS)"
"Blade Blast of Unloading (FullDPS)","^7난사의 칼날 폭격 ^x5CF0BB(전체DPS)"
"Blade Flurry of Incision (FullDPS)","^7절개의 질풍의 칼날 ^x5CF0BB(전체DPS)"
"Blade Trap of Greatswords (FullDPS)","^7대검의 칼날 덫 ^x5CF0BB(전체DPS)"
"Blade Trap of Laceration (FullDPS)","^7열상의 칼날 덫 ^x5CF0BB(전체DPS)"
"Blade Vortex of the Scythe (FullDPS)","^7낫의 칼날 소용돌이 ^x5CF0BB(전체DPS)"
"Bladefall of Impaling (FullDPS)","^7꿰뚫기의 칼날비 ^x5CF0BB(전체DPS)"
"Bladefall of Volleys (FullDPS)","^7사격 공세의 칼날비 ^x5CF0BB(전체DPS)"
"Bladestorm of Uncertainty (FullDPS)","^7불확실성의 칼날 폭풍 ^x5CF0BB(전체DPS)"
"Blight of Atrophy (FullDPS)","^7위축의 황폐 ^x5CF0BB(전체DPS)"
"Blight of Contagion (FullDPS)","^7전염의 황폐 ^x5CF0BB(전체DPS)"
"Blink Arrow of Bombarding Clones (FullDPS)","^7포격 분신의 점멸 화살 ^x5CF0BB(전체DPS)"
"Blink Arrow of Prismatic Clones (FullDPS)","^7분광 분신의 점멸 화살 ^x5CF0BB(전체DPS)"
"Bodyswap of Sacrifice (FullDPS)","^7희생의 신체 전환 ^x5CF0BB(전체DPS)"
"Boneshatter of Carnage (FullDPS)","^7살육의 뼈 박살 ^x5CF0BB(전체DPS)"
"Boneshatter of Complex Trauma (FullDPS)","^7복합 외상의 뼈 박살 ^x5CF0BB(전체DPS)"
"Burning Arrow of Vigour (FullDPS)","^7활력의 불타는 화살 ^x5CF0BB(전체DPS)"
"Caustic Arrow of Poison (FullDPS)","^7독의 부식성 화살 ^x5CF0BB(전체DPS)"
"Cleave of Rage (FullDPS)","^7격노의 회전베기 ^x5CF0BB(전체DPS)"
"Cold Snap of Power (FullDPS)","^7권능의 한파 ^x5CF0BB(전체DPS)"
"Consecrated Path of Endurance (FullDPS)","^7인내의 축성의 진격 ^x5CF0BB(전체DPS)"
"Contagion of Subsiding (FullDPS)","^7침하의 전염 ^x5CF0BB(전체DPS)"
"Contagion of Transference (FullDPS)","^7전이의 전염 ^x5CF0BB(전체DPS)"
"Crackling Lance of Branching (FullDPS)","^7파생의 치직대는 창 ^x5CF0BB(전체DPS)"
"Crackling Lance of Disintegration (FullDPS)","^7분해의 치직대는 창 ^x5CF0BB(전체DPS)"
"Cremation of Exhuming (FullDPS)","^7발굴의 시체 소각 ^x5CF0BB(전체DPS)"
"Cremation of the Volcano (FullDPS)","^7화산의 시체 소각 ^x5CF0BB(전체DPS)"
"Cyclone of Tumult (FullDPS)","^7소동의 회오리바람 ^x5CF0BB(전체DPS)"
"Detonate Dead of Chain Reaction (FullDPS)","^7연쇄 반응의 시체 폭발 ^x5CF0BB(전체DPS)"
"Detonate Dead of Scavenging (FullDPS)","^7청소부의 시체 폭발 ^x5CF0BB(전체DPS)"
"Discharge of Misery (FullDPS)","^7비참의 방출 ^x5CF0BB(전체DPS)"
"Divine Ire of Disintegration (FullDPS)","^7분해의 신성한 진노 ^x5CF0BB(전체DPS)"
"Divine Ire of Holy Lightning (FullDPS)","^7상서로운 번개의 신성한 진노 ^x5CF0BB(전체DPS)"
"Dominating Blow of Inspiring (FullDPS)","^7격려의 지배의 맹타 ^x5CF0BB(전체DPS)"
"Double Strike of Impaling (FullDPS)","^7꿰뚫기의 이중 타격 ^x5CF0BB(전체DPS)"
"Double Strike of Momentum (FullDPS)","^7기세의 이중 타격 ^x5CF0BB(전체DPS)"
"Dual Strike of Ambidexterity (FullDPS)","^7양손잡이의 쌍수 타격 ^x5CF0BB(전체DPS)"
"Earthquake of Amplification (FullDPS)","^7증폭의 지진 ^x5CF0BB(전체DPS)"
"Earthshatter of Fragility (FullDPS)","^7허약의 지면 분쇄 ^x5CF0BB(전체DPS)"
"Earthshatter of Prominence (FullDPS)","^7출중의 지면 분쇄 ^x5CF0BB(전체DPS)"
"Essence Drain of Desperation (FullDPS)","^7필사의 정수 흡수 ^x5CF0BB(전체DPS)"
"Essence Drain of Wickedness (FullDPS)","^7사악함의 정수 흡수 ^x5CF0BB(전체DPS)"
"Ethereal Knives of Lingering Blades (FullDPS)","^7지속되는 칼날의 천상의 단도 ^x5CF0BB(전체DPS)"
"Ethereal Knives of the Massacre (FullDPS)","^7도륙의 천상의 단도 ^x5CF0BB(전체DPS)"
"Explosive Concoction of Destruction (FullDPS)","^7파괴의 폭발성 혼합물 ^x5CF0BB(전체DPS)"
"Explosive Trap of Magnitude (FullDPS)","^7규모의 폭발 덫 ^x5CF0BB(전체DPS)"
"Explosive Trap of Shrapnel (FullDPS)","^7파편의 폭발 덫 ^x5CF0BB(전체DPS)"
"Exsanguinate of Transmission (FullDPS)","^7전송의 방혈 ^x5CF0BB(전체DPS)"
"Eye of Winter of Finality (FullDPS)","^7종극의 겨울의 눈 ^x5CF0BB(전체DPS)"
"Eye of Winter of Transience (FullDPS)","^7덧없음의 겨울의 눈 ^x5CF0BB(전체DPS)"
"Fire Trap of Blasting (FullDPS)","^7폭발의 화염 덫 ^x5CF0BB(전체DPS)"
"Firestorm of Meteors (FullDPS)","^7유성의 화염 폭풍 ^x5CF0BB(전체DPS)"
"Firestorm of Pelting (FullDPS)","^7퍼부음의 화염 폭풍 ^x5CF0BB(전체DPS)"
"Flame Dash of Incinerating (FullDPS)","^7소각의 화염 질주 ^x5CF0BB(전체DPS)"
"Flame Dash of Return (FullDPS)","^7귀환의 화염 질주 ^x5CF0BB(전체DPS)"
"Flame Surge of Combusting (FullDPS)","^7발화의 화염 쇄도 ^x5CF0BB(전체DPS)"
"Flameblast of Celerity (FullDPS)","^7민첩함의 화염파 ^x5CF0BB(전체DPS)"
"Flameblast of Contraction (FullDPS)","^7수축의 화염파 ^x5CF0BB(전체DPS)"
"Flicker Strike of Power (FullDPS)","^7권능의 점멸 타격 ^x5CF0BB(전체DPS)"
"Forbidden Rite of Soul Sacrifice (FullDPS)","^7영혼 희생의 금단의 의식 ^x5CF0BB(전체DPS)"
"Frenzy of Onslaught (FullDPS)","^7맹공의 격분 ^x5CF0BB(전체DPS)"
"Frost Blades of Katabasis (FullDPS)","^7퇴각의 서리 칼날 ^x5CF0BB(전체DPS)"
"Frost Bomb of Forthcoming (FullDPS)","^7임박의 서리 폭탄 ^x5CF0BB(전체DPS)"
"Frost Bomb of Instability (FullDPS)","^7불안정의 서리 폭탄 ^x5CF0BB(전체DPS)"
"Frostblink of Wintry Blast (FullDPS)","^7차가운 폭발의 서리점멸 ^x5CF0BB(전체DPS)"
"Frozen Legion of Rallying (FullDPS)","^7재집결의 얼어붙은 군단 ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Energy (FullDPS)","^7에너지의 충격 화살 ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Surging (FullDPS)","^7쇄도의 충격 화살 ^x5CF0BB(전체DPS)"
"Galvanic Field of Intensity (FullDPS)","^7격렬함의 충격장 ^x5CF0BB(전체DPS)"
"Glacial Cascade of the Fissure (FullDPS)","^7균열의 빙하 폭포 ^x5CF0BB(전체DPS)"
"Glacial Hammer of Shattering (FullDPS)","^7산산조각의 빙하 망치 ^x5CF0BB(전체DPS)"
"Ground Slam of Earthshaking (FullDPS)","^7지동의 대지 강타 ^x5CF0BB(전체DPS)"
"Hexblast of Contradiction (FullDPS)","^7상반의 사술폭발 ^x5CF0BB(전체DPS)"
"Hexblast of Havoc (FullDPS)","^7혼란의 사술폭발 ^x5CF0BB(전체DPS)"
"Holy Flame Totem of Ire (FullDPS)","^7노여움의 신성한 화염 토템 ^x5CF0BB(전체DPS)"
"Ice Crash of Cadence (FullDPS)","^7운율의 얼음 충격 ^x5CF0BB(전체DPS)"
"Ice Nova of Deep Freeze (FullDPS)","^7결빙의 얼음 폭발 ^x5CF0BB(전체DPS)"
"Ice Nova of Frostbolts (FullDPS)","^7서리 구체의 얼음 폭발 ^x5CF0BB(전체DPS)"
"Ice Spear of Splitting (FullDPS)","^7분할의 얼음 창 ^x5CF0BB(전체DPS)"
"Ice Trap of Hollowness (FullDPS)","^7무상의 얼음 덫 ^x5CF0BB(전체DPS)"
"Icicle Mine of Fanning (FullDPS)","^7퍼짐의 고드름 지뢰 ^x5CF0BB(전체DPS)"
"Icicle Mine of Sabotage (FullDPS)","^7방해 공작의 고드름 지뢰 ^x5CF0BB(전체DPS)"
"Infernal Blow of Immolation (FullDPS)","^7제물의 지옥불 맹타 ^x5CF0BB(전체DPS)"
"Kinetic Bolt of Fragmentation (FullDPS)","^7파쇄의 역학 투사체 ^x5CF0BB(전체DPS)"
"Lacerate of Butchering (FullDPS)","^7도살의 피부 찢기 ^x5CF0BB(전체DPS)"
"Lacerate of Haemorrhage (FullDPS)","^7실혈의 피부 찢기 ^x5CF0BB(전체DPS)"
"Lancing Steel of Spraying (FullDPS)","^7분사의 강철 관통 ^x5CF0BB(전체DPS)"
"Leap Slam of Groundbreaking (FullDPS)","^7땅 분쇄의 도약 강타 ^x5CF0BB(전체DPS)"
"Lightning Arrow of Electrocution (FullDPS)","^7전기 처형의 번개 화살 ^x5CF0BB(전체DPS)"
"Lightning Conduit of the Heavens (FullDPS)","^7천국의 번개 도관 ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Overloading (FullDPS)","^7과부하의 번개 첨탑 덫 ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Zapping (FullDPS)","^7전류의 번개 첨탑 덫 ^x5CF0BB(전체DPS)"
"Lightning Strike of Arcing (FullDPS)","^7전호의 번개 타격 ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Eccentricity (FullDPS)","^7기행의 덩굴 번개 ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Escalation (FullDPS)","^7격화의 덩굴 번개 ^x5CF0BB(전체DPS)"
"Lightning Trap of Sparking (FullDPS)","^7전기불꽃의 번개 덫 ^x5CF0BB(전체DPS)"
"Mirror Arrow of Bombarding Clones (FullDPS)","^7포격 분신의 거울 화살 ^x5CF0BB(전체DPS)"
"Mirror Arrow of Prismatic Clones (FullDPS)","^7분광 분신의 거울 화살 ^x5CF0BB(전체DPS)"
