"Two Sockets","홈 2개"
"(86-94)% increased Physical Damage/(16-17)% chance to Blind Enemies on hit","물리 피해 (86~94)% 증가/명중 시 (16~17)%의 확률로 적 실명 유발"
"(95-105)% increased Physical Damage/(18-20)% chance to Blind Enemies on hit","물리 피해 (95~105)% 증가/명중 시 (18~20)%의 확률로 적 실명 유발"
"(81-85)% increased Physical Damage/(13-15)% chance to Poison on Hit","물리 피해 (81~85)% 증가/명중 시 (13~15)%의 확률로 중독 유발"
"(86-94)% increased Physical Damage/(16-17)% chance to Poison on Hit","물리 피해 (86~94)% 증가/명중 시 (16~17)%의 확률로 중독 유발"
"(95-105)% increased Physical Damage/(18-20)% chance to Poison on Hit","물리 피해 (95~105)% 증가/명중 시 (18~20)%의 확률로 중독 유발"
"(60-64)% increased Fire Damage/(21-24)% chance to Ignite","화염 피해 (60~64)% 증가/(21~24)%의 확률로 점화 유발"
"(65-72)% increased Fire Damage/(25-28)% chance to Ignite","화염 피해 (65~72)% 증가/(25~28)%의 확률로 점화 유발"
"(73-80)% increased Fire Damage/(29-34)% chance to Ignite","화염 피해 (73~80)% 증가/(29~34)%의 확률로 점화 유발"
"(36-41)% increased Fire Damage/(13-15)% chance to Ignite","화염 피해 (36~41)% 증가/(13~15)%의 확률로 점화 유발"
"(42-50)% increased Fire Damage/(16-17)% chance to Ignite","화염 피해 (42~50)% 증가/(16~17)%의 확률로 점화 유발"
"(51-60)% increased Fire Damage/(18-20)% chance to Ignite","화염 피해 (51~60)% 증가/(18~20)%의 확률로 점화 유발"
"(60-64)% increased Cold Damage/(21-24)% chance to Freeze","냉기 피해 (60~64)% 증가/(21~24)%의 확률로 동결 유발"
"(65-72)% increased Cold Damage/(25-28)% chance to Freeze","냉기 피해 (65~72)% 증가/(25~28)%의 확률로 동결 유발"
"(73-80)% increased Cold Damage/(29-34)% chance to Freeze","냉기 피해 (73~80)% 증가/(29~34)%의 확률로 동결 유발"
"(36-41)% increased Cold Damage/(13-15)% chance to Freeze","냉기 피해 (36~41)% 증가/(13~15)%의 확률로 동결 유발"
"(42-50)% increased Cold Damage/(16-17)% chance to Freeze","냉기 피해 (42~50)% 증가/(16~17)%의 확률로 동결 유발"
"(51-60)% increased Cold Damage/(18-20)% chance to Freeze","냉기 피해 (51~60)% 증가/(18~20)%의 확률로 동결 유발"
"(60-64)% increased Lightning Damage/(21-24)% chance to Shock","번개 피해 (60~64)% 증가/(21~24)%의 확률로 감전 유발"
"(65-72)% increased Lightning Damage/(25-28)% chance to Shock","번개 피해 (65~72)% 증가/(25~28)%의 확률로 감전 유발"
"(73-80)% increased Lightning Damage/(29-34)% chance to Shock","번개 피해 (73~80)% 증가/(29~34)%의 확률로 감전 유발"
"(36-41)% increased Lightning Damage/(13-15)% chance to Shock","번개 피해 (36~41)% 증가/(13~15)%의 확률로 감전 유발"
"(42-50)% increased Lightning Damage/(16-17)% chance to Shock","번개 피해 (42~50)% 증가/(16~17)%의 확률로 감전 유발"
"(51-60)% increased Lightning Damage/(18-20)% chance to Shock","번개 피해 (51~60)% 증가/(18~20)%의 확률로 감전 유발"
"(53-60)% increased Chaos Damage/Chaos Skills have (15-17)% increased Skill Effect Duration","카오스 피해 (53~60)% 증가/카오스 스킬의 스킬 효과 지속시간 (15~17)% 증가"
"(61-68)% increased Chaos Damage/Chaos Skills have (18-20)% increased Skill Effect Duration","카오스 피해 (61~68)% 증가/카오스 스킬의 스킬 효과 지속시간 (18~20)% 증가"
"(69-75)% increased Chaos Damage/Chaos Skills have (21-23)% increased Skill Effect Duration","카오스 피해 (69~75)% 증가/카오스 스킬의 스킬 효과 지속시간 (21~23)% 증가"
"(35-39)% increased Chaos Damage/Chaos Skills have (7-8)% increased Skill Effect Duration","카오스 피해 (35~39)% 증가/카오스 스킬의 스킬 효과 지속시간 (7~8)% 증가"
"(40-45)% increased Chaos Damage/Chaos Skills have (9-10)% increased Skill Effect Duration","카오스 피해 (40~45)% 증가/카오스 스킬의 스킬 효과 지속시간 (9~10)% 증가"
"(46-50)% increased Chaos Damage/Chaos Skills have (11-12)% increased Skill Effect Duration","카오스 피해 (46~50)% 증가/카오스 스킬의 스킬 효과 지속시간 (11~12)% 증가"
"(60-64)% increased Spell Damage/(16-20)% increased Mana Regeneration Rate","주문 피해 (60~64)% 증가/마나 재생 속도 (16~20)% 증가"
"(65-72)% increased Spell Damage/(21-25)% increased Mana Regeneration Rate","주문 피해 (65~72)% 증가/마나 재생 속도 (21~25)% 증가"
"(73-80)% increased Spell Damage/(26-30)% increased Mana Regeneration Rate","주문 피해 (73~80)% 증가/마나 재생 속도 (26~30)% 증가"
"(36-41)% increased Spell Damage/(7-9)% increased Mana Regeneration Rate","주문 피해 (36~41)% 증가/마나 재생 속도 (7~9)% 증가"
"(42-50)% increased Spell Damage/(10-12)% increased Mana Regeneration Rate","주문 피해 (42~50)% 증가/마나 재생 속도 (10~12)% 증가"
"(51-60)% increased Spell Damage/(13-15)% increased Mana Regeneration Rate","주문 피해 (51~60)% 증가/마나 재생 속도 (13~15)% 증가"
"(53-58)% increased Spell Damage/Gain (3-4)% of Non-Chaos Damage as extra Chaos Damage","주문 피해 (53~58)% 증가/비-카오스 피해의 (3~4)%를 추가 카오스 피해로 획득"
"(59-66)% increased Spell Damage/Gain (5-6)% of Non-Chaos Damage as extra Chaos Damage","주문 피해 (59~66)% 증가/비-카오스 피해의 (5~6)%를 추가 카오스 피해로 획득"
"(67-75)% increased Spell Damage/Gain (7-8)% of Non-Chaos Damage as extra Chaos Damage","주문 피해 (67~75)% 증가/비-카오스 피해의 (7~8)%를 추가 카오스 피해로 획득"
"(38-40)% increased Spell Damage/Gain 2% of Non-Chaos Damage as extra Chaos Damage","주문 피해 (38~40)% 증가/비-카오스 피해의 2%를 추가 카오스 피해로 획득"
"(41-45)% increased Spell Damage/Gain 3% of Non-Chaos Damage as extra Chaos Damage","주문 피해 (41~45)% 증가/비-카오스 피해의 3%를 추가 카오스 피해로 획득"
"(46-50)% increased Spell Damage/Gain 4% of Non-Chaos Damage as extra Chaos Damage","주문 피해 (46~50)% 증가/비-카오스 피해의 4%를 추가 카오스 피해로 획득"
"Minions have (26-32)% increased maximum Life/Minions deal (26-32)% increased Damage","소환수의 최대 생명력 (26~32)% 증가/소환수가 주는 피해 (26~32)% 증가"
"Minions have (33-38)% increased maximum Life/Minions deal (33-38)% increased Damage","소환수의 최대 생명력 (33~38)% 증가/소환수가 주는 피해 (33~38)% 증가"
"Minions have (39-45)% increased maximum Life/Minions deal (39-45)% increased Damage","소환수의 최대 생명력 (39~45)% 증가/소환수가 주는 피해 (39~45)% 증가"
"Minions have (16-19)% increased maximum Life/Minions deal (16-19)% increased Damage","소환수의 최대 생명력 (16~19)% 증가/소환수가 주는 피해 (16~19)% 증가"
"Minions have (20-24)% increased maximum Life/Minions deal (20-24)% increased Damage","소환수의 최대 생명력 (20~24)% 증가/소환수가 주는 피해 (20~24)% 증가"
"Minions have (25-28)% increased maximum Life/Minions deal (25-28)% increased Damage","소환수의 최대 생명력 (25~28)% 증가/소환수가 주는 피해 (25~28)% 증가"
"Minions have (19-21)% increased Attack Speed/Minions have (19-21)% increased Cast Speed","소환수의 공격 속도 (19~21)% 증가/소환수의 시전 속도 (19~21)% 증가"
"Minions have (22-24)% increased Attack Speed/Minions have (22-24)% increased Cast Speed","소환수의 공격 속도 (22~24)% 증가/소환수의 시전 속도 (22~24)% 증가"
"Minions have (25-28)% increased Attack Speed/Minions have (25-28)% increased Cast Speed","소환수의 공격 속도 (25~28)% 증가/소환수의 시전 속도 (25~28)% 증가"
"Minions have (10-11)% increased Attack Speed/Minions have (10-11)% increased Cast Speed","소환수의 공격 속도 (10~11)% 증가/소환수의 시전 속도 (10~11)% 증가"
"Minions have (12-13)% increased Attack Speed/Minions have (12-13)% increased Cast Speed","소환수의 공격 속도 (12~13)% 증가/소환수의 시전 속도 (12~13)% 증가"
"Minions have (14-15)% increased Attack Speed/Minions have (14-15)% increased Cast Speed","소환수의 공격 속도 (14~15)% 증가/소환수의 시전 속도 (14~15)% 증가"
"+(25-27)% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +(25~27)%"
"+(28-30)% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +(28~30)%"
"+(31-35)% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +(31~35)%"
"+(14-15)% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +(14~15)%"
"+(16-17)% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +(16~17)%"
"+(18-20)% to Chaos Damage over Time Multiplier","지속 카오스 피해 배율 +(18~20)%"
"+(25-27)% to Physical Damage over Time Multiplier","지속 물리 피해 배율 +(25~27)%"
"+(28-30)% to Physical Damage over Time Multiplier","지속 물리 피해 배율 +(28~30)%"
"+(31-35)% to Physical Damage over Time Multiplier","지속 물리 피해 배율 +(31~35)%"
"+(14-15)% to Physical Damage over Time Multiplier","지속 물리 피해 배율 +(14~15)%"
"+(16-17)% to Physical Damage over Time Multiplier","지속 물리 피해 배율 +(16~17)%"
"+(18-20)% to Physical Damage over Time Multiplier","지속 물리 피해 배율 +(18~20)%"
"+(25-27)% to Cold Damage over Time Multiplier","지속 냉기 피해 배율 +(25~27)%"
"+(28-30)% to Cold Damage over Time Multiplier","지속 냉기 피해 배율 +(28~30)%"
"+(31-35)% to Cold Damage over Time Multiplier","지속 냉기 피해 배율 +(31~35)%"
"+(14-15)% to Cold Damage over Time Multiplier","지속 냉기 피해 배율 +(14~15)%"
"+(16-17)% to Cold Damage over Time Multiplier","지속 냉기 피해 배율 +(16~17)%"
"+(18-20)% to Cold Damage over Time Multiplier","지속 냉기 피해 배율 +(18~20)%"
"+(25-27)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(25~27)%"
"+(28-30)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(28~30)%"
"+(31-35)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(31~35)%"
"+(14-15)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(14~15)%"
"+(16-17)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(16~17)%"
"+(18-20)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(18~20)%"
"Attacks with this Weapon Penetrate (6-7)% Elemental Resistances","이 무기로 공격 시 (6~7)%의 원소 저항 관통"
"Attacks with this Weapon Penetrate (8-10)% Elemental Resistances","이 무기로 공격 시 (8~10)%의 원소 저항 관통"
"Attacks with this Weapon Penetrate (11-13)% Elemental Resistances","이 무기로 공격 시 (11~13)%의 원소 저항 관통"
"Attacks with this Weapon Penetrate (6-7)% Chaos Resistance","이 무기로 공격 시 (6~7)%의 카오스 저항 관통"
"Attacks with this Weapon Penetrate (8-10)% Chaos Resistance","이 무기로 공격 시 (8~10)%의 카오스 저항 관통"
"Attacks with this Weapon Penetrate (11-13)% Chaos Resistance","이 무기로 공격 시 (11~13)%의 카오스 저항 관통"
"(6-7)% chance to deal Double Damage","(6~7)%의 확률로 2배의 피해를 줌"
"(8-10)% chance to deal Double Damage","(8~10)%의 확률로 2배의 피해를 줌"
"3% chance to deal Double Damage","3%의 확률로 2배의 피해를 줌"
"(4-5)% chance to deal Double Damage","(4~5)%의 확률로 2배의 피해를 줌"
"(12-14)% increased Armour and Evasion/+(8-9) to maximum Life","방어도 및 회피 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Armour and Evasion/+(10-11) to maximum Life","방어도 및 회피 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Armour and Evasion/+(12-14) to maximum Life","방어도 및 회피 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Armour and Energy Shield/+(8-9) to maximum Life","방어도 및 에너지 보호막 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Armour and Energy Shield/+(10-11) to maximum Life","방어도 및 에너지 보호막 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Armour and Energy Shield/+(12-14) to maximum Life","방어도 및 에너지 보호막 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Evasion and Energy Shield/+(8-9) to maximum Life","회피 및 에너지 보호막 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Evasion and Energy Shield/+(10-11) to maximum Life","회피 및 에너지 보호막 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Evasion and Energy Shield/+(12-14) to maximum Life","회피 및 에너지 보호막 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Armour/+(8-9) to maximum Life","방어도 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Armour/+(10-11) to maximum Life","방어도 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Armour/+(12-14) to maximum Life","방어도 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Evasion Rating/+(8-9) to maximum Life","회피 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Evasion Rating/+(10-11) to maximum Life","회피 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Evasion Rating/+(12-14) to maximum Life","회피 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Energy Shield/+(8-9) to maximum Life","에너지 보호막 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Energy Shield/+(10-11) to maximum Life","에너지 보호막 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Energy Shield/+(12-14) to maximum Life","에너지 보호막 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Armour, Evasion and Energy Shield/+(8-9) to maximum Life","방어도, 회피, 에너지 보호막 (12~14)% 증가/생명력 최대치 +(8~9)"
"(15-17)% increased Armour, Evasion and Energy Shield/+(10-11) to maximum Life","방어도, 회피, 에너지 보호막 (15~17)% 증가/생명력 최대치 +(10~11)"
"(18-21)% increased Armour, Evasion and Energy Shield/+(12-14) to maximum Life","방어도, 회피, 에너지 보호막 (18~21)% 증가/생명력 최대치 +(12~14)"
"(12-14)% increased Armour and Evasion/+(10-11) to maximum Life","방어도 및 회피 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Armour and Evasion/+(12-13) to maximum Life","방어도 및 회피 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Armour and Evasion/+(14-16) to maximum Life","방어도 및 회피 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Armour and Energy Shield/+(10-11) to maximum Life","방어도 및 에너지 보호막 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Armour and Energy Shield/+(12-13) to maximum Life","방어도 및 에너지 보호막 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Armour and Energy Shield/+(14-16) to maximum Life","방어도 및 에너지 보호막 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Evasion and Energy Shield/+(10-11) to maximum Life","회피 및 에너지 보호막 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Evasion and Energy Shield/+(12-13) to maximum Life","회피 및 에너지 보호막 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Evasion and Energy Shield/+(14-16) to maximum Life","회피 및 에너지 보호막 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Armour/+(10-11) to maximum Life","방어도 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Armour/+(12-13) to maximum Life","방어도 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Armour/+(14-16) to maximum Life","방어도 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Evasion Rating/+(10-11) to maximum Life","회피 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Evasion Rating/+(12-13) to maximum Life","회피 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Evasion Rating/+(14-16) to maximum Life","회피 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Energy Shield/+(10-11) to maximum Life","에너지 보호막 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Energy Shield/+(12-13) to maximum Life","에너지 보호막 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Energy Shield/+(14-16) to maximum Life","에너지 보호막 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Armour, Evasion and Energy Shield/+(10-11) to maximum Life","방어도, 회피, 에너지 보호막 (12~14)% 증가/생명력 최대치 +(10~11)"
"(15-17)% increased Armour, Evasion and Energy Shield/+(12-13) to maximum Life","방어도, 회피, 에너지 보호막 (15~17)% 증가/생명력 최대치 +(12~13)"
"(18-21)% increased Armour, Evasion and Energy Shield/+(14-16) to maximum Life","방어도, 회피, 에너지 보호막 (18~21)% 증가/생명력 최대치 +(14~16)"
"(12-14)% increased Armour and Evasion/+(13-14) to maximum Life","방어도 및 회피 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Armour and Evasion/+(15-16) to maximum Life","방어도 및 회피 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Armour and Evasion/+(17-19) to maximum Life","방어도 및 회피 (18~21)% 증가/생명력 최대치 +(17~19)"
"(12-14)% increased Armour and Energy Shield/+(13-14) to maximum Life","방어도 및 에너지 보호막 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Armour and Energy Shield/+(15-16) to maximum Life","방어도 및 에너지 보호막 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Armour and Energy Shield/+(17-19) to maximum Life","방어도 및 에너지 보호막 (18~21)% 증가/생명력 최대치 +(17~19)"
"(12-14)% increased Evasion and Energy Shield/+(13-14) to maximum Life","회피 및 에너지 보호막 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Evasion and Energy Shield/+(15-16) to maximum Life","회피 및 에너지 보호막 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Evasion and Energy Shield/+(17-19) to maximum Life","회피 및 에너지 보호막 (18~21)% 증가/생명력 최대치 +(17~19)"
"(12-14)% increased Armour/+(13-14) to maximum Life","방어도 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Armour/+(15-16) to maximum Life","방어도 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Armour/+(17-19) to maximum Life","방어도 (18~21)% 증가/생명력 최대치 +(17~19)"
"(12-14)% increased Evasion Rating/+(13-14) to maximum Life","회피 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Evasion Rating/+(15-16) to maximum Life","회피 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Evasion Rating/+(17-19) to maximum Life","회피 (18~21)% 증가/생명력 최대치 +(17~19)"
"(12-14)% increased Energy Shield/+(13-14) to maximum Life","에너지 보호막 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Energy Shield/+(15-16) to maximum Life","에너지 보호막 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Energy Shield/+(17-19) to maximum Life","에너지 보호막 (18~21)% 증가/생명력 최대치 +(17~19)"
"(12-14)% increased Armour, Evasion and Energy Shield/+(13-14) to maximum Life","방어도, 회피, 에너지 보호막 (12~14)% 증가/생명력 최대치 +(13~14)"
"(15-17)% increased Armour, Evasion and Energy Shield/+(15-16) to maximum Life","방어도, 회피, 에너지 보호막 (15~17)% 증가/생명력 최대치 +(15~16)"
"(18-21)% increased Armour, Evasion and Energy Shield/+(17-19) to maximum Life","방어도, 회피, 에너지 보호막 (18~21)% 증가/생명력 최대치 +(17~19)"
"+(10-15) to Strength and Dexterity","힘 및 민첩 +(10~15)"
"+(16-20) to Strength and Dexterity","힘 및 민첩 +(16~20)"
"+(21-25) to Strength and Dexterity","힘 및 민첩 +(21~25)"
"+(10-15) to Dexterity and Intelligence","민첩 및 지능 +(10~15)"
"+(16-20) to Dexterity and Intelligence","민첩 및 지능 +(16~20)"
"+(21-25) to Dexterity and Intelligence","민첩 및 지능 +(21~25)"
"+(10-15) to Strength and Intelligence","힘 및 지능 +(10~15)"
"+(16-20) to Strength and Intelligence","힘 및 지능 +(16~20)"
"+(21-25) to Strength and Intelligence","힘 및 지능 +(21~25)"
"+1 to Minimum Endurance Charges","최소 인내 충전 +1"
"+1 to Minimum Power Charges","최소 권능 충전 +1"
"+1 to Minimum Frenzy Charges","최소 격분 충전 +1"
"+(26-30) to maximum Mana/Regenerate 2 Mana per second","마나 최대치 +(26~30)/1초마다 마나 2 재생"
"+(31-35) to maximum Mana/Regenerate 3 Mana per second","마나 최대치 +(31~35)/1초마다 마나 3 재생"
"+(36-40) to maximum Mana/Regenerate 4 Mana per second","마나 최대치 +(36~40)/1초마다 마나 4 재생"
"+(26-30) to maximum Mana/3% reduced Mana Cost of Skills","마나 최대치 +(26~30)/스킬의 마나 소모 3% 감소"
"+(31-35) to maximum Mana/4% reduced Mana Cost of Skills","마나 최대치 +(31~35)/스킬의 마나 소모 4% 감소"
"+(36-40) to maximum Mana/5% reduced Mana Cost of Skills","마나 최대치 +(36~40)/스킬의 마나 소모 5% 감소"
"+(26-30) to maximum Mana/4% of Damage taken Recouped as Mana","마나 최대치 +(26~30)/받은 피해의 4%를 마나로 회생"
"+(31-35) to maximum Mana/5% of Damage taken Recouped as Mana","마나 최대치 +(31~35)/받은 피해의 5%를 마나로 회생"
"+(36-40) to maximum Mana/6% of Damage taken Recouped as Mana","마나 최대치 +(36~40)/받은 피해의 6%를 마나로 회생"
"3% increased Attack and Cast Speed","공격 및 시전 속도 3% 증가"
"4% increased Attack and Cast Speed","공격 및 시전 속도 4% 증가"
"(5-6)% increased Attack and Cast Speed","공격 및 시전 속도 (5~6)% 증가"
"(13-14)% increased Movement Speed/(6-9)% increased Movement Speed if you haven't been Hit Recently","이동 속도 (13~14)% 증가/최근 4초 이내 피격되지 않은 경우 이동 속도 (6~9)% 증가"
"(15-17)% increased Movement Speed/(6-9)% increased Movement Speed if you haven't been Hit Recently","이동 속도 (15~17)% 증가/최근 4초 이내 피격되지 않은 경우 이동 속도 (6~9)% 증가"
"(18-20)% increased Movement Speed/(6-9)% increased Movement Speed if you haven't been Hit Recently","이동 속도 (18~20)% 증가/최근 4초 이내 피격되지 않은 경우 이동 속도 (6~9)% 증가"
"(13-14)% increased Movement Speed/(8-12)% chance to gain Onslaught for 4 seconds on Kill","이동 속도 (13~14)% 증가/처치 시 (8~12)%의 확률로 4초 동안 맹공 획득"
"(15-17)% increased Movement Speed/(8-12)% chance to gain Onslaught for 4 seconds on Kill","이동 속도 (15~17)% 증가/처치 시 (8~12)%의 확률로 4초 동안 맹공 획득"
"(18-20)% increased Movement Speed/(8-12)% chance to gain Onslaught for 4 seconds on Kill","이동 속도 (18~20)% 증가/처치 시 (8~12)%의 확률로 4초 동안 맹공 획득"
"(13-14)% increased Movement Speed/Cannot be Chilled","이동 속도 (13~14)% 증가/냉각 면역"
"(15-17)% increased Movement Speed/Cannot be Chilled","이동 속도 (15~17)% 증가/냉각 면역"
"(18-20)% increased Movement Speed/Cannot be Chilled","이동 속도 (18~20)% 증가/냉각 면역"
"+(105-150) to Armour and Evasion Rating","방어도 및 회피 +(105~150)"
"+(151-213) to Armour and Evasion Rating","방어도 및 회피 +(151~213)"
"+(214-285) to Armour and Evasion Rating","방어도 및 회피 +(214~285)"
"+(105-150) to Armour/+(11-15) to maximum Energy Shield","방어도 +(105~150)/에너지 보호막 최대치 +(11~15)"
"+(151-213) to Armour/+(16-20) to maximum Energy Shield","방어도 +(151~213)/에너지 보호막 최대치 +(16~20)"
"+(214-285) to Armour/+(21-25) to maximum Energy Shield","방어도 +(214~285)/에너지 보호막 최대치 +(21~25)"
"+(105-150) to Evasion Rating/+(11-15) to maximum Energy Shield","회피 +(105~150)/에너지 보호막 최대치 +(11~15)"
"+(151-213) to Evasion Rating/+(16-20) to maximum Energy Shield","회피 +(151~213)/에너지 보호막 최대치 +(16~20)"
"+(214-285) to Evasion Rating/+(21-25) to maximum Energy Shield","회피 +(214~285)/에너지 보호막 최대치 +(21~25)"
"(5-6)% chance for Flasks you use to not consume Charges","(5~6)%의 확률로 자신의 플라스크 충전을 소모하지 않음"
"(7-8)% chance for Flasks you use to not consume Charges","(7~8)%의 확률로 자신의 플라스크 충전을 소모하지 않음"
"20% reduced Flask Charges gained/Flasks applied to you have (8-10)% increased Effect","플라스크 충전량 20% 감소/자신에게 적용된 플라스크의 효과 (8~10)% 증가"
"33% reduced Flask Charges gained/Flasks applied to you have (11-14)% increased Effect","플라스크 충전량 33% 감소/자신에게 적용된 플라스크의 효과 (11~14)% 증가"
"(6-8)% increased Cooldown Recovery Rate","재사용 대기시간 회복 속도 (6~8)% 증가"
"(9-12)% increased Cooldown Recovery Rate","재사용 대기시간 회복 속도 (9~12)% 증가"
"(5-6)% increased Damage per Endurance Charge","인내 충전 하나당 피해 (5~6)% 증가"
"(3-4)% increased Damage per Endurance Charge","인내 충전 하나당 피해 (3~4)% 증가"
"(5-6)% increased Damage per Frenzy Charge","격분 충전 하나당 피해 (5~6)% 증가"
"(3-4)% increased Damage per Frenzy Charge","격분 충전 하나당 피해 (3~4)% 증가"
"(5-6)% increased Damage per Power Charge","권능 충전 하나당 피해 (5~6)% 증가"
"(3-4)% increased Damage per Power Charge","권능 충전 하나당 피해 (3~4)% 증가"
"(20-25)% of Physical Damage Converted to Fire Damage","물리 피해의 (20~25)%를 화염 피해로 전환"
"(20-25)% of Physical Damage Converted to Cold Damage","물리 피해의 (20~25)%를 냉기 피해로 전환"
"(20-25)% of Physical Damage Converted to Lightning Damage","물리 피해의 (20~25)%를 번개 피해로 전환"
"+1 to maximum number of Raised Zombies/+1 to maximum number of Skeletons","소환 가능한 좀비 최대치 +1/해골 최대치 +1"
"(16-22)% increased Effect of Non-Damaging Ailments","비-피해 상태 이상 효과 (16~22)% 증가"
"(23-30)% increased Effect of Non-Damaging Ailments","비-피해 상태 이상 효과 (23~30)% 증가"
"(6-7)% increased Effect of your Curses","플레이어가 시전하는 저주 효과 (6~7)% 증가"
"(8-10)% increased Effect of your Curses","플레이어가 시전하는 저주 효과 (8~10)% 증가"
"(6-7)% chance to Avoid Elemental Damage from Hits during Soul Gain Prevention","영혼 획득 방지 중 (6~7)%의 확률로 피격 시 원소 피해 회피"
"(8-9)% chance to Avoid Elemental Damage from Hits during Soul Gain Prevention","영혼 획득 방지 중 (8~9)%의 확률로 피격 시 원소 피해 회피"
"+(1000-1600) to Armour during Soul Gain Prevention","영혼 획득 방지 중 방어도 +(1000~1600)"
"+(1601-2200) to Armour during Soul Gain Prevention","영혼 획득 방지 중 방어도 +(1601~2200)"
"+(2201-3000) to Armour during Soul Gain Prevention","영혼 획득 방지 중 방어도 +(2201~3000)"
"You have Onslaught during Soul Gain Prevention","영혼 획득 방지 중 맹공 획득"
"(30-40)% increased Damage with Non-Vaal Skills during Soul Gain Prevention","영혼 획득 방지 도중 비-바알 스킬로 주는 피해 (30~40)% 증가"
"(41-50)% increased Damage with Non-Vaal Skills during Soul Gain Prevention","영혼 획득 방지 도중 비-바알 스킬로 주는 피해 (41~50)% 증가"
"(51-60)% increased Damage with Non-Vaal Skills during Soul Gain Prevention","영혼 획득 방지 도중 비-바알 스킬로 주는 피해 (51~60)% 증가"
"+1 to Level of Socketed AoE Gems/(8-10)% increased Area of Effect","장착된 효과 범위 젬 레벨 +1/효과 범위 (8~10)% 증가"
"+1 to Level of Socketed Projectile Gems/Projectiles Pierce an additional Target","장착된 투사체 젬 레벨 +1/투사체가 대상을 추가 관통"
