
"Abandoned Abode","버려진 거처"
"Dire Shine","지독한 광채"
"Dire Shot","지독한 사격"
"Dire Shroud","지독한 연막"
"Dire Siege","지독한 공성"
"Dire Sight","지독한 통찰력"
"Dire Sinker","지독한 봉돌"
"Dire Skewer","지독한 꼬챙이"
"Dire Skin","지독한 피부"
"Dire Slag","지독한 용재"
"Dire Slayer","지독한 슬레이어"
"Dire Slicer","지독한 썰기"
"Dire Slippers","지독한 슬리퍼"
"Dire Sliver","지독한 편린"
"Dire Smasher","지독한 파쇄기"
"Dire Snare","지독한 올가미"
"Dire Solace","지독한 위안"
"Dire Sole","지독한 밑창"
"Dire Solitude","지독한 고독"
"Dire Song","지독한 노래"
"Dire Span","지독한 발"
"Dire Spark","지독한불꽃"
"Dire Spawn","지독한 유충"
"Dire Spear","지독한 창"
"Dire Spell","지독한 주문"
"Dire Sphere","지독한 구"
"Dire Spike","지독한 가시"
"Dire Spiker","지독한 가시등"
"Dire Spiral","지독한 소용돌이"
"Dire Spire","지독한 첨탑"
"Dire Spires","지독한 첨탑"
"Dire Splinter","지독한 파편"
"Dire Splitter","지독한 스플리터"
"Dire Spur","지독한 박차"
"Dire Star","지독한 별"
"Dire Stare","지독한 눈초리"
"Dire Stinger","지독한 쐐기털"
"Dire Stone","지독한 돌"
"Dire Strap","지독한 혁대"
"Dire Stride","지독한 질주"
"Dire Strike","지독한 일격"
"Dire Suit","지독한 복장"
"Dire Summons","지독한 소환"
"Dire Sunder","지독한 작렬"
"Dire Tackle","지독한 낚시 도구"
"Dire Tale","지독한 이야기"
"Dire Talisman","지독한 부적"
"Dire Talons","지독한 발톱"
"Dire Territory","지독한 영토"
"Dire Testament","지독한 증거"
"Dire Tether","지독한 밧줄"
"Dire Thirst","지독한 갈증"
"Dire Thread","지독한 실타래"
"Dire Thresher","지독한 도리깨"
"Dire Thunder","지독한 천둥"
"Dire Tool","지독한 도구"
"Dire Torc","지독한 목걸이 사슬"
"Dire Touch","지독한 손길"
"Dire Tower","지독한 탑"
"Dire Track","지독한 통로"
"Dire Trail","지독한 발자취"
"Dire Trap","지독한 덫"
"Dire Tread","지독한 발걸음"
"Dire Trek","지독한 길"
"Dire Trinket","지독한 장신구"
"Dire Turn","지독한 선회"
"Dire Twine","지독한 꼬임"
"Dire Twirl","지독한 회전"
"Dire Undertaking","지독한 일"
"Dire Urge","지독한 열망"
"Dire Vault","지독한 금고"
"Dire Veil","지독한 장막"
"Dire Vessel","지독한 그릇"
"Dire View","지독한 관점"
"Dire Vine","지독한 덩굴"
"Dire Visage","지독한 얼굴"
"Dire Vise","지독한 조임쇠"
"Dire Vision","지독한 시각"
"Dire Visor","지독한 차양"
"Dire Volcano","지독한 화산"
"Dire Volley","지독한 사격 공세"
"Dire Vow","지독한 맹세"
"Dire Voyage","지독한 항해"
"Dire Ward","지독한 수호"
"Dire Warden","지독한 간수"
"Dire Waste","지독한 황무지"
"Dire Watch","지독한 감시"
"Dire Watcher","지독한 감시자"
"Dire Weaver","지독한 직공"
"Dire Whorl","지독한 나사선"
"Dire Wind","지독한 바람"
"Dire Wing","지독한 부속 건물"
"Dire Wisdom","지독한 지혜"
"Dire Wish","지독한 소망"
"Dire Wound","지독한 상처"
"Dire Wrap","지독한 겉옷"
"Dire Wreck","지독한 붕괴"
"Dire Writ","지독한 영장"
"Dire Ziggurat","지독한 지구라트"
"Dire Zone","지독한 지역"
"Domination Abode","지배 거처"
"Domination Abyss","지배 심연"
"Domination Aegis","지배 비호"
"Domination Angler","지배 낚시꾼"
"Domination Anthem","지배 찬가"
"Domination Apex","지배 정점"
"Domination Apparatus","지배 기구"
"Domination Arbiter","지배 중재자"
"Domination Arch","지배 활"
"Domination Arrow","지배 화살"
"Domination Artifice","지배 책략"
"Domination Badge","지배 배지"
"Domination Bait","지배 미끼"
"Domination Ballad","지배 담시"
"Domination Band","지배 띠"
"Domination Bane","지배 파멸"
"Domination Barb","지배 가시"
"Domination Barrage","지배 연발 사격"
"Domination Barrier","지배 방어막"
"Domination Bastion","지배 보루"
"Domination Batter","지배 구타"
"Domination Bauble","지배 방울"
"Domination Bead","지배 구슬"
"Domination Beads","지배 구슬"
"Domination Beak","지배 부리"
"Domination Beam","지배 광선"
"Domination Bid","지배 노력"
"Domination Bind","지배 묶음"
"Domination Bite","지배 이빨"
"Domination Blast","지배 폭발"
"Domination Bliss","지배 지복"
"Domination Blood","지배 피의"
"Domination Bloom","지배 꽃"
"Domination Blow","지배 일격"
"Domination Blunt","지배 둔기"
"Domination Bolt","지배 화살"
"Domination Bond","지배 유대"
"Domination Braid","지배 끈"
"Domination Branch","지배 나뭇가지"
"Domination Brand","지배 낙인"
"Domination Breach","지배 균열"
"Domination Breaker","지배 분쇄기"
"Domination Breath","지배 숨결"
"Domination Breeze","지배 바람"
"Domination Brow","지배 이마"
"Domination Buckle","지배 버클"
"Domination Bulwark","지배 방벽"
"Domination Burst","지배 격발"
"Domination Butcher","지배 도살자"
"Domination Cage","지배 창살"
"Domination Caldera","지배 칼데라"
"Domination Call","지배 소환"
"Domination Campaign","지배 작전"
"Domination Carapace","지배 등딱지"
"Domination Caress","지배 손길"
"Domination Cast","지배 던지기"
"Domination Challenge","지배 도전"
"Domination Chambers","지배 방"
"Domination Chant","지배 노래"
"Domination Charm","지배 부적"
"Domination Choker","지배 목줄"
"Domination Chum","지배 밑밥"
"Domination Circle","지배 고리"
"Domination Clasp","지배 걸쇠"
"Domination Claw","지배 클로"
"Domination Cloak","지배 망토"
"Domination Clutches","지배 손아귀"
"Domination Coat","지배 외투"
"Domination Coffers","지배 궤짝"
"Domination Coil","지배 감개"
"Domination Collar","지배 목걸이"
"Domination Colony","지배 식민지"
"Domination Construct","지배 구조물"
"Domination Contraption","지배 고안품"
"Domination Cord","지배 줄"
"Domination Core","지배 중심부"
"Domination Corona","지배 광환"
"Domination Court","지배 법정"
"Domination Covenant","지배 계약"
"Domination Cover","지배 덮개"
"Domination Cowl","지배 고깔"
"Domination Crack","지배 균열"
"Domination Cradle","지배 받침대"
"Domination Crag","지배 바위"
"Domination Cramp","지배 경련"
"Domination Crate","지배 나무상자"
"Domination Creed","지배 신념"
"Domination Crest","지배 문양"
"Domination Crown","지배 왕관"
"Domination Crusher","지배 타쇄자"
"Domination Cry","지배 함성"
"Domination Curio","지배 골동품"
"Domination Curtain","지배 장막"
"Domination Cut","지배 조각"
"Domination Dart","지배 화살침"
"Domination Dash","지배 질주"
"Domination Deed","지배 증서"
"Domination Delirium","지배 섬망"
"Domination Depths","지배 심연"
"Domination Desire","지배 갈망"
"Domination Device","지배 장치"
"Domination Dew","지배 이슬"
"Domination Disguise","지배 위장"
"Domination Dome","지배 돔"
"Domination Dream","지배 꿈"
"Domination Dregs","지배 찌꺼기"
"Domination Drop","지배 방울"
"Domination Duty","지배 의무"
"Domination Dwelling","지배 거주지"
"Domination Edge","지배 칼날"
"Domination Ember","지배 잉걸불"
"Domination Emblem","지배 상징"
"Domination Enterprise","지배 사업"
"Domination Equipment","지배 장착품"
"Domination Essence","지배 에센스"
"Domination Etcher","지배 부각사"
"Domination Excavation","지배 발굴터"
"Domination Excursion","지배 기행"
"Domination Expedition","지배 탐험"
"Domination Exploration","지배 원정"
"Domination Eye","지배 눈"
"Domination Fang","지배 송곳니"
"Domination Fend","지배 방어"
"Domination Fetish","지배 숭배물"
"Domination Finger","지배 손가락"
"Domination Fingers","지배 손가락"
"Domination Firestorm","지배 화염 폭풍"
"Domination Fish","지배 물고기"
"Domination Fist","지배 주먹"
"Domination Flame","지배 화염"
"Domination Fletch","지배 화살깃"
"Domination Flight","지배 비행"
"Domination Folktale","지배 설화"
"Domination Frontier","지배 개척지"
"Domination Gaze","지배 응시"
"Domination Gear","지배 장비"
"Domination Gill","지배 아가미"
"Domination Girdle","지배 허리띠"
"Domination Glance","지배 곁눈질"
"Domination Glare","지배 섬광"
"Domination Glimmer","지배 미광"
"Domination Glisten","지배 반짝임"
"Domination Globe","지배 구체"
"Domination Gnarl","지배 마디"
"Domination Gnash","지배 악문 이빨"
"Domination Goad","지배 몰이 막대"
"Domination Gorget","지배 목가리개"
"Domination Grasp","지배 장악"
"Domination Grinder","지배 갈이개"
"Domination Grip","지배 손아귀"
"Domination Guard","지배 수호"
"Domination Guardian","지배 가디언"
"Domination Guide","지배 안내"
"Domination Gutter","지배 시궁창"
"Domination Gyre","지배 선회"
"Domination Hail","지배 칭송"
"Domination Halo","지배 후광"
"Domination Hand","지배 손"
"Domination Harness","지배 고삐"
"Domination Haven","지배 안식처"
"Domination Heart","지배 심장"
"Domination Hide","지배 가죽"
"Domination Hold","지배 유지"
"Domination Hoof","지배 발굽"
"Domination Hope","지배 희망"
"Domination Horn","지배 뿔"
"Domination Hunger","지배 갈망"
"Domination Ichor","지배 영액"
"Domination Idol","지배 우상"
"Domination Impaler","지배 꼬챙이"
"Domination Implement","지배 기물"
"Domination Incitement","지배 조장"
"Domination Inferno","지배 지옥불"
"Domination Inscription","지배 명문"
"Domination Instigation","지배 교사"
"Domination Instrument","지배 계기"
"Domination Invitation","지배 초대"
"Domination Invocation","지배 기원"
"Domination Iridescence","지배 무지개 빛깔"
"Domination Jack","지배 상인"
"Domination Jig","지배 지그"
"Domination Journey","지배 여정"
"Domination Joy","지배 기쁨"
"Domination Keep","지배 감옥"
"Domination Keeper","지배 보관자"
"Domination Key","지배 열쇠"
"Domination Kit","지배 공구"
"Domination Knell","지배 전조"
"Domination Knot","지배 매듭"
"Domination Knuckle","지배 관절"
"Domination Lahar","지배 화산이류"
"Domination Lands","지배 땅"
"Domination Lash","지배 채찍"
"Domination League","지배 리그"
"Domination Leash","지배 가죽끈"
"Domination Leer","지배 시선"
"Domination Lens","지배 시점"
"Domination Line","지배 낚싯줄"
"Domination Liturgy","지배 기도문"
"Domination Lock","지배 자물쇠"
"Domination Locket","지배 갑 목걸이"
"Domination Loop","지배 고리"
"Domination Lure","지배 루어"
"Domination Machine","지배 장치"
"Domination Magma","지배 마그마"
"Domination Mandate","지배 통치"
"Domination Mangler","지배 파괴자"
"Domination Manifesto","지배 성명서"
"Domination Mantle","지배 외투"
"Domination March","지배 행진"
"Domination Mark","지배 징표"
"Domination Mast","지배 돛대"
"Domination Material","지배 재료"
"Domination Medallion","지배 메달리온"
"Domination Mission","지배 임무"
"Domination Mitts","지배 미트"
"Domination Myth","지배 신화"
"Domination Nail","지배 손톱"
"Domination Nails","지배 손톱"
"Domination Needle","지배 바늘"
"Domination Nexus","지배 연결부"
"Domination Nock","지배 활시위"
"Domination Noose","지배 올가미"
"Domination Oath","지배 서약"
"Domination Oculus","지배 눈"
"Domination Offer","지배 제안"
"Domination Orb","지배 구체"
"Domination Orders","지배 명령서"
"Domination Ornament","지배 장신구"
"Domination Oubliette","지배 지하 감옥"
"Domination Outpost","지배 전초기지"
"Domination Pace","지배 보조"
"Domination Pact","지배 맹약"
"Domination Palm","지배 손바닥"
"Domination Panorama","지배 전경"
"Domination Passage","지배 통로"
"Domination Pause","지배 중지"
"Domination Paw","지배 발"
"Domination Peak","지배 앞챙"
"Domination Pelt","지배 가죽모"
"Domination Pendant","지배 펜던트"
"Domination Pile","지배 더미"
"Domination Pillar","지배 기둥"
"Domination Pit","지배 구덩이"
"Domination Pith","지배 핵심"
"Domination Pledge","지배 선서"
"Domination Point","지배 끝"
"Domination Pole","지배 기둥"
"Domination Portent","지배 전조"
"Domination Post","지배 말뚝"
"Domination Precinct","지배 구획"
"Domination Prism","지배 분광기"
"Domination Provocation","지배 촉발"
"Domination Quarters","지배 구역"
"Domination Quest","지배 도전"
"Domination Quill","지배 화살"
"Domination Rain","지배 비"
"Domination Ram","지배 충격"
"Domination Razor","지배 면도날"
"Domination Reach","지배 역량"
"Domination Reaches","지배 역량"
"Domination Refuge","지배 피난처"
"Domination Refuse","지배 거절"
"Domination Relic","지배 유물"
"Domination Remains","지배 유물"
"Domination Remnant","지배 유물"
"Domination Rend","지배 분리"
"Domination Rite","지배 의례"
"Domination Road","지배 길"
"Domination Roar","지배 포효"
"Domination Rock","지배 바위"
"Domination Rod","지배 막대"
"Domination Rook","지배 성"
"Domination Roost","지배 보금자리"
"Domination Rosary","지배 묵주"
"Domination Ruin","지배 유적"
"Domination Rupture","지배 파열"
"Domination Saga","지배 영웅담"
"Domination Salvation","지배 구원"
"Domination Sanctuary","지배 성역"
"Domination Sanctum","지배 지성소"
"Domination Saw","지배 톱"
"Domination Scalpel","지배 수술칼"
"Domination Scar","지배 흉터"
"Domination Scarab","지배 갑충석"
"Domination Scratch","지배 찰과상"
"Domination Scripture","지배 성서"
"Domination Scum","지배 쓰레기"
"Domination Secrets","지배 비밀"
"Domination Sector","지배 영역"
"Domination Sentry","지배 보초"
"Domination Sepulchre","지배 매장소"
"Domination Sever","지배 절단"
"Domination Shackle","지배 족쇄"
"Domination Shadows","지배 그림자"
"Domination Shard","지배 파편"
"Domination Shatter","지배 산산조각"
"Domination Shell","지배 껍질"
"Domination Shelter","지배 대피소"
"Domination Shine","지배 광채"
"Domination Shot","지배 사격"
"Domination Shroud","지배 연막"
"Domination Siege","지배 공성"
"Domination Sight","지배 통찰력"
"Domination Sinker","지배 봉돌"
"Domination Skewer","지배 꼬챙이"
"Domination Skin","지배 피부"
"Domination Slag","지배 용재"
"Domination Slayer","지배 슬레이어"
"Domination Slicer","지배 썰기"
"Domination Slippers","지배 슬리퍼"
"Domination Sliver","지배 편린"
"Domination Smasher","지배 파쇄기"
"Domination Snare","지배 올가미"
"Domination Solace","지배 위안"
"Domination Sole","지배 밑창"
"Domination Solitude","지배 고독"
"Domination Song","지배 노래"
"Domination Span","지배 발"
"Domination Spark","지배불꽃"
"Domination Spawn","지배 유충"
"Domination Spear","지배 창"
"Domination Spell","지배 주문"
"Domination Sphere","지배 구"
"Domination Spike","지배 가시"
"Domination Spiker","지배 가시등"
"Domination Spiral","지배 소용돌이"
"Domination Spire","지배 첨탑"
"Domination Spires","지배 첨탑"
"Domination Splinter","지배 파편"
"Domination Splitter","지배 스플리터"
"Domination Spur","지배 박차"
"Domination Star","지배 별"
"Domination Stare","지배 눈초리"
"Domination Stinger","지배 쐐기털"
"Domination Stone","지배 돌"
"Domination Strap","지배 혁대"
"Domination Stride","지배 질주"
"Domination Strike","지배 일격"
"Domination Suit","지배 복장"
"Domination Summons","지배 소환"
"Domination Sunder","지배 작렬"
"Domination Tackle","지배 낚시 도구"
"Domination Tale","지배 이야기"
"Domination Talisman","지배 부적"
"Domination Talons","지배 발톱"
"Domination Territory","지배 영토"
"Domination Testament","지배 증거"
"Domination Tether","지배 밧줄"
"Domination Thirst","지배 갈증"
"Domination Thread","지배 실타래"
"Domination Thresher","지배 도리깨"
"Domination Thunder","지배 천둥"
"Domination Tool","지배 도구"
"Domination Torc","지배 목걸이 사슬"
"Domination Touch","지배 손길"
"Domination Tower","지배 탑"
"Domination Track","지배 통로"
"Domination Trail","지배 발자취"
"Domination Trap","지배 덫"
"Domination Tread","지배 발걸음"
"Domination Trek","지배 길"
"Domination Trinket","지배 장신구"
"Domination Turn","지배 선회"
"Domination Twine","지배 꼬임"
"Domination Twirl","지배 회전"
"Domination Undertaking","지배 일"
"Domination Urge","지배 열망"
"Domination Vault","지배 금고"
"Domination Veil","지배 장막"
"Domination Vessel","지배 그릇"
"Domination View","지배 관점"
"Domination Vine","지배 덩굴"
"Domination Visage","지배 얼굴"
"Domination Vise","지배 조임쇠"
"Domination Vision","지배 시각"
"Domination Visor","지배 차양"
"Domination Volcano","지배 화산"
"Domination Volley","지배 사격 공세"
"Domination Vow","지배 맹세"
"Domination Voyage","지배 항해"
"Domination Ward","지배 수호"
"Domination Warden","지배 간수"
"Domination Waste","지배 황무지"
"Domination Watch","지배 감시"
"Domination Watcher","지배 감시자"
"Domination Weaver","지배 직공"
"Domination Whorl","지배 나사선"
"Domination Wind","지배 바람"
"Domination Wing","지배 부속 건물"
"Domination Wisdom","지배 지혜"
"Domination Wish","지배 소망"
"Domination Wound","지배 상처"
"Domination Wrap","지배 겉옷"
"Domination Wreck","지배 붕괴"
"Domination Writ","지배 영장"
"Domination Ziggurat","지배 지구라트"
"Domination Zone","지배 지역"
"Doom Abode","파멸 거처"
"Doom Abyss","파멸 심연"
"Doom Aegis","파멸 비호"
"Doom Angler","파멸 낚시꾼"
"Doom Anthem","파멸 찬가"
"Doom Apex","파멸 정점"
"Doom Apparatus","파멸 기구"
"Doom Arbiter","파멸 중재자"
"Doom Arch","파멸 활"
"Doom Arrow","파멸 화살"
"Doom Artifice","파멸 책략"
"Doom Badge","파멸 배지"
"Doom Bait","파멸 미끼"
"Doom Ballad","파멸 담시"
"Doom Band","파멸 띠"
"Doom Bane","파멸 파멸"
"Doom Barb","파멸 가시"
"Doom Barrage","파멸 연발 사격"
"Doom Barrier","파멸 방어막"
"Doom Bastion","파멸 보루"
"Doom Batter","파멸 구타"
"Doom Bauble","파멸 방울"
"Doom Bead","파멸 구슬"
"Doom Beads","파멸 구슬"
"Doom Beak","파멸 부리"
"Doom Beam","파멸 광선"
"Doom Bid","파멸 노력"
"Doom Bind","파멸 묶음"
"Doom Bite","파멸 이빨"
"Doom Bliss","파멸 지복"
"Doom Blood","파멸 피의"
"Doom Bloom","파멸 꽃"
"Doom Blow","파멸 일격"
"Doom Blunt","파멸 둔기"
"Doom Bolt","파멸 화살"
"Doom Bond","파멸 유대"
"Doom Braid","파멸 끈"
"Doom Branch","파멸 나뭇가지"
"Doom Brand","파멸 낙인"
"Doom Breach","파멸 균열"
"Doom Breaker","파멸 분쇄기"
"Doom Breath","파멸 숨결"
"Doom Breeze","파멸 바람"
"Doom Brow","파멸 이마"
"Doom Buckle","파멸 버클"
"Doom Bulwark","파멸 방벽"
"Doom Burst","파멸 격발"
"Doom Butcher","파멸 도살자"
"Doom Cage","파멸 창살"
"Doom Caldera","파멸 칼데라"
"Doom Call","파멸 소환"
"Doom Campaign","파멸 작전"
"Doom Carapace","파멸 등딱지"
"Doom Caress","파멸 손길"
"Doom Cast","파멸 던지기"
"Doom Challenge","파멸 도전"
"Doom Chambers","파멸 방"
"Doom Chant","파멸 노래"
"Doom Charm","파멸 부적"
"Doom Choker","파멸 목줄"
"Doom Chum","파멸 밑밥"
"Doom Circle","파멸 고리"
"Doom Clasp","파멸 걸쇠"
"Doom Claw","파멸 클로"
"Doom Cloak","파멸 망토"
"Doom Clutches","파멸 손아귀"
"Doom Coat","파멸 외투"
"Doom Coffers","파멸 궤짝"
"Doom Coil","파멸 감개"
"Doom Collar","파멸 목걸이"
"Doom Colony","파멸 식민지"
"Doom Construct","파멸 구조물"
"Doom Contraption","파멸 고안품"
"Doom Cord","파멸 줄"
"Doom Core","파멸 중심부"
"Doom Corona","파멸 광환"
"Doom Court","파멸 법정"
"Doom Covenant","파멸 계약"
"Doom Cover","파멸 덮개"
"Doom Cowl","파멸 고깔"
"Doom Crack","파멸 균열"
"Doom Cradle","파멸 받침대"
"Doom Crag","파멸 바위"
"Doom Cramp","파멸 경련"
"Doom Crate","파멸 나무상자"
"Doom Creed","파멸 신념"
"Doom Crest","파멸 문양"
"Doom Crown","파멸 왕관"
"Doom Crusher","파멸 타쇄자"
"Doom Cry","파멸 함성"
"Doom Curio","파멸 골동품"
"Doom Curtain","파멸 장막"
"Doom Cut","파멸 조각"
"Doom Dart","파멸 화살침"
"Doom Dash","파멸 질주"
"Doom Deed","파멸 증서"
"Doom Delirium","파멸 섬망"
"Doom Depths","파멸 심연"
"Doom Desire","파멸 갈망"
"Doom Device","파멸 장치"
"Doom Dew","파멸 이슬"
"Doom Disguise","파멸 위장"
"Doom Dome","파멸 돔"
"Doom Dream","파멸 꿈"
"Doom Dregs","파멸 찌꺼기"
"Doom Drop","파멸 방울"
"Doom Duty","파멸 의무"
"Doom Dwelling","파멸 거주지"
"Doom Edge","파멸 칼날"
"Doom Ember","파멸 잉걸불"
"Doom Emblem","파멸 상징"
"Doom Enterprise","파멸 사업"
"Doom Equipment","파멸 장착품"
"Doom Essence","파멸 에센스"
"Doom Etcher","파멸 부각사"
"Doom Excavation","파멸 발굴터"
"Doom Excursion","파멸 기행"
"Doom Expedition","파멸 탐험"
"Doom Exploration","파멸 원정"
"Doom Eye","파멸 눈"
"Doom Fang","파멸 송곳니"
"Doom Fend","파멸 방어"
"Doom Fetish","파멸 숭배물"
"Doom Finger","파멸 손가락"
"Doom Fingers","파멸 손가락"
"Doom Firestorm","파멸 화염 폭풍"
"Doom Fish","파멸 물고기"
"Doom Fist","파멸 주먹"
"Doom Flame","파멸 화염"
"Doom Fletch","파멸 화살깃"
"Doom Flight","파멸 비행"
"Doom Folktale","파멸 설화"
"Doom Frontier","파멸 개척지"
"Doom Gaze","파멸 응시"
"Doom Gear","파멸 장비"
"Doom Gill","파멸 아가미"
"Doom Girdle","파멸 허리띠"
"Doom Glance","파멸 곁눈질"
"Doom Glare","파멸 섬광"
"Doom Glimmer","파멸 미광"
"Doom Glisten","파멸 반짝임"
"Doom Globe","파멸 구체"
"Doom Gnarl","파멸 마디"
"Doom Gnash","파멸 악문 이빨"
"Doom Goad","파멸 몰이 막대"
"Doom Gorget","파멸 목가리개"
"Doom Grasp","파멸 장악"
"Doom Grinder","파멸 갈이개"
"Doom Grip","파멸 손아귀"
"Doom Guard","파멸 수호"
"Doom Guardian","파멸 가디언"
"Doom Guide","파멸 안내"
"Doom Gutter","파멸 시궁창"
"Doom Gyre","파멸 선회"
"Doom Hail","파멸 칭송"
"Doom Halo","파멸 후광"
"Doom Hand","파멸 손"
"Doom Harness","파멸 고삐"
"Doom Haven","파멸 안식처"
"Doom Heart","파멸 심장"
"Doom Hide","파멸 가죽"
"Doom Hold","파멸 유지"
"Doom Hoof","파멸 발굽"
"Doom Hope","파멸 희망"
"Doom Horn","파멸 뿔"
"Doom Hunger","파멸 갈망"
"Doom Ichor","파멸 영액"
"Doom Idol","파멸 우상"
"Doom Impaler","파멸 꼬챙이"
"Doom Implement","파멸 기물"
"Doom Incitement","파멸 조장"
"Doom Inferno","파멸 지옥불"
"Doom Inscription","파멸 명문"
"Doom Instigation","파멸 교사"
"Doom Instrument","파멸 계기"
"Doom Invitation","파멸 초대"
"Doom Invocation","파멸 기원"
"Doom Iridescence","파멸 무지개 빛깔"
"Doom Jack","파멸 상인"
"Doom Jig","파멸 지그"
"Doom Journey","파멸 여정"
"Doom Joy","파멸 기쁨"
"Doom Keep","파멸 감옥"
"Doom Keeper","파멸 보관자"
"Doom Key","파멸 열쇠"
"Doom Kit","파멸 공구"
"Doom Knell","파멸 전조"
"Doom Knot","파멸 매듭"
"Doom Knuckle","파멸 관절"
"Doom Lahar","파멸 화산이류"
"Doom Lands","파멸 땅"
"Doom Lash","파멸 채찍"
"Doom League","파멸 리그"
"Doom Leash","파멸 가죽끈"
"Doom Leer","파멸 시선"
"Doom Lens","파멸 시점"
"Doom Line","파멸 낚싯줄"
"Doom Liturgy","파멸 기도문"
"Doom Lock","파멸 자물쇠"
"Doom Locket","파멸 갑 목걸이"
"Doom Loop","파멸 고리"
"Doom Lure","파멸 루어"
"Doom Machine","파멸 장치"
"Doom Magma","파멸 마그마"
"Doom Mandate","파멸 통치"
"Doom Mangler","파멸 파괴자"
"Doom Manifesto","파멸 성명서"
"Doom Mantle","파멸 외투"
"Doom March","파멸 행진"
"Doom Mark","파멸 징표"
"Doom Mast","파멸 돛대"
"Doom Material","파멸 재료"
"Doom Medallion","파멸 메달리온"
"Doom Mission","파멸 임무"
"Doom Mitts","파멸 미트"
"Doom Myth","파멸 신화"
"Doom Nail","파멸 손톱"
"Doom Nails","파멸 손톱"
"Doom Needle","파멸 바늘"
"Doom Nexus","파멸 연결부"
"Doom Nock","파멸 활시위"
"Doom Noose","파멸 올가미"
"Doom Oath","파멸 서약"
"Doom Oculus","파멸 눈"
"Doom Offer","파멸 제안"
"Doom Orb","파멸 구체"
"Doom Orders","파멸 명령서"
"Doom Ornament","파멸 장신구"
"Doom Oubliette","파멸 지하 감옥"
"Doom Outpost","파멸 전초기지"
"Doom Pace","파멸 보조"
"Doom Pact","파멸 맹약"
"Doom Palm","파멸 손바닥"
"Doom Panorama","파멸 전경"
"Doom Passage","파멸 통로"
"Doom Pause","파멸 중지"
"Doom Paw","파멸 발"
"Doom Peak","파멸 앞챙"
"Doom Pelt","파멸 가죽모"
"Doom Pendant","파멸 펜던트"
"Doom Pile","파멸 더미"
"Doom Pillar","파멸 기둥"
"Doom Pit","파멸 구덩이"
"Doom Pith","파멸 핵심"
"Doom Pledge","파멸 선서"
"Doom Point","파멸 끝"
"Doom Pole","파멸 기둥"
"Doom Portent","파멸 전조"
"Doom Post","파멸 말뚝"
"Doom Precinct","파멸 구획"
"Doom Prism","파멸 분광기"
"Doom Provocation","파멸 촉발"
"Doom Quarters","파멸 구역"
"Doom Quest","파멸 도전"
"Doom Quill","파멸 화살"
"Doom Rain","파멸 비"
"Doom Ram","파멸 충격"
"Doom Razor","파멸 면도날"
"Doom Reach","파멸 역량"
"Doom Reaches","파멸 역량"
"Doom Refuge","파멸 피난처"
"Doom Refuse","파멸 거절"
"Doom Relic","파멸 유물"
"Doom Remains","파멸 유물"
"Doom Remnant","파멸 유물"
"Doom Rend","파멸 분리"
"Doom Rite","파멸 의례"
"Doom Road","파멸 길"
"Doom Roar","파멸 포효"
"Doom Rock","파멸 바위"
"Doom Rod","파멸 막대"
"Doom Rook","파멸 성"
"Doom Roost","파멸 보금자리"
"Doom Rosary","파멸 묵주"
"Doom Ruin","파멸 유적"
"Doom Rupture","파멸 파열"
"Doom Saga","파멸 영웅담"
"Doom Salvation","파멸 구원"
"Doom Sanctuary","파멸 성역"
"Doom Sanctum","파멸 지성소"
"Doom Saw","파멸 톱"
"Doom Scalpel","파멸 수술칼"
"Doom Scar","파멸 흉터"
"Doom Scarab","파멸 갑충석"
"Doom Scratch","파멸 찰과상"
"Doom Scripture","파멸 성서"
"Doom Scum","파멸 쓰레기"
"Doom Secrets","파멸 비밀"
"Doom Sector","파멸 영역"
"Doom Sentry","파멸 보초"
"Doom Sepulchre","파멸 매장소"
"Doom Sever","파멸 절단"
"Doom Shackle","파멸 족쇄"
"Doom Shadows","파멸 그림자"
"Doom Shard","파멸 파편"
"Doom Shatter","파멸 산산조각"
"Doom Shell","파멸 껍질"
"Doom Shelter","파멸 대피소"
"Doom Shine","파멸 광채"
"Doom Shot","파멸 사격"
"Doom Shroud","파멸 연막"
"Doom Siege","파멸 공성"
"Doom Sight","파멸 통찰력"
"Doom Sinker","파멸 봉돌"
"Doom Skewer","파멸 꼬챙이"
"Doom Skin","파멸 피부"
"Doom Slag","파멸 용재"
"Doom Slayer","파멸 슬레이어"
"Doom Slicer","파멸 썰기"
"Doom Slippers","파멸 슬리퍼"
"Doom Sliver","파멸 편린"
"Doom Smasher","파멸 파쇄기"
"Doom Snare","파멸 올가미"
"Doom Solace","파멸 위안"
"Doom Sole","파멸 밑창"
"Doom Solitude","파멸 고독"
"Doom Song","파멸 노래"
"Doom Span","파멸 발"
"Doom Spark","파멸불꽃"
"Doom Spawn","파멸 유충"
"Doom Spear","파멸 창"
"Doom Spell","파멸 주문"
"Doom Sphere","파멸 구"
"Doom Spike","파멸 가시"
"Doom Spiker","파멸 가시등"
"Doom Spiral","파멸 소용돌이"
"Doom Spire","파멸 첨탑"
"Doom Spires","파멸 첨탑"
"Doom Splinter","파멸 파편"
"Doom Splitter","파멸 스플리터"
"Doom Spur","파멸 박차"
"Doom Star","파멸 별"
"Doom Stare","파멸 눈초리"
"Doom Stinger","파멸 쐐기털"
"Doom Stone","파멸 돌"
"Doom Strap","파멸 혁대"
"Doom Stride","파멸 질주"
"Doom Strike","파멸 일격"
"Doom Suit","파멸 복장"
"Doom Summons","파멸 소환"
