"Abberath's Hooves","아버라스의 발굽(Abberath's Hooves)"
"Last Resort","최후의 수단(Last Resort)"
"Lavianga's Spirit","라비앙가의 혼백(Lavianga's Spirit)"
"Lavianga's Wisdom","라비앙가의 지혜(Lavianga's Wisdom)"
"Law of the Wilds","황야의 법칙(Law of the Wilds)"
"Le Heup of All","만인의 르 흐프(Le Heup of All)"
"Leadership's Price","통솔력의 가치(Leadership's Price)"
"Leash of Oblation","봉헌의 가죽끈(Leash of Oblation)"
"Leer Cast","음흉한 시선(Leer Cast)"
"Legacy of Fury","광분의 유산(Legacy of Fury)"
"Leper's Alms","나병 환자의 자선(Leper's Alms)"
"Lethal Pride","치명적인 긍지(Lethal Pride)"
"Lifesprig","생명의 가지(Lifesprig)"
"Light of Lunaris","루나리스의 빛(Light of Lunaris)"
"Lightbane Raiment","사그라든 빛의 의복(Lightbane Raiment)"
"Lightning Coil","번개 도선(Lightning Coil)"
"Lightpoacher","빛의 밀렵꾼(Lightpoacher)"
"Limbsplit","사지 분할기(Limbsplit)"
"Lion's Roar","사자의 포효(Lion's Roar)"
"Lioneye's Fall","라이온아이의 몰락(Lioneye's Fall)"
"Lioneye's Glare","라이온아이의 섬광(Lioneye's Glare)"
"Lioneye's Paws","라이온아이의 발(Lioneye's Paws)"
"Lioneye's Remorse","라이온아이의 후회(Lioneye's Remorse)"
"Lioneye's Vision","라이온아이의 시각(Lioneye's Vision)"
"Lochtonial Caress","록토니얼의 손길(Lochtonial Caress)"
"Lord of Steel","강철의 군주(Lord of Steel)"
"Loreweave","지식의 매듭(Loreweave)"
"Lori's Lantern","로리의 등불(Lori's Lantern)"
"Lycosidae","늑대 거미(Lycosidae)"
"Machina Mitts","마키나 미트(Machina Mitts)"
"Maelström of Chaos","혼돈의 마엘스트롬(Maelström of Chaos)"
"Magna Eclipsis","커다란 일식(Magna Eclipsis)"
"Malachai's Artifice","말라카이의 책략(Malachai's Artifice)"
"Malachai's Awakening","말라카이의 각성(Malachai's Awakening)"
"Malachai's Loop","말라카이의 고리(Malachai's Loop)"
"Malachai's Mark","말라카이의 징표(Malachai's Mark)"
"Malachai's Simula","말라카이의 위장막(Malachai's Simula)"
"Malachai's Vision","말라카이의 시각(Malachai's Vision)"
"Malicious Intent","불순한 의도(Malicious Intent)"
"Maligaro's Cruelty","말리가로의 잔혹성(Maligaro's Cruelty)"
"Maligaro's Lens","말리가로의 렌즈(Maligaro's Lens)"
"Maligaro's Restraint","말리가로의 속박(Maligaro's Restraint)"
"Maligaro's Virtuosity","말리가로의 기교(Maligaro's Virtuosity)"
"Maloney's Mechanism","말로니의 기계 장치(Maloney's Mechanism)"
"Maloney's Nightfall","말로니의 해질녘(Maloney's Nightfall)"
"Manastorm","마나폭풍(Manastorm)"
"Mantra of Flames","화염의 주문(Mantra of Flames)"
"Mao Kun","마오 쿤(Mao Kun)"
"March of the Legion","군단의 행진(March of the Legion)"
"Mark of Submission","복종의 징표(Mark of Submission)"
"Mark of the Doubting Knight","불안한 기사의 징표(Mark of the Doubting Knight)"
"Mark of the Elder","엘더의 징표(Mark of the Elder)"
"Mark of the Red Covenant","붉은 계약의 징표(Mark of the Red Covenant)"
"Mark of the Shaper","쉐이퍼의 징표(Mark of the Shaper)"
"Marohi Erqi","마로히 에르키(Marohi Erqi)"
"Martial Artistry","무도가의 기교(Martial Artistry)"
"Martyr's Crown","순교자의 왕관(Martyr's Crown)"
"Martyr of Innocence","결백한 순교자(Martyr of Innocence)"
"Marylene's Fallacy","마릴린의 오산(Marylene's Fallacy)"
"Mask of the Spirit Drinker","영혼 흡수자의 가면(Mask of the Spirit Drinker)"
"Mask of the Stitched Demon","꿰맨 악마의 가면(Mask of the Stitched Demon)"
"Mask of the Tribunal","재판소의 가면(Mask of the Tribunal)"
"Matua Tupuna","마투아 투푸나(Matua Tupuna)"
"Maw of Conquest","정복지의 구렁텅이(Maw of Conquest)"
"Maw of Mischief","말썽의 나락(Maw of Mischief)"
"Megalomaniac","과대망상(Megalomaniac)"
"Meginord's Girdle","메기노드의 허리띠(Meginord's Girdle)"
"Meginord's Vigour","메기노드의 활력(Meginord's Vigour)"
"Meginord's Vise","메기노드의 조임쇠(Meginord's Vise)"
"Memory Vault","기억의 금고(Memory Vault)"
"Mercenary's Lot","용병의 운명(Mercenary's Lot)"
"Midnight Bargain","심야의 교섭(Midnight Bargain)"
"Might and Influence","권력과 영향력(Might and Influence)"
"Might in All Forms","만물의 힘(Might in All Forms)"
"Might of the Meek","온유의 힘(Might of the Meek)"
"Mightflay","강력한 가죽칼(Mightflay)"
"Militant Faith","호전적인 신념(Militant Faith)"
"Mind of the Council","의회의 정신(Mind of the Council)"
"Mindspiral","정신의 소용돌이(Mindspiral)"
"Ming's Heart","밍의 심장(Ming's Heart)"
"Mirebough","늪 가지(Mirebough)"
"Miser of Misery","불행의 수전노(Miser of Misery)"
"Misinformation","와전(Misinformation)"
"Mistwall","안개 벽(Mistwall)"
"Mjölner","묠니르(Mjölner)"
"Mokou's Embrace","모코우의 포옹(Mokou's Embrace)"
"Mon'tregul's Grasp","몬트레굴의 장악(Mon'tregul's Grasp)"
"Moonbender's Wing","달을 구부리는 자의 날개(Moonbender's Wing)"
"Moonsorrow","달의 슬픔(Moonsorrow)"
"Mortem Morsu","고통스러운 죽음(Mortem Morsu)"
"Mother's Embrace","어머니의 포옹(Mother's Embrace)"
"Mutated Growth","변이한 종양(Mutated Growth)"
"Mutewind Pennant","고요한 바람단 페넌트(Mutewind Pennant)"
"Mutewind Seal","고요한 바람단 봉인(Mutewind Seal)"
"Mutewind Whispersteps","고요한 바람단의 속삭임 신발(Mutewind Whispersteps)"
"Nadir Mode","저점 모드(Nadir Mode)"
"Natural Affinity","타고난 친화력(Natural Affinity)"
"Natural Hierarchy","순수의 지배(Natural Hierarchy)"
"Nebulis","성운(Nebulis)"
"Nebuloch","네뷸록(Nebuloch)"
"Ngamahu's Flame","나마후의 불꽃(Ngamahu's Flame)"
"Ngamahu's Sign","나마후의 표식(Ngamahu's Sign)"
"Ngamahu Tiki","나마후 티키(Ngamahu Tiki)"
"Night's Hold","밤의 연장(Night's Hold)"
"Nomic's Storm","노믹의 태풍(Nomic's Storm)"
"Null's Inclination","몰살 의지(Null's Inclination)"
"Null and Void","무효와 공허(Null and Void)"
"Nuro's Harp","누로의 하프(Nuro's Harp)"
"Nycta's Lantern","닉타의 등불(Nycta's Lantern)"
"Oba's Cursed Trove","오바의 저주받은 전리품(Oba's Cursed Trove)"
"Obliteration","말살(Obliteration)"
"Obscurantis","몽매주의(Obscurantis)"
"Offering to the Serpent","독사에게 바치는 공물(Offering to the Serpent)"
"Olesya's Delight","올레샤의 기쁨(Olesya's Delight)"
"Olmec's Sanctum","올멕의 지성소(Olmec's Sanctum)"
"Omen on the Winds","바람에 실린 전조(Omen on the Winds)"
"Omeyocan","오메이오칸(Omeyocan)"
"Ondar's Clasp","온다르의 걸쇠(Ondar's Clasp)"
"One With Nothing","맨주먹(One With Nothing)"
"Oni-Goroshi","오니고로시(Oni-Goroshi)"
"Ornament of the East","동방의 장신구(Ornament of the East)"
"Oro's Sacrifice","오로의 희생(Oro's Sacrifice)"
"Oskarm","오스캄(Oskarm)"
"Overwhelming Odds","압도적인 확률(Overwhelming Odds)"
"Pacifism","평화주의(Pacifism)"
"Painseeker","고통 탐구자(Painseeker)"
"Panquetzaliztli","판케찰리스틀리(Panquetzaliztli)"
"Paradoxica","모순(Paradoxica)"
"Perandus Blazon","페란두스 문장(Perandus Blazon)"
"Perandus Signet","페란두스 인장(Perandus Signet)"
"Perepiteia","영구장치(Perepiteia)"
"Perfidy","배반(Perfidy)"
"Perquil's Toe","퍼퀼의 발가락(Perquil's Toe)"
"Perseverance","인내(Perseverance)"
"Pillar of the Caged God","갇힌 신의 기둥(Pillar of the Caged God)"
"Pillars of Arun","아룬의 기둥(Pillars of Arun)"
"Piscator's Vigil","피스카토의 기도(Piscator's Vigil)"
"Pitch Darkness","칠흑 같은 어둠(Pitch Darkness)"
"Pledge of Hands","손으로 맺은 서약(Pledge of Hands)"
"Plume of Pursuit","추적의 깃털(Plume of Pursuit)"
"Poacher's Aim","밀렵꾼의 조준(Poacher's Aim)"
"Poorjoy's Asylum","푸어조이의 은신처(Poorjoy's Asylum)"
"Powerlessness","무력함(Powerlessness)"
"Praxis","관습(Praxis)"
"Precursor's Emblem","선구자의 상징(Precursor's Emblem)"
"Presence of Chayula","차율라의 존재(Presence of Chayula)"
"Primordial Eminence","태고의 고귀(Primordial Eminence)"
"Primordial Harmony","태고의 조화(Primordial Harmony)"
"Primordial Might","태고의 완력(Primordial Might)"
"Prism Guardian","분광의 수호자(Prism Guardian)"
"Prismatic Eclipse","분광 월식(Prismatic Eclipse)"
"Prismweave","빛의 매듭(Prismweave)"
"Profane Proxy","부정한 대리자(Profane Proxy)"
"Pugilist","권투가(Pugilist)"
"Pure Talent","타고난 재능(Pure Talent)"
"Putembo's Meadow","푸템보의 초원(Putembo's Meadow)"
"Putembo's Mountain","푸템보의 산(Putembo's Mountain)"
"Putembo's Valley","푸템보의 계곡(Putembo's Valley)"
"Pyre","장작(Pyre)"
"Pyroshock Clasp","화염격 걸쇠(Pyroshock Clasp)"
"Qotra's Regulator","쿼트라의 제어기(Qotra's Regulator)"
"Quecholli","퀘촐리(Quecholli)"
"Queen's Decree","여왕의 법령(Queen's Decree)"
"Queen's Escape","여왕의 탈주(Queen's Escape)"
"Queen of the Forest","숲의 여왕(Queen of the Forest)"
"Quickening Covenant","재촉의 계약(Quickening Covenant)"
"Quill Rain","화살 비(Quill Rain)"
"Rain of Splinters","파편의 비(Rain of Splinters)"
"Rainbowstride","무지갯빛 발걸음(Rainbowstride)"
"Ralakesh's Impatience","랄라케쉬의 조바심(Ralakesh's Impatience)"
"Rapid Expansion","신속한 확장(Rapid Expansion)"
"Rashkaldor's Patience","라시칼도어의 인내(Rashkaldor's Patience)"
"Rat's Nest","쥐의 둥지(Rat's Nest)"
"Rathpith Globe","래스피스 구체(Rathpith Globe)"
"Razor of the Seventh Sun","날카로운 일곱 번째 태양(Razor of the Seventh Sun)"
"Reach of the Council","의회의 역량(Reach of the Council)"
"Realm Ender","종결자(Realm Ender)"
"Realmshaper","영역 형성자(Realmshaper)"
"Reaper's Pursuit","수확자의 추적(Reaper's Pursuit)"
"Rearguard","후위 경계(Rearguard)"
"Rebuke of the Vaal","바알의 질책(Rebuke of the Vaal)"
"Reckless Defence","무모한 방어(Reckless Defence)"
"Redbeak","붉은 부리(Redbeak)"
"Redblade Band","적검단 가락지(Redblade Band)"
"Redblade Banner","적검단 깃발(Redblade Banner)"
"Redblade Tramplers","적검단 유린자(Redblade Tramplers)"
"Reefbane","암초의 파멸(Reefbane)"
"Relentless Fury","맹렬한 광분(Relentless Fury)"
"Relic of the Cycle","순환의 유물(Relic of the Cycle)"
"Remnant of Empires","제국의 유물(Remnant of Empires)"
"Repentance","참회(Repentance)"
"Replica Abyssus","깊은 심연(Abyssus) 모조품"
"Replica Advancing Fortress","전진하는 요새(Advancing Fortress) 모조품"
"Replica Alberon's Warpath","알베른의 적대(Alberon's Warpath) 모조품"
"Replica Allelopathy","생존 경쟁(Allelopathy) 모조품"
"Replica Allure","매혹(Allure) 모조품"
"Replica Alpha's Howl","우두머리의 울부짖음(Alpha's Howl) 모조품"
"Replica Ambu's Charge","앰부의 돌진(Ambu's Charge) 모조품"
"Replica Atziri's Acuity","앗지리의 예리함(Atziri's Acuity) 모조품"
"Replica Atziri's Foible","앗지리의 결점(Atziri's Foible) 모조품"
"Replica Bated Breath","약해진 숨결(Bated Breath) 모조품"
"Replica Bitterdream","악몽(Bitterdream) 모조품"
"Replica Blood Sacrifice","피의 희생(Blood Sacrifice) 모조품"
"Replica Blood Thorn","피의 가시(Blood Thorn) 모조품"
"Replica Bloodplay","피의 오락(Bloodplay) 모조품"
"Replica Bones of Ullr","울러의 뼈(Bones of Ullr) 모조품"
"Replica Cheap Construction","저렴한 건축(Cheap Construction) 모조품"
"Replica Cold Iron Point","날붙이 끝(Cold Iron Point) 모조품"
"Replica Conqueror's Efficiency","정복자의 효율(Conqueror's Efficiency) 모조품"
"Replica Cortex","코텍스(Cortex) 모조품"
"Replica Doedre's Damning","도이드리의 파멸(Doedre's Damning) 모조품"
"Replica Dreamfeather","꿈의 깃털(Dreamfeather) 모조품"
"Replica Duskdawn","황혼의 아침(Duskdawn) 모조품"
"Replica Earendel's Embrace","에아렌델의 포옹(Earendel's Embrace) 모조품"
"Replica Emberwake","잉걸불 지피기(Emberwake) 모조품"
"Replica Eternity Shroud","영원의 연막(Eternity Shroud) 모조품"
"Replica Farrul's Fur","페룰의 모피(Farrul's Fur) 모조품"
"Replica Fencoil","늪 감긴 가지(Fencoil) 모조품"
"Replica Forbidden Shako","금단의 샤코(Forbidden Shako) 모조품"
"Replica Fragile Bloom","가냘픈 꽃(Fragile Bloom) 모조품"
"Replica Frostbreath","서리 숨결(Frostbreath) 모조품"
"Replica Grip of the Council","의회의 장악(Grip of the Council) 모조품"
"Replica Harvest","수확(Harvest) 모조품"
"Replica Headhunter","헤드헌터(Headhunter) 모조품"
"Replica Heartbreaker","심장 분쇄기(Heartbreaker) 모조품"
"Replica Hotheaded","핫헤드(Hotheaded) 모조품"
"Replica Hyrri's Truth","하이리의 진리(Hyrri's Truth) 모조품"
"Replica Infractem","침범자(Infractem) 모조품"
"Replica Innsbury Edge","인스뷰리 칼날(Innsbury Edge) 모조품"
"Replica Inya's Epiphany","이냐의 통찰(Inya's Epiphany) 모조품"
"Replica Iron Commander","철의 지휘관(Iron Commander) 모조품"
"Replica Kalisa's Grace","칼리사의 은총(Kalisa's Grace) 모조품"
"Replica Kaom's Heart","카옴의 심장(Kaom's Heart) 모조품"
"Replica Karui Ward","카루이의 수호(Karui Ward) 모조품"
"Replica Kongor's Undying Rage","콩고르의 끝없는 격노(Kongor's Undying Rage) 모조품"
"Replica Last Resort","최후의 수단(Last Resort) 모조품"
"Replica Lavianga's Spirit","라비앙가의 혼백(Lavianga's Spirit) 모조품"
"Replica Leer Cast","음흉한 시선(Leer Cast) 모조품"
"Replica Lioneye's Paws","라이온아이의 발(Lioneye's Paws) 모조품"
"Replica Loreweave","지식의 매듭(Loreweave) 모조품"
"Replica Malachai's Artifice","말라카이의 책략(Malachai's Artifice) 모조품"
"Replica Maloney's Mechanism","말로니의 기계 장치(Maloney's Mechanism) 모조품"
"Replica Midnight Bargain","심야의 교섭(Midnight Bargain) 모조품"
"Replica Mistwall","안개 벽(Mistwall) 모조품"
"Replica Nebulis","성운(Nebulis) 모조품"
"Replica Oro's Sacrifice","오로의 희생(Oro's Sacrifice) 모조품"
"Replica Paradoxica","모순(Paradoxica) 모조품"
"Replica Perfect Form","Replica Perfect Form"
"Replica Pillars of Arun","아룬의 기둥(Pillars of Arun) 모조품"
"Replica Poorjoy's Asylum","푸어조이의 은신처(Poorjoy's Asylum) 모조품"
"Replica Primordial Might","태고의 완력(Primordial Might) 모조품"
"Replica Prismweave","빛의 매듭(Prismweave) 모조품"
"Replica Pure Talent","타고난 재능(Pure Talent) 모조품"
"Replica Quill Rain","화살 비(Quill Rain) 모조품"
"Replica Reckless Defence","무모한 방어(Reckless Defence) 모조품"
"Replica Red Trail","붉은 발자취(Red Trail) 모조품"
"Replica Restless Ward","끊임없는 수호 모조품(Restless Ward) 모조품"
"Replica Rumi's Concoction","루미의 혼합물(Rumi's Concoction) 모조품"
"Replica Shroud of the Lightless","무광의 연막(Shroud of the Lightless) 모조품"
"Replica Siegebreaker","공성분쇄기(Siegebreaker) 모조품"
"Replica Sorrow of the Divine","신의 슬픔(The Sorrow of the Divine) 모조품"
"Replica Soul Strike","영혼의 일격(Soul Strike) 모조품"
"Replica Soul Taker","영혼 수확자(Soul Taker) 모조품"
"Replica Soul Tether","영혼 올가미(Soul Tether) 모조품"
"Replica Stampede","쇄도(The Stampede) 모조품"
"Replica Tasalio's Sign","타살리오의 표식(Tasalio's Sign) 모조품"
"Replica Tempestuous Steel","Replica Tempestuous Steel"
"Replica Tempestuous Steel","격렬한 강철(The Tempestuous Steel) 모조품"
"Replica Three-step Assault","삼단 공격(Three-step Assault) 모조품"
"Replica Trypanon","트리파논(Trypanon) 모조품"
"Replica Tukohama's Fortress","투코하마의 요새(Tukohama's Fortress) 모조품"
"Replica Tulfall","툴의 몰락(Tulfall) 모조품"
"Replica Twyzel","트위즐(Twyzel) 모조품"
"Replica Ungil's Gauche","웅힐의 투박함(Ungil's Gauche) 모조품"
"Replica Unstable Payload","불안정한 하중(Unstable Payload) 모조품"
"Replica Veil of the Night","밤의 장막(Veil of the Night) 모조품"
"Replica Victario's Charity","빅타리오의 자비(Victario's Charity) 모조품"
"Replica Voideye","공허의 눈(Voideye) 모조품"
"Replica Voidwalker","공허 보행자(Voidwalker) 모조품"
"Replica Volkuur's Guidance","볼쿠르의 인도(Volkuur's Guidance) 모조품"
"Replica Windripper","윈드리퍼(Windripper) 모조품"
"Replica Wings of Entropy","엔트로피의 날개(Wings of Entropy) 모조품"
"Replica Winterheart","겨울심장(Winterheart) 모조품"
"Restless Cycles","쉴 수 없는 반복(Restless Cycles)"
"Retaliation Charm","보복 부적(Retaliation Charm)"
"Reverberation Rod","울림의 막대(Reverberation Rod)"
"Rewritten Distant Memory","다시 쓰인 희미한 기억(Rewritten Distant Memory)"
"Rigwald's Charge","리그월드의 돌진(Rigwald's Charge)"
"Rigwald's Command","리그월드의 명령(Rigwald's Command)"
"Rigwald's Crest","리그월드의 문양(Rigwald's Crest)"
"Rigwald's Curse","리그월드의 저주(Rigwald's Curse)"
"Rigwald's Quills","리그월드의 화살(Rigwald's Quills)"
"Rigwald's Savagery","리그월드의 야만(Rigwald's Savagery)"
"Rime Gaze","냉기의 시선(Rime Gaze)"
"Ring of Blades","칼날 경기장(Ring of Blades)"
"Rise of the Phoenix","불사조의 비상(Rise of the Phoenix)"
"Rive","리브(Rive)"
"Rolling Flames","몰려오는 불꽃(Rolling Flames)"
"Romira's Banquet","로미라의 연회(Romira's Banquet)"
"Rotblood Promise","부식혈의 약속(Rotblood Promise)"
"Rotgut","썩은 내장(Rotgut)"
"Roth's Reach","로스의 역량(Roth's Reach)"
"Rotting Legion","썩어가는 군단(Rotting Legion)"
"Rumi's Concoction","루미의 혼합물(Rumi's Concoction)"
"Rust of Winter","부패한 겨울(Rust of Winter)"
"Ryslatha's Coil","리슬라사의 감개(Ryslatha's Coil)"
"Sacrificial Harvest","희생의 수확(Sacrificial Harvest)"
"Sacrificial Heart","희생의 심장(Sacrificial Heart)"
"Sadima's Touch","사디마의 손길(Sadima's Touch)"
"Saemus' Gift","새무스의 선물(Saemus' Gift)"
"Saffell's Frame","사펠의 골격(Saffell's Frame)"
"Sanguine Gambol","핏빛 장난(Sanguine Gambol)"
"Saqawal's Flock","사카왈의 무리(Saqawal's Flock)"
"Saqawal's Nest","사카왈의 둥지(Saqawal's Nest)"
"Saqawal's Talons","사카왈의 발톱(Saqawal's Talons)"
"Saqawal's Winds","사카왈의 바람(Saqawal's Winds)"
"Scaeva","스카이바(Scaeva)"
"Scar of Fate","운명의 흉터(Scar of Fate)"
"Scold's Bridle","꾸짖음의 굴레(Scold's Bridle)"
"Scorpion's Call","전갈의 부름(Scorpion's Call)"
"Seething Fury","끓어오르는 광분(Seething Fury)"
"Self-Flagellation","자학 채찍질(Self-Flagellation)"
"Selfless Leadership","이타적인 통솔력(Selfless Leadership)"
"Sentari's Answer","센타리의 응답(Sentari's Answer)"
"Seven-League Step","바람의 걸음(Seven-League Step)"
"Severed in Sleep","야습(Severed in Sleep)"
"Shackles of the Wretched","불운아의 족쇄(Shackles of the Wretched)"
"Shade of Solaris","솔라리스의 그늘(Shade of Solaris)"
"Shadows and Dust","그림자와 먼지(Shadows and Dust)"
"Shadowstitch","그림자 봉합(Shadowstitch)"
"Shaper's Seed","쉐이퍼의 씨앗(Shaper's Seed)"
"Shaper's Touch","쉐이퍼의 손길(Shaper's Touch)"
"Shattered Chains","바스라진 사슬(Shattered Chains)"
"Shattershard","파편 분쇄(Shattershard)"
"Shavronne's Gambit","샤브론의 책략(Shavronne's Gambit)"
"Shavronne's Pace","샤브론의 보폭(Shavronne's Pace)"
"Shavronne's Revelation","샤브론의 계시(Shavronne's Revelation)"
"Shavronne's Wrappings","샤브론의 겉옷(Shavronne's Wrappings)"
"Shimmeron","쉬머론(Shimmeron)"
"Shiversting","오한의 검(Shiversting)"
"Shroud of the Lightless","무광의 연막(Shroud of the Lightless)"
"Sibyl's Lament","시빌의 한탄(Sibyl's Lament)"
"Sidhebite","요정의 이빨(Sidhebite)"
"Sidhebreath","요정의 숨결(Sidhebreath)"
"Siegebreaker","공성분쇄기(Siegebreaker)"
"Sign of the Sin Eater","죄악을 먹는 자의 흔적(Sign of the Sin Eater)"
"Silverbough","은빛 나뭇가지(Silverbough)"
"Silverbranch","은빛 가지(Silverbranch)"
"Sin's Rebirth","씬의 부활(Sin's Rebirth)"
"Sin Trek","죄악의 여정(Sin Trek)"
"Singularity","중력 붕괴(Singularity)"
"Sinvicta's Mettle","신빅타의 패기(Sinvicta's Mettle)"
"Sire of Shards","파편의 영주(Sire of Shards)"
"Skin of the Lords","군주의 가죽(Skin of the Lords)"
"Skin of the Loyal","충신의 가죽(Skin of the Loyal)"
"Skirmish","접전(Skirmish)"
"Skullhead","두개골 투구(Skullhead)"
"Skyforth","하늘 달리기(Skyforth)"
"Slavedriver's Hand","노예 감독관의 손길(Slavedriver's Hand)"
"Slitherpinch","뱀의 손길(Slitherpinch)"
"Slivers of Providence","섭리의 편린 화살통(Slivers of Providence)"
"Slivertongue","슬리버텅(Slivertongue)"
"Snakebite","뱀 이빨(Snakebite)"
"Snakepit","뱀 구덩이(Snakepit)"
"Solaris Lorica","솔라리스 흉갑(Solaris Lorica)"
"Solstice Vigil","동짓날 밤(Solstice Vigil)"
"Song of the Sirens","사이렌의 노래(Song of the Sirens)"
"Soul's Wick","영혼의 심지(Soul's Wick)"
"Soul Catcher","영혼 포획자(Soul Catcher)"
"Soul Mantle","영혼의 외투(Soul Mantle)"
"Soul Ripper","영혼 수확자(Soul Ripper)"
"Soul Strike","영혼의 일격(Soul Strike)"
"Soul Taker","영혼 수확자(Soul Taker)"
"Soul Tether","영혼 올가미(Soul Tether)"
"Soulthirst","목마른 영혼(Soulthirst)"
"Soulwrest","영혼 착취(Soulwrest)"
"Southbound","남행(Southbound)"
"Speaker's Wreath","연설가의 화관(Speaker's Wreath)"
"Specialised","특별한(Specialised)"
"Spine of the First Claimant","최초 선구자의 척추(Spine of the First Claimant)"
"Spire of Stone","첨탑(Spire of Stone)"
"Spirit Guards","혼백의 수호(Spirit Guards)"
"Spirited Response","맹렬한 응답(Spirited Response)"
"Splinter of the Moon","달의 파편(Splinter of the Moon)"
"Split Personality","이중 인격(Split Personality)"
"Sporeguard","포자 수호(Sporeguard)"
"Spreading Rot","퍼져가는 부패(Spreading Rot)"
"Springleaf","생기의 잎사귀(Springleaf)"
"Stalwart Defenders","강건한 수비병(Stalwart Defenders)"
"Star of Wraeclast","레이클라스트의 별(Star of Wraeclast)"
"Starforge","별의 탄생(Starforge)"
"Starkonja's Head","스타콘자의 머리(Starkonja's Head)"
"Starlight Chalice","별빛 성배(Starlight Chalice)"
"Stasis Prison","정체 감옥(Stasis Prison)"
"Static Electricity","정전기(Static Electricity)"
"Steel Spirit","강철 혼백(Steel Spirit)"
"Steelworm","강철지렁이(Steelworm)"
"Steppan Eard","스테판 야드(Steppan Eard)"
"Stone of Lazhwar","라즈워의 보석(Stone of Lazhwar)"
"Storm's Gift","태풍의 선물(Storm's Gift)"
"Storm Cloud","태풍 구름(Storm Cloud)"
"Storm Prison","태풍 감옥(Storm Prison)"
"Storm Secret","태풍의 비밀(Storm Secret)"
"Stormcharger","태풍 돌격대(Stormcharger)"
"Stormfire","태풍불길(Stormfire)"
"Story of the Vaal","바알의 사연(Story of the Vaal)"
"Straight and True","정직한 진실(Straight and True)"
"String of Servitude","노예의 끈(String of Servitude)"
"Sudden Ignition","기습적인 점화(Sudden Ignition)"
"Sunblast","태양의 파동(Sunblast)"
"Sundance","태양을 보는 춤(Sundance)"
"Sunspite","태양의 원한(Sunspite)"
"Surgebinders","몰려드는 격동(Surgebinders)"
"Survival Instincts","생존 본능(Survival Instincts)"
"Survival Secrets","생존 비결(Survival Secrets)"
"Survival Skills","생존 기술(Survival Skills)"
"Survivor's Guilt","생존자의 죄책감(Survivor's Guilt)"
"Tabula Rasa","타뷸라 라사(Tabula Rasa)"
"Talisman of the Victor","승리자의 부적(Talisman of the Victor)"
"Taproot","흡혈 뿌리(Taproot)"
"Taryn's Shiver","타린의 오한(Taryn's Shiver)"
"Tasalio's Sign","타살리오의 표식(Tasalio's Sign)"
"Taste of Hate","증오의 맛(Taste of Hate)"
"Tavukai","타부카이(Tavukai)"
"Tear of Entropy","엔트로피의 눈물(Tear of Entropy)"
"Tear of Purity","정화의 눈물(Tear of Purity)"
"Tecrod's Gaze","테크로드의 응시(Tecrod's Gaze)"
"Tempered Flesh","조절된 육체(Tempered Flesh)"
"Tempered Mind","조절된 마음(Tempered Mind)"
"Tempered Spirit","조절된 정신(Tempered Spirit)"
"Temptation Step","유혹의 발걸음(Temptation Step)"
"Terminus Est","다가온 최후(Terminus Est)"
"Territories Unknown","미지의 영역(Territories Unknown)"
"Terror","공포의"
"The Admiral","제독(The Admiral)"
"The Anima Stone","생명의 돌(The Anima Stone)"
"The Anticipation","기대(The Anticipation)"
"The Anvil","모루(The Anvil)"
"The Ascetic","고행자(The Ascetic)"
"The Aylardex","에일러덱스(The Aylardex)"
"The Baron","남작(The Baron)"
"The Beachhead","교두보(The Beachhead)"
"The Beast Fur Shawl","야수 모피 숄(The Beast Fur Shawl)"
"The Black Cane","검은 지팡이(The Black Cane)"
"The Blood Dance","피의 춤(The Blood Dance)"
"The Blood Reaper","피의 수확자(The Blood Reaper)"
"The Blood Thorn","피의 가시(The Blood Thorn)"
"The Blue Dream","파란 꿈(The Blue Dream)"
"The Blue Nightmare","파란 악몽(The Blue Nightmare)"
"The Brass Dome","황동 철갑(The Brass Dome)"
"The Brine Crown","염수 왕관(The Brine Crown)"
"The Bringer of Rain","비의 인도자(The Bringer of Rain)"
"The Broken Crown","부서진 왕관(The Broken Crown)"
"The Builder","개척자(The Builder)"
"The Cauteriser","소각로(The Cauteriser)"
"The Claim","소유권(The Claim)"
"The Closest Peak","근접한 봉우리(The Closest Peak)"
"The Coming Calamity","다가오는 대재난(The Coming Calamity)"
"The Consuming Dark","타들어 가는 어둠(The Consuming Dark)"
"The Covenant","계약(The Covenant)"
"The Coward's Trial","겁쟁이의 시험(The Coward's Trial)"
"The Crimson Storm","진홍색 태풍(The Crimson Storm)"
"The Dancing Dervish","춤추는 수도승(The Dancing Dervish)"
"The Dancing Duo","춤추는 한 쌍(The Dancing Duo)"
"The Dark Seer","어둠 예견자(The Dark Seer)"
"The Deep One's Hide","심해의 가죽(The Deep One's Hide)"
"The Devouring Diadem","걸신들린 왕관(The Devouring Diadem)"
"The Druggery","약품(The Druggery)"
"The Effigon","에피곤(The Effigon)"
"The Embalmer","시체처리사의 장갑(The Embalmer)"
"The Enmity Divine","증오의 신(The Enmity Divine)"
"The Ephemeral Bond","덧없는 유대(The Ephemeral Bond)"
"The Eternal Apple","영원한 사과(The Eternal Apple)"
"The Eternity Shroud","영원의 연막(The Eternity Shroud)"
"The False Hope","거짓 희망(The False Hope)"
"The Felbog Fang","펠보그 송곳니(The Felbog Fang)"
"The Fledgling","풋내기(The Fledgling)"
"The Flow Untethered","얽매이지 않은 흐름(The Flow Untethered)"
