"Doedre's Gluttony","도이드리의 폭식"
"Life Flask Charge Gain","생명력 플라스크 충전 획득"
"Life Recoup","생명력 회생"
"Life Leech and Attack Speed","생명력 흡수 및 공격 속도"
"Life Leech","생명력 흡수 보조"
"Life Leech Speed and Attack Speed","생명력 흡수 속도 및 공격 속도"
"Life and Flasks","생명력과 플라스크"
"Survivalist","생존주의자"
"Frost Walker","서리 보행자"
"Fingers of Frost","서리의 손가락"
"Fangs of Frost","서리의 송곳니"
"Quartz Infusion","석영 주입"
"Foresight","선견지명"
"Ancestral Reach","선대의 능력"
"Ancestral Echo","선대의 메아리"
"Ancestral Preservation","선대의 보전"
"Ancestral Inspiration","선대의 영감"
"Ancestral Might","선대의 완력"
"Ancestral Bond","선대의 유대"
"Ancestral Guidance","선대의 인도"
"Ancestral Knowledge","선대의 지식"
"Provocateur","선동가"
"Vivid Hues","선명한 빛깔"
"Advance Guard","선발대"
"First to Strike, Last to Fall","선수필승"
"Eldritch Battery","섬뜩한 충전기"
"Rampart","성벽"
"Sanctuary","성역"
"Growth and Decay","성장과 부패"
"Cremator","소각로"
"Wasting","소모성"
"Whirling Barrier","소용돌이 방어막"
"Master of the Maelstrom","소용돌이의 주인"
"Call to Arms","소집"
"Small Jewel Socket","소형 주얼 슬롯"
"Minion Attack and Cast Speed","소환수 공격 및 시전 속도"
"Minion Offence Mastery","소환수 공격 숙련"
"Minion Block","소환수 막기"
"Minion Defence Mastery","소환수 방어 숙련"
"Minion Instability","소환수 불안정"
"Minion Life and Physical Damage Reduction","소환수 생명력 및 물리 피해 감소"
"Minion Life and Elemental Resistances","소환수 생명력 및 원소 저항"
"Minion Life and Damage","소환수 생명력 및 피해"
"Minion Life","소환수 생명력 보조"
"Minion Life Regeneration","소환수 생명력 재생"
"Minion Accuracy","소환수 정확도"
"Minion Spell Block","소환수 주문 막기"
"Minion Damage","소환수 피해"
"Minion Damage, Mana","소환수 피해 , 마나"
"Minion Damage and Life","소환수 피해 및 생명력"
"Minion Damage and Accuracy","소환수 피해 및 정확도"
"Minion Damage and Duration","소환수 피해 및 지속 시간"
"Minion Damage and Attack and Cast Speed","소환수 피해, 공격 및 시전 속도"
"Minion Damage, Skill Duration","소환수 피해, 스킬 지속시간"
"Minion Damage, Cast Speed","소환수 피해, 시전 속도"
"Minion Damage, Aura Effect","소환수 피해, 오라 효과"
"Minion Life and Chaos Resistance","소환수의 생명력 및 카오스 저항"
"Hatchet Master","손도끼의 대가"
"Lead By Example","솔선 수범"
"Surging Vitality","솟구치는 활력"
"Last Rites","송장"
"Dervish","수도승"
"Enigmatic Defence","수수께끼의 방어력"
"Enigmatic Reach","수수께끼의 역량"
"Discipline and Training","수양과 훈련"
"Finesse","수완"
"Proficiency","숙달"
"Practiced Caster","숙련된 시전자"
"Flash Freeze","순간 동결"
"Pure Agony","순수한 고통"
"Throatseeker","숨통 노리기"
"Sublime Sensation","숭고한 감각"
"Sublime Form","숭고한 형상"
"Wisdom of the Glade","숲의 지혜"
"Tawhoa, Forest's Strength","숲의 힘, 타호아"
"Shadow Ascendancy","쉐도우 전직"
"Path of the Shadow","쉐도우의 길"
"Shaper","쉐이퍼"
"Sleepless Sentries","쉬지 않는 보초"
"Aspect of the Lynx","스라소니의 위상"
"Brush with Death","스치는 죽음"
"Skill Duration","스킬 지속시간"
"Reduced Skill Duration","스킬 지속시간 감소"
"Outmatch and Outlast","승자생존"
"Damage if Consumed a Corpse","시신 소모 시 피해"
"Corpse Life","시신의 삶"
"Corpse Pact","시신의 서약"
"Cast Speed","시전 속도"
"Cast Speed and Spell Critical Strike Chance","시전 속도 및 주문 치명타 확률"
"Caster Mastery","시전 숙련"
"Avoid Interruption while Casting and Elemental Resistances","시전하는 동안 방해 회피, 원소 저항"
"Cannibalistic Rite","식인 의식"
"Acrimony","신랄"
"Deadly Repartee","신랄한 말재간"
"Faith and Steel","신뢰와 강철"
"Mysticism","신비주의"
"Arcanist's Dominion","신비학자의 지배력"
"Charisma","신비한 매력"
"Mystic Bulwark","신비한 방벽"
"Mystical Ward","신비한 수호"
"Mystic Talents","신비한 재능"
"Light of Divinity","신성의 빛"
"Divine Fury","신성한 광분"
"Divine Shield","신성한 방패"
"Blessed Rebirth","신성한 부활"
"Holy Fire","신성한 불꽃"
"Divine Judgement","신성한 심판"
"Divine Fervour","신성한 열정"
"Divine Guidance","신성한 인도"
"Holy Dominion","신성한 지배력"
"Divine Wrath","신성한 진노"
"Rapid Assault","신속한 공격"
"Quick Getaway","신속한 도주"
"Mental Rapidity","신속한 정신"
"Rapid Infusion","신속한 주입"
"Careful Handling","신중한 취급"
"Blind Mastery","실명 숙련"
"Blind Duration","실명 지속시간"
"Blind Chance","실명 확률"
"Critical Strikes against Blinded Enemies","실명한 적에 대한 치명타"
"Heartseeker","심장 노리기"
"Heart and Soul","심장과 영혼"
"Heartstopper","심정지"
"Deep Breaths","심호흡"
"Crusader","십자군"
"Dual Wield Attack and Cast Speed","쌍수 공격 및 시전 속도"
"Dual Wield Attack and Cast Speed and Block","쌍수 공격 및 시전 속도와 막기"
"Dual Wield Attack Speed","쌍수 공격 속도"
"Dual Wield Block and Attack Speed","쌍수 막기 및 공격 속도"
"Dual Wielding Mastery","쌍수 숙련"
"Dual Wield Cast Speed","쌍수 시전 속도"
"Dual Wield Cast Speed and Movement Skill Cooldown Recovery","쌍수 시전 속도 및 이동 스킬 재사용 대기시간 회복"
"Dual Wield Accuracy","쌍수 정확도"
"Dual Wield Spell Damage and Movement Speed","쌍수 주문 피해 및 이동 속도"
"Dual Wield Spell Damage and Spell Block","쌍수 주문 피해 및 주문 막기"
"Dual Wield Critical Strike Multiplier and Accuracy","쌍수 치명타 피해 배율 및 정확도"
"Dual Wield Critical Strike Chance","쌍수 치명타 확률"
"Dual Wield Damage","쌍수 피해"
"Dual Wield Damage and Attack Speed","쌍수 피해 및 공격 속도"
"Dual Wield Damage and Block","쌍수 피해 및 막기"
"Twin Terrors","쌍수의 공포"
"Rotten Claws","썩은 발톱"
"Wasting Affliction","쓸모없는 고통"
"One with Evil","악과의 일체화"
"Spiteful Presence","악의에 찬 존재"
"Mistwalker","안개 속을 걷는 자"
"Rote Reinforcement","암기 강화"
"Assassination","암살"
"Backstabbing","암습"
"Overwhelm","압도"
"Overwhelming Malice","압도적인 악의"
"Savagery","야만성"
"Barbarism","야만성"
"Savage Wounds","야만적인 상처"
"Savage Response","야만적인 응답"
"Field Medicine","야전 의술"
"Spiked Concoction","약을 탄 물약"
"Smite the Weak","약자 구타"
"Exploit Weakness","약점 이용"
"Herbalism","약초학"
"Two Handed Attack Speed","양손 공격 속도"
"Two Handed Melee Accuracy","양손 근접 정확도"
"Two Handed Melee Critical Strike Chance and Accuracy","양손 근접 치명타 확률 및 정확도"
"Two Handed Melee Damage","양손 근접 피해"
"Two Handed Melee Damage and Attack Speed","양손 근접 피해 및 공격 속도"
"Two Handed Melee Damage and Stun Duration","양손 근접 피해 및 기절 지속시간"
"Two Handed Melee Damage and Life Leech Speed","양손 근접 피해 및 생명력 흡수 속도"
"Two Handed Melee Damage and Reduced Enemy Stun Threshold","양손 근접 피해 및 적 기절 한계치 감소"
"Two Handed Melee Damage and Area of Effect","양손 근접 피해 및 효과 범위"
"Two Handed Melee Damage and Leech","양손 근접 피해 및 흡수"
"Impale Chance with Two Handed Weapons","양손 무기 사용 시 꿰뚫기 확률"
"Impale Effect with Two Handed Weapons","양손 무기 사용 시 꿰뚫기 효과"
"Two Hand Mastery","양손 숙련"
"Ambidexterity","양손잡이"
"From the Shadows","어둠 속에서"
"Dark Messenger","어둠 전달자"
"Dark Arts","어둠의 기술"
"Commander of Darkness","어둠의 사령관"
"Heart of Darkness","어둠의 심장"
"Born in the Shadows","어둠의 자식"
"Ascendant","어센던트"
"Assassin","어쌔신"
"King of the Hill","언덕의 왕"
"Season of Ice","얼음의 계절"
"Heart of Ice","얼음의 심장"
"Stoic Focus","엄격한 집중"
"Gravepact","엄숙한 계약"
"Grim Oath","엄숙한 서약"
"Grave Intentions","엄숙한 의도"
"Conservation of Energy","에너지 보존"
"Energy Shield","에너지 보호막"
"Energy Shield and Mana","에너지 보호막 및 마나"
"Energy Shield and Mana Regeneration","에너지 보호막 및 마나 재생"
"Energy Shield and Energy Shield Recharge Rate","에너지 보호막 및 에너지 보호막 재충전 속도"
"Energy Shield and Recovery","에너지 보호막 및 회복"
"Energy Shield Mastery","에너지 보호막 숙련"
"Energy Shield Recharge Rate","에너지 보호막 재충전 속도"
"Energy Shield Leech","에너지 보호막 흡수"
"Increased Energy Shield Leeched","에너지 보호막 흡수 증가"
"Energy Shield, Power Charge Duration","에너지 보호막, 권능 충전 지속시간"
"Energy Shield, Cold and Chaos Damage","에너지 보호막, 냉기 및 카오스 피해"
"Energy Shield, Cold Damage","에너지 보호막, 냉기 피해"
"Energy Shield, Energy Shield Recharge Rate","에너지 보호막, 에너지 보호막 재충전 속도"
"Energy Shield, Curse Effect","에너지 보호막, 저주 효과"
"Energy Shield, Chaos Damage","에너지 보호막, 카오스 피해"
"Essence Surge","에센스 쇄도"
"Essence Infusion","에센스 주입"
"Essence Extraction","에센스 추출"
"Essence Glutton","에센스 포식"
"Entropy","엔트로피"
"Eldritch Inspiration","엘 드리치 영감"
"Elder Power","엘더의 힘"
"Elementalist","엘리멘탈리스트"
"Blowback","역류"
"Plaguebringer","역병운반자"
"Veteran Soldier","역전 용사"
"Kinetic Impacts","역학 충격"
"Link Mana Cost","연결 마나 소모"
"Link Mana Cost and Cast Speed","연결 마나 소모 및 시전 속도"
"Link Mastery","연결 숙련"
"Link Duration","연결 지속시간"
"Link Duration and Cast Speed","연결 지속시간 및 시전 속도"
"Alchemist","연금술사"
"Repeater","연발"
"Chain Distance","연쇄 거리"
"Chain Reaction","연쇄 반응"
"Successive Detonations","연이은 폭발"
"Feasting Fiends","연회의 마귀"
"Frantic Aspect","열광적 인 측면"
"Mindfulness","열린 사고"
"Instruments of Zeal","열의의 도구"
"Fervour","열정"
"Eternal Suffering","영원한 고통"
"Eternal Youth","영원한 젊음"
"Influence","영향력"
"Soul Thief","영혼 도둑"
"Soul Siphon","영혼 착취"
"Soul Drinker","영혼 흡수자"
"Misery Everlasting","영혼이 계속되는 불행"
"Razor's Edge","예리한 날"
"Acuity","예민함"
"Aura Effect","오라 효과"
"Aura Area of Effect","오라 효과 범위"
"Occultist","오컬티스트"
"Heart of Oak","오크의 심장"
"Tenacity","완강"
"Unyielding","완고"
"Disciple of the Unyielding","완고한 신봉자"
"Stubborn Student","완고한 연구자"
"Might","완력"
"Perfect Agony","완벽한 고통"
"Perfect Crime","완전 범죄"
"Robust","왕성함"
"Steadfast","요지부동"
"Courage","용기"
"Lava Lash","용암 채찍"
"Opportunistic Fusilade","우발적 연속 공격"
"Graceful Assault","우아한 공격"
"Graceful Execution","우아한 실행"
"Elegant Form","우아한 형태"
"Cry Wolf","울고 늑대"
"Hearty","원기 왕성"
"Forethought","원려"
"Elemancer","원소 골렘술사"
"Elemental Overload","원소 과부하"
"Elemental Equilibrium","원소 균형"
"Elemental Mastery","원소 숙련"
"Elemental Resistances","원소 저항"
"Elemental Focus","원소 집중 보조"
"Elemental Damage","원소 피해"
"Elemental Damage and Resistances","원소 피해 및 저항"
"Elemental Damage, Attack and Cast Speed","원소 피해, 공격 및 시전 속도"
"Elemental Damage, Cold Ailment Effect","원소 피해, 냉기 상태 이상 효과"
"Elemental Damage, Lightning Ailment Effect","원소 피해, 번개 상태 이상 효과"
"Elemental Damage, Life Regeneration","원소 피해, 생명력 재생"
"Elemental Damage, Fire Damage over Time Multiplier","원소 피해, 지속 화염 피해 배율"
"Elemental Damage, Critical Strike Multiplier","원소 피해, 치명타 피해"
"Bastion of Elements","원소의 보루"
"Primal Spirit","원시 혼백"
"Primal Manifestation","원시의 현신"
"Primeval Force","원시적인 힘"
"Panopticon","원형 감옥"
"Atrophy","위축"
"WITCH","위치"
"Witch Ascendancy","위치 전직"
"Position Proxy","위치 프록시"
"Path of the Witch","위치의 길"
"Guerilla Tactics","유격 전술"
"Noxious Strike","유독성 일격"
"Flexible Sentry","유순한 보초"
"Solipsism","유아론"
"Versatile Combatant","유연한 전투원"
"SIX","육"
"Hex Breaker","육각 차단기"
"Feast of Flesh","육체의 연회"
"Purity of Flesh","육체의 정화"
"Versatility","융통성"
"Melding","융합"
"Silent Steps","은밀한 발걸음"
"Dark Ideation","음울한 관념"
"Retribution","응보"
"Practical Application","응용"
"Righteous Path","의로운 길"
"Will Shaper","의지 형성자"
"Harmony of Purpose","의지력의 조화"
"Sign of Purpose","의지력의 징표"
"Potency of Will","의지의 잠재력"
"Searing Heat","이글거리는 열기"
"Movement Speed","이동 속도"
"Movement Speed and Spell Suppression","이동 속도 및 주문 억제"
"Freedom of Movement","이동의 자유"
"Mindless Aggression","이유없는 공격성"
"Endurance","인내"
"Life Regeneration per Endurance Charge","인내 충전 당 생명력 재생"
"Endurance Charge Duration","인내 충전 지속시간"
"Stun Duration per Endurance Charge","인내 충전 하나당 기절 지속시간"
"Armour per Endurance Charge","인내 충전 하나당 방어도"
"Area of Effect per Endurance Charge","인내 충전 하나당 효과 범위"
"Enduring Bond","인내의 유대"
"Inquisitor","인퀴지터"
"Seven","일곱"
"Master Sapper","일급 공병"
"Master Toxicist","일류 독술사"
"Master Alchemist","일류 연금술사"
"Master Surgeon","일류 의사"
"Fusillade","일제 사격"
"Haunting Shout","잊혀지지 않는 소리"
"Self-Fulfilling Prophecy","자기 실현적 예언"
"Self-Control","자기 절제"
"Set and Forget","자동 수행"
"Supreme Ego","자만의 정점"
"Confident Combatant","자신감있는 전투원"
"Natural Remedies","자연 요법"
"One With Nature","자연과의 일체화"
"Nature's Adrenaline","자연의 아드레날린"
"Adrenaline","자연의 아드레날린"
"Nature's Reprisal","자연의 앙갚음"
"Nature's Boon","자연의 은혜"
"Natural Vigour","자연의 활력"
"Forces of Nature","자연의 힘"
"Harpooner","작살꾼"
"Brutal Blade","잔인한 검"
"Brutal Infamy","잔인한 악명"
"Brutal Fervour","잔인한 열정"
"Touch of Cruelty","잔혹한 손길"
"Cruel Preparation","잔혹한 준비"
"Brewed for Potency","잠재력 발산"
"Far Shot","장거리 사격"
"Avatar of the Veil","장막의 화신"
"Undertaker","장의사"
"Ash, Frost and Storm","재, 서리, 태풍"
"Swift Killer","재빠른 살인자"
"Spring Back","재주 넘기"
"Juggernaut","저거넛"
"Curse Mana Cost","저주 마나 소모"
"Curse Mana Reservation Efficiency","저주 마나 점유 효율"
"Curse Mastery","저주 숙련"
"Curse Cast Speed","저주 시전 속도"
"Curse Duration","저주 지속시간"
"Curse Effect","저주 효과"
"Mana on Kill against Cursed Enemies","저주받은 적 처치 시 마나"
"Life on Kill against Cursed Enemies","저주받은 적 처치 시 생명력"
"Life and Mana on Kill against Cursed Enemies","저주받은 적 처치 시 생명력 및 마나"
"Defiance","저항"
"Resistance and Ailment Protection Mastery","저항 및 상태 이상 보호 숙련"
"Feller of Foes","적병 벌목자"
"Harvester of Foes","적병 수확자"
"Electric Presence","전기 존재"
"Exerted Attack Damage","전력 공격 피해"
"Force Multiplier","전력 배가"
"Herald Buff Effect","전령 버프 효과"
"Reservation Efficiency of Heralds","전령의 점유 효율"
"Annihilation","전멸"
"Expertise","전문 지식"
"Expert Sabotage","전문가 방해 행위"
"Warrior Training","전사 훈련"
"Path of the Warrior","전사의 길"
"Way of the Warrior","전사의 길"
"Heart of the Warrior","전사의 심장"
"Warrior's Blood","전사의 피"
"Bane of Legends","전설의 파멸"
"Battlefield Dominator","전장의 지배자"
"War Bringer","전쟁 인도자"
"Tukohama, War's Herald","전쟁의 전령, 투코하마"
"Holistic Health","전체적인 건강"
"Martial Momentum","전투 기세"
"Battle-Hardened","전투 단련"
"Combat Rhythm","전투 리듬"
"Battle Rouse","전투 분발"
"Fuel the Fight","전투 장려"
"Combat Stamina","전투 지구력"
"Arcing Shot","전호 사격"
"Arcing Blows","전호의 일격"
"Insulated","절연"
"Peak Vigour","절정의 활기"
"Occupying Force","점령군"
"Reservation Mastery","점유 숙련"
"Reservation Efficiency","점유 효율"
"Faster Ignite","점화 가속"
"Ignite Avoidance","점화 긴급회피"
"Ignite Resistance","점화 저항"
"Chance to Ignite","점화 확률"
"Ignite Chance","점화 확률"
"Ignite Chance and Duration","점화 확률 및 지속 시간"
"Chance to Ignite, Freeze and Shock","점화, 동결, 감전 확률"
"Dynamo","정력가"
"Precision","정밀함"
"Conqueror","정복자"
"Essence Sap","정수 진액"
"Essence Rush","정수의 습격"
"Mind Drinker","정신 흡수자"
"Righteous Decree","정의로운 법령"
"Righteous Providence","정의로운 섭리"
"Righteous Army","정의의 군대"
"Static Blows","정전기 타격"
"Cleansed Thoughts","정화된 사고"
"Accuracy","정확도"
"Accuracy and Attack Speed","정확도 및 공격 속도"
"Accuracy and Attack Damage","정확도 및 공격 피해"
"Accuracy and Elemental Resistances","정확도 및 원소 저항"
"Accuracy and Critical Strike Chance","정확도 및 치명타 확률"
"Accuracy Mastery","정확도 숙련"
"Precise Technique","정확한 기술"
"Precise Retaliation","정확한 보복"
"True Strike","정확한 일격"
"Victim Maker","제물 제조기"
"Disciples","제자들"
"Coordination","조율"
"Sanctity","존엄성"
"Sovereignty","주권"
"Spell Block","주문 막기"
"Spell Block and Elemental Resistances","주문 막기 및 원소 저항"
"Shield Spell Block","주문 방패 막기"
"Shield Spell Block and Elemental Resistances with a Shield","주문 방패 막기 및 방패의 원소 저항"
"Spell Suppression","주문 억제"
"Spell Suppression and Life Flask Recovery","주문 억제 및 생명력 플라스크 회복"
"Spell Suppression and Energy Shield Recharge Rate","주문 억제 및 에너지 보호막 재충전 속도"
"Spell Suppression Mastery","주문 억제 숙련"
"Spell Critical Strike Multiplier","주문 치명타 피해"
"Spell Critical Strike Chance","주문 치명타 확률"
"Spell Damage","주문 피해"
"Spell Damage and Intelligence","주문 피해 및 지능"
"Spell Damage and Mana","주문 피해와 마나"
"Spell Area of Effect and Damage","주문 효과 범위 및 피해"
"Spellbreaker","주문분쇄자"
"Chance to Poison with Spells","주문의 중독 확률"
"Shamanistic Fury","주술사의 광분"
"Shaman's Dominion","주술사의 지배"
"Infused","주입"
"Infused Flesh","주입된 육체"
"Wish for Death","죽음 갈망"
"Life from Death","죽음에서 피어난 삶"
"Hinekora, Death's Fury","죽음의 광분, 히네코라"
"Death Attunement","죽음의 조율"
"Marked for Death","죽음의 징표"
"Overprepared","준비 과다"
"Readiness","준비 태세"
"Inexorable","준엄"
"Poison Avoidance","중독 긴급회피"
"Poison Mastery","독 숙련"
"Poison Damage and Cast Speed","중독 피해 및 시전 속도"
"Poison Damage and Chance","중독 피해 및 확률"
"Poison Damage Multiplier","중독 피해 배율"
"Poison Chance","중독 확률"
"Poison Chance and Duration","중독 확률 및 지속시간"
"Poison Chance and Damage","중독 확률 및 피해"
"Weight Advantage","중량의 우위"
"Medium Jewel Socket","중형 주얼 슬롯"
"Swift Venoms","즉발성 맹독"
"Improvisor","즉흥 연주자"
"Distilled Perfection","증류 완벽"
"Amplify","증폭"
"Stamina","지구력"
"Intelligence","지능"
"Dire Torment","지독한 고통"
"Resourcefulness","지략"
"Mine Mastery","지뢰 숙련"
"Mine Duration","지뢰 지속시간"
"Mine Critical Strike Multiplier","지뢰 치명타 배율"
"Mine Critical Strike Chance","지뢰 치명타 확률"
"Mine Critical Strike Chance and Multiplier","지뢰 치명타 확률 및 배율"
"Mine Throwing Speed","지뢰 투척 속도"
"Mine Detonation Speed","지뢰 폭파 속도"
"Mine Damage","지뢰 피해"
"Mine Damage and Reservation Efficiency","지뢰 피해 및 점유 효율"
"Mine Area of Effect","지뢰 효과 범위"
"Assert Dominance","지배력 행사"
"Reigning Veteran","지배적인 역전 용사"
"Cold Damage Over Time Multiplier","지속 냉기 피해 배율"
"Physical Damage Over Time Multiplier","지속 물리 피해 배율"
"Chaos Damage Over Time Multiplier","지속 카오스 피해 배율"
"Damage Over Time","지속 피해"
"Damage Over Time Multiplier and Life Regeneration","지속 피해 배율 및 생명력 재생"
"Damage Over Time Mastery","지속 피해 숙련"
"Enduring Ward","지속되는 수호"
"Persistence","지속성"
"Enduring Focus","지속적인 초점"
"Enduring Composure","지속적인 평정"
"Expendability","지출 가능성"
"Staff Block","지팡이 막기"
"Staff Mastery","지팡이 숙련"
"Staff Elemental Damage and Penetration","지팡이 원소 피해 및 관통"
"Staff Accuracy","지팡이 정확도"
"Staff Spell Damage","지팡이 주문 피해"
"Staff Spell Damage and Block","지팡이 주문 피해 및 막기"
"Staff Spell Damage and Spell Block","지팡이 주문 피해 및 주문 막기"
"Staff Critical Strike Chance","지팡이 치명타 확률"
"Staff Critical Strike Chance and Multiplier","지팡이 치명타 확률 및 피해"
"Staff Damage and Stun Duration","지팡이 피해 및 기절 지속시간"
"Staff Damage and Block","지팡이 피해 및 막기"
"Staff Damage and Armour","지팡이 피해 및 방어도"
"Staff Area of Effect","지팡이 효과 범위"
"Master of Command","지휘의 달인"
"Intuition","직관"
"Openness","진솔함"
"Crimson Dance","진홍색 춤"
"Disease Vector","질병 벡터"
"Mob Mentality","집단 사고"
"Relentless","집요"
"Focal Point","집중점"
"Mark Mastery","징표 숙련"
"Damage against Marked Enemy","징표 찍힌 적에 대한 피해"
"Mark Effect","징표 효과"
"Critical Strike Chance against Marked Enemy","징표가 찍힌 적에 대한 치명타 확률"
"Marked Enemy Reduced Accuracy","징표가 찍힌 적의 정확도 감소"
"Deep Chill","짙은 오한"
"Cleaving","쪼개기"
"Rend","찢다"
"Chilling Presence","차가운 존재"
"Frigid Wake","차디찬 각성"
"Replenishing Presence","차오르는 존재감"
"Radiant Faith","찬란한 믿음"
"Radiant Crusade","찬란한 성전"
"Savour the Moment","찰나의 음미"
"Headsman","참수자"
"Augury of Penitence","참회의 조짐"
"Disemboweling","창자 뽑기"
"Champion","챔피온"
"Life on Kill and Recoup","처치 시 생명력 및 회생"
"Charge on Kill","처치 시 충전"
"Spinecruncher","척추 접기"
"Cloth and Chain","천과 사슬"
"Heart of Thunder","천둥의 심장"
"Ethereal Feast","천상의 연회"
"Genius","천재"
"Ironwood","철목"
"Iron Reflexes","철의 반사신경"
"Heart of Iron","철의 심장"
"Careful Conservationist","철저한 보호론자"
"Mace Mastery","철퇴 숙련"
"Mace Elemental Damage and Accuracy","철퇴 원소 피해 및 정확도"
"Mace Critical Strike Multiplier","철퇴 치명타 피해 배율"
"Mace Critical Strike Chance","철퇴 치명타 확률"
"Mace Critical Strike Chance and Multiplier","철퇴 치명타 확률 및 피해"
"Mace Damage","철퇴 피해"
"Mace Damage and Attack Speed","철퇴 피해 및 공격 속도"
"Mace Damage and Stun Duration","철퇴 피해 및 기절 지속시간"
"Mace Damage and Reduced Enemy Stun Threshold","철퇴 피해 및 적의 기절 한계치 감소"
"Mace Damage and Critical Strike Chance","철퇴 피해 및 치명타 확률"
"Mace Damage and Area of Effect","철퇴 피해 및 효과 범위"
"Hired Killer","청부살인자"
"Physique","체격"
"Constitution","체질"
"Supercharge","초과 충전"
"Unnatural Strength","초자연적인 힘"
"Hibernator","최대 절전호"
"Chance for Extra Fork Projectile","추가 갈래 투사체 확률"
"Avatar of the Chase","추적의 화신"
"Blessed","축성"
"Haemorrhage","출혈"
"Faster Bleeding","출혈 가속"
"Bleed Avoidance","출혈 긴급회피"
"Bleeding Mastery","출혈 숙련"
"Bleed Damage and Chance","출혈 피해 및 확률"
"Bleed Damage Multiplier","출혈 피해 배율"
"Bleed Chance","출혈 확률"
"Arrow Dancing","춤추는 화살"
"Impact","충격"
"Galvanic Hammer","충격의 망치"
"Brand Loyalty","충성의 방향"
"Charge Mastery","충전 숙련"
"Broadside","측면 공격"
"Hit and Run","치고 빠지기"
"Lethality","치명상"
"Fatal Blade","치명적인 검"
"Deadly Draw","치명적인 당기기"
"Fatal Toxins","치명적인 독소"
"Critical Ailment Damage Over Time Multiplier","치명적인 상태 이상의 지속 피해 배율"
"Deadly Inclinations","치명적인 의지"
"Deadly Infusion","치명적인 주입"
"Critical Mastery","치명타 숙련"
"Critical Strike Multiplier","치명타 피해"
"Critical Strike Chance","치명타 확률"
"Critical Strike Chance, Power Charge Duration","치명타 확률, 권능 충전 지속시간"
"Critical Strike Chance, Elusive Effect","치명타 확률, 도피 효과"
"Critical Strike Chance, Damage Over Time","치명타 확률, 지속 피해"
"Critical Strike Chance and Multiplier","치명타 확률과 피해"
"Crackling Speed","치직대는 속도"
"Chieftain","치프틴"
"Chaos Inoculation","카오스 면역"
"Chaos Mastery","카오스 숙련"
"Chaos Resistance","카오스 저항"
"Chaos Damage","카오스 피해"
"Chaos Damage and Withered Expiry Rate","카오스 피해 및 위축 만료 속도"
"Blade Barrier","칼날 방어막"
"Master of Blades","칼날의 대가"
"Will of Blades","칼날의 의지"
"Cult-Leader","컬트 리더"
"Claw Attack Speed","클로 공격 속도"
"Claw Attack Speed and Poison Chance","클로 공격 속도 및 중독 확률"
"Claw Ailment Damage and Poison Duration","클로 상태 이상 피해 및 중독 지속시간"
"Claw Ailment Damage and Poison Chance","클로 상태 이상 피해 및 중독 확률"
"Claw Mastery","클로 숙련"
"Claw Critical Strike Multiplier","클로 치명타 피해 배율"
"Claw Critical Strike Chance","클로 치명타 확률"
"Claw Critical Strike Chance and Accuracy","클로 치명타 확률 및 정확도"
"Claw Critical Strike Chance and Multiplier","클로 치명타 확률 및 피해"
"Claw Damage","클로 피해"
"Claw Damage and Attack Speed","클로 피해 및 공격 속도"
"Strike Leader","타격대장"
"Pure Guile","타고난 교활함"
"Natural Authority","타고난 권위"
"Born to Fight","타고난 싸움꾼"
"Pure Aptitude","타고난 재능"
"Pure Might","타고난 힘"
"Corruption","타락"
"Uncompromising","타협 불가"
"Inspired Oppression","탁월한 억압"
"Ballistics","탄도학"
"Escape Artist","탈출의 명수"
"Seeker Runes","탐색자의 룬"
"Liege of the Primordial","태고의 군주"
"Primordial Bond","태고의 유대"
"Ramako, Sun's Light","태양의 빛, 라마코"
"Tempt the Storm","태풍 유혹"
"Storm Drinker","태풍 흡수자"
"Storm Weaver","태풍술사"
"Stormrider","태풍의 기수"
"Storm's Hand","태풍의 손"
"TEMPLAR","템플러"
"Templar Ascendancy","템플러 전직"
"Path of the Templar","템플러의 길"
"Totem Attack and Placement Speed","토템 공격 및 설치 속도"
"Totem Attack and Cast Speed","토템 공격 및 시전 속도"
"Totem Life and Physical Damage Reduction","토템 생명력 및 물리 피해 감소"
"Totem Life and Placement Speed","토템 생명력 및 배치 속도"
"Totem Life and Elemental Resistances","토템 생명력 및 원소 저항"
"Totem Placement Speed and Duration","토템 설치 속도 및 지속시간"
"Totem Mastery","토템 숙련"
"Totem Critical Strike Multiplier","토템 치명타 피해 배율"
"Totem Critical Strike Chance","토템 치명타 확률"
"Totem Critical Strike Chance and Multiplier","토템 치명타 확률 및 배율"
"Totem Damage and Attack Speed","토템 피해 및 공격 속도"
"Totem Damage and Placement Speed","토템 피해 및 설치 속도"
"Totemic Zeal","토템의 열의"
"Leadership","통솔력"
"Insightfulness","통찰력"
"Master of the Arena","투기장 숙련"
"Arena Challenger","투기장의 도전자"
"Projectile Attack Critical Strike Chance","투사체 공격 치명타 확률"
"Projectile Attack Critical Strike Chance and Multiplier","투사체 공격 치명타 확률 및 배율"
"Projectile Mastery","투사체 숙련"
"Projectile Damage","투사체 피해"
"Projectile Damage and Attack Speed","투사체 피해 및 공격 속도"
"Projectile Damage and Dexterity","투사체 피해 및 민첩"
"Projectile Damage and Speed","투사체 피해 및 속도"
"Projectile Damage, Attack Speed","투사체 피해, 공격 속도"
"Projectile Damage, Mirage Archer Duration","투사체 피해, 신기루 궁수 지속시간"
