"Doryani (Corrupted Soul)","도리아니(타락한영혼)"
"{0} increased Cast Speed during Flask effect","플라스크 효과를 받는 동안 시전 속도 {0} 증가"
"{0} to Lightning Resistance","번개 저항 {0}"
"{0}% Chance to Block Attack Damage during Flask effect","플라스크 효과를 받는 동안 공격 피해 막기 확률 {0}%"
"{0}% Chance to Block Spell Damage during Flask effect","플라스크 효과를 받는 동안 주문 피해 막기 확률 {0}%"
"{0}% additional Elemental Resistances during Flask effect","플라스크 효과를 받는 동안 추가 원소 저항 {0}%"
"{0}% chance to Dodge Spell Hits","{0}%의 확률로 주문 완벽회피"
"{0}% increased Armour during Flask effect","플라스크 효과를 받는 동안 방어도 {0}% 증가"
"{0}% increased Cast Speed during Flask effect","플라스크 효과를 받는 동안 시전 속도 {0}% 증가"
"{0}% increased Evasion Rating per {1} Intelligence / Dexterity provides no inherent bonus to Evasion Rating","지능 {1}당 회피 {0}% 증가 / 민첩이 회피에 직접적인 보너스를 주지 않음"
"{0}% increased Maximum Energy Shield if both Equipped Rings have Evasion Modifiers / {1}% increased Energy Shield Recharge Rate if Equipped Amulet has an Evasion Modifier","장착한 반지 양쪽에 회피 속성이 부여된 경우 에너지 보호막 최대치 {0}% 증가 / 장착한 목걸이에 회피 속성이 부여된 경우 에너지 보호막 재충전 속도 {1}% 증가"
"{0}% of Chaos Damage Leeched as Life during Flask effect","플라스크 효과를 받는 카오스 피해의 {0}%를 생명력으로 흡수"
"{0}% of Damage taken gained as Life over {1} seconds when Hit","피격 시 받은 피해의 {0}%를 {1}초 동안 생명력으로 획득"

"Elemental Ailments inflicted by Supported Skills spread to other enemies within {0} metre","보조 대상 스킬로 유발된 원소 상태 이상이 {0}미터 내의 다른 적에게 확산"
"Elemental Ailments inflicted by Supported Skills spread to other enemies within {0} metres","보조 대상 스킬로 유발된 원소 상태 이상이 {0}미터 내의 다른 적에게 확산"
"Buff grants {0} to Armour per {1} Power, up to a maximum of {2}","버프 시 위세 {1}당 방어도 {0}, 최대 {2}"
"Buff grants {0} metres to Melee Strike Range per {1} Power, up to a maximum of {2}","버프 시 위세 {1}당 근접 타격 범위 {0}미터, 최대 {2}미터"
"Projectiles from Supported Skills have {0} metres maximum range","보조 대상 스킬의 투사체의 최대 범위 {0}미터"
"{0} metres to Radius per {1} Rage","격노 {1}당 반경 {0}미터"
"This Spell deals {0} to {1}, plus {2} of your maximum Life, as base Fire Damage","이 주문이 {0}~{1}의 피해와 최대 생명력의 {2}%를 기본 화염 피해로 줌"
"{0} metres to Beam Width Per Intensity","격렬함 하나당 광선 폭 {0}미터"
"Gain 1 Stage every 0.2 seconds while an Enemy is Nearby","주변에 적이 있는 동안 0.2초마다 1단계 획득"
"Mines get {0}% more Detonation Speed for each prior Mine in Detonation Sequence","연쇄 폭발 시 먼저 폭발한 지뢰 1개당 폭파 속도 {0}% 증폭"
"{0} metres to Explosion Radius per Explosive Arrow on Target, up to a maximum of {1} metres","대상을 명중한 폭발 화살 하나당 폭발 반경 {0}미터, 최대 {1}미터"
"Projectiles gain radius as they travel farther, up to a maximum of {0} metres to radius","투사체 이동 거리가 증가할수록 폭발 반경 획득, 최대 {0}미터"
"{0} metres to radius per Stage","단계 하나당 반경 {0}미터"
"Frozen Sweep","얼어붙은 휩쓸기"
"You cannot use this Skill yourself, your Statues will use this Skill for you","당신은 이 스킬을 직접 사용할 수 없지만.  석상이 당신을 위해 이 스킬을 사용"
"Field gains {0} metres to radius per {1}% Shock Effect on Enemy when created","장이 생성될 때 적에게 유발된 감전 효과 {1}%당 장의 반경 {0}미터"
"{0} metres to radius per stage, up to a maximum of {1} metres","단계 하나당 반경 {0}미터, 최대 {1}미터"
"{0} metres to Explosion radius per Energy","에너지 하나당 폭발 반경 {0}미터"
"Up to {0} metres to Energy spread radius, scaled by distance from Brand","에너지 확산 반경 최대 {0}미터, 낙인과의 거리에 따라 변경"
"Ragestorm has {0} metres to radius per {1} Rage sacrificed","소모한 격노 {1}당 격노 폭풍 반경 {0}미터"
"Buff grants Added Attack Damage equal to {0}% of the Damage of your Main","버프 시 위세 5당 주 무기 피해의 {0}%와 동일한"
"Hand Weapon per 5 Power, up to a maximum of 20%","추가 공격 피해 부여, 최대 20% 부여"
"{0} metres to radius of Consecrated Ground","신성화 지대 반경 {0}미터"
"Wave gains {0} metres to radius with each Area in the Sequence","순차적인 범위 1개당 파도 반경 {0}미터"
"Base Circle Radius is 1 metre","기본 원 반경 1미터"
"{0} metres to Circle Radius per Stage","단계 하나당 원 반경 {0}미터"
"Channelling stops when Total Circle Radius reaches 9 metres","총 원 반경이 9미터가 되면 집중 유지 정지"
"Supported Skills have {0} metres to Melee Strike Range","보조 대상 스킬의 근접 타격 범위 {0}미터"
"Base radius is {0} metre","기본 반경 {0}미터"
"Minions created by Supported Skills gain Wakened Fury and Adrenaline for {0}% of their Duration, up to a maximum of {1} seconds","보조 대상 스킬로 생성된 소환수가 자신의 지속시간의 {0}%, 최대 {1}초 동안 깨어난 광분 및 아드레날린 획득"
"Supported Spells gain a Seal every {0} seconds, to a maximum of {1} Seals","보조 대상 주문이 {0}초마다 최대 봉인 {1}개 획득"
"Hexes from Supported Skills Transfer to all Enemies within {0} metres when Hexed Enemy dies","사술에 걸린 적 사망 시 보조 대상 스킬로 건 사술이 {0}미터 내의 모든 적에게 전이"
"Minions from Supported Skills have {0} metres to Radius of their Burning Effect","보조 대상 스킬로 소환된 소환수의 화상 효과 범위 {0}미터"
"Mines from Supported Skills can't be Detonated while within {0} metres of you","보조 대상 스킬로 투척한 지뢰가 플레이어의 {0}미터 이내에 있는 동안 폭발 불가"
"Energy Blades have minimum Lightning Damage equal to {0}% of Energy Shield, plus {1}","에너지 칼날의 최소 번개 피해가 에너지 보호막의 {0}%+{1}"
"Energy Blades have maximum Lightning Damage equal to {0}% of Energy Shield, plus {1}","에너지 칼날의 최대 번개 피해가 에너지 보호막의 {0}%+{1}"

"Energy Blade Damage","에너지 칼날 피해"
"Energy Blade Max Lightning","에너지 칼날의 최대 번개 피해"
"Energy Blade Min Lightning","에너지 칼날의 최소 번개 피해"

"Condition: Using Two Handed Weapon","조건: 양손 무기 사용"
"x {0} (instance duration)","^7x {0} ^8(흡수 지속시간)"

