原文(有{0}),翻譯
"{0} reduced Melee Physical Damage against Ignited Enemies","對點燃敵人的近戰物理傷害減少 {0}"
"{0} reduced Melee Physical Damage per {1} Strength while Fortified","護體時，每 {1} 點力量可使近戰物理傷害減少 {0}"
"{0} reduced Melee Physical Damage while holding a Shield","持盾牌時近戰物理傷害減少 {0}"
"{0} reduced Melee Physical Damage while you have Fortify","獲得護體時，近戰物理傷害減少 {0}"
"{0} reduced Melee Physical Damage with Unarmed Attacks","空手時近戰物理傷害減少 {0}"
"{0} reduced Melee Splash Area of Effect","【近戰傷害擴散】的效果區域縮小 {0}"
"{0} reduced Mine Arming Speed","地雷冷卻速度減少 {0}"
"{0} reduced Mine Damage","地雷傷害減少 {0}"
"{0} reduced Mine Detonation Area of Effect","地雷引爆範圍縮小 {0}"
"{0} reduced Mine Duration","地雷持續時間縮短 {0}"
"{0} reduced Mine duration","地雷持續時間縮短 {0}"
"{0} reduced Mine Throwing Speed","地雷投擲速度減少 {0}"
"{0} reduced Mine Throwing Speed per Frenzy Charge","每個狂怒球使地雷投擲速度減少 {0}"
"{0} reduced Minion Accuracy Rating","召喚生物命中值減少 {0}"
"{0} reduced Minion Attack and Cast Speed per {1} Devotion","每 {1} 點奉獻使召喚生物攻擊和施放速度減少 {0}"
"{0} reduced Minion Attack and Cast Speed per Skeleton you own","你每控制一個骷髏，召喚生物攻擊和施放速度便減少 {0}"
"{0} reduced Minion Attack Speed","召喚生物攻擊速度減少 {0}"
"{0} reduced Minion Attack Speed per {1} Dexterity","每 {1} 點敏捷可使召喚生物的攻擊速度減少 {0}"
"{0} reduced Minion Cast Speed","召喚生物施放速度減少 {0}"
"{0} reduced Minion Damage per Raised Spectre","每擁有一個幽魂，召喚生物傷害減少 {0}"
"{0} reduced Minion Duration","召喚生物持續時間縮短 {0}"
"{0} reduced Minion Duration per Raised Zombie","每控制 1 個殭屍復甦，召喚生物持續時間縮短 {0}"
"{0} reduced Minion Movement Speed","召喚生物移動速度減少 {0}"
"{0} reduced Minion Movement Speed per {1} Dexterity","每 {1} 點敏捷可使召喚生物的移動速度減少 {0}"
"{0} reduced Mirage Archer Duration","幻影弓手持續時間縮短 {0}"
"{0} reduced Molten Shell Buff Effect","【熔岩護盾】增益效果減少 {0}"
"{0} reduced Molten Shell Damage","【熔岩護盾】的傷害減少 {0}"
"{0} reduced Molten Strike Area of Effect","【熔岩之擊】範圍縮小 {0}"
"{0} reduced Molten Strike Damage","【熔岩之擊】的傷害減少 {0}"
"{0} reduced Monster Movement Speed","怪物移動速度減少 {0}"
"{0} reduced Monster Responsiveness","怪物速度減少 {0}"
"{0} reduced Movement Skill Mana Cost","位移技能消耗的魔力少 {0}"
"{0} reduced Movement Speed","移動速度減少 {0}"
"{0} reduced Movement Speed during any Flask Effect","藥劑持續期間，移動速度減少 {0}"
"{0} reduced Movement Speed for each time you've Blocked in the past {1} seconds","過去 {1} 秒內格擋的每個攻擊可使你的移動速度減少 {0}"
"{0} reduced Movement Speed for you and nearby Allies","你和週圍友軍的移動速度減少 {0}"
"{0} reduced Movement Speed if Corrupted","若腐化，則移動速度減少 {0}"
"{0} reduced Movement Speed if you have Pierced Recently","若你近期內造成過穿刺，則移動速度減少 {0}"
"{0} reduced Movement Speed if you have used a Vaal Skill Recently","若你近期內使用過瓦爾技能，則移動速度減少 {0}"
"{0} reduced Movement Speed if you haven't been Hit Recently","若你近期內沒有被擊中，則移動速度減少 {0}"
"{0} reduced Movement Speed if you haven't taken Damage Recently","若你近期內沒受到傷害，則移動速度減少 {0}"
"{0} reduced Movement Speed if you've Cast Dash recently","若你近期施放過衝刺，則移動速度減慢 {0}"
"{0} reduced Movement Speed if you've dealt a Critical Strike Recently","若你近期內造成暴擊，則移動速度減慢 {0}"
"{0} reduced Movement Speed if you've Hit an Enemy Recently","若你近期內擊中敵人，則移動速度減少 {0}"
"{0} reduced Movement Speed if you've Hit with your Off Hand Weapon Recently","若你近期內用副手武器擊中，則移動速度減慢 {0}"
"{0} reduced Movement Speed if you've Killed Recently","若你近期內有擊敗敵人，則移動速度減少 {0}"
"{0} reduced Movement Speed if you've thrown a Trap or Mine Recently","若你近期內投擲過陷阱或地雷，則移動速度減少 {0}"
"{0} reduced Movement Speed per {1} Dexterity on Allocated Passives in Radius","範圍內每配置 {1} 點敏捷，移動速度減少 {0}"
"{0} reduced Movement Speed per {1} Dexterity on Unallocated Passives in Radius","範圍內每有 {1} 點未配置的敏捷，則移動速度減慢 {0}"
"{0} reduced Movement Speed per Chest opened Recently","近期內每開啟 1 個箱子，移動速度減少 {0}"
"{0} reduced Movement Speed per Endurance Charge","每個耐力球可使移動速度減少 {0}"
"{0} reduced Movement Speed per Nearby Enemy","週圍每有 1 個敵人，敵人的移動速度便減少 {0}"
"{0} reduced Movement Speed per Power Charge","每個暴擊球可使移動速度減少 {0}"
"{0} reduced Movement Speed per Summoned Totem","每個召喚的圖騰使移動速度減少 {0}"
"{0} reduced Movement Speed when on Full Life","滿血時移動速度減少 {0}"
"{0} reduced Movement Speed when on Low Life","低血時移動速度減少 {0}"
"{0} reduced Movement Speed while affected by Grace",受到【優雅】影響時，移動速度減少{0}
"{0} reduced Movement Speed while at maximum Power Charges","暴擊球抵達上限時，移動速度減少 {0}"
"{0} reduced Movement Speed while Bleeding","流血時移動速度減少 {0}"
"{0} reduced Movement Speed while Chilled","冰緩時，移動速度減慢 {0}"
"{0} reduced Movement Speed while Cursed","被詛咒時的移動速度減少 {0}"
"{0} reduced Movement Speed while holding a Shield","持盾牌時，移動速度減慢 {0}"
"{0} reduced Movement Speed while Ignited","被點燃時移動速度減少 {0}"
"{0} reduced Movement Speed while on Burning Ground","在燃燒地面上時，移動速度減少 {0}"
"{0} reduced Movement speed while on Burning, Chilled or Shocked ground","在燃燒，冰緩，感電地面上時，移動速度減少 {0}"
"{0} reduced Movement Speed while on Full Energy Shield","能量護盾全滿時，移動速度減少 {0}"
"{0} reduced Movement Speed while Phasing","【迷蹤】狀態時移動速度減少 {0}"
"{0} reduced Movement Speed while Poisoned","中毒時，移動速度減慢 {0}"
"{0} reduced Movement Speed while Shocked","感電時移動速度減少 {0}"
"{0} reduced Movement Speed while under no Flask Effects","沒有藥劑效果時，移動速度減慢 {0}"
"{0} reduced Movement Speed while you have Cat's Stealth","你獲得【貓之隱匿】時移動速度減少 {0}"
"{0} reduced Movement Speed while you have Energy Shield","擁有能量護盾時移動速度減少 {0}"
"{0} reduced Movement Speed while you have Fortify","護體狀態下移動速度減少 {0}"
"{0} reduced Movement Speed while you have Infusion","【灌注】效果下，移動速度減慢 {0}"
"{0} reduced non-Minion Damage","非召喚生物的傷害減少 {0}"
"{0} reduced Off Hand Attack Speed while wielding two different Weapon Types","雙持兩種不同類型的武器時，副手攻擊速度減慢 {0}"
"{0} reduced Onslaught duration","猛攻持續時間縮短 {0}"
"{0} reduced Onslaught Effect","【猛攻】效果減少 {0}"
"{0} reduced Orb Movement Speed","法珠移動速度減慢 {0}"
"{0} reduced Orb of Storms Area of Effect","【風暴漩渦】範圍縮小 {0}"
"{0} reduced Orb of Storms Critical Strike Chance","【風暴漩渦】暴擊率減少 {0}"
"{0} reduced Orb of Storms Damage","【風暴漩渦】的傷害減少 {0}"
"{0} reduced Overpowered Effect","逼迫效果減少 {0}"
"{0} reduced Phase Run Duration","【暗影迷蹤】持續時間減少 {0}"
"{0} reduced Physical Attack Damage while Dual Wielding","雙持武器時，物理攻擊傷害減少 {0}"
"{0} reduced Physical Attack Damage while holding a Shield","持盾牌時攻擊造成的物理傷害減少 {0}"
"{0} reduced Physical Damage","物理傷害減少 {0}"
"{0} reduced Physical Damage against Poisoned Enemies","對中毒敵人的物理總傷害減少 {0}"
"{0} reduced Physical Damage for each time you've Blocked in the past {1} seconds","過去 {1} 秒內格擋的每個攻擊可使你的物理傷害減少 {0}"
"{0} reduced Physical Damage if you've Blocked Damage from a Unique Enemy in the past {1} seconds","過去 {1} 秒內你若成功格擋傳奇怪物，則物理傷害減少 {0}"
"{0} reduced Physical Damage over Time","物理持續傷害效果減少 {0}"
"{0} reduced Physical Damage over Time Damage taken while moving","移動時受到的物理持續傷害減少 {0}"
"{0} reduced Physical Damage Over Time per {1} Dexterity","每 {1} 點敏捷可使持續物理傷害減少 {0}"
"{0} reduced Physical Damage per {1} Rage","每 {1} 點怒火使物理傷害減少 {0}"
"{0} reduced Physical Damage per Endurance Charge","每個耐力球可使物理傷害減少 {0}"
"{0} reduced Physical Damage per Frenzy Charge","每個狂怒球可使物理傷害減少 {0}"
"{0} reduced Physical Damage taken","受到的物理傷害減少 {0}"
"{0} reduced Physical Damage taken over time","承受的持續物理傷害效果減少 {0}"
"{0} reduced Physical Damage taken while at maximum Endurance Charges","耐力球達到上限時，受到的物理傷害減少 {0}"
"{0} reduced Physical Damage taken while Frozen","冰凍時受到的物理傷害減少 {0}"
"{0} reduced Physical Damage taken while moving","移動時受到的物理傷害減少 {0}"
"{0} reduced Physical Damage while affected by Herald of Purity","受到【純淨之捷】影響時，物理傷害減少 {0}"
"{0} reduced Physical Damage while Leeching Life","生命偷取時物理傷害減少 {0}"
"{0} reduced Physical Damage while you have Resolute Technique","獲得堅毅之心時物理傷害減少 {0}"
"{0} reduced Physical Damage while you have Unholy Might","獲得不潔之力時物理傷害減少 {0}"
"{0} reduced Physical Damage with Attack Skills","攻擊技能物理傷害減少 {0}"
"{0} reduced Physical Damage with Axes","斧類攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Axes or Swords","斧類或劍類的物理傷害減少 {0}"
"{0} reduced Physical Damage with Bows","弓類攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Claws","爪類攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Daggers","匕首攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Hits and Ailments against Ignited Enemies","對點燃敵人的擊中物理傷害和異常狀態傷害減少 {0}"
"{0} reduced Physical Damage with Maces or Sceptres","鎚類或短杖的物理傷害減少 {0}"
"{0} reduced Physical Damage with One Handed Melee Weapons","近戰單手武器攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Ranged Weapons","遠程武器攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Spell Skills","法術技能的物理傷害減少 {0}"
"{0} reduced Physical Damage with Staves","長杖攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Swords","劍類攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Two Handed Melee Weapons","雙手近戰武器攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Wands","法杖攻擊的物理傷害減少 {0}"
"{0} reduced Physical Damage with Weapons","武器物理傷害減少 {0}"
"{0} reduced Physical Weapon Damage per {1} Strength","每 {1} 點力量會使武器物理傷害減少 {0}"
"{0} reduced Poacher's Mark Curse Effect","【盜獵者印記】的詛咒效果減少 {0}"
"{0} reduced Poacher's Mark Duration","【盜獵者印記】持續時間縮短 {0}"
"{0} reduced Poison Duration","中毒持續時間縮短 {0}"
"{0} reduced Poison Duration for each Poison you have inflicted Recently","近期你每造成一層中毒效果，中毒持續時間便縮短 {0}"
"{0} reduced Poison Duration if you have at least {1} Intelligence","若你有至少 {1} 點智慧，則中毒持續時間縮短 {0}"
"{0} reduced Poison Duration per Power Charge","每個暴擊球可使中毒持續時間縮短 {0}"
"{0} reduced Power Charge Duration","暴擊球的持續時間縮短 {0}"
"{0} reduced Power Siphon Attack Speed","【力量抽取】攻擊速度減少 {0}"
"{0} reduced Power Siphon Damage","【力量抽取】的傷害減少 {0}"
"{0} reduced Projectile Attack Damage","投射物的攻擊傷害減少 {0}"
"{0} reduced Projectile Attack Damage during any Flask Effect","藥劑持續期間，投射物攻擊傷害減少 {0}"
"{0} reduced Projectile Attack Damage per {1} Accuracy Rating","每 {1} 命中值可使攻擊造成的投射物傷害減少 {0}"
"{0} reduced Projectile Attack Damage while in Blood Stance","血姿態下，投射物攻擊傷害減少 {0}"
"{0} reduced Projectile Attack Damage while you have at least {1} Dexterity","至少有 {1} 點敏捷時，投射物攻擊傷害減少 {0}"
"{0} reduced Projectile Attack Damage with Claws or Daggers","爪類或匕首的投射物攻擊傷害減少 {0}"
"{0} reduced Projectile Damage","投射物傷害減少 {0}"
"{0} reduced Projectile Damage to nearby Enemies","對週圍敵人的投射物傷害減少 {0}"
"{0} reduced Projectile Damage while in Blood Stance","血姿態下，投射物傷害減少 {0}"
"{0} reduced Projectile Damage with Hits against Nearby Enemies","投射物擊中週圍敵人時，傷害減少 {0}"
"{0} reduced Projectile Damage with Hits against nearby Enemies","對週圍敵人的投射物擊中傷害減少 {0}"
"{0} reduced Projectile Fork angle","投射物分裂角度縮小 {0}"
"{0} reduced Projectile Speed","投射物速度減少 {0}"
"{0} reduced Projectile Speed per Frenzy Charge if used by a Mine","被地雷使用時，每個狂怒球都使投射物速度減慢 {0}"
"{0} reduced Projectile Speed while in Sand Stance","沙姿態下，投射物速度減慢 {0}"
"{0} reduced Projectile spread","投射物擴散範圍縮小 {0}"
"{0} reduced Pulse Frequency","脈衝頻率減少 {0}"
"{0} reduced Puncture Damage","【放血】的傷害減少 {0}"
"{0} reduced Puncture Duration","【放血】持續時間縮短 {0}"
"{0} reduced Punishment Curse Effect","【懲戒】的詛咒效果減少 {0}"
"{0} reduced Punishment Duration","【懲戒】持續時間縮短 {0}"
"{0} reduced Quality of Items Found","物品掉落品質減少 {0}"
"{0} reduced Quantity of Fish Caught","釣魚數量減少 {0}"
"{0} reduced Quantity of Items contained in Vaal Vessel","瓦爾容器裡的物品數量減少 {0}"
"{0} reduced Quantity of Items Dropped by enemies Slain by Minions","被此召喚生物擊敗的怪物減少 {0} 物品掉落數量"
"{0} reduced Quantity of Items Dropped by enemies Slain by Minions or This Attack","此攻擊與召喚生物會使物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Dropped by Enemies Slain from Supported Skills","被輔助技能擊敗敵人時物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Dropped by Slain Enemies","擊敗敵人後物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Dropped by Slain enemies","擊敗敵人後物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Dropped by Slain Frozen Enemies","擊敗冰凍敵人後物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Dropped by Slain Maimed Enemies","擊敗癱瘓的敵人時物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Dropped by Slain Normal Enemies","擊敗普通怪物的物品數量減少 {0}"
"{0} reduced Quantity of Items dropped by Unique Boss","傳奇首領的物品掉落數量減少 {0}"
"{0} reduced Quantity of Items dropped in Heists","劫盜同盟中掉落的物品數量減少 {0}"
"{0} reduced Quantity of Items found","物品掉落數量減少 {0}"
"{0} reduced Quantity of Items Found from Chests","箱子掉落物品數量減少 {0}"
"{0} reduced Quantity of Items found per Chest opened Recently","近期內每開啟 1 個箱子，則物品掉落數量減少 {0}"
"{0} reduced Quantity of Items found when on Low Life","低血時物品掉落數量減少 {0}"
"{0} reduced Quantity of Items found with a Magic Item Equipped","裝備 1 件魔法物品時，物品掉落數量減少 {0}"
"{0} reduced Quantity of Sockets","插槽數量減少 {0}"
"{0} reduced Rain of Arrows Area of Effect","【箭雨】範圍縮小 {0}"
"{0} reduced Rain of Arrows Attack Speed","【箭雨】攻擊速度減少 {0}"
"{0} reduced Rain of Arrows Damage","【箭雨】的傷害減少 {0}"
"{0} reduced Raised Zombie Size","殭屍復甦體型縮小 {0}"
"{0} reduced raising of Alert Level","警報等級提升的速度減慢 {0}"
"{0} reduced raising of Alert Level from Killing Monsters","擊敗怪物警報等級提升的速度減慢 {0}"
"{0} reduced raising of Alert Level from opening Chests","開箱導致警報等級提升的速度減慢 {0}"
"{0} reduced Rallying Cry Buff Effect","【激勵戰吼】的增益效果減少 {0}"
"{0} reduced Rallying Cry Duration","【激勵戰吼】持續時間縮短 {0}"
"{0} reduced Rampage Streak Duration","暴走持續時間縮短 {0}"
"{0} reduced Range","射程減少 {0}"
"{0} reduced Rarity of Fish Caught","釣魚稀有度減少 {0}"
"{0} reduced Rarity of Items contained in Vaal Vessel","瓦爾容器裡的物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Enemies killed with a Critical Strike","暴擊擊敗敵人時物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by enemies Slain by Minions","被此召喚生物擊敗的怪物，其物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by enemies Slain by Minions or This Attack","此攻擊與召喚生物會使物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Enemies Slain from Supported Skills","被輔助技能擊敗敵人時物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Shattered Enemies","被擊碎的敵人的物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain Enemies","擊敗敵人後掉落物品的稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain enemies","擊敗敵人後掉落物品的稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain Frozen or Shocked Enemies","擊敗冰凍或感電敵人後物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain Magic Enemies","擊敗魔法怪物後的物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain Maimed Enemies","擊敗癱瘓的敵人時物品稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain Rare or Unique Enemies","擊敗稀有或傳奇敵人後掉落物品的稀有度減少 {0}"
"{0} reduced Rarity of Items Dropped by Slain Shocked Enemies","擊敗感電敵人後物品稀有度減少 {0}"
"{0} reduced Rarity of Items dropped by Unique Boss","傳奇首領掉落的物品稀有度減少 {0}"
"{0} reduced Rarity of Items dropped in Heists","劫盜同盟中掉落的物品稀有度減少 {0}"
"{0} reduced Rarity of Items found","物品稀有度減少 {0}"
"{0} reduced Rarity of Items found during any Flask Effect","藥劑持續期間，物品掉落稀有度減少 {0}"
"{0} reduced Rarity of Items found during Flask Effect","藥劑持續期間，物品掉落稀有度減少 {0}"
"{0} reduced Rarity of Items Found from Chests","箱子掉落物品稀有度減少 {0}"
"{0} reduced Rarity of Items found from Slain Unique Enemies","擊敗傳奇敵人的掉落物品稀有度減少 {0}"
"{0} reduced Rarity of Items found when on Low Life","低血時物品稀有度減少 {0}"
"{0} reduced Rarity of Items found with a Normal Item Equipped","裝備 1 件普通物品時，物品稀有度減少 {0}"
"{0} reduced Reave Damage","【衝擊波】的傷害減少 {0}"
"{0} reduced Reave Radius","【衝擊波】的範圍縮小 {0}"
"{0} reduced Reckoning Damage","【清算】的傷害減少 {0}"
"{0} reduced Recovery rate","回復速度減少 {0}"
"{0} reduced Recovery rate of Life and Energy Shield","生命和能量護盾回復率減少 {0}"
"{0} reduced Recovery rate of Life and Energy Shield if you've stopped taking Damage Over Time Recently","近期內若你停止受到持續傷害，則生命和能量護盾回復速度減少 {0}"
"{0} reduced Recovery Rate of Life and Energy Shield per Minion","每有一個召喚生物都使生命和能量護盾回復速度減慢 {0}"
"{0} reduced Recovery rate of Life and Energy Shield per Power Charge","每有 1 個暴擊球，生命和能量護盾回復率減少 {0}"
"{0} reduced Recovery rate of Life and Energy Shield while affected by Malevolence","受到【怨毒光環】影響時，生命和能量護盾回復率減少 {0}"
"{0} reduced Reflected Cold Damage taken while affected by Purity of Ice","受到【冰霜淨化】影響時，承受的反射冰冷傷害減少 {0}"
"{0} reduced Reflected Damage taken","受到的反射傷害減少 {0}"
"{0} reduced Reflected Elemental Damage taken","反射的元素傷害減少 {0}"
"{0} reduced Reflected Elemental Damage taken while affected by Purity of Elements","受到【元素淨化】影響時，承受的反射元素傷害減低 {0}"
"{0} reduced Reflected Fire Damage taken while affected by Purity of Fire","受到【火焰淨化】影響時，承受的反射火焰傷害減少 {0}"
"{0} reduced Reflected Lightning Damage taken while affected by Purity of Lightning","受到【閃電淨化】影響時，承受的反射火焰傷害減少 {0}"
"{0} reduced Reflected Physical Damage taken","反射的物理傷害減少 {0}"
"{0} reduced Reflected Physical Damage taken while affected by Determination","受到【堅定】影響時，承受的反射物理傷害減少 {0}"
"{0} reduced Rejuvenation Totem Aura Effect","回春圖騰的光環效果減少 {0}"
"{0} reduced Relevancy of Items Found","物品掉落的關聯性減少 {0}"
"{0} reduced Righteous Fire Area of Effect","【正義之火】範圍縮小 {0}"
"{0} reduced Righteous Fire Damage","【正義之火】的傷害減少 {0}"
"{0} reduced Riposte Damage","【擊刃】的傷害減少 {0}"
"{0} reduced Rogue's Markers dropped by monsters","怪物掉落賞金獵人印記的機率減少 {0}"
"{0} reduced Rolling Magma Area of Effect","熔岩翻騰效果區域減少 {0}"
"{0} reduced Rolling Magma Damage","熔岩翻騰傷害減少 {0}"
"{0} reduced Scorching Ray beam length","【灼熱光線】的光束長度縮短 {0}"
"{0} reduced Scorching Ray Cast Speed","【灼熱光線】的施放速度減少 {0}"
"{0} reduced Scorching Ray Damage","【灼熱光線】的傷害減少 {0}"
"{0} reduced Seal gain frequency while you are Channelling","你在吟導時，封印獲取頻率減少 {0}"
"{0} reduced Seal gain frequency while you are not Channelling","你沒有吟導時，封印獲取頻率減少 {0}"
"{0} reduced Searing Bond Damage","【灼熱連接】的傷害減少 {0}"
"{0} reduced Searing Bond Totem Elemental Resistances","【灼熱連接】的元素抗性減少 {0}"
"{0} reduced Searing Bond Totem Placement Speed","【灼熱連接】放置速度減少 {0}"
"{0} reduced Secondary Duration","次要持續時間縮短 {0}"
"{0} reduced Sentinel of Dominance Duration","【統禦哨兵】持續時間縮短 {0}"
"{0} reduced Shield Charge Attack Speed","【重盾衝鋒】攻擊速度減少 {0}"
"{0} reduced Shield Charge Damage","【重盾衝鋒】的傷害減少 {0}"
"{0} reduced Shield Charge Damage per Enemy Hit","每擊中 1 個敵人，【重盾衝鋒】的傷害減少 {0}"
"{0} reduced Shock Duration on Enemies",敵人的感電持續時間縮短{0}
"{0} reduced Shock Duration on enemies","對敵人的感電效果持續時間縮短 {0}"
"{0} reduced Shock Duration on you","你被感電的持續時間縮短 {0}"
"{0} reduced Shock Nova Area of Effect","【閃電新星】範圍縮小 {0}"
"{0} reduced Shock Nova Damage","【閃電新星】的傷害減少 {0}"
"{0} reduced Shockwave Totem Area of Effect","【震波圖騰】範圍縮小 {0}"
"{0} reduced Shockwave Totem Cast Speed","【震波圖騰】的施放速度減少 {0}"
"{0} reduced Shockwave Totem Damage","【震波圖騰】的傷害減少 {0}"
"{0} reduced Skeleton Attack Speed","骷髏的攻擊速度減少 {0}"
"{0} reduced Skeleton Cast Speed","骷髏的施放速度減少 {0}"
"{0} reduced Skeleton Duration","骷髏的持續時間縮短 {0}"
"{0} reduced Skeleton Movement Speed","骷髏的移動速度減少 {0}"
"{0} reduced Skill Cooldown","技能冷卻時間縮短 {0}"
"{0} reduced Skill Effect Duration","技能效果持續時間縮短 {0}"
"{0} reduced Skill Effect Duration if you've Killed a Maimed Enemy Recently","若你近期內有擊敗癱瘓的敵人，則技能效果持續時間縮短 {0}"
"{0} reduced Skill Effect Duration while affected by Malevolence","受到【怨毒光環】影響時，技能持續時間減少 {0}"
"{0} reduced Skill Range","效果區域縮小 {0}"
"{0} reduced Smoke Mine Duration","【煙霧地雷】持續時間縮短 {0}"
"{0} reduced Socket Connectivity","插槽的連線減少 {0}"
"{0} reduced Soul Cost of Vaal Skills","瓦爾技能靈魂消耗量減少 {0}"
"{0} reduced Spark Damage","【電球】的傷害減少 {0}"
"{0} reduced Spark Duration","【電球】的持續時間縮短 {0}"
"{0} reduced Spark Projectile Speed","【電球】投射物速度減少 {0}"
"{0} reduced Spectral Shield Throw Damage","【靈盾投擲】的投擲傷害減少 {0}"
"{0} reduced Spectral Shield Throw Projectile Speed","【靈盾投擲】的投擲物速度減少 {0}"
"{0} reduced Spectral Throw Damage","【靈體投擲】的傷害減少 {0}"
"{0} reduced Spectral Throw Projectile Deceleration","【靈體投擲】投射物的懸停時間延長 {0}"
"{0} reduced Spectral Throw Projectile Speed","【靈體投擲】投射物速度減少 {0}"
"{0} reduced Spell Cold Damage","法術造成的冰冷傷害減少 {0}"
"{0} reduced Spell Damage","法術傷害減少 {0}"
"{0} reduced Spell Damage during any Flask Effect","藥劑持續期間，法術傷害減少 {0}"
"{0} reduced Spell Damage for each {1} total Mana you have Spent Recently","近期你每消耗 {1} 魔力，法術傷害便減少 {0}"
"{0} reduced Spell Damage if Corrupted","若腐化，則法術傷害減少 {0}"
"{0} reduced Spell Damage if you've Blocked Recently","若你近期內有格擋法術，則法術傷害減少 {0}"
"{0} reduced Spell Damage if you've Cast a Spell Recently","若你近期內有施放法術，則法術傷害減少 {0}"
"{0} reduced Spell Damage if you've dealt a Critical Strike in the past {1} seconds","若過去 {1} 秒內你打出過暴擊，則法術傷害減少 {0}"
"{0} reduced Spell Damage if you've dealt a Critical Strike Recently","近期若打出過暴擊，則法術傷害減少 {0}"
"{0} reduced Spell Damage if your other Ring is an Elder Item","若你的其它戒指中有【裂界之器】，則法術傷害減少 {0}"
"{0} reduced Spell Damage per {1} Dexterity","每 {1} 點敏捷可使法術傷害減少 {0}"
"{0} reduced Spell Damage per {1} Intelligence","每 {1} 點智慧會使法術傷害減少 {0}"
"{0} reduced Spell Damage per {1} Maximum Mana","每 {1} 點最大魔力會使法術傷害減少 {0}"
"{0} reduced Spell Damage per {1} Player Maximum Life","每 {1} 點玩家最大生命使法術傷害減少 {0}"
"{0} reduced Spell Damage per {1} Strength","每 {1} 點力量會使法術傷害減少 {0}"
"{0} reduced Spell Damage per Level","每級的法術傷害減少 {0}"
"{0} reduced Spell Damage taken from Blinded Enemies","承受來自致盲敵人的法術傷害減少 {0}"
"{0} reduced Spell Damage taken when on Low Mana","低魔時受到的法術傷害減少 {0}"
"{0} reduced Spell Damage while Dual Wielding","雙持時法術傷害減少 {0}"
"{0} reduced Spell Damage while holding a Shield","持盾牌時法術傷害減少 {0}"
"{0} reduced Spell Damage while no Mana is Reserved","無魔力保留時，法術傷害減少 {0}"
"{0} reduced Spell Damage while not on Low Mana","非低魔時，法術傷害減少 {0}"
"{0} reduced Spell Damage while on Full Energy Shield","能量護盾全滿時，法術傷害減少 {0}"
"{0} reduced Spell Damage while Shocked","處於感電狀態時，法術傷害減少 {0}"
"{0} reduced Spell Damage while wielding a Bow","持弓時法術傷害減少 {0}"
"{0} reduced Spell Damage while wielding a Staff","持長杖時法術傷害減少 {0}"
"{0} reduced Spell Damage while you have Arcane Surge","擁有【秘術增強】時法術傷害減少 {0}"
"{0} reduced Spell Fire Damage","法術造成的火焰傷害減少 {0}"
"{0} reduced Spirit Offering Duration","【靈魂奉獻】持續時間縮短 {0}"
"{0} reduced Split Arrow Critical Strike Chance","【分裂箭矢】暴擊率減少 {0}"
"{0} reduced Split Arrow Damage","【分裂箭矢】的傷害減少 {0}"
"{0} reduced Static Strike Area of Effect","【充能打擊】範圍縮小 {0}"
"{0} reduced Static Strike Damage","【充能打擊】的傷害減少 {0}"
"{0} reduced Static Strike Duration","【充能打擊】持續時間縮短 {0}"
"{0} reduced Stealth","潛行減少 {0}"
"{0} reduced Storm Burst Area of Effect","【裂風雷球】的範圍縮小 {0}"
"{0} reduced Storm Burst Damage","【裂風雷球】的傷害減少 {0}"
"{0} reduced Storm Call Area of Effect","【風暴呼喚】範圍縮小 {0}"
"{0} reduced Storm Call Damage","【風暴呼喚】的傷害減少 {0}"
"{0} reduced Storm Call Duration","【風暴呼喚】持續時間縮短 {0}"
"{0} reduced Strength","力量減少 {0}"
"{0} reduced Strength Requirement","力量需求減少 {0}"
"{0} reduced Stun and Block Recovery","暈眩回復和格擋回復減少 {0}"
"{0} reduced Stun and Block Recovery per Frenzy Charge","每個狂怒球可使暈眩回復和格擋回復減少 {0}"
