"Abberath's Fury",艾貝拉斯之怒
"Earthshatter of Fragility",碎地重擊．易碎
"Earthshatter of Prominence",碎地重擊．卓越
"Void Sphere of Rending",虛無玉．分裂
"Crackling Lance of Branching",碎雷電閃．分支
"Crackling Lance of Disintegration",碎雷電閃．毀滅
"Splitting Steel of Ammunition",鋼之裂化．彈藥
"Lancing Steel of Spraying",鋼之突刺．噴射
"Glacial Cascade of the Fissure",冰川之刺．裂隙
"Hexblast of Contradiction",咒術枯萎．矛盾
"Hexblast of Havoc",咒術枯萎．浩劫
"Exsanguinate of Transmission",抽血．傳染
"Rage Vortex of Berserking",盛怒漩渦．狂暴
"Absolution of Inspiring",赦免．啟發
"Blade Trap of Greatswords",刀鋒陷阱．巨劍
"Blade Trap of Laceration",刀鋒陷阱．撕裂
"Forbidden Rite of Soul Sacrifice",禁忌儀式．靈魂獻祭
"Storm Rain of the Conduit",暴風雷雨．導管
"Storm Rain of the Fence",暴風雷雨．籬笆
"Shield Crush of the Chieftain",重盾粉碎．酋長
"Summon Reaper of Revenants",召喚奪魂鐮．亡靈
"Summon Reaper of Eviscerating",召喚奪魂鐮．剜剖
"Boneshatter of Complex Trauma",碎骨．創傷
"Boneshatter of Carnage",碎骨．屠殺
"Explosive Concoction of Destruction",爆裂物．破壞
"Eye of Winter of Finality",凜冬之眼．終結
"Eye of Winter of Transience",凜冬之眼．轉瞬
"Lightning Conduit of the Heavens",導雷．天堂
"Galvanic Field of Intensity",電光領域．強度
"Frozen Legion of Rallying",戰亂．凍結．號召
"Volcanic Fissure of Snaking",炎火脈動．蜿蜒
"Summon Dark Effigy",召喚黑暗雕像
Barkskin,木質外膚
"Penance Mark",苦行印記
Affliction,禁咒
Pacify,平靜
Ravenous,貪婪
"Elemental Hit of the Spectrum",元素打擊．光譜
"Ice Shot of Penetration",穿透之冰霜射擊
"Incinerate of Expanse",燒毀．蔓延
"Incinerate of Venting",燒毀．通風
"Kinetic Blast of Clustering",聚集之力量爆破
"Summon Holy Relic of Conviction",信念之召喚聖物
"Artillery Ballista of Cross Strafe",交叉掃射之火砲砲塔
"Artillery Ballista of Focus Fire",集火之火砲砲塔
"Poisonous Concoction of Bouncing",彈炸之毒藥
"Tornado of Elemental Turbulence",元素湍流之龍捲風
"Transform into Mimic",變形成寶箱
Automation,自動化
"Call to Arms",武裝召喚
"Summon Sacred Wisps",召喚聖潔妖精
"Assume Disguise",採取偽裝
Autoexertion,自動竭盡
"Crushing Fist",粉碎之拳
"Divine Retribution",神聖制裁
Eviscerate,剔骨
"Fury of the Awakener",喚醒者之怒
"Glacial Shield Swipe",冰川盾擊
"Jet of Flame",烈焰噴射
"Puncture of Shanking",腿脛放血
"Summon an image of Beidat, Archangel of Death",召喚死亡天使．貝達特的形象
"Summon an image of K'tash, the Hate Shepherd",召喚仇恨牧人．克塔什的形象
"Summon Demon Beast",召喚惡魔野獸
"Summon Demon Harpy",召喚惡魔鷹身
"Summon Demon Imp",召喚惡魔小鬼
"Summon Pale Angel",召喚蒼白天使
"Summon Pale Cherubim",召喚蒼白小天使
"Summon Pale Servitor",召喚蒼白僕從
"Summon Skeletons of Archers",召喚骷髏．箭術
"Summon Skeletons of Mages",召喚骷髏．巫術
Swordstorm,劍刃風暴
"Unbound Avatar",無縛化身
"Vengeful Cry",復仇之嚎
