"Lava Lash",熔岩之力
"Armour and Energy Shield, Block Chance",護甲和能量護盾、格擋率
"Time of Need",緊急時刻
"Radiant Faith",信念之輝
"Bastion of Hope",希望壁壘
"Armour and Energy Shield, Life Regeneration",護甲和能量護盾、生命回復
"Armour and Energy Shield, Aura Effect",護甲和能量護盾、光環效果
"Armour and Energy Shield, Charge Duration",護甲和能量護盾、充能球持續時間
"Harmony of Purpose",和諧之源
"Unwavering Faith",不動信念
"Armour and Energy Shield, Minion Damage",護甲和能量護盾、召喚物傷害
"Radiant Crusade",光輝遠征
"Unwavering Crusade",堅定聖戰
"Critical Strike Chance, Power Charge Duration",暴擊率、暴擊球持續時間
"Unstable Infusion",不穩定化身
"Deadly Infusion",致命專注
"Critical Strike Chance and Multiplier",暴擊率和加成
"Ambush and Assassinate",伏擊與刺殺
Opportunistic,投機
"Critical Strike Chance, Damage Over Time",暴擊率、持續傷害
"Toxic Delivery",毒物走私
"Noxious Strike",淬毒打擊
"Critical Strike Chance, Elusive Effect",暴擊率、靈巧效果
Mistwalker,霧行者
"Evasion and Energy Shield, Frenzy Charge Duration",閃避和能量護盾、狂怒球持續時間
"Swift Killer",敏捷殺手
Polymath,博學
"Evasion and Energy Shield, Movement Speed",閃避和能量護盾、移動速度
Heartstopper,心靈永止
"Escape Artist",逃脫大師
"Evasion and Energy Shield, Attack and Cast Speed",閃避和能量護盾、攻擊和施放速度
Spellbreaker,破法
"Evasion and Energy Shield, Energy Shield Leech",閃避和能量護盾、能量護盾偷取
"One Step Ahead",先行
"Evasion and Energy Shield, Damage",閃避和能量護盾、傷害
"Evasion and Energy Shield, Energy Shield Recharge",閃避和能量護盾、能量護盾充能
"Trap and Mine Damage, Movement Speed",陷阱和地雷傷害、移動速度
Pyromaniac,縱火狂
"Born in the Shadows",生在影中
"Trap and Mine Damage, Elemental Resistances",陷阱和地雷傷害、元素傷害和抗性
"Explosives Expert",爆破專家
"Trap and Mine Damage, Mine Throwing Speed",陷阱和地雷傷害、地雷投擲速度
"Bomb Specialist",炸彈專家
"Trap and Mine Damage, Trap Throwing Speed",陷阱和地雷傷害、陷阱投擲速度
"Perfect Crime",完美犯罪
"Demolitions Specialist",爆破天才
"Chain Reaction",連鎖反應
"Will of Blades",刀刃意志
"Path of the Ranger",遊俠之道
"Path of the Witch",女巫之道
"Path of the Marauder",野蠻人之道
"Path of the Duelist",決鬥者之道
"Path of the Shadow",暗影刺客之道
"Path of the Templar",聖騎士之道
"Passive Point",天賦點數
"Strength and Dexterity",力量和敏捷
"Strength and Intelligence",力量和智慧
"Dexterity and Intelligence",敏捷和智慧
"Marauder Ascendancy",野蠻人昇華職業
"Ranger Ascendancy",遊俠昇華職業
"Witch Ascendancy",女巫昇華職業
"Duelist Ascendancy",決鬥者昇華職業
"Templar Ascendancy",聖騎士昇華職業
"Shadow Ascendancy",暗影刺客昇華職業
Berserker,暴徒
Chieftain,酋長
Raider,俠客
Deadeye,銳眼
Pathfinder,追獵者
Occultist,秘術家
Elementalist,元素使
Necromancer,死靈師
Slayer,處刑者
Gladiator,衛士
Champion,冠軍
Inquisitor,判官
Hierophant,聖宗
Guardian,守護者
Assassin,刺客
Trickster,詐欺師
"Soul Drinker",飲魂者
"Damage Over Time Multiplier and Life Regeneration",持續傷害加成與生命回復
"Damage Over Time Multiplier",持續傷害加成
"Growth and Decay",成長與衰變
Atrophy,萎縮
"Physical Damage and Attack and Cast Speed",物理傷害和攻擊和施放速度
"Force Shaper",力量成形
"Aspect of the Lynx",山貓之靈
"Poison Chance",中毒機率
"Poison Damage Multiplier",中毒傷害加成
"Fatal Toxins",致命之毒
"Poison Chance and Duration",中毒機率和持續時間
"Elemental Focus",元素專注
Ascendant,昇華使徒
"Trap Trigger Area",陷阱觸發範圍
"Unstable Munitions",不穩定彈藥
"Trap Cooldown Recovery",陷阱冷卻時間恢復
Overprepared,過度準備
"Trap Throwing Speed and Trigger Area",陷阱拋射速度與觸發範圍
"Expeditious Munitions",快速彈藥
"Mine Duration",地雷持續時間
"Destructive Apparatus",毀滅裝置
"Elemental Overload",元素超載
Overcharged,超載
"Charge on Kill",擊殺時充能
"Physical Damage as Extra Cold Damage",物理傷害的額外冰冷傷害
"Winter Spirit",寒冬之靈
"Weapon Elemental Damage, Status Ailment Chance",武器元素傷害，異常狀態機率
"Weapon Elemental Damage and Ailment Effect",武器元素傷害和異常狀態效果
"Primeval Force",太古之力
Insightfulness,洞見觀瞻
Counterweight,平衡反擊
"Ailment Damage",異常狀態傷害
"Damaging Ailment Duration",傷害行異常狀態持續時間
"Dirty Techniques",三流手段
"Perfect Agony",絕對受難
"Toxic Strikes",毒化之擊
"Chain Distance",連鎖距離
"Crimson Dance",緋紅舞蹈
"Damage with Life Cost Skills and Reduced Life Cost",消耗生命的技能傷害和降低生命消耗
"Cannibalistic Rite",食人儀式
"Damage and Energy Shield",傷害和能量護盾
"Attack and Cast Speed",攻擊和施放速度
"Devastating Devices",破壞設置
"Minion Accuracy",召喚物命中
"Physical and Minion Damage",物理和召喚物傷害
"Minion Damage and Attack and Cast Speed",召喚物傷害和攻擊和施放速度
"Righteous Army",正義軍團
"Spiritual Command",精神號令
Redemption,救贖
"Spiritual Aid",精神救助
"Life Regeneration and Stun Threshold",生命回復和暈眩門檻
Admonisher,告誡者
"Natural Authority",自然權威
"Arcane Will",秘能意志
Runebinder,束縛印
"Brand Damage",烙印傷害
"Brand Damage and Duration",烙印傷害和持續時間
"Brand Range and Brand Recall Cooldown Recovery",烙印距離和烙印呼喚冷卻時間恢復
Runesmith,魔符匠
"Brand Critical Strike Chance",烙印暴擊率
"Explosive Runes",爆裂魔符
"Energy Shield Leech",能量護盾偷取
"Increased Energy Shield Leeched",增加能量護盾偷取
"Ethereal Feast",虛空盛宴
"Light Eater",嗜光者
Avoidance,避免
"Stun Avoidance",暈眩避免
"Bleed Avoidance",避免流血
"Poison Avoidance",避免中毒
"Taste for Blood",血味
Tolerance,寬容
"Physical and Lightning Damage",物理和閃電傷害
"Physical and Fire Damage",物理和火焰傷害
"Physical and Elemental Damage",物理和元素傷害
"Chance to Ignite, Freeze and Shock",點燃、冰凍和感電機率
"Ailment Effect",異常狀態效果
"Divine Judgement",聖之審判
"Divine Fury",聖之狂怒
"Divine Wrath",聖之雷霆
"Life and Energy Shield on Kill",擊殺時獲得生命和能量護盾
Resourcefulness,足智多謀
"Soul Thief",竊魂者
"Life and Mana on Hit",擊中時獲得生命和魔力
"Dual Wield Cast Speed",雙持施放速度
"Dual Wield Cast Speed and Movement Skill Cooldown Recovery",雙持施放速度和位移技能冷卻時間恢復
"Dual Wield Spell Damage and Movement Speed",雙持法術傷害和移動速度
Mysticism,玄幻之意
"Dual Wield Attack and Cast Speed and Block",雙持攻擊和施放速度和格擋
"Dual Wield Attack and Cast Speed",雙持攻擊和施放速度
"Dual Wield Spell Damage and Spell Block",雙持法術傷害和法術格擋
"Dark Arts",黯黑藝術
"Staff Spell Damage",長杖法術傷害
"Staff Area of Effect",長杖範圍效果
"Staff Spell Damage and Spell Block",長杖法術傷害和法術格擋
"Staff Spell Damage and Block",長杖法術傷害和格擋
"Enigmatic Defence",謎樣防禦
"Enigmatic Reach",謎樣之域
"Shield Spell Block",盾牌法術格擋
"Block Recovery and Energy Shield",格擋恢復和能量護盾
"Arcane Guarding",秘能守護
"Shield Spell Damage",盾牌法術傷害
"Shield Spell Damage and Spell Block",盾牌法術傷害和法術格擋
"Shield Cast Speed",盾牌施放速度
"Arcane Sanctuary",秘能聖所
"Spell Area of Effect and Damage",法術範圍效果和傷害
"Arcane Expanse",秘能擴張
"Wicked Ward",惡毒牢房
"Poison Damage and Chance",中毒傷害和機率
"Attack Speed and Poison Duration",攻擊速度和中毒持續時間
"Swift Venoms",迅速猛毒
"Attack Damage and Leech",攻擊傷害和偷取
"Attack Damage and Speed",攻擊傷害和速度
"Gladiator's Perseverance",衛士之毅
"Melee Area of Effect and Damage",近戰範圍效果和傷害
Brinkmanship,邊緣政策
"Evasion and Movement Speed",閃避和移動速度
"Evasion and Movement Skill Cooldown Recovery",閃避和位移技能冷卻時間恢復
Fleetfoot,飛毛腿
"Evasion and Blind Effect",閃避和致盲效果
"Blind Duration",致盲持續時間
"Silent Steps",悄無聲息
"Evasion and Phasing",閃避和迷蹤
"Freedom of Movement",解放行動
Inexorable,無可避免
"Armour and Guard Skill Cooldown Recovery",護甲和守護技能冷卻時間恢復
Adamant,堅定不移
Dismembering,肢解
"Maximum Fortification",最大護體
Steadfast,堅貞不渝
"Season of Ice",冰霜季節
"Spell Suppression",法術壓抑
Inveterate,根深蒂固
"Impale Effect",穿刺效果
"Impale Chance and Physical Attack Damage",穿刺機率和物理攻擊傷害
"Merciless Skewering",無情串燒
"Impale Chance",穿刺激率
"Forceful Skewering",強勢刺穿
"Physical Damage as Extra Fire Damage",物理傷害的額外火焰傷害
"Magmatic Strikes",岩漿之擊
"Blind Chance",致盲機率
"Critical Strikes against Blinded Enemies",對致盲敵人的暴擊
"Dazzling Strikes",閃耀之擊
"Movement Speed per Frenzy Charge",移動速度
"Attack Speed per Frenzy Charge",每顆狂怒球攻擊速度
"Disciple of the Slaughter",屠宰者之使徒
"Stun Duration per Endurance Charge",每顆耐力球暈眩持續時間
"Armour per Endurance Charge",每顆耐力球護甲
"Area of Effect per Endurance Charge",每顆耐力球範圍效果
"Disciple of the Unyielding",不屈之徒
"Projectile Damage and Speed",投射物和速度
Longshot,長射
"Utmost Swiftness",極度迅速
"Utmost Might",極度權勢
"Utmost Intellect",極度聰穎
"Maximum Cold Resistance",最大冰冷抗性
"Maximum Fire Resistance",最大火焰抗性
"Prismatic Skin",稜彩之膚
"Axe Damage and Accuracy",斧的傷害和命中
"Axe Damage and Critical Strike Chance",斧的傷害和暴擊率
"Feller of Foes",開墾之敵
"Pain Forger",偽痛
Courage,勇氣
"Mace Critical Strike Multiplier",錘的暴擊加成
"Mace Critical Strike Chance",錘的暴擊率
"Mace Damage and Critical Strike Chance",錘的傷害和暴擊率
"Blacksmith's Clout",鐵匠之擊
Spinecruncher,碎脊者
"Spell Suppression and Life Flask Recovery",法術壓抑和生命藥劑恢復
Entrench,壕溝戰
"Sword Damage and Melee Range",劍的傷害和近戰範圍
Bladedancer,舞劍者
"Bow Area of Effect",弓的範圍效果
Farsight,遠視
"Physical Bow Damage",物理弓傷害
"Claws of the Hawk",鷹爪功
"Claw Attack Speed and Poison Chance",爪的攻擊速度和中毒機率
"Claw Critical Strike Multiplier",爪的暴擊率加成
Backstabbing,背刺
"Dagger Ailment Damage",匕首的異常狀態傷害
"Dagger Critical Strike Multiplier and Poison Duration",匕首的暴擊加成和中毒持續時間
"Dagger Ailment Damage and Poison Chance",匕首的異常狀態傷害和中毒機率
"Dagger Critical Strike Chance",匕首的暴擊率
Wasting,浪費
Disintegration,異變
"Two Handed Melee Critical Strike Chance and Accuracy",雙手武器近戰暴擊率和命中
"Titanic Impacts",巨大影響
"Two Handed Melee Damage and Stun Duration",雙手武器近戰傷害和暈眩持續時間
"Two Handed Melee Damage and Reduced Enemy Stun Threshold",雙手武器近戰傷害和減低敵人暈眩門檻
"Kinetic Impacts",動能影響
"Dual Wield Critical Strike Chance",雙持武器暴擊率
"Shield Damage and Defences",盾牌傷害和防禦
"Shield Damage",盾牌傷害
"Aggressive Bastion",進擊的壁壘
"Spell Block",法術格擋
"Spell Block and Elemental Resistances",法術格擋和元素抗性
Safeguard,庇護
"Life on Hit",擊中獲得生命
"Life on Kill and Recoup",擊殺時護的生命和補償
"Warrior Training",戰士訓練
"Staff Damage and Block",長杖傷害和格擋
"Staff Damage and Armour",長杖傷害和護甲
"Steelwood Stance",鋼木之姿
"Staff Elemental Damage and Penetration",長杖元素傷害和穿透
"One with the River",河流之子
"Staff Accuracy",長杖命中
"Deadly Draw",致命箭矢
"Mana and Arcane Surge Effect",魔力和秘能波動效果
"Arcane Capacitor",秘能容器
"Life and Mana on Kill against Cursed Enemies",擊殺被詛咒的敵人獲得生命和魔力
"Life on Kill against Cursed Enemies",擊殺被詛咒的敵人獲得生命
"Last Rites",最後儀式
"Mana Regeneration per Power Charge",每顆暴擊球魔力回復
"Critical Strike Chance per Power Charge",每顆暴擊球暴擊率
"Critical Strike Multiplier per Power Charge",每顆暴擊球暴擊加成
"Disciple of the Forbidden",禁忌紀律
"Mana and Spell Damage",魔力和法術傷害
"Prodigal Perfection",完美浪子
"Mana and Spell Block",魔力和法術格擋
"Mystic Bulwark",神幻壁壘
"Mana Flasks",魔力藥劑
"Essence Extraction",萃取精華
"Ravenous Horde",貪婪之徒
"Minion Damage and Duration",召喚物傷害和持續時間
"Enduring Bond",持久合作
"Minion Critical Strike Chance",召喚物暴擊率
"Fearsome Force",恐怖之力
"Minion Life and Elemental Resistances",召喚物生命和元素抗性
"Minion Life and Physical Damage Reduction",召喚物生命和物理傷害減免
"Indomitable Army",頑固軍隊
"Link Mana Cost",連結魔力消耗
"Link Mana Cost and Cast Speed",連結魔力消耗和施放速度
"Inspiring Bond",啟發之絆
"Golem Life and Buff Effect",魔像生命和增益效果
"Golem Commander",魔像指揮官
"Life Flasks and Flask Duration",生命藥劑和藥劑持續時間
"Field Medicine",野戰醫學
"Mine Area of Effect",地雷範圍效果
"Blast Waves",爆炸浪潮
"Mine Throwing Speed",地雷投擲速度
"Mine Critical Strike Chance",地雷爆擊率
"Mine Critical Strike Multiplier",地雷爆擊加成
"Successive Detonations",連續爆破
"Mine Damage and Reservation Efficiency",地雷傷害和保留效用
"Efficient Explosives",高能炸彈
"Searing Heat",灼熱
"Faster Ignite",快速點燃
"Dire Torment",悲慘折磨
"Critical Ailment Damage Over Time Multiplier",暴擊異常狀態持續傷害加成
"Totem Attack and Placement Speed",圖騰攻擊和放置速度
"Totem Critical Strike Chance and Multiplier",圖騰暴擊率和加成
Watchtowers,看守塔
"Totem Damage and Attack Speed",圖騰傷害和攻擊速度
Surveillance,監視
Panopticon,圓牢
"Powerful Bond",強大之繫
"Link Duration and Cast Speed",連結持續時間和施放速度
"Link Duration",連結持續時間
"Burning Brutality",燃燒殘暴
"Attack Ignite Chance",攻擊點燃機率
"Burning Damage Multiplier with Attacks",攻擊燃燒傷害加成
"Call to Arms",武裝召喚
"Eternal Youth",青春永駐
"Glancing Blows",側身之擊
"Wind Dancer",風魔舞者
"The Agnostic",不可知論
"Supreme Ego",至高．自我
"Warcry Buff Effect",戰吼增益效果
"Warcry Speed and Duration",戰吼速度和持續時間
"Warcry Cooldown Recovery and Duration",戰吼冷卻時間恢復和持續時間
"Warcry Speed and Area of Effect",戰吼速度和範圍效果
"Warcry Cooldown Recovery and Area of Effect",戰吼冷卻時間恢復和範圍效果
"Warcry Speed",戰吼速度
"Warcry Speed and Cooldown Recovery",戰吼速度冷卻時間恢復
"Warcry Cooldown Recovery",戰吼冷卻時間恢復
"Warcry Area of Effect",戰吼範圍效果
"Deep Breaths",深呼吸
"Exerted Attack Damage",竭盡攻擊傷害
"Warcry Cooldown Recovery and Exerted Attack Damage",戰吼冷卻時間恢復和竭盡攻擊傷害
"Warcry Speed and Exerted Attack Damage",戰吼速度和竭盡攻擊傷害
"Measured Fury",縝密狂怒
Unfaltering,堅定不移
"Reservation Efficiency of Heralds",捷光環保留效用
"Herald Buff Effect",捷光環增益效果
"Discord Artisan",不諧匠師
"Melee Damage and Strike Range",近戰傷害和打擊範圍
"Adjacent Animosity",相鄰憎恨
"Reduced Skill Duration",減少技能持續時間
"Window of Opportunity",機會之窗
"Damage if Consumed a Corpse",若消耗屍體的傷害
"Corpse Life",屍體生命
Undertaker,送葬者
Bannerman,掌旗手
"Spell Suppression and Energy Shield Recharge Rate",法術壓抑和能量護盾充能率
Instinct,本能
"Assured Strike",珍重打擊
"Ignite Resistance",點燃抗性
"Chill and Freeze Resistance",冰緩和冰凍抗性
"Shock Resistance",感電抗性
"Anointed Flesh",聖油鮮肉
"Impale Effect with Two Handed Weapons",雙手武器穿刺效果
"Impale Chance with Two Handed Weapons",雙手武器穿刺機率
Harpooner,魚叉手
"Chance to Poison with Spells",法術中毒機率
"Poison Damage and Cast Speed",中毒傷害和施放速度
"Serpentine Spellslinger",毒蛇法術回音
"Mana Regeneration and Increased Mana Cost",魔力回復和增加魔力消耗
Forethought,前瞻性
"Infused Flesh",注入肉體
"Imbalanced Guard",不平衡守衛
"The Impaler",穿刺者
"Brand Duration",烙印持續時間
"Brand Recall Cooldown Recovery",烙印呼喚冷卻時間恢復
"Brand Equity",烙印正義
"Trick Shot",花式射擊
"Split Shot",分裂射擊
"Forking Angle",分裂角度
Deflection,偏斜
"Life Flask Charge Gain",生命藥劑獲得充能
"Mana Flask Charge Gain",魔力藥劑獲得充能
"Replenishing Remedies",補藥
Acrimony,尖酸刻薄
"Harvester of Foes",勁敵收割
"Hex Master",咒術大師
"Curse Mana Reservation Efficiency",詛咒魔力保留效用
"Malicious Intent",惡之意
"Mark Effect",印記效果
"Damage against Marked Enemy",對標記敵人的傷害
"Marked for Death",死亡印記
"Critical Strike Chance against Marked Enemy",對印記的敵人暴擊率
"Marked Enemy Reduced Accuracy",被印記的敵人減少命中
"Mark the Prey",標記獵物
Hearty,爽朗
"Physical Damage Over Time Multiplier",物理持續傷害加成
"Physical Damage and Overwhelm",物理傷害和鎮壓
Vanquisher,勝者
Relentless,狠勁
"Veteran Soldier",老兵
"Curse Effect on You and Chaos Resistance",你身上的詛咒和混沌抗性
Asylum,避難所
"Careful Conservationist",謹慎資源保護者
"Flask Effect Duration",藥劑效果持續時間
"Flask Charges Used",藥劑充能使用
"Natural Remedies",自然療法
Magebane,咒術災厄
"Iron Will",鋼鐵意志
Solipsism,唯我論
"Ghost Dance",鬼舞
"Divine Shield",聖盾
"Versatile Combatant",多重戰
"Lethe Shade",忘卻陰影
"Bastion Breaker",堡壘破壞者
"Precise Technique",精準科技
"Bow Attack Speed and Phasing",弓的攻擊速度和迷蹤
"Curse Mana Cost",詛咒魔力消耗
"Hex Area of Effect",咒術範圍效果
"Curse Duration",詛咒持續時間
"Mana on Kill against Cursed Enemies",擊殺被詛咒的敵人獲得魔力
"Steeped in the Profane",褻瀆之身
"Minion Critical Strike Multiplier",召喚物暴擊加成
"Accuracy Mastery",命中專精
"Armour Mastery",護甲專精
"Fortify Mastery",護體專精
"Armour and Energy Shield Mastery",護甲和能量護盾專精
"Attack Mastery",攻擊專精
"Spell Suppression Mastery",法術壓抑專精
"Impale Mastery",穿刺專精
"Blind Mastery",致盲專精
"Flask Mastery",藥劑專精
"Leech Mastery",偷取專精
"Axe Mastery",斧專精
"Bleeding Mastery",流血專精
"Bow Mastery",弓專精
"Projectile Mastery",投射物專精
"Brand Mastery",烙印專精
"Lightning Mastery",閃電專精
"Caster Mastery",法術專精
"Chaos Mastery",混沌專精
"Charge Mastery",充能專精
"Claw Mastery",爪專精
"Cold Mastery",冰冷專精
"Critical Mastery",暴擊專精
"Curse Mastery",詛咒專精
"Mark Mastery",印記專精
"Link Mastery",連結專精
"Dagger Mastery",匕首專精
"Life Mastery",生命專精
"Damage Over Time Mastery",持續傷害專精
"Dual Wielding Mastery",雙持專精
"Block Mastery",格擋專精
"Duration Mastery",持續時間專精
"Elemental Mastery",元素專精
"Energy Shield Mastery",能量護盾專精
"Evasion and Energy Shield Mastery",閃避和能量護盾專精
"Evasion Mastery",閃避專精
"Armour and Evasion Mastery",護甲和閃避專精
"Fire Mastery",火焰專精
"Mace Mastery",錘專精
"Mana Mastery",魔力專精
"Physical Mastery",物理專精
"Mine Mastery",地雷專精
"Minion Offence Mastery",召喚物侵略專精
"Minion Defence Mastery",召喚物防禦專精
"Poison Mastery",中毒專精
"Reservation Mastery",保留專精
"Shield Mastery",盾牌專精
"Staff Mastery",長杖專精
"Sword Mastery",劍專精
"Totem Mastery",圖騰專精
"Trap Mastery",陷阱專精
"Two Hand Mastery",雙手武器專精
"Wand Mastery",法杖專精
"Warcry Mastery",戰吼專精
"Attributes Mastery",能力專精
"Resistance and Ailment Protection Mastery",抗性和異常狀態保護專精
"Way of the Warrior",戰士之道
"Deadly Inclinations",致命愛好
"Mystic Talents",神幻天賦
"Heart of Darkness",黑暗之心
"Vengeant Cascade",復仇浪湧
"Tribal Fury",部落之怒
Tenacity,不屈不撓
Tranquility,寧靜
Crusader,十字軍
Persistence,堅持不懈
"Hardened Scars",硬疤
"Cleansed Thoughts",淨化思想
"Aspect of Stone",巨石祝福
"Prodigious Defence",出奇防禦
"Advance Guard",進階守衛
"Gladiatorial Combat",衛士戰鬥
"Strike Leader",罷工領袖
"Powerful Ward",強力守衛
"Enduring Ward",耐久守衛
"Gladiator's Fortitude",衛士的毅力
"Precise Retaliation",精確復仇
"Veteran Defender",防禦老手
"Iron Breaker",碎鐵者
"Deep Cuts",深度切割
"Master the Fundamentals",精通基礎
"Force Multiplier",原力加成
"Furious Assault",狂暴突襲
"Vicious Skewering",惡毒穿刺
"Grim Oath",殘酷誓言
Battle-Hardened,固守戰場
"Replenishing Presence",補充光環
"Master of Command",引導大師
"Spiteful Presence",惡意光環
"Purposeful Harbinger",果斷的神諭
"Destructive Aspect",破壞面
"Electric Presence",電力光環
"Volatile Presence",變動光環
"Righteous Path",正道
"Mortifying Aspect",屈辱面
"Frantic Aspect",瘋狂面
Introspection,自我反省
Skullbreaker,碎骨者
"Pressure Points",壓力點
"Overwhelming Malice",壓倒性的惡意
Magnifier,放大
"Savage Response",殘暴應對
"Eye of the Storm",風暴之眼
"Basics of Pain",苦痛之基
"Quick Getaway",迅速逃離
"Assert Dominance",維護地位
"Vast Power",投入力量
"Powerful Assault",猛烈襲擊
Intensity,劇烈
"Titanic Swings",泰坦揮擊
"Towering Threat",聳天威脅
"Ancestral Echo",先祖回響
"Ancestral Reach",先祖所向
"Ancestral Might",先祖之力
"Ancestral Preservation",先祖庇護
"Snaring Spirits",咆嘯靈魂
"Sleepless Sentries",無眠哨兵
"Ancestral Guidance",先祖指引
"Ancestral Inspiration",先祖啟發
"Vital Focus",活力專注
"Rapid Infusion",極速注入
"Unwavering Focus",堅定專注
"Enduring Focus",耐久專注
"Precise Focus",精確專注
"Stoic Focus",專注禁慾
"Hex Breaker",破魔者
"Arcane Adept",祕能專精
"Distilled Perfection",完美淬鍊
"Spiked Concoction",尖刺混物
Fasting,快速
"Mender's Wellspring",治癒湧泉
"Special Reserve",特別保留
"Numbing Elixir",無感不死藥
"Mob Mentality",暴民心理
"Cry Wolf",狼嚎
"Haunting Shout",鬼魅呼嘯
"Lead By Example",模範領導
Provocateur,挑唆者
"Warning Call",預警呼喚
"Rattling Bellow",慌亂吼叫
Bloodscent,血腥味
"Run Through",迅速略過
"Wound Aggravation",創傷加劇
Overlord,封建霸主
"Expansive Might",擴展之力
"Weight Advantage",優勢權重
Wind-up,風起
"Fan of Blades",刀鋒狂熱
"Disease Vector",病原體
"Arcing Shot",弧射
"Tempered Arrowheads",鍛煉的箭頭
Broadside,舷側砲
"Explosive Force",爆破力
"Opportunistic Fusilade",機會主義福斯雷
"Storm's Hand",風暴之手
"Battlefield Dominator",戰場統治者
"Martial Mastery",武術精通
"Surefooted Striker",踏實打手
"Graceful Execution",優雅處刑
"Brutal Infamy",殘暴惡名
"Fearsome Warrior",膽怯戰士
"Combat Rhythm",戰鬥韻律
"Hit and Run",打帶跑
"Insatiable Killer",貪得無厭的殺手
"Mage Bane",魔術災厄
"Martial Momentum",武術氣勢
"Deadly Repartee",致命才能
"Quick and Deadly",迅速與致命
"Smite the Weak",弱點打擊
"Heavy Hitter",沉重打手
"Martial Prowess",武術英勇
Calamitous,災難
Devastator,毀滅者
"Fuel the Fight",刺激戰鬥
"Drive the Destruction",破壞之意
"Feed the Fury",豢養狂怒
"Aggressive Defence",積極防禦
"Seal Mender",封口修補
"Conjured Wall",召喚之璧
"Arcane Heroism",祕能英雄
"Practiced Caster",見習術士
"Burden Projection",重擔投射
Thaumophage,噬菌體
"Essence Rush",精華湧現
"Sap Psyche",心靈乾枯
Sadist,施虐者
"Corrosive Elements",腐蝕元素
"Doryani's Lesson",多里亞尼的教程
"Disorienting Display",迷茫之列
"Prismatic Heart",多稜之心
"Widespread Destruction",毀滅擴散
"Master of Fire",火焰大師
"Smoking Remains",殘煙
Cremator,焚屍爐
Snowstorm,暴風雪
"Storm Drinker",風暴狂飲
Paralysis,麻痺
Supercharge,超負荷
"Blanketed Snow",拂雪
"Cold to the Core",冰心
"Cold-Blooded Killer",冷血殺手
"Touch of Cruelty",殘酷之觸
"Unwaveringly Evil",堅定邪靈
"Unspeakable Gifts",不可描述之贈
"Dark Ideation",黑暗觀念
"Unholy Grace",不潔優雅
"Wicked Pall",邪惡棺木
Renewal,換新
"Raze and Pillage",抹除和掠奪
"Rotten Claws",腐鏽之爪
"Call to the Slaughter",屠殺惡夢
"Skeletal Atrophy",骷髏萎縮
"Hulking Corpses",龐大屍堆
"Vicious Bite",惡毒之咬
"Primordial Bond",原始連繫
Blowback,後座力
"Fan the Flames",搧風點火
"Cooked Alive",現宰
"Burning Bright",燃燒閃耀
"Wrapped in Flame",火焰包覆
"Vivid Hues",生動色調
Rend,撕裂
"Disorienting Wounds",迷茫之殤
"Compound Injury",複合傷害
"Blood Artist",血腥藝術家
Phlebotomist,放血屍
"Septic Spells",腐爛法術
"Low Tolerance",低容忍
"Steady Torment",持續折磨
"Eternal Suffering",永恆磨難
"Eldritch Inspiration",怪異靈感
"Wasting Affliction",耗盡苦難
Haemorrhage,滲血
"Flow of Life",生機流動
"Exposure Therapy",曝曬療法
"Brush with Death",死神之拂
"Vile Reinvigoration",復興邪惡
"Circling Oblivion",閉鎖遺忘
"Brewed for Potency",釀造之力
"Astonishing Affliction",驚奇痛楚
"Cold Conduction",冷傳導
"Inspired Oppression",啟發壓迫
"Chilling Presence",冰緩光環
"Deep Chill",深層冰緩
Blast-Freeze,爆凍
Thunderstruck,雷擊
Stormrider,風暴馭者
Overshock,過度震驚
"Evil Eye",邪眼
"Forbidden Words",禁咒
"Doedre's Spite",德瑞的怨恨
"Victim Maker",加害人
"Master of Fear",恐懼大師
"Wish for Death",求死
"Lord of Drought",枯旱之君
"Blizzard Caller",暴雪舵手
"Tempt the Storm",誘惑風暴
"Misery Everlasting",永恆苦難
"Exploit Weakness",攻其之弱
"Hound's Mark",獵犬印記
"Doedre's Gluttony",德瑞的暴食
"Doedre's Apathy",德瑞的冷漠
"Master of the Maelstrom",混亂大師
Heraldry,符紋學
Endbringer,終焉使者
Cult-Leader,邪教教主
"Empowered Envoy",授權使徒
"Dark Messenger",黑暗信使
"Agent of Destruction",破壞特工
"Lasting Impression",持續印象
"Self-Fulfilling Prophecy",自我實現預言
"Invigorating Portents",振奮預兆
"Pure Agony",純粹苦痛
Disciples,紀律
"Dread March",驚懼遊行
"Blessed Rebirth",祝禱重生
"Life from Death",死而復生
"Feasting Fiends",宴請邪魔
Bodyguards,保鑣
Follow-Through,貫徹始終
Streamlined,流線型
"Shrieking Bolts",尖嘯音波
"Eye to Eye",對視
Repeater,背誦者
Aerodynamics,氣動學
"Chip Away",抹除
"Seeker Runes",符文探尋者
Remarkable,非凡
"Brand Loyalty",品牌忠誠
"Holy Conquest",神聖征服
"Grand Design",宏偉設計
"Set and Forget",設定和遺忘
"Expert Sabotage",破壞專精
"Guerilla Tactics",游擊戰術
Expendability,擴展性
"Arcane Pyrotechnics",祕能煙花
"Surprise Sabotage",驚喜破壞
"Careful Handling",細心掌控
"Peak Vigour",活力之巔
Fettle,修補
"Feast of Flesh",血肉盛宴
"Sublime Sensation",崇高之覺
"Surging Vitality",活力湧現
"Peace Amidst Chaos",混沌中的平靜
Adrenaline,腎上腺素
"Wall of Muscle",肉璧
Mindfulness,謹慎
"Liquid Inspiration",液態啟發
Openness,開放
