ㄎ,翻譯
Allocates Nature's Boon if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 自然的恩賜
Allocates Nature's Boon if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 自然的恩賜
(Ranger) Endless Munitions,(遊俠) 無限彈藥
Allocates Endless Munitions if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 無限彈藥
Allocates Endless Munitions if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 無限彈藥
(Ranger) Far Shot,(遊俠) 狙擊
Allocates Far Shot if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 狙擊
Allocates Far Shot if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 狙擊
(Ranger) Ricochet,(遊俠) 彈射
Allocates Ricochet if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 彈射
Allocates Ricochet if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 彈射
(Ranger) Focal Point,(遊俠) 焦點
Allocates Focal Point if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 焦點
Allocates Focal Point if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 焦點
(Ranger) Way of the Poacher,(遊俠) 盜獵者之途
Allocates Way of the Poacher if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 盜獵者之途
Allocates Way of the Poacher if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 盜獵者之途
(Ranger) Avatar of the Veil,(遊俠) 面紗女神
Allocates Avatar of the Veil if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 面紗女神
Allocates Avatar of the Veil if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 面紗女神
(Ranger) Quartz Infusion,(遊俠) 石英化身
Allocates Quartz Infusion if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 石英化身
Allocates Quartz Infusion if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 石英化身
(Ranger) Master Toxicist,(遊俠) 毒物大師
Allocates Master Toxicist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 毒物大師
Allocates Master Toxicist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 毒物大師
(Ranger) Nature's Reprisal,(遊俠) 大自然的報仇
Allocates Nature's Reprisal if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 大自然的報仇
Allocates Nature's Reprisal if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 大自然的報仇
(Ranger) Occupying Force,(遊俠) 侵佔部隊
Allocates Occupying Force if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 侵佔部隊
Allocates Occupying Force if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 侵佔部隊
(Ranger) Gathering Winds,(遊俠) 集風
Allocates Gathering Winds if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 集風
Allocates Gathering Winds if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 集風
(Ranger) Master Surgeon,(遊俠) 手術大師
Allocates Master Surgeon if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 手術大師
Allocates Master Surgeon if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 手術大師
(Marauder) Blitz,(野蠻人) 閃電戰
Allocates Blitz if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 閃電戰
Allocates Blitz if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 閃電戰
"(Marauder) Arohongui, Moon's Presence",(野蠻人) 月使．亞歐紅古
"Allocates Arohongui, Moon's Presence if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 月使．亞歐紅古
"Allocates Arohongui, Moon's Presence if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 月使．亞歐紅古
"(Marauder) Ramako, Sun's Light",(野蠻人) 烈陽之光．雷默科
"Allocates Ramako, Sun's Light if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 烈陽之光．雷默科
"Allocates Ramako, Sun's Light if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 烈陽之光．雷默科
"(Marauder) Tasalio, Cleansing Water",(野蠻人) 淨化之水．塔薩里奧
"Allocates Tasalio, Cleansing Water if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 淨化之水．塔薩里奧
"Allocates Tasalio, Cleansing Water if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 淨化之水．塔薩里奧
(Marauder) Unrelenting,(野蠻人) 殺無赦
Allocates Unrelenting if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 殺無赦
Allocates Unrelenting if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 殺無赦
"(Marauder) Tukohama, War's Herald",(野蠻人) 戰爭使者．圖克哈瑪
"Allocates Tukohama, War's Herald if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 戰爭使者．圖克哈瑪
"Allocates Tukohama, War's Herald if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 戰爭使者．圖克哈瑪
(Marauder) Unflinching,(野蠻人) 永不動搖
Allocates Unflinching if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 永不動搖
Allocates Unflinching if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 永不動搖
(Marauder) Unbreakable,(野蠻人) 堅不可破
Allocates Unbreakable if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 堅不可破
Allocates Unbreakable if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 堅不可破
(Marauder) War Bringer,(野蠻人) 戰爭使者
Allocates War Bringer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 戰爭使者
Allocates War Bringer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 戰爭使者
(Marauder) Undeniable,(野蠻人) 不可置疑
Allocates Undeniable if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不可置疑
Allocates Undeniable if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不可置疑
"(Marauder) Valako, Storm's Embrace",(野蠻人) 風暴之擁．瓦拉庫
"Allocates Valako, Storm's Embrace if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 風暴之擁．瓦拉庫
"Allocates Valako, Storm's Embrace if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 風暴之擁．瓦拉庫
(Marauder) Indomitable Resolve,(野蠻人) 不撓決心
Allocates Indomitable Resolve if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不撓決心
Allocates Indomitable Resolve if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不撓決心
"(Marauder) Ngamahu, Flame's Advance",(野蠻人) 火徒．拿瑪乎
"Allocates Ngamahu, Flame's Advance if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 火徒．拿瑪乎
"Allocates Ngamahu, Flame's Advance if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 火徒．拿瑪乎
(Marauder) Unstoppable,(野蠻人) 勢不可擋
Allocates Unstoppable if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 勢不可擋
Allocates Unstoppable if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 勢不可擋
(Marauder) Untiring,(野蠻人) 不懈
Allocates Untiring if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不懈
Allocates Untiring if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不懈
(Marauder) Flawless Savagery,(野蠻人) 純淨殘暴
Allocates Flawless Savagery if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 純淨殘暴
Allocates Flawless Savagery if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 純淨殘暴
(Marauder) Defy Pain,(野蠻人) 抵禦苦痛
Allocates Defy Pain if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 抵禦苦痛
Allocates Defy Pain if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 抵禦苦痛
(Marauder) Crave the Slaughter,(野蠻人) 屠戮之慾
Allocates Crave the Slaughter if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 屠戮之慾
Allocates Crave the Slaughter if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 屠戮之慾
(Marauder) Rite of Ruin,(野蠻人) 毀滅儀式
Allocates Rite of Ruin if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 毀滅儀式
Allocates Rite of Ruin if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 毀滅儀式
"(Marauder) Tawhoa, Forest's Strength",(野蠻人) 森林之力．塔赫亞
"Allocates Tawhoa, Forest's Strength if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 森林之力．塔赫亞
"Allocates Tawhoa, Forest's Strength if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 森林之力．塔赫亞
(Marauder) Aspect of Carnage,(野蠻人) 血肉之章
Allocates Aspect of Carnage if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 血肉之章
Allocates Aspect of Carnage if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 血肉之章
(Marauder) Unyielding,(野蠻人) 屹立不搖
Allocates Unyielding if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 屹立不搖
Allocates Unyielding if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 屹立不搖
"(Marauder) Hinekora, Death's Fury",(野蠻人) 死之狂怒．悉妮蔻拉
"Allocates Hinekora, Death's Fury if you have the matching modifier on Forbidden Flesh",若禁忌血肉上有符合的詞綴，配置 死之狂怒．悉妮蔻拉
"Allocates Hinekora, Death's Fury if you have the matching modifier on Forbidden Flame",若禁忌烈焰上有符合的詞綴，配置 死之狂怒．悉妮蔻拉
(Shadow) Pyromaniac,(暗影刺客) 縱火狂
Allocates Pyromaniac if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 縱火狂
Allocates Pyromaniac if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 縱火狂
(Shadow) Bomb Specialist,(暗影刺客) 炸彈專家
Allocates Bomb Specialist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 炸彈專家
Allocates Bomb Specialist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 炸彈專家
(Shadow) Unstable Infusion,(暗影刺客) 不穩定化身
Allocates Unstable Infusion if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不穩定化身
Allocates Unstable Infusion if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不穩定化身
(Shadow) Harness the Void,(暗影刺客) 虛空馭者
Allocates Harness the Void if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 虛空馭者
Allocates Harness the Void if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 虛空馭者
(Shadow) Noxious Strike,(暗影刺客) 淬毒打擊
Allocates Noxious Strike if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 淬毒打擊
Allocates Noxious Strike if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 淬毒打擊
(Shadow) Polymath,(暗影刺客) 博學
Allocates  if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 博學
Allocates Polymath if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 博學
(Shadow) Soul Drinker,(暗影刺客) 飲魂者
Allocates Soul Drinker if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 飲魂者
Allocates Soul Drinker if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 飲魂者
(Shadow) Ambush and Assassinate,(暗影刺客) 伏擊與刺殺
Allocates Ambush and Assassinate if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 伏擊與刺殺
Allocates Ambush and Assassinate if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 伏擊與刺殺
(Shadow) Explosives Expert,(暗影刺客) 爆破專家
Allocates Explosives Expert if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 爆破專家
Allocates Explosives Expert if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 爆破專家
(Shadow) Born in the Shadows,(暗影刺客) 生在影中
Allocates Born in the Shadows if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 生在影中
Allocates Born in the Shadows if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 生在影中
(Shadow) Chain Reaction,(暗影刺客) 連鎖反應
Allocates Chain Reaction if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 連鎖反應
Allocates Chain Reaction if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 連鎖反應
(Shadow) Perfect Crime,(暗影刺客) 完美犯罪
Allocates Perfect Crime if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 完美犯罪
Allocates Perfect Crime if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 完美犯罪
(Shadow) Escape Artist,(暗影刺客) 逃脫大師
Allocates Escape Artist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 逃脫大師
Allocates Escape Artist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 逃脫大師
(Shadow) Heartstopper,(暗影刺客) 心靈永止
Allocates Heartstopper if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 心靈永止
Allocates Heartstopper if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 心靈永止
(Shadow) Swift Killer,(暗影刺客) 敏捷殺手
Allocates Swift Killer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 敏捷殺手
Allocates Swift Killer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 敏捷殺手
(Shadow) Spellbreaker,(暗影刺客) 破法
Allocates Spellbreaker if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 破法
Allocates Spellbreaker if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 破法
(Shadow) Opportunistic,(暗影刺客) 投機
Allocates Opportunistic if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 投機
Allocates Opportunistic if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 投機
(Shadow) One Step Ahead,(暗影刺客) 先行
Allocates One Step Ahead if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 先行
Allocates One Step Ahead if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 先行
(Shadow) Mistwalker,(暗影刺客) 霧行者
Allocates Mistwalker if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 霧行者
Allocates Mistwalker if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 霧行者
(Shadow) Toxic Delivery,(暗影刺客) 毒物走私
Allocates Toxic Delivery if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 毒物走私
Allocates Toxic Delivery if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 毒物走私
(Shadow) Deadly Infusion,(暗影刺客) 致命專注
Allocates Deadly Infusion if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 致命專注
Allocates Deadly Infusion if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 致命專注
(Shadow) Demolitions Specialist,(暗影刺客) 爆破天才
Allocates Demolitions Specialist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 爆破天才
Allocates Demolitions Specialist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 爆破天才
Delirium scales enemy 'less Damage Taken' as well as enemy 'increased Damage dealt',瞻望會使敵人“承受更少傷害”以及敵人“造成傷害增加”
At 100% effect:,100% 瞻望時:
Enemies Deal 30% Increased Damage,增加 30% 怪物傷害
Enemies take 80% Less Damage,怪物承受 80% 更少傷害
Uber Atziri Flameblast,綠門女王的烈焰爆破
Shaper Ball,塑界者的球
Shaper Slam,塑界者的猛擊
Maven Memory Game,釋界的記憶遊戲
Used to fill in defaults for specific boss skills if the boss config is not set,如果沒有設定頭目的配置則用於填充特定頭目技能的預設值
"Bosses' damage is assumed at a 2/3 roll, with no Atlas passives, at the normal monster level for your character level (capped at 85)",頭目的傷害假設在骰值的 2/3，沒有輿圖天賦，在你角色等級的正常怪物等級 (上限 85 )
Caveats for certain skills are below,以下是某些技能的注意事項
Allocating Cosmic Wounds increases the penetration to 40% and adds 2 projectiles,塑界者的球:點出宇宙之傷會增加穿透至 40%，並增加額外兩個投射物
Cannot be Evaded.  Allocating Cosmic Wounds doubles the damage and cannot be blocked or dodged,塑界者的猛擊:不可躲避。點出宇宙之傷會使傷害加倍，並且不能被格擋或是閃避
"Is three separate hits, and has a large DoT effect.  Neither is taken into account here.  i.e. Hits before death should be >= 4 to survive",造成三次擊中，並帶有持續傷。這裡兩者都不在考慮之內。換句話說，死亡前可承受的出手次數應該 >= 4 才能存活。
This overrides the default damage amount used to estimate your damage reduction from armour.,設定傷害量會影響來自你護甲的物理傷害減免估算
Applies mods that use `while stationary` and `per / every second while stationary`,啟用'當你靜止'、'靜止時每秒'之類的修正
Sets the EHP calc to not apply gain on block effects,對有效生命值計算進行設定以禁用格擋時回復效果
Life Cost per second:,每秒生命消耗:
Life per second:,每秒生命消耗:
Controls how Defending with Double Armour is calculated:,如何計算使用雙倍護甲防禦:
never Defend with Double Armour,從不使用雙倍護甲進行防禦
Damage Reduction from Defending with Double Armour is proportional to chance,雙倍護甲防禦的傷害減免與機率成正比
always Defend with Double Armour,總使用雙倍護甲進行防禦
This setting has no effect if you have 100% chance to Defend with Double Armour.,如果你有 100% 機率使用雙倍護甲進行防禦時，該設定無效。
Max Hit,最大擊中
Controls how exerted attacks from Warcries are calculated:,如何計算戰吼後的攻擊:
"Averages out Warcry usage with cast time, attack speed and warcry cooldown.",用施法時間，攻擊速度和戰吼冷卻時間計算平均戰吼使用率。
Max Hit: Shows maximum hit for lining up all warcries.,最大擊中:顯示排列所有戰吼的最大擊中傷害。
Heartstopper Mode:,心靈永止:
"Rampage grants the following, up to 1000 stacks:",【暴怒】層數會帶來以下效果，最大層數為 1000 層:
You lose Rampage if you do not get a Kill within 5 seconds.,如果 5 秒內沒有獲得任何擊殺，你就會失去【暴怒】。
	1% increased Movement Speed per 20 Rampage, 每 20 層【暴怒】增加 1% 移動速度
	2% increased Damage per 20 Rampage, 每 20 層【暴怒】增加 2% 傷害
"this will enable the Onslaught buff itself. (Grants 20% increased Attack, Cast, and Movement Speed)",這將開啟【猛攻】增益效果，增加 20% 攻擊速度、施放速度和移動速度
This will enable the Unholy Might buff. (Grants 30% of Physical Damage as Extra Chaos Damage),^xFFFFFF這將開啟【不潔之力】增益效果。 (獲得等同 30% 物理傷害的額外^xD02090混沌^7傷害)
"This will enable the Adrenaline buff, which grants:",這將開啟【腎上腺素】增益效果:
"{0}% increased Attack, Cast and Movement Speed",增加 {0}% 攻擊/施法/移動速度
This will enable the Alchemist's Genius buff:,這將開啟【煉金之材】增益效果:
10% increased effect of Flasks,增加 10% 藥劑效果
Defiance:,【抗爭】層數:
Consecrated Ground grants {0}% Life Regeneration to players and allies.,^xFFFFFF【奉獻地面】使在上面的玩家和友軍獲得每秒 {0}% ^xE05030生命^7回復。
'Hall of Grandmasters',元帥殿堂
 Blind applies the following effects.,【致盲】造成以下效果。
 -20% Accuracy ,-20% 命中率
 -20% Evasion,^xFFFFFF-20%^x33FF77 閃避值
Is the enemy on Shocked Ground?,^xFFFFFF敵人是否在^xADAA47【感電地面】^7上?
Intimidated enemies take 10% increased Attack Damage.,被【威嚇】的敵人增加 10% 承受的攻擊傷害。
Crushed enemies have 15% reduced Physical Damage Reduction.,被【壓碎】的敵人降低 15% 物理傷害減免。
Unnerved enemies take 10% increased Spell Damage.,被【膽怯】的敵人增加 10% 承受的法術傷害。
Covered in Ash applies the following to the enemy:,【餘燼纏身】的敵人受到以下影響:
Covered in Frost applies the following to the enemy:,【寒霜纏身】的敵人受到以下影響:
This overrides the default enemy level used to estimate your hit and evade chance.,^xFFFFFF此設定會影響預計你的命中和^x33FF77閃避^7機率的敵人等级。
The default level for normal enemies and standard bosses is 83.,普通敵人和普通頭目預設等級是 83。
Their default level is capped by your character level.,他們的預設等級是由你的角色等级為上限。
"The default level for pinnacle bosses is 84, and the default level for uber pinnacle bosses is 85.",巔峰頭目的預設等級是 84，而終極巔峰頭目的預設等級是 85。
Their default level is not capped by your character level.,他们的預設等级不受你的角色等级限制。
Controls which types of damage the EHP calculation uses:,控制有效生命值計算使用的傷害類型:
uses the Average of all damage types,使用全部傷害的平均值
"If a specific damage type is selected, that will be the only type used.",如果選擇了特定的傷害類型，那將是唯一使用的類型。
This also implies that the enemy is Shocked.,^xFFFFFF這也意味著敵人被^xADAA47【感電】^7。
Is the enemy in the Frost Shield area?,敵人是否在【寒霜護盾】範圍內?
Frost Shield:,寒霜護盾:
Sigil of Power:,咒符之力:
This also implies that the enemy is Burning.,^xFFFFFF這將意味著敵人被^xB97123燃燒^7.
"Scorched enemies have lowered elemental resistances, up to {0}%.",^xFFFFFF被^xB97123焦灼^7的敵人降低元素抗性，最多 {0}%.
This option will also allow you to input the effect of Scorched.,^xFFFFFF此選項還允許你輸入^xB97123焦灼^7的效果.
This effect will only be applied while you can inflict Scorched.,^xFFFFFF只有當你可以造成^xB97123焦灼^7時才會應用此效果.
Hits against Brittle enemies have up to {0}% Critical Strike Chance.,^xFFFFFF擊中^x3F6DB3易碎^7的敵人時，暴擊率最高可達 {0}%.
This option will also allow you to input the effect of Brittle.,^xFFFFFF此選項還允許你輸入^x3F6DB3易碎^7的效果.
This effect will only be applied while you can inflict Brittle.,^xFFFFFF只有當你可以造成^x3F6DB3易碎^7時才會應用此效果.
"In addition to allowing any 'against Shocked Enemies' modifiers to apply,",^xFFFFFF開啟時 '對^xADAA47感電^7的敵人' 之類的加成生效.
this will allow you to input the effect of the Shock applied to the enemy.,^xFFFFFF這將允許你輸入對敵人施加^xADAA47感電^7的效果.
"If you have a guaranteed source of Shock,",^xFFFFFF如果你有保底的^xADAA47感電^7來源.
the strongest one will apply instead unless this option would apply a stronger Shock.,^xFFFFFF除非此選項會施加更強的^xADAA47感電^7，否則將應用最強的.
"Sapped enemies deal less damage, up to {0}%.",^xFFFFFF被^xADAA47殘喘^7的敵人造成的傷害減少，最多 {0}%.
This also implies that the enemy is Sapped.,^xFFFFFF這也意味著敵人被^xADAA47殘喘^7了.
This applies {0}% Fire Resistance to the enemy.,^xFFFFFF這對敵人施加 {0}% ^xB97123火焰^7抗性.
This applies {0}% Cold Resistance to the enemy.,^xFFFFFF這對敵人施加 {0}% ^x3F6DB3冰冷^7抗性.
This applies {0}% Lightning Resistance to the enemy.,^xFFFFFF這對敵人施加 {0}% ^xADAA47閃電^7抗性.
	20% increased Fire Damage taken,^xFFFFFF增加 20% 承受的^xB97123火焰^7傷害
	20% less Movement Speed,更少 20% 移動速度
	20% increased Cold Damage taken,^xFFFFFF增加 20% 承受的^x3F6DB3冰冷^7傷害
	50% less Critical Strike Chance,更少 50% 暴擊率
This is divided by 4.25 to represent 4 damage types + some chaos,^xFFFFFF這裡除以 4.25 代表 4 種傷害類型 + 一些^xD02090混沌^7傷害
	+25% to enemy Chaos Resistance,^xFFFFFF敵人^xD02090混沌^7抗性 +25%
	+30% to enemy Chaos Resistance,^xFFFFFF敵人^xD02090混沌^7抗性 +30%
"For reference, a level 70 monster has 6937 base life, and a level 80 monster has 12787.","^xFFFFFF僅供參考: 70 級怪物基礎^xE05030生命^7為 6937, 80 級怪物為 12787."
"You will automatically be considered to be on Full Life if you have Chaos Inoculation,","^xFFFFFF如果你有【異靈之體】將視為^xE05030滿血^7狀態,"
"Cannot Regen Life, Mana or ES?",^xFFFFFF無法回復^xE05030生命^7、^x7070FF魔力^7和^x88FFFF能盾^7?
Enemy Corpse Life:,^xFFFFFF敵人屍體^xE05030生命^7:
Sets the maximum life of the target corpse for Detonate Dead and similar skills.,^xFFFFFF設定【屍體爆破】等類似技能的屍體最大^xE05030生命^7
Are you always on Full Life?,^xFFFFFF你處於^xE05030滿血^7狀態?
Life regen calculation mode:,^xE05030生命^7回復計算模式：
Controls how life regeneration is calculated:,^xFFFFFF控制如何計算^xE05030生命^7回復:
Enemy has Elemental / Chaos Resist:,^xFFFFFF敵人有元素/^xD02090混沌^7抗性:
Cannot Leech Life / Mana?,^xFFFFFF無法偷取^xE05030生命^7/^x7070FF魔力^7?
Less Recovery Rate of Life and Energy Shield:,^xE05030生命^7和^x88FFFF能量護盾^7的回復率更少:
Enemy Lightning Resistance:,^xFFFFFF敵人^xADAA47閃電抗性^7:
Enemy Cold Resistance:,^xFFFFFF敵人^x3F6DB3冰冷抗性^7:
Enemy Fire Resistance:,^xFFFFFF敵人^xB97123火焰抗性^7:
Enemy Chaos Resistance:,^xFFFFFF敵人^xD02090混沌抗性^7:
Enemy Skill Lightning Damage:,^xFFFFFF敵人技能^xADAA47閃電傷害^7:
Enemy Skill Lightning Pen:,^xFFFFFF敵人技能^xADAA47閃電穿透^7:
Enemy Skill Cold Damage:,^xFFFFFF敵人技能^x3F6DB3冰冷傷害^7:
Enemy Skill Cold Pen:,^xFFFFFF敵人技能^x3F6DB3冰冷穿透^7:
Enemy Skill Fire Damage:,^xFFFFFF敵人技能^xB97123火焰傷害^7:
Enemy Skill Fire Pen:,^xFFFFFF敵人技能^xB97123火焰穿透^7:
Enemy Skill Chaos Damage:,^xFFFFFF敵人技能^xD02090混沌傷害^7:
Is the enemy Burning?,^xFFFFFF敵人是否被^xB97123【燃燒】^7?
Is the enemy Ignited?,^xFFFFFF敵人是否被^xB97123【點燃】^7?
Is the enemy Scorched?,^xFFFFFF敵人是否被^xB97123【焦灼】^7?
Is the enemy on Scorched Ground?,^xFFFFFF敵人是否在^xB97123【焦灼地面】^7?
Is the enemy Exposed to Fire?,^xFFFFFF敵人是否被^xB97123【火焰曝曬】^7?
Is the enemy Chilled?,^xFFFFFF敵人是否被^x3F6DB3【冰緩】^7?
