add,翻譯
All Attacks with this Weapon are Critical Strikes,此武器進行的所有攻擊皆是暴擊
All bonuses from an Equipped Shield apply to your Minions instead of you,所有盾牌上的屬性套用到你的召喚物身上而非角色本身
All Damage can Freeze,所有傷害可以造成冰凍
All Damage can Ignite,所有傷害可以造成點燃
All Damage can Shock,所有傷害可以造成感電
All Damage from Hits can cause Elemental Ailments you are suffering,擊中的所有傷害都會造成你正承受的元素異常狀態
All Damage from Hits can Poison,全部來自擊中的傷害可以造成中毒
All Damage from Hits will cause Elemental Ailments you are suffering,擊中的所有傷害都會造成你正承受的元素異常狀態
All Damage from Hits with This Weapon can Poison,使用此武器的全部擊中傷害會造成中毒
All Damage from Monster's Hits can Freeze,怪物的所有擊中傷害可以造成冰凍
All Damage from Monster's Hits can Ignite,怪物的所有擊中傷害可以造成點燃
All Damage from Monster's Hits can Poison,怪物的所有擊中傷害可以造成中毒
All Damage from Monster's Hits can Shock,怪物的所有擊中傷害可以造成感電
All Damage from Monsters' Hits inflicts Chill,來自怪物擊中的所有傷害都造成冰緩
All Damage from Monsters' Hits inflicts Shock,來自怪物擊中的所有傷害都造成感電
All Damage inflicts Poison while affected by Glorious Madness,被榮耀瘋癲影響時，所有傷害造成中毒
All Damage taken bypasses Energy Shield,承受的所有傷害穿透能量護盾
All Damage will cause Elemental Ailments you are suffering,擊中的所有傷害都會造成你正承受的元素異常狀態
All Damage with Hits can Chill,擊中的所有傷害都可以冰緩
All Damage with Hits can Freeze,擊中的所有傷害都可以冰凍
All Damage with Hits can Ignite,擊中的所有傷害都可以點燃
All Damage with Hits can Shock,擊中的所有傷害都可以感電
All Damage with Maces and Sceptres inflicts Chill,錘和權杖的所有傷害可以造成冰緩
All hits are Critical Strikes,永遠暴擊
All items:,全物品:
All Metamorph Monsters have Rewards,全部鍊魔怪物都有獎勵
All Monster Damage from Hits always Ignites,怪物傷害必定造成點燃
All Physical Damage Converted to Fire Damage,所有物理傷害轉換為火焰傷害
All Projectiles,所有投射物
All Projectiles Hit,所有投射物擊中
All Skills:,所有技能:
All skills:,所有技能:
All Sockets are Blue,全部插槽為藍色
All Sockets are Green,全部插槽為綠色
All Sockets are Red,全部插槽為紅色
All Sockets are White,所有插槽都是白色
All Sockets Linked,所有插槽連線
All Towers in range of your Empowering Towers deal Double Damage,在你賦予塔範圍內的所有防守塔，造成 2 倍傷害
All Types:,所有類型:
All your Damage can Freeze,你的所有傷害均可造成冰凍
Allelopathy,相生相剋
Allies' Aura Buffs do not affect you,無法獲得友方光環效果
Allocated,已分配的
Allocated Small Passive Skills in Radius grant nothing,配置範圍內的小天賦不會獲得效果
Allocates,配置
Allocating this node and all nodes leading to it will give you:,分配這個天賦點以及關聯天賦點會給你:
Allocating this node will give you:,分配這個天賦點會給你:
Allow for memories at or adjacent to this location have BONUS,允許此地區和相鄰地區的記憶有加成
Alloyed Spiked Shield,合金刺盾
Allure,魅惑
Alpha's Howl,極地之嗥
Alpine Shaman,高峰術士
Also affects areas in front and behind the targeted area,被輔助技能可在目標前後方位額外施放多次，影響範圍更大，並可重疊
Also affects areas in front of and behind the targeted area,同時影響目標範圍前後區域
"Also affects areas in front of, behind, and on each side of targeted area",同時影響目標範圍前後左右區域
also apply to Spell Damage at 30% of their value),有 30% 也套用於法術傷害）
also clone an item within Path of Building by ,你也可以使用 Ctrl+C 和 Ctrl+V
Also create Consecrated Ground around you,同時在你附近製造奉獻地面
also grant an equal chance to gain a Frenzy Charge on Kill,同時提供等同其數值的擊殺時獲得 1 顆狂怒球機率
also grant an equal chance to gain a Power Charge on Kill,同時提供等同其數值的擊殺時獲得 1 顆暴擊球機率
also grant an equal chance to gain an Endurance Charge on Kill,同時提供等同其數值的擊殺時獲得 1 顆耐力球機率
also Recover Energy Shield for you and Allies,也會為你和友軍回復能量護盾
Altered Distant Memory,遙遠記憶：編造
alternating between the two,在兩者之間替換
Alternating Sceptre,輪迴權杖
Always Blind nearby Enemies when gaining Her Blessing,獲得她的祝福時致盲周圍敵人
Always Critically Strike Shocked Enemies,對感電的敵人必定暴撃
Always Freeze,所有冰冷傷害擊中敵人造成冰凍效果
"Always Freeze, Shock and Ignite",總是使敵人冰凍、感電與點燃
"Always Freeze, Shock and Ignite during any Flask Effect",任何藥劑效果持續時間內，造成冰凍、感電和點燃
Always Freezes enemies,總是冰凍敵人
Always Freezes Enemies on Hit,擊中時必定冰凍敵人
Always Ignite,所有火焰傷害擊中敵人造成點燃效果
Always Ignite when in Main Hand,在主手總是點燃
Always Ignite while Ignited,被點燃時，攻擊必然造成敵方點燃
Always Ignites Enemies on Hit,擊中時必定點燃敵人
Always inflict Brittle,總是造成易碎
Always Poison on Hit,擊中時使敵人中毒
Always Poison on Hit against Bleeding Enemies,擊中流血敵人時使其中毒
Always Poison on Hit against Cursed Enemies,擊中被詛咒的敵人造成中毒
Always Poison on Hit during any Flask Effect,任何藥劑效果持續時間內，擊中時造成中毒
Always Poison on Hit with Attacks,攻擊擊中時使目標中毒
Always Sap Enemies,總是殘喘敵人
Always Sap Enemies in Chilling Areas,必定衰竭在冰緩地區的敵人
Always Scorch,一定造成焦灼
Always Scorch Enemies,總是焦灼敵人
Always Shock,所有閃電傷害擊中敵人造成感電效果
Always Shocks Enemies on Hit,擊中時必定感電敵人
Always Stuns Enemies on Hit,擊中時必定暈眩敵人
Amanamu's Gaze,阿姆那姆的邪眼
Amber,琥珀油瓶
Amber Amulet,琥珀護身符
Amber Oil,琥珀油瓶
Ambidexterity,卓越
Ambu's Charge,安姆布的戰甲
Ambush,伏擊
Ambush and Assassinate,伏擊與刺殺
Ambush Boots,伏擊之靴
Ambush Mitts,伏擊護手
Ambusher,伏擊刺刃
Amethyst Flask,紫晶藥劑
Amethyst Ring,紫晶戒指
Ample,充足的
Amplification Rod,增幅杖
Amplify,增幅
Amulet,項鏈
Amulet:,項鏈:
An additional Basic Currency Item drops when the first Invasion Boss is slain,當第一個侵略頭目被擊殺時，掉落 1 個額外基礎通貨
An additional Currency Item drops when the first Invasion Boss is slain,擊敗的第 1 個侵略首領會掉落額外 1 個通貨物品
An additional Curse can be applied to you,你可以受到 1 個額外的詛咒
an additional Ignite on an Enemy and cannot apply its Burning Debuff,燃燒箭矢對敵人造成額外 1 次點燃
An additional Map drops on Completing Area,完成此區域額外掉落 1 張地圖
An Enemy Writhing Worms escape the Flask when used,使用藥劑時產生 1 隻敵隊的蠕蟲
Analyst's,分析師的
Anarchic Spiritblade,翻天魂刃
Anarchy,無法者
Anatomical Knowledge,真知灼見
Ancestor Totems have 100% increased Activation range,先祖圖騰增加 100% 啟動距離
Ancestral,先祖
Ancestral Blademaster,先祖大劍師
Ancestral Bond,先祖魂約
Ancestral Boost does not apply to repeats of the Attack,先祖加持不會套用至重複的攻擊
Ancestral Call,先祖怒嚎輔助
Ancestral Club,祖靈之杵
Ancestral Cry,先祖戰吼
Ancestral Echo,先祖回響
Ancestral Guidance,先祖指引
Ancestral Inspiration,先祖啟發
Ancestral Knowledge,先祖智慧
Ancestral Might,先祖之力
Ancestral Preservation,先祖庇護
Ancestral Protector,先祖衛士
Ancestral Reach,先祖所向
Ancestral Warchief,先祖戰士長
Ancient,遠古
Ancient Architect,古代建築師
Ancient Construct,遠古創造物
Ancient Gauntlets,遠古護手
Ancient Greaves,遠古脛甲
Ancient Skull,遠古骷髏
Ancient Spirit Shield,遠古魔盾
Ancient Sword,遠古之劍
Ancient Talismans possess monsters throughout Wraeclast,被魔符附身的怪物散佈在瓦爾克拉斯大陸
Ancient Waystones,遠古基石
and nearby Allies cannot be Stunned,和附近友方無法被暈眩
and on each side of the targeted area,目標的前後左右區域
Andvarius,貪慾之記
Angelic Kite Shield,天使鳶盾
Anger,憤怒
Anger has no Reservation,憤怒無保留
Anger Reserves no Mana,憤怒沒有魔力保留
Angler,長竿
Angler's Plait,漁夫之辮
Anguish,悲痛
Animate Guardian,幻化守衛
Animate Guardian's Weapon,幻化守衛武器
Animate Weapon,幻化武器
Animate Weapon can Animate Bows,能對弓使用幻化武器
Animate Weapon can Animate Wands,能對法杖使用幻化武器
Animated Guardian,幻靈守衛
Animated Minions' Melee Attacks deal Splash Damage to surrounding targets,幻化召喚物的近戰攻擊對目標周圍造成擴散傷害
Animated Weapon,幻靈武器
Annihilation,橫掃千軍
Anoint...,塗抹...
Anointed Flesh,聖油鮮肉
Anomalous,異常
Anthem,聖曲
Antifreeze,抗凍
Antique Gauntlets,古鋼護手
Antique Greaves,古鋼脛甲
Antique Rapier,古代細劍
Antivenom,抗毒
Any league,任何聯盟
Any requirements,不限條件
Any slot,任何部位
Any type,任何類型
Anywhere,任何條件
AoE,範圍效果
AoE Radius,範圍效果半徑
AoE Radius:,範圍效果半徑:
Apep's Rage,艾普之怒
Apep's Slumber,艾普之眠
Apep's Supremacy,艾普霸權
Apex,絕境
Apex Cleaver,巔峰砍斧
Apex Mode,巔峰模式
Apex Rapier,銳鋒細劍
Apocalypse,天啟
Apothecary's Gloves,靈藥手套
Apparatus,儀器
Apparitions,映像
Applies a Memory Modifier to Memories placed on or next to this location,套用 1 個記憶詞綴至放置於此或旁邊位置的記憶
"Applies Level 15 Elemental Weakness on Blocking a Spell, ignoring Curse Limit",無視詛咒數量上限，當格擋法術時施放 15 級【元素要害】
"Applies Level 15 Punishment on Blocking a Melee Attack, ignoring Curse Limit",無視詛咒數量上限，當格擋近戰攻擊時施放 15 級【懲戒】
"Applies Level 15 Temporal Chains on Blocking a Projectile Attack, ignoring Curse Limit",無視詛咒數量上限，當格擋投射物攻擊時施放 15 級【時空鎖鏈】
Applies linked Curses on Hit,擊中時會觸發連接的詛咒
Applies linked Hex Curses on Hit,擊中時套用連結的咒術詛咒
Apply an additional stack of Wither​,造成 1 層額外凋零​
Apply Enchantment...,套用附魔...
Apprentice Battlemage,見習戰鬥法師
Apprentice's,學徒的
Aquamarine Flask,海藍藥劑
Aqueous Accelerant,水性催化劑
Arakaali's Fang,艾爾卡莉之牙
Araku Tiki,隱靈之符
Arbiter,仲裁者
Arborix,阿布里斯
Arc,電弧
Arc Always Shocks,電弧必定感電
Arc Chains an additional time,增加電弧額外 1 次連鎖
Arcane,秘能
Arcane Adept,祕能專精
Arcane Blessing,秘能庇護
Arcane Capacitor,秘能容器
Arcane Chemistry,祕法學
Arcane Cloak,秘能披風
Arcane Dual Wield Mastery,秘能雙持專精
Arcane Expanse,秘能擴張
Arcane Focus,秘能之心
Arcane Guarding,秘能守護
Arcane Heroism,祕能英雄
Arcane Potency,秘能爆發
Arcane Pyrotechnics,祕能煙花
Arcane Recovery,秘能恢復
Arcane Sanctuary,秘能聖所
Arcane Shield Mastery,秘能護盾專精
Arcane Staff Mastery,秘能長杖專精
Arcane Surge,秘能波動輔助
Arcane Swiftness,秘能迅捷
Arcane Vision,奧術目光
Arcane Wake,秘能喚醒
Arcane Will,秘能意志
Arcanist Brand,奧術烙印
Arcanist Gloves,秘術手套
Arcanist Slippers,秘術便鞋
Arcanist's Dominion,奧術師之統御
Arch,之弦
Archdemon Crown,罪魔邪冠
Archer Statue,弦影岩靈
Architect's Hand,構築之手
Archmage,魔幻輔助
Archon Kite Shield,威能鳶盾
Arcing Blows,電能之擊
Arcing Shot,弧射
Arctic Armour,極地裝甲
Arctic Armour has no Reservation,極地裝甲沒有保留
Arctic Breath,極地吐息
Arduous,艱鉅
Are you against Damage over Time?,你受到持續傷?
Are you always moving?,你處於移動狀態?
Are you always on Full Energy Shield?,你處於滿盾狀態?
Are you always on Full Life?,你處於滿血狀態?
Are you always on Low Life?,你處於貧血狀態?
Are you always stationary?,你處於靜止狀態?
Are you Bleeding?,你被【流血】?
Are you Blinded?,你被【致盲】?
Are you Burning?,你被【燃燒】?
Are you Channelling Cyclone?,是否引導旋風斬?
Are you Chilled?,你被【冰緩】?
Are you Elusive?,你有【靈巧】?
Are you Focused?,你有【專注】?
Are you Fortified?,你有【護體】?
Are you Frozen?,你被【冰凍】?
Are you Ignited?,你被【點燃】?
Are you in a Bloodstorm?,你處於血姿態?
Are you in a Sandstorm?,你處於沙姿態?
Are you in Her Embrace?,你有【女神的擁抱】?
Are you insane?,你處於瘋狂狀態?
Are you Leeching Energy Shield?,你在【偷取能量護盾】?
Are you Leeching Life?,你在【偷取生命】?
Are you Leeching Mana?,你在【偷取魔力】?
Are you Leeching?,你在【偷取】?
Are you on Burning Ground?,你在【燃燒地面】?
Are you on Chilled Ground?,你在【冰緩地面】?
Are you on Consecrated Ground?,你在【奉獻地面】?
Are you on Shocked Ground?,你在【感電地面】?
Are you Poisoned?,你被【中毒】?
Are you Shocked?,你被【感電】?
Are you sure you want to delete all items in this build?,確定要刪除這個流派中的所有物品麼?
Are you sure you want to delete all socket groups in this build?,確定要刪除流派中的所有插槽麼?
Are your minions always on Full Life?,你的召喚物是否處於滿血狀態?
Area becomes fatal after some time,一段時間後此區域將會變得致命
Area can contain Breaches,此區域可能含有裂痕
Area can contain Mysterious Harbingers,區域內含神秘的神諭
Area contains a Bearers of the Guardian Bloodline Pack,區域包含 1 個衛者之責血族群
Area contains a Blight Encounter,區域含有 1 個凋落事件
Area contains a Breach,區域包含 1 個裂痕
Area contains a Cartographer's Strongbox,區域包含 1 個製圖師的保險箱
Area contains a Chayula Breach,區域包含 1 個夏烏拉裂痕
Area contains a Forsaken Master,此區域有一位大師
Area contains a Gemcutter's Strongbox,區域包含 1 個珠寶匠的保險箱
Area contains a Grandmaster Ally,此區域包含一位友軍元帥
Area contains a Keepers of the Trove Bloodline Pack,區域包含珍寶護衛血族怪物
Area contains a Large Chest,地圖有大寶箱
Area contains a Monster possessed by an Ancient Talisman,區域包含 1 個受魔符附身的怪物
Area contains a Perandus Chest,此區域包含 1 個普蘭德斯保險箱
Area contains a Rare Monster with Inner Treasure,區域包含額外 1 個珍寶之魂稀有怪物
Area contains a Remnant of Corruption,區域包含 1 個被汙染的器皿
Area contains a Rogue Exile,區域包含 1 位盜賊流亡者
Area contains a Silver Coin,區域包含 1 枚銀幣
Area contains a Smuggler's Cache,區域含有 1 個走私者的祕寶
Area contains a Stone Circle,此區域有一個石陣
Area contains a Strongbox,區域包含 1 個保險箱
Area contains a Tormented Embezzler,區域包含罪魂：盜用者
Area contains a Tormented Seditionist,區域包含罪魂：煽動者
Area contains a Tormented Spirit,區域包含 1 個罪魂
Area contains a Tormented Vaal Cultist,區域包含罪魂：瓦爾信徒
Area contains a Unique Boss,區域含有 1 個傳奇頭目
Area contains a Unique Strongbox,區域包含 1 個傳奇保險箱
Area contains a Voidspawn of Abaxoth Bloodline Pack,區域包含 1 個阿巴薩斯之子血族群
Area contains additional Corrupted Vaal Monsters,該區域會出現額外的腐化瓦爾怪物
Area contains additional Monsters that Convert when Killed,該區域會額外出現一些擊敗後能被轉化的怪物
Area contains additional Monsters that deal Chaos Damage,該區域會額外出現可以造成混沌傷害的怪物
Area contains additional Monsters that deal Cold Damage,該區域會額外出現可以造成冰冷傷害的怪物
Area contains additional Monsters that deal Fire Damage,該區域會額外出現可以造成火焰傷害的怪物
Area contains additional Monsters that deal Lightning Damage,該區域會額外出現可以造成閃電傷害的怪物
Area contains additional Monsters that deal Physical Damage,該區域會額外出現可以造成物理傷害的怪物
Area contains additional Monsters that Heal,該區域會額外出現 1 個治療怪
Area contains additional Normal Monsters,區域含有額外普通怪物
Area contains additional Packs with Mirrored Rare Monsters,該區域會出現額外的鏡像稀有怪物群
Area contains additional Poisonous Monsters,該區域會額外出現一些劇毒怪物
Area contains additional waves of Bone Rhoas,區域含有額外幾波枯骨恐喙鳥
Area contains additional waves of Ghosts,區域含有額外幾波幽靈
Area contains additional waves of Oriathan Zombies,區域含有額外幾波奧瑞亞殭屍
Area contains additional waves of Phantasms,區域含有額外幾波幻影
Area contains additional waves of Raging Spirits,區域含有額外幾波憤怒狂靈
Area contains additional waves of Ravager Maws,區域含有額外幾波殘暴裂齒獸
Area contains additional waves of Zombies,區域含有額外幾波殭屍
Area contains Alva,區域含有艾瓦
Area contains an additional Abyss,此區域含 1 個額外深淵
Area contains an additional Blight Encounter,區域包含 1 個額外凋落事件
Area contains an additional Breach,區域包含額外 1 個裂痕
Area contains an additional Chrysalis Talisman,區域額外包含 1 個蟲蛹魔符
Area contains an additional Clutching Talisman,區域額外包含 1 個咒箍魔符
Area contains an additional Essence,區域包含額外 1 個精髓
Area contains an additional Expedition Encounter,區域含有 1 個探險事件
Area contains an additional Fangjaw Talisman,區域額外包含 1 個齒鯊魔符
Area contains an additional Gloom Shrine,區域含有 1 個額外漆黑神殿
Area contains an additional Harbinger,此區域含一個額外神諭
Area contains an additional Leaguestone,區域包含額外 1 個聯盟石
Area contains an additional Legion Encounter,區域內含 1 個額外戰亂事件
Area contains an additional Magic Monster pack,區域含有 1 個額外魔法怪物群
Area contains an additional Magic Pack of Wealth,區域包含 1 群富裕的魔法怪物
Area contains an additional Mandible Talisman,區域額外包含 1 個巨顎魔符
Area contains an additional pack with a Rare monster,區域含有 1 個額外有 1 隻稀有怪物的怪物群
Area contains an additional Perandus Archive,區域包含 1 個普蘭德斯藏書箱
Area contains an additional Perandus Chest,區域包含額外 1 個普蘭德斯保險箱
Area contains an additional Perandus Coffer,區域包含 1 個普蘭德斯藏金盒
Area contains an additional Perandus Jewellery Box,區域包含 1 個普蘭德斯珠寶箱
Area contains an additional Perandus Locker,區域包含 1 個普蘭德斯密封箱
Area contains an additional Perandus Treasury,區域包含 1 個普蘭德斯藏寶箱
Area contains an additional Resonating Shrine,區域含有 1 個額外共振神殿
Area contains an additional Scourge Boss,區域含有 1 個額外災魘頭目
Area contains an additional Shrine,地圖裡有 1 個額外的神殿
Area contains an additional Strongbox,地圖裡有 1 個額外的保險箱
Area contains an additional Three Rat Talisman,區域額外包含 1 個三鼠魔符
Area contains an additional Tormented Betrayer,區域含有 1 個額外苦痛反叛者
Area contains an additional Tormented Graverobber,區域含有 1 個額外苦痛盜墓者
Area contains an additional Tormented Heretic,區域含有 1 個額外苦痛異教徒
Area contains an additional Underground Area,區域含有 1 個額外地下區域
Area contains an additional Unique Talisman,區域額外包含 1 個傳奇魔符
Area contains an additional Writhing Talisman,區域額外包含 1 個狂癲魔符
Area contains an Arcanist's Strongbox,區域包含 1 個奧術師的保險箱
Area contains an Avatar of Ambush,區域包含伏擊化身
Area contains an Avatar of Anarchy,區域包含混亂化身
Area contains an Avatar of Beyond,區域包含超越化身
Area contains an Avatar of Bloodlines,區域包含血族化身
Area contains an Avatar of Breach,區域包含裂痕化身
Area contains an Avatar of Domination,區域包含支配化身
Area contains an Avatar of Essence,區域包含精髓化身
Area contains an Avatar of Invasion,區域包含侵略化身
Area contains an Avatar of Nemesis,區域包含復仇化身
Area contains an Avatar of Onslaught,區域包含猛攻化身
Area contains an Avatar of Perandus,區域包含普蘭德斯化身
Area contains an Avatar of Prophecy,區域包含預言化身
Area contains an Avatar of Rampage,區域包含暴怒化身
Area contains an Avatar of Talisman,區域包含魔符化身
Area contains an Avatar of Tempest,區域包含風暴化身
Area contains an Avatar of Torment,區域包含苦痛化身
Area contains an Avatar of Warbands,區域包含軍團化身
Area contains an Essence of Delirium,區域包含 1 個譫妄精髓
Area contains an Essence of Horror,區域包含 1 個極恐精髓
Area contains an Essence of Hysteria,區域包含 1 個浮誇精髓
Area contains an Essence of Insanity,區域包含 1 個錯亂精髓
Area contains an extra Gloom Shrine,區域含有 1 個額外漆黑神殿
Area contains an extra Harbinger,此區域含一個額外神諭
Area contains an extra Resonating Shrine,區域含有 1 個額外共振神殿
Area contains an extra Shrine,地圖裡有 1 個額外的神殿
Area contains an extra Strongbox,地圖裡有 1 個額外的保險箱
Area contains an Invasion Boss,區域含有 1 個侵略頭目
Area contains an Uul-Netol Breach,區域包含烏爾尼多裂痕
Area contains Cadiro Perandus,此區域包含卡迪羅普蘭德斯
Area contains Creeping Agony,區域含有蔓延苦痛
Area contains Einhar,區域含有埃哈
Area contains hunted traitors,區域包含許多背叛者
Area contains Immortal Syndicate activity,此區域可能含有永恆密教活動
Area contains Jun,區域含有瓊恩
Area contains many Sentinel Traps,區域中有許多衛士陷阱
Area contains many Totems,地圖裡有許多圖騰
"Area contains Medved, Feller of Heroes",區域含有墮落英雄．梅德偉
Area contains Metamorph Monsters,區域包含鍊魔怪物
Area contains Niko,區域含有尼科
Area contains no monsters,地圖裡沒有怪物
"Area contains Olroth, Origin of the Fall",區域含有失落起源．奧爾羅斯
Area contains Slipstreams,區域含有激流
Area contains The Sacred Grove,區域含有聖殿密園
Area contains two Unique Bosses,地圖裡有兩個傳奇頭目
"Area contains Uhtred, Covetous Traitor",區域含有貪婪叛徒．烏特雷
Area contains unbridged gaps to cross,地圖裡有未橋接的裂縫
"Area contains Vorana, Last to Fall",區域含有最後生還．沃拉娜
Area contains Yama the Generous,區域包含慷慨的雅瑪小白
Area contains Yama the White,區域包含雅瑪小白
Area contains Zana,區域含有札娜
Area Damage,範圍傷害
Area Damage Mastery,範圍傷害專精
Area has a Monster that drops a Silver Coin,區域包含 1 個持有銀幣的怪物
Area has Damaging Totems,地圖裡有攻擊性圖騰
Area has increased monster variety,地圖裡的怪物種類被增加了
Area has patches of burning ground,區域內有燃燒地面
Area has patches of Burning Ground,地圖裡有燃燒地面
Area has patches of chilled ground,區域內有冰緩地面
Area has patches of Chilled Ground,地圖裡有冰緩地面
Area has patches of desecrated ground,地圖裡有汙染地面
Area has patches of Shocked Ground,區域內有數道感電地面
Area has patches of shocking ground,區域內有感電地面
Area has patches of tar,地圖裡有焦油地面
Area is a large Maze,地圖是個大迷宮
Area is a Maze,迷宮地圖
Area is Alluring,此區域吸引人
Area is alluringly Alluring,此區域絕對難以置信的極度吸引人
Area is alluringly Repulsive,此區域絕對難以置信的極度令人反感
Area is always Alluring,此區域總是吸引人
Area is always alluringly Alluring,此區域總是絕對難以置信的極度吸引人
Area is always alluringly Repulsive,此區域總是絕對難以置信的極度令人反感
Area is always extremely Alluring,此區域總是極度吸引人
Area is always extremely Repulsive,此區域總是極度令人反感
Area is always incredibly Alluring,此區域總是難以置信的極度吸引人
Area is always incredibly Repulsive,此區域總是難以置信的極度令人反感
Area is always Repulsive,此區域總是令人反感
Area is always very Alluring,此區域總是非常吸引人
Area is always very Repulsive,此區域總是非常令人反感
Area is controlled by a Warband Boss,區域受到軍團首領的控制
Area is extremely Alluring,此區域極度吸引人
Area is extremely Repulsive,此區域極度令人反感
Area is incredibly Alluring,此區域難以置信的極度吸引人
Area is incredibly Repulsive,此區域難以置信的極度令人反感
Area is infested with Fungal Growths,區域被毒菌滋長蔓延
Area is influenced by The Elder,區域被尊師控制
Area is influenced by The Shaper,區域被塑界者控制
Area is inhabited by Abominations,區域含有大量被創造生物
Area is inhabited by Animals,地圖裡有許多動物
Area is inhabited by Bandits,地圖裡有許多強盜
Area is inhabited by Blackguards,區域裡有許多烏旗守衛
Area is inhabited by Brinerot Warbands,區域被布琳洛特軍團守衛著
Area is inhabited by Cultists of Kitava,區域內有許多奇塔弗的信徒
Area is inhabited by Demons,地圖裡有許多惡魔
Area is inhabited by Ghosts,區域內有許多鬼魂
Area is inhabited by Goatmen,地圖裡有許多羊男
Area is inhabited by Humanoids,地圖裡有許多人型生物
Area is inhabited by Lunaris fanatics,區域內有許多月影神信徒
Area is inhabited by Mutewind Warbands,區域被啞風軍團守衛著
Area is inhabited by ranged monsters,地圖裡有許多遠程怪物
Area is inhabited by Redblade Warbands,區域被紅刃軍團守衛著
Area is inhabited by Renegade Warbands,區域被混沌軍團守衛著
Area is inhabited by Sea Witches and their Spawn,地圖裡有許多海巫和它的召喚物
Area is inhabited by Skeletons,地圖裡有許多骷髏
Area is inhabited by Solaris fanatics,區域內有許多日耀神信徒
Area is inhabited by Spiders,區域裡有許多蜘蛛
Area is inhabited by the Vaal,區域裡有許多瓦爾人
Area is inhabited by Undead,地圖裡有許多不死生物
Area is inhabited by wild Animals,此區域被野生的動物所佔據
Area is Overgrown with Caustic Plants,區域內長滿腐蝕性的植物
Area is Overgrown with Large Caustic Plants,區域被大型腐蝕植物蔓延
Area is Overgrown with Parasitic Caustic Plants,區域被寄生腐蝕植物蔓延
Area is Repulsive,此區域令人反感
Area is very Alluring,此區域非常吸引人
Area is very Repulsive,此區域非常令人反感
Area of Effect,影響範圍
Area of Effect Damage,範圍傷害
Area of Effect in Sand Stance and Damage in Blood Stance,沙戮姿態範圍效果和血腥姿態傷害
Area of Effect Mod:,範圍效果詞綴:
Area of Effect modifiers:,範圍效果詞綴:
Area of Effect per Endurance Charge,每顆耐力球範圍效果
Area Spells Mastery,範圍法術專精
Area's inhabitants are lying in ambush,區域內怪物都處於伏擊狀態
Areas can contain Abysses,此區域可能有深淵
Areas can contain Essences,此區域有受精髓禁錮的怪物
Areas contain a mirror of Delirium,此區域含有 1 個譫妄之鏡
Areas contain additional Metamorph monsters,區域包含額外鍊魔怪物
Areas contain an additional pack of Rogue Exiles,區域含有 1 群額外的盜賊流亡者
Areas contain Beasts to hunt,此區域可以獸獵
Areas contain deposits of Voltaxic Sulphite,區域包含沉積的魔暴硫酸
Areas contain Memory Fragments,區域含有記憶碎片
Areas contain Ritual Altars,區域含有祭祀神壇
Areas contain Temporal Incursions,此區域有短暫的穿越任務
Areas Have the Same Layout for all Players,所有玩家都有相同的地圖布局
Areas with Ritual Altars always have four Ritual Altars,有祭祀神壇的區域必定有 4 座祭祀神壇
Arena Challenger,競技場挑戰者
Arena Plate,鬥者之鎧
Arid,旱地
Armageddon,末日
Armageddon Brand,末日烙印
Arming Axe,長柄斧
Armour,護甲
Armour also applies to Chaos Damage taken,護甲同時承受混沌傷害
Armour also applies to Lightning Damage taken from Hits,護甲同時承受來自擊中的閃電傷害
Armour and Elemental Resistances,護甲和元素抗性
Armour and Endurance Charges,護甲和耐力球
Armour and Energy Shield,護甲和能量護盾
Armour and Energy Shield Mastery,護甲和能量護盾專精
"Armour and Energy Shield, Aura Effect",護甲和能量護盾、光環效果
"Armour and Energy Shield, Block Chance",護甲和能量護盾、格擋率
"Armour and Energy Shield, Charge Duration",護甲和能量護盾、充能球持續時間
"Armour and Energy Shield, Life Regeneration",護甲和能量護盾、生命回復
"Armour and Energy Shield, Minion Damage",護甲和能量護盾、召喚物傷害
Armour And Evasion,護甲與閃避
Armour and Evasion,護甲和閃避
Armour and Evasion Mastery,護甲和閃避專精
"Armour and Evasion, Attack Damage",護甲和閃避、攻擊傷害
"Armour and Evasion, Attack Damage while Fortified",護甲和閃避、護體時攻擊傷害
"Armour and Evasion, Aura Effect",護甲和閃避、光環效果
"Armour and Evasion, Fortify Effect",護甲和閃避、護體效果
"Armour and Evasion, Impale Chance",護甲和閃避、穿刺機率
"Armour and Evasion, Impale Effect",護甲和閃避，穿刺效果
"Armour and Evasion, Taunt Duration",護甲和閃避、嘲諷持續時間
Armour and Guard Skill Cooldown Recovery,護甲和守護技能冷卻時間恢復
Armour and Life,護甲和生命
Armour and Life Regeneration,護甲與生命回復
Armour and Mana,護甲和魔力
"Armour applies to Fire, Cold and Lightning Damage taken from Hits instead of Physical Damage",護甲套用承受火焰、冰冷和閃電擊中傷害，而不是物理傷害
Armour Boots,護甲鞋
Armour calculation mode:,護甲計算模式：
Armour Chest,護甲胸甲
Armour Gloves,護甲手套
Armour Helmet,護甲頭盔
Armour is increased by Overcapped Fire Resistance,護甲被超過上限的火焰抗性增加
Armour is increased by Uncapped Fire Resistance,護甲值將隨著絕對火焰抗性增加
Armour Mastery,護甲專精
Armour multiplier,護甲倍率
Armour per Endurance Charge,每顆耐力球護甲
Armour received from Body Armour is doubled,從身體護甲獲得的護甲增加 1 倍
Armour Shield,護甲盾
Armour while Fortified,護體時護甲
"Armour, Attack Speed",護甲、攻擊速度
